author,chapter,line,text
Jacob van Maerlant,DIT IS DYE ISTORY VAN TROYEN.,1,DEUS ASSIT.
Jacob van Maerlant,DIT IS DYE ISTORY VAN TROYEN.,2,MYN hert ende myn syn ende myn ghepeyns
Jacob van Maerlant,DIT IS DYE ISTORY VAN TROYEN.,3,"Is sculdich enen swaren thyns,"
Jacob van Maerlant,DIT IS DYE ISTORY VAN TROYEN.,4,Dien ic ommer gelden moet:
Jacob van Maerlant,DIT IS DYE ISTORY VAN TROYEN.,5,"Dat is, een historie goet"
Jacob van Maerlant,DIT IS DYE ISTORY VAN TROYEN.,5,"Te dichtene int Duytsche woert,"
Jacob van Maerlant,DIT IS DYE ISTORY VAN TROYEN.,7,Die men int Walsche heft gehoert.
Jacob van Maerlant,DIT IS DYE ISTORY VAN TROYEN.,8,"Oeck is ghedicht in Duyts een deel,"
Jacob van Maerlant,DIT IS DYE ISTORY VAN TROYEN.,9,Mer ic wil se al gheheel
Jacob van Maerlant,DIT IS DYE ISTORY VAN TROYEN.,10,"Van beghyn ten eynde maken,"
Jacob van Maerlant,DIT IS DYE ISTORY VAN TROYEN.,10,Gan my Got al sulker saken
Jacob van Maerlant,DIT IS DYE ISTORY VAN TROYEN.,12,Dat my myn syn niet en is te laf!
Jacob van Maerlant,DIT IS DYE ISTORY VAN TROYEN.,13,Seger den Got gaf
Jacob van Maerlant,DIT IS DYE ISTORY VAN TROYEN.,14,"Heft daeraf ghedicht een deel,"
Jacob van Maerlant,DIT IS DYE ISTORY VAN TROYEN.,15,Dat is van Troyen dat Proyeel
Jacob van Maerlant,DIT IS DYE ISTORY VAN TROYEN.,15,"- Dit is ghedicht oeck langhen tyt, -"
Jacob van Maerlant,DIT IS DYE ISTORY VAN TROYEN.,17,Ende aent Proyeel die vij stryt.
Jacob van Maerlant,DIT IS DYE ISTORY VAN TROYEN.,18,"Mer ic wil van yersten beghynnen,"
Jacob van Maerlant,DIT IS DYE ISTORY VAN TROYEN.,19,Dat ghy moghet weten ende kennen
Jacob van Maerlant,DIT IS DYE ISTORY VAN TROYEN.,20,"Hoert Jason voer om gulden vlies,"
