author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,Dus ghinc hi vaste wert in:
Onbekend,Onbekend Hoofdstuk,2,Hine wiste meer no min
Onbekend,Onbekend Hoofdstuk,3,In wat lande dat hi was;
Onbekend,Onbekend Hoofdstuk,4,Ende sine ogen ras
Onbekend,Onbekend Hoofdstuk,5,"Liet hi altoes omme gaen,"
Onbekend,Onbekend Hoofdstuk,6,Als een dief die gevaen
Onbekend,Onbekend Hoofdstuk,7,Wesen waent met siere proie;
Onbekend,Onbekend Hoofdstuk,8,Soe sere was hi te vernoye
Onbekend,Onbekend Hoofdstuk,9,Mids sine naecten leden.
Onbekend,Onbekend Hoofdstuk,10,"Soe verre quam hi gescreden,"
Onbekend,Onbekend Hoofdstuk,11,Dat hi mercte ende nam goom
Onbekend,Onbekend Hoofdstuk,12,"Menegen sconen figeboom,"
Onbekend,Onbekend Hoofdstuk,13,Die sere wel geladen
Onbekend,Onbekend Hoofdstuk,14,Waren met figen ende met bladen;
Onbekend,Onbekend Hoofdstuk,15,"Daer wert die ridder ghinc,"
Onbekend,Onbekend Hoofdstuk,16,Ende plocte varinc
Onbekend,Onbekend Hoofdstuk,17,"Vanden figen, vanden bladen,"
Onbekend,Onbekend Hoofdstuk,18,Ende wert soe beraden
Onbekend,Onbekend Hoofdstuk,19,"Dat hi vanden figen at,"
Onbekend,Onbekend Hoofdstuk,20,Want sijn herte nalinx mat
Onbekend,Onbekend Hoofdstuk,21,Worden was van droocheden
Onbekend,Onbekend Hoofdstuk,22,"Vanden rouwe, die hi leden"
Onbekend,Onbekend Hoofdstuk,23,Ende vanden tranen heet
Onbekend,Onbekend Hoofdstuk,24,"Hadde, ende wel gereet"
Onbekend,Onbekend Hoofdstuk,25,"Wert hi al doe beraden,"
Onbekend,Onbekend Hoofdstuk,26,Dat hi tacken ende bladen
Onbekend,Onbekend Hoofdstuk,27,"Alsoe vele ave brac,"
Onbekend,Onbekend Hoofdstuk,28,"Ende scuerde ende trac,"
Onbekend,Onbekend Hoofdstuk,29,"Ten besten dat hi mochte,"
Onbekend,Onbekend Hoofdstuk,30,Ende trac ende knochte
Onbekend,Onbekend Hoofdstuk,31,Tsamen geliken worden.
Onbekend,Onbekend Hoofdstuk,32,Doe ghinc hiere hem met gorden
Onbekend,Onbekend Hoofdstuk,33,"Ten III steden ofte vieren,"
Onbekend,Onbekend Hoofdstuk,34,Dat men in gere manieren
Onbekend,Onbekend Hoofdstuk,35,Sijn blote lijf mochte sien.
Onbekend,Onbekend Hoofdstuk,36,"Blide was hi vandien,"
Onbekend,Onbekend Hoofdstuk,37,"Want hi hem, die hoge genaemde,"
Onbekend,Onbekend Hoofdstuk,38,Te voren in hem selven scaemde:
Onbekend,Onbekend Hoofdstuk,39,Soe bewijsde die natuere.
Onbekend,Onbekend Hoofdstuk,40,Hi hadde beter aetsemuere
Onbekend,Onbekend Hoofdstuk,41,"Ghedragen, die vrome man"
Onbekend,Onbekend Hoofdstuk,42,"Dan hi an sijn lijf hadde an,"
Onbekend,Onbekend Hoofdstuk,43,Jegen swerden ende speren
Onbekend,Onbekend Hoofdstuk,44,"Die ghinc aldus wel III dage,"
Onbekend,Onbekend Hoofdstuk,45,Dat sine ogen ne sagen
Onbekend,Onbekend Hoofdstuk,46,Daer binnen noit creatuere
Onbekend,Onbekend Hoofdstuk,47,"Die ie moeder wert te sure,"
Onbekend,Onbekend Hoofdstuk,48,Hine hadde hem selven gesien.
Onbekend,Onbekend Hoofdstuk,49,"Wonder soe haddi vandien,"
Onbekend,Onbekend Hoofdstuk,50,Die wel edel wigant:
Onbekend,Onbekend Hoofdstuk,51,"Hi was op I eylant,"
Onbekend,Onbekend Hoofdstuk,52,Dat sere wilt was ende woeste;
Onbekend,Onbekend Hoofdstuk,53,Vanden frute dat hi moeste
Onbekend,Onbekend Hoofdstuk,54,Van honger eten over al.
Onbekend,Onbekend Hoofdstuk,55,"Het was recht sijn geval,"
Onbekend,Onbekend Hoofdstuk,56,"Dat fruut was in sinen tijt,"
Onbekend,Onbekend Hoofdstuk,57,Daer hi menich imbijt
Onbekend,Onbekend Hoofdstuk,58,"Ende menich mael met dede,"
Onbekend,Onbekend Hoofdstuk,59,Ende natuere voede mede
Onbekend,Onbekend Hoofdstuk,60,"Bede spade ende vroech,"
Onbekend,Onbekend Hoofdstuk,61,Soe dat hi sijn lijf ontdroech.
Onbekend,Onbekend Hoofdstuk,62,"An die doerne, an die bramen"
Onbekend,Onbekend Hoofdstuk,63,"Scuerdi sine cleder tsamen,"
Onbekend,Onbekend Hoofdstuk,64,"Soe dedi daertoe vel ende huut,"
Onbekend,Onbekend Hoofdstuk,65,Datter trode bloet liep wt.
Onbekend,Onbekend Hoofdstuk,66,Sine voeten tien stonden
Onbekend,Onbekend Hoofdstuk,67,Die hadden menege wonden
Onbekend,Onbekend Hoofdstuk,68,"Ende daer toe menege bleine,"
Onbekend,Onbekend Hoofdstuk,69,Want hine vant wege geine
Onbekend,Onbekend Hoofdstuk,70,"Die welke getorden waren,"
Onbekend,Onbekend Hoofdstuk,71,"Maer herten, hinden ende baren,"
Onbekend,Onbekend Hoofdstuk,72,"Evers, denen ende liebaert,"
Onbekend,Onbekend Hoofdstuk,73,Tygers ende lupaert
Onbekend,Onbekend Hoofdstuk,74,"Die soe sach hi menich een,"
Onbekend,Onbekend Hoofdstuk,75,"Ende menegen herden steen,"
Onbekend,Onbekend Hoofdstuk,76,Ende menege rootse hoge
Onbekend,Onbekend Hoofdstuk,77,"Ende menege velde droge,"
Onbekend,Onbekend Hoofdstuk,78,"Maer menege dicke sant,"
Onbekend,Onbekend Hoofdstuk,79,Maer gene fonteine hi vant
Onbekend,Onbekend Hoofdstuk,80,Binnen dachverden drie.
Onbekend,Onbekend Hoofdstuk,81,Van dorste soe waer hie
Onbekend,Onbekend Hoofdstuk,82,"Doot bleven die ridder reen,"
Onbekend,Onbekend Hoofdstuk,83,"Ne waer om den dieren steen,"
Onbekend,Onbekend Hoofdstuk,84,Die stont in dat vingerlijn;
Onbekend,Onbekend Hoofdstuk,85,Ende menich quaet venijn
Onbekend,Onbekend Hoofdstuk,86,Hadden oec gevimeert
Onbekend,Onbekend Hoofdstuk,87,Dat hi ewelike moeste
Onbekend,Onbekend Hoofdstuk,88,Aldaer bliven in dat woeste
Onbekend,Onbekend Hoofdstuk,89,"Ghelijc enen wilden man,"
Onbekend,Onbekend Hoofdstuk,90,Want gemerken hi niet ne can
Onbekend,Onbekend Hoofdstuk,91,Hoe hi over comen soude.
Onbekend,Onbekend Hoofdstuk,92,Neder soe ghinc die boude
Onbekend,Onbekend Hoofdstuk,93,Opden oever sitten daer:
Onbekend,Onbekend Hoofdstuk,94,Hi mercte ende wort gewaer
Onbekend,Onbekend Hoofdstuk,95,"Dat dat water was al root,"
Onbekend,Onbekend Hoofdstuk,96,"Dies hi hadde wonder groot,"
Onbekend,Onbekend Hoofdstuk,97,Want het sceen al I bloot;
Onbekend,Onbekend Hoofdstuk,98,"Dat daden die stenen goet,"
Onbekend,Onbekend Hoofdstuk,99,"Die welke lagen inden gront,"
Onbekend,Onbekend Hoofdstuk,100,Dat Huge was oncont.
Onbekend,Onbekend Hoofdstuk,101,"Dus waende die ridder goet,"
Onbekend,Onbekend Hoofdstuk,102,Dat water al root bloot
Onbekend,Onbekend Hoofdstuk,103,Altemale hadde gesijn.
Onbekend,Onbekend Hoofdstuk,104,Te hem selven sprac Hugelijn:
Onbekend,Onbekend Hoofdstuk,105,"""Daer es emmer gevochten sere,"
Onbekend,Onbekend Hoofdstuk,106,Daer dit grote wide mere
Onbekend,Onbekend Hoofdstuk,107,Aldus bloedich ave si:
Onbekend,Onbekend Hoofdstuk,108,Ic wildicker hadde bi
Onbekend,Onbekend Hoofdstuk,109,Ghewesen te dier stat
Onbekend,Onbekend Hoofdstuk,110,"Ende ic wapen hadde gehadt,"
Onbekend,Onbekend Hoofdstuk,111,Al soudic in dien swaren stoet
Onbekend,Onbekend Hoofdstuk,112,"Hebben gebleven doot,"
Onbekend,Onbekend Hoofdstuk,113,"Op datter kerstine mede waren."""
Onbekend,Onbekend Hoofdstuk,114,Daer aldus die vrome baren
Onbekend,Onbekend Hoofdstuk,115,Es geseten op die marine
Onbekend,Onbekend Hoofdstuk,116,"Studerende metten ogen sine,"
Onbekend,Onbekend Hoofdstuk,117,Hevet die ridder coen
Onbekend,Onbekend Hoofdstuk,118,Ghesien comen Maleproen
Onbekend,Onbekend Hoofdstuk,119,Ghevloten in die wilde see.
Onbekend,Onbekend Hoofdstuk,120,Huge hadde wonders mee
Onbekend,Onbekend Hoofdstuk,121,In sine hertegedochte
Onbekend,Onbekend Hoofdstuk,122,"Wat dinge het wesen mochte,"
Onbekend,Onbekend Hoofdstuk,123,Dan hi ie hadde te voren.
Onbekend,Onbekend Hoofdstuk,124,Dien ridder wel geboren
Onbekend,Onbekend Hoofdstuk,125,Quam te voren in sijn gedochte
Onbekend,Onbekend Hoofdstuk,126,Dat die necker wesen mochte
Onbekend,Onbekend Hoofdstuk,127,"Of die viant uter helle,"
Onbekend,Onbekend Hoofdstuk,128,Want bin enen swarten velle
Onbekend,Onbekend Hoofdstuk,129,Hi in dat water vloot
Onbekend,Onbekend Hoofdstuk,130,[...............] root
Onbekend,Onbekend Hoofdstuk,131,Dat het quam te hemwaert.
Onbekend,Onbekend Hoofdstuk,132,Hi spranc op metter vaert:
Onbekend,Onbekend Hoofdstuk,133,Enen stoc addi in die hant;
Onbekend,Onbekend Hoofdstuk,134,"Waert necker of viant,"
Onbekend,Onbekend Hoofdstuk,135,"Wildi hem comen aen,"
Onbekend,Onbekend Hoofdstuk,136,"Hi souden metten stocke slaen,"
Onbekend,Onbekend Hoofdstuk,137,Dat hi soude hebben quaet geval.
Onbekend,Onbekend Hoofdstuk,138,Aldus quam hi als I bal
Onbekend,Onbekend Hoofdstuk,139,"Ghewentelt, Maleproen;"
Onbekend,Onbekend Hoofdstuk,140,"Daert aensach Hugoen,"
Onbekend,Onbekend Hoofdstuk,141,Scudde hi met leden snel
