author,chapter,line,text
Onbekend,VAN EEN SONDERLINC TESTAMENT.,1,"Hoe subtiler Grieke, hoe cloec van verstaen,"
Onbekend,VAN EEN SONDERLINC TESTAMENT.,2,"Hoe doertogen clerc, hoe loser cortesaen,"
Onbekend,VAN EEN SONDERLINC TESTAMENT.,3,"Hoe nauwe practiseerders van nauwen list,"
Onbekend,VAN EEN SONDERLINC TESTAMENT.,4,Nochtan op haer duimken slaet dic die kist
Onbekend,VAN EEN SONDERLINC TESTAMENT.,5,"Die onnosel, het si somer of winter;"
Onbekend,VAN EEN SONDERLINC TESTAMENT.,6,"Exempel, hoe dat Wouters soen, Jan Splinter,"
Onbekend,VAN EEN SONDERLINC TESTAMENT.,7,Te Delf hoe eerliken ende hoe excellent
Onbekend,VAN EEN SONDERLINC TESTAMENT.,8,"Ende costelic heeft gemaect zijn testament,"
Onbekend,VAN EEN SONDERLINC TESTAMENT.,9,"Van enen armen man simpel vervaren,"
Onbekend,VAN EEN SONDERLINC TESTAMENT.,10,Als ghi hebt ghehoert in hondert jaren.
Onbekend,VAN EEN SONDERLINC TESTAMENT.,11,"Dese Jan voerseit, als ic vernam,"
Onbekend,VAN EEN SONDERLINC TESTAMENT.,12,Was rentemeester te Delf ende ten Sciedam
Onbekend,VAN EEN SONDERLINC TESTAMENT.,13,"In twee susterhusen, dat is waer,"
Onbekend,VAN EEN SONDERLINC TESTAMENT.,14,Daer hi eerlick diende menich jaer
Onbekend,VAN EEN SONDERLINC TESTAMENT.,15,"Had hi anders gedient mit ontrouwen,"
Onbekend,VAN EEN SONDERLINC TESTAMENT.,16,Licht ten einde hi hadde meer behouwen.
Onbekend,VAN EEN SONDERLINC TESTAMENT.,17,Doer die vrienden heef zijns overgebracht
Onbekend,VAN EEN SONDERLINC TESTAMENT.,18,Ende voer den ouden man qualic gewacht.
Onbekend,VAN EEN SONDERLINC TESTAMENT.,19,"Hierom, als hi began te vertraghen"
Onbekend,VAN EEN SONDERLINC TESTAMENT.,20,"Ende hem anquamen die oude daghen,"
Onbekend,VAN EEN SONDERLINC TESTAMENT.,21,Rust ende gemack was al sijn begaert;
Onbekend,VAN EEN SONDERLINC TESTAMENT.,22,"Mer, waer hi quam, hi was onwaert."
Onbekend,VAN EEN SONDERLINC TESTAMENT.,23,"Wie oudt is ende arm van goede,"
Onbekend,VAN EEN SONDERLINC TESTAMENT.,24,"Waer hi comt, men wort sijns moede,"
Onbekend,VAN EEN SONDERLINC TESTAMENT.,25,"Hoe heiliger cloesters, hoe beter gespresen;"
Onbekend,VAN EEN SONDERLINC TESTAMENT.,26,"Brengdi wat, ghi sult wellecoem wesen;"
Onbekend,VAN EEN SONDERLINC TESTAMENT.,27,"Mer, hebdi niet, als ghi hier hoert,"
Onbekend,VAN EEN SONDERLINC TESTAMENT.,28,"Elc sal u wisen tot den anderen voert,"
Onbekend,VAN EEN SONDERLINC TESTAMENT.,29,Ghelijc al dese twee cloesters deden.
Onbekend,VAN EEN SONDERLINC TESTAMENT.,30,Des was Jan Splinter qualic te vreden;
Onbekend,VAN EEN SONDERLINC TESTAMENT.,31,Den trouwen dienst van hem te voren
Onbekend,VAN EEN SONDERLINC TESTAMENT.,32,Was seer vergheten ende al verloren.
Onbekend,VAN EEN SONDERLINC TESTAMENT.,33,Een wonderlic influencie viel hem in;
Onbekend,VAN EEN SONDERLINC TESTAMENT.,34,Wie mocht die brenghen in sinen sin?
Onbekend,VAN EEN SONDERLINC TESTAMENT.,35,"Hi docht: ""Ic ben arm ende oudt van daghen,"
Onbekend,VAN EEN SONDERLINC TESTAMENT.,36,Een verdroncken calf is goet te waghen.
Onbekend,VAN EEN SONDERLINC TESTAMENT.,37,Ic wil tAntwerpen trecken doer mijn misval
Onbekend,VAN EEN SONDERLINC TESTAMENT.,38,"Om een comanscap te doen, taventuer ist al"""
Onbekend,VAN EEN SONDERLINC TESTAMENT.,39,"Hi reysde daerheen, sijt seker des;"
Onbekend,VAN EEN SONDERLINC TESTAMENT.,40,"Hi hadde der gulden, het si vijf of ses."
Onbekend,VAN EEN SONDERLINC TESTAMENT.,41,"Een coffer heeft hi eerst ghecocht,"
Onbekend,VAN EEN SONDERLINC TESTAMENT.,42,Met drie slotelen daeraen ghewrocht;
Onbekend,VAN EEN SONDERLINC TESTAMENT.,43,"Voert heeft hi gecocht, wien dat wondert,"
Onbekend,VAN EEN SONDERLINC TESTAMENT.,44,Een deel lecpenningen omtrent seven hondert.
Onbekend,VAN EEN SONDERLINC TESTAMENT.,45,"Hi quam te Sciedam, int cloester te rasten,"
Onbekend,VAN EEN SONDERLINC TESTAMENT.,46,So wellecoem als den eersten dach in den vasten;
Onbekend,VAN EEN SONDERLINC TESTAMENT.,47,"Die hier voermaels eerlic was onthaelt,"
Onbekend,VAN EEN SONDERLINC TESTAMENT.,48,"Men scencte hem bier, half verscaelt;"
Onbekend,VAN EEN SONDERLINC TESTAMENT.,49,Elcke suster sach hem an over een side:
Onbekend,VAN EEN SONDERLINC TESTAMENT.,50,Men wijsde hem te bedde in corten tide.
