author,chapter,line,text
Jan van Boendale,PROLOGHE.,1,ALLE die ghene die dit werc
Jan van Boendale,PROLOGHE.,2,Sien / lesen ende horen /
Jan van Boendale,PROLOGHE.,3,Die gruetic Ian / gheheten Clerc /
Jan van Boendale,PROLOGHE.,4,Vander Vueren gheboren.
Jan van Boendale,PROLOGHE.,5,Boendale heetmen mi daer /
Jan van Boendale,PROLOGHE.,6,Ende wone te Andwerpen nu /
Jan van Boendale,PROLOGHE.,7,Daer ic ghescreven hebbe menech iaer
Jan van Boendale,PROLOGHE.,8,Der scepenen brieve / dat segghic u;
Jan van Boendale,PROLOGHE.,9,Ende sonderlinghe gruetic minen here
Jan van Boendale,PROLOGHE.,10,Dien ic met herten minne
Jan van Boendale,PROLOGHE.,11,Om die doghet ende om die ere /
Jan van Boendale,PROLOGHE.,12,Dats minen here / her Rogiere /
Jan van Boendale,PROLOGHE.,13,Diemen heet van Leefdale.
Jan van Boendale,PROLOGHE.,14,Wie dat merket sine maniere
Jan van Boendale,PROLOGHE.,15,Die machen kinnen wale:
Jan van Boendale,PROLOGHE.,16,Hoefsch / goedertieren ende midel /
Jan van Boendale,PROLOGHE.,17,In wandelinghen wel gheraect /
Jan van Boendale,PROLOGHE.,18,Ende van ghenen poenten ydel
Jan van Boendale,PROLOGHE.,19,Die den goeden man volmaect.
Jan van Boendale,PROLOGHE.,20,Desen boec sal ic hem senden /
Jan van Boendale,PROLOGHE.,21,Ende hi sal heten Ians Teesteye.
Jan van Boendale,PROLOGHE.,22,Mijn teesteye sal hi hier venden;
Jan van Boendale,PROLOGHE.,23,God gheve dat si hem greye /
Jan van Boendale,PROLOGHE.,24,Ende mire vrouwen sinen wive /
Jan van Boendale,PROLOGHE.,25,Vander hogher comst van Cleve /
Jan van Boendale,PROLOGHE.,26,Wel gheraect ende scone van live /
Jan van Boendale,PROLOGHE.,27,Daer ic haer prijs om gheve:
Jan van Boendale,PROLOGHE.,28,Hoefsch / goedertieren ende vroet /
Jan van Boendale,PROLOGHE.,29,Ombesmet van alre blamen /
Jan van Boendale,PROLOGHE.,30,Wie bi haer wesen moet /
Jan van Boendale,PROLOGHE.,31,Moet hem alre dorperheyt scamen.
Jan van Boendale,PROLOGHE.,32,God en woude oec niet vergheten /
Jan van Boendale,PROLOGHE.,33,Hine woude met namen sieren dese:
Jan van Boendale,PROLOGHE.,34,Hoe mochte men scoenre namen weten
Jan van Boendale,PROLOGHE.,35,Dan Rogier en Angheneese?
Jan van Boendale,PROLOGHE.,36,Ic houdt daer over dat God onse Here
Jan van Boendale,PROLOGHE.,37,Deen na den andren sciep /
Jan van Boendale,PROLOGHE.,38,Beyde in scoenheden ende in eren:
Jan van Boendale,PROLOGHE.,39,Daer in sijn si even diep.
Jan van Boendale,PROLOGHE.,40,Oec heeft hen God verleent
Jan van Boendale,PROLOGHE.,41,Kindere scone ende wel gheleert.
Jan van Boendale,PROLOGHE.,42,Met rechte sijn si twee vereent;
Jan van Boendale,PROLOGHE.,43,Want tsamen heefse God gheeert.
Jan van Boendale,PROLOGHE.,44,Danckens Gode / dats mijn raet /
Jan van Boendale,PROLOGHE.,45,Die nemen can ende gheven:
Jan van Boendale,PROLOGHE.,46,So mach bliven dan haer staet
Jan van Boendale,PROLOGHE.,47,Met eren in lanc leven.
Jan van Boendale,PROLOGHE.,48,Desen boec die heeft inne
Jan van Boendale,PROLOGHE.,49,Dat tfolc nu es also goet
Jan van Boendale,PROLOGHE.,50,Alst nye was van beghinne /
Jan van Boendale,PROLOGHE.,51,Dies menech niet en wilt wesen vroet;
Jan van Boendale,PROLOGHE.,52,Ende dan voert sal ic u leren
Jan van Boendale,PROLOGHE.,53,Vanden state alrehande
Jan van Boendale,PROLOGHE.,54,Des volx / der papen ende der heren
Jan van Boendale,PROLOGHE.,55,Diemen vendt achter lande;
Jan van Boendale,PROLOGHE.,56,Ende dan sal volghen sekerlike
Jan van Boendale,PROLOGHE.,57,Vanden doemsdaghe daer na /
Jan van Boendale,PROLOGHE.,58,Ende vander bliscap van hemelrike
Jan van Boendale,PROLOGHE.,59,Ende de druefheyt vander hellen / alsic versta.
Jan van Boendale,PROLOGHE.,60,God onse Here die late mi
Jan van Boendale,PROLOGHE.,61,Volbringhen dit also /
Jan van Boendale,PROLOGHE.,62,Datter in sijn ere si
Jan van Boendale,PROLOGHE.,63,Ende des volx orboer al daer toe.
Jan van Boendale,PROLOGHE.,64,Mijn sen en mach niet ledech wesen /
Jan van Boendale,PROLOGHE.,65,In moet scriven / dichten of lesen;
Jan van Boendale,PROLOGHE.,66,Want mijn nature hevet so in /
Jan van Boendale,PROLOGHE.,67,Ende al moyet minen sin
Jan van Boendale,PROLOGHE.,68,Daer om sone latix niet;
Jan van Boendale,PROLOGHE.,69,Wantmen in Cathone ghescreven siet /
Jan van Boendale,PROLOGHE.,70,Dat ledecheyt tallen stonden
Jan van Boendale,PROLOGHE.,71,Voeden can die sonden;
Jan van Boendale,PROLOGHE.,72,Ende want dichten es dan
Jan van Boendale,PROLOGHE.,73,Een sake daer hem een man
Jan van Boendale,PROLOGHE.,74,Onledech mede maken mach
Jan van Boendale,PROLOGHE.,75,Vroech ende spade / nacht ende dach /
Jan van Boendale,PROLOGHE.,76,Ende oec een reyne onlede es.
Jan van Boendale,PROLOGHE.,77,So willic dichten / des sijt gewes /
Jan van Boendale,PROLOGHE.,78,Also langhe als mi behoudt dleven
Jan van Boendale,PROLOGHE.,79,Die ghene diet mi heeft ghegheven /
Jan van Boendale,PROLOGHE.,80,Ende ict wel vermach van sinne
Jan van Boendale,PROLOGHE.,81,Daer hi mi behoude inne.
Jan van Boendale,PROLOGHE.,82,Ende dat willic al gader keren
Jan van Boendale,PROLOGHE.,83,Inden dienst ende inder eren
Jan van Boendale,PROLOGHE.,84,Mijns heren Rogiers van Leefdale /
Jan van Boendale,PROLOGHE.,85,Dien ic gheve alte male
Jan van Boendale,PROLOGHE.,86,Lijf ende goet / herte ende sin;
Jan van Boendale,PROLOGHE.,87,Want ic en an hem niet min
Jan van Boendale,PROLOGHE.,88,Naest Gode / den hoghen vryen /
Jan van Boendale,PROLOGHE.,89,Ende sijnre liever moeder Marien.
Jan van Boendale,PROLOGHE.,90,God gheve dat hi niet en vinde hier in
Jan van Boendale,PROLOGHE.,91,Dat hem wanhaghe in sinen sin;
Jan van Boendale,PROLOGHE.,92,Want ic hebbe gheweest in vresen
Jan van Boendale,PROLOGHE.,93,Alsic hem van dien ende van desen
Jan van Boendale,PROLOGHE.,94,Dichte / ende ict hem soude senden /
Jan van Boendale,PROLOGHE.,95,Dat hi daer yet mochte venden
Jan van Boendale,PROLOGHE.,96,Dat buten bescede waer ghemaect;
Jan van Boendale,PROLOGHE.,97,Want hi is also gheraect
Jan van Boendale,PROLOGHE.,98,Van sinne / dat ics daer om mi
Jan van Boendale,PROLOGHE.,99,Te voerder huede / ende oec bi
Jan van Boendale,PROLOGHE.,100,Want hi mi sulc stont heeft der af
Jan van Boendale,PROLOGHE.,101,Berespt van dien dat ic hem gaf.
Jan van Boendale,PROLOGHE.,102,Nu hoert / ic sal u nu vertellen
Jan van Boendale,PROLOGHE.,103,Hoe dat twee ghesellen
Jan van Boendale,PROLOGHE.,104,Te gader waren in wandelinghen
Jan van Boendale,PROLOGHE.,105,Ende spraken van velen dinghen.
Jan van Boendale,PROLOGHE.,106,Deen antworde op dsanders vragen;
Jan van Boendale,PROLOGHE.,107,Menegherhande was hare ghewaghen
