author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,"Met swaren rouwe, sonder saghen;"
Onbekend,Onbekend Hoofdstuk,2,"Die sake was al te groot,"
Onbekend,Onbekend Hoofdstuk,3,Maria datselve ontboot.
Onbekend,Onbekend Hoofdstuk,4,Hij moeste den rouwe altene draghen
Onbekend,Onbekend Hoofdstuk,5,"In sijn hertte, sonder claghen."
Onbekend,Onbekend Hoofdstuk,6,"Nu hoert, op den lesten dach,"
Onbekend,Onbekend Hoofdstuk,7,"Als die scriftuere doet ghewach,"
Onbekend,Onbekend Hoofdstuk,8,Ende Eglentijn hadde onttaen
Onbekend,Onbekend Hoofdstuk,9,"Die crone van goude, sonder waen;"
Onbekend,Onbekend Hoofdstuk,10,Sij was huesch ende goedertieren.
Onbekend,Onbekend Hoofdstuk,11,"Nu keer ic weder tot Rosafiere,"
Onbekend,Onbekend Hoofdstuk,12,Die commen was in haeren sinne
Onbekend,Onbekend Hoofdstuk,13,"Bij Marien, der coninghinnen,"
Onbekend,Onbekend Hoofdstuk,14,"Doen ghinc sij met listen,"
Onbekend,Onbekend Hoofdstuk,15,Daer sij scoen hende wele wiste;
Onbekend,Onbekend Hoofdstuk,16,"Doen dede sij aen, sonder beijden,"
Onbekend,Onbekend Hoofdstuk,17,Een hemdeken wan witter sijden;
Onbekend,Onbekend Hoofdstuk,18,Daerover dede die maghedijn
Onbekend,Onbekend Hoofdstuk,19,Eene pelse wit eermerien;
Onbekend,Onbekend Hoofdstuk,20,Daerboven dede die kussche smale
Onbekend,Onbekend Hoofdstuk,21,Eenen rock die haer stont wale.
Onbekend,Onbekend Hoofdstuk,22,"Doen nam sij, al metter spoet,"
Onbekend,Onbekend Hoofdstuk,23,"Eenen mantel van prijsse groet,"
Onbekend,Onbekend Hoofdstuk,24,Ende sette op haer hoot een crone
Onbekend,Onbekend Hoofdstuk,25,Die rickelijc was ende scoene;
Onbekend,Onbekend Hoofdstuk,26,"Doen sij die crone hadde ontfaen,"
Onbekend,Onbekend Hoofdstuk,27,Was sy scoene ende welghedaen.
Onbekend,Onbekend Hoofdstuk,28,"Doen ghinc sij in de sale,"
Onbekend,Onbekend Hoofdstuk,29,"Rosafiere, die scoene smale,"
Onbekend,Onbekend Hoofdstuk,30,"In der ghelijcken, in der ghebare"
Onbekend,Onbekend Hoofdstuk,31,Oft eyneghe belde waere.
Onbekend,Onbekend Hoofdstuk,32,"Doen stont op menich heere vrome,"
Onbekend,Onbekend Hoofdstuk,33,Ende hyeten die maghet willecome;
Onbekend,Onbekend Hoofdstuk,34,Doen soe trac sij achterwert
Onbekend,Onbekend Hoofdstuk,35,"Ende was seer verwaert,"
Onbekend,Onbekend Hoofdstuk,36,"Ende seide: ""Ghij [heren], wats ghesciet?"
Onbekend,Onbekend Hoofdstuk,37,"Des en ben ic werdich niet,"
Onbekend,Onbekend Hoofdstuk,38,"Dat ghij teghen my sout opstaen."""
Onbekend,Onbekend Hoofdstuk,39,Doen dede si se sitten saen.
Onbekend,Onbekend Hoofdstuk,40,Doen ghinc Rosafier altehant;
Onbekend,Onbekend Hoofdstuk,41,Daer sij haeren suster want;
Onbekend,Onbekend Hoofdstuk,42,"Sij seide: ""Suster, quaden dach"
Onbekend,Onbekend Hoofdstuk,43,"Ghe[ve] u God, diet wel doen mach!"
Onbekend,Onbekend Hoofdstuk,44,"""Hoe waert dij noet soe coene"
Onbekend,Onbekend Hoofdstuk,45,"Dat ghij dit bestont te doene,"
Onbekend,Onbekend Hoofdstuk,46,Dat ghij myn lief hebt ghenoemen?
