author,chapter,line,text
Onbekend,die historie van coninck karel ende van elegast,1,
Onbekend,die historie van coninck karel ende van elegast,2,FRaeye historie ende al waer
Onbekend,die historie van coninck karel ende van elegast,3,Mach ic v tellen hoort naer
Onbekend,die historie van coninck karel ende van elegast,4,Het was op enen auontstont
Onbekend,die historie van coninck karel ende van elegast,5,Dat karel slapen begonde
Onbekend,die historie van coninck karel ende van elegast,5,Tengelem op den rijn
Onbekend,die historie van coninck karel ende van elegast,7,Dlant was alle gader sijn.
Onbekend,die historie van coninck karel ende van elegast,8,Hi was keyser ende coninc mede.
Onbekend,die historie van coninck karel ende van elegast,9,Hoort hier wonder ende waerhede
Onbekend,die historie van coninck karel ende van elegast,10,Wat den coninc daer gheuel
Onbekend,die historie van coninck karel ende van elegast,10,Dat weten noch die menige wel
Onbekend,die historie van coninck karel ende van elegast,12,Tenghelem al daer hi lach
Onbekend,die historie van coninck karel ende van elegast,13,Ende waende op den anderen dach
Onbekend,die historie van coninck karel ende van elegast,14,Crone draghen ende houden hof
Onbekend,die historie van coninck karel ende van elegast,15,Om te meerderen sinen lof
Onbekend,die historie van coninck karel ende van elegast,15,Daer die coninc lach ende sliep
Onbekend,die historie van coninck karel ende van elegast,17,Een heilich engel aen hem riep
Onbekend,die historie van coninck karel ende van elegast,18,So dat die coninc ontbrac
Onbekend,die historie van coninck karel ende van elegast,19,Biden woerden die dengel sprac
Onbekend,die historie van coninck karel ende van elegast,20,Ende seyde staet op edel man.
Onbekend,die historie van coninck karel ende van elegast,20,Doet haestelic v cleeder an
Onbekend,die historie van coninck karel ende van elegast,22,Wapent v ende vaert stelen.
Onbekend,die historie van coninck karel ende van elegast,23,God die hiet mi v beuelen
Onbekend,die historie van coninck karel ende van elegast,24,Die in hemelrike is here
Onbekend,die historie van coninck karel ende van elegast,25,Of ghi verliest lijf ende eere
Onbekend,die historie van coninck karel ende van elegast,25,En steeldi in deser nacht niet
Onbekend,die historie van coninck karel ende van elegast,27,So is v euel gheschiet.
Onbekend,die historie van coninck karel ende van elegast,28,Ghi sulter omme steruen
Onbekend,die historie van coninck karel ende van elegast,29,Ende uwes leuens deruen
Onbekend,die historie van coninck karel ende van elegast,30,Eer emmermeer scheit dit hof
Onbekend,die historie van coninck karel ende van elegast,30,Nv verwacht v daer of
Onbekend,die historie van coninck karel ende van elegast,32,Vaert stelen of ghi wilt.
Onbekend,die historie van coninck karel ende van elegast,33,Neemt uwen speere ende uwen schilt
Onbekend,die historie van coninck karel ende van elegast,34,Wapent v sit op v paert
Onbekend,die historie van coninck karel ende van elegast,35,Haestelic ende niet en spaert
Onbekend,die historie van coninck karel ende van elegast,35,DIt verhoorde die coninc
Onbekend,die historie van coninck karel ende van elegast,37,Het docht hem een vreemde dinc.
Onbekend,die historie van coninck karel ende van elegast,38,Want hi daer niemant en sach
Onbekend,die historie van coninck karel ende van elegast,39,Wat dat roepen bedieden mach
Onbekend,die historie van coninck karel ende van elegast,40,Hi waendet slapende hebben gehoort
Onbekend,die historie van coninck karel ende van elegast,40,Ende hilt hem niet an dat woert
Onbekend,die historie van coninck karel ende van elegast,42,Dengel die van gode quam.
Onbekend,die historie van coninck karel ende van elegast,43,Sprac den coninc als die was gram
Onbekend,die historie van coninck karel ende van elegast,44,Staet op karel ende vaert stelen
Onbekend,die historie van coninck karel ende van elegast,45,God hiet my v beuelen
Onbekend,die historie van coninck karel ende van elegast,45,Ende ontbiedet v te voren
Onbekend,die historie van coninck karel ende van elegast,47,Anders hebdi v lijf verloren
Onbekend,die historie van coninck karel ende van elegast,48,HEt dien woerde sweech hi
Onbekend,die historie van coninck karel ende van elegast,49,Ende die coninc riep ay mi
Onbekend,die historie van coninck karel ende van elegast,50,Als die seere was vereent
Onbekend,die historie van coninck karel ende van elegast,50,Wat ist dat dit wonder meent
Onbekend,die historie van coninck karel ende van elegast,52,Ist alfs ghedroch dat mi quelt.
Onbekend,die historie van coninck karel ende van elegast,53,Ende dit grote wonder telt
Onbekend,die historie van coninck karel ende van elegast,54,Ay hemelsche drochtijn
Onbekend,die historie van coninck karel ende van elegast,55,Wat node soude mij sijn
Onbekend,die historie van coninck karel ende van elegast,55,Te stelen ic ben so rike
Onbekend,die historie van coninck karel ende van elegast,57,En is man in aertrijcke.
Onbekend,die historie van coninck karel ende van elegast,58,Weder coninc noch grauen:
Onbekend,die historie van coninck karel ende van elegast,59,Die so rijc sijn van hauen
Onbekend,die historie van coninck karel ende van elegast,60,Si moeten mi sijn onderdaen
Onbekend,die historie van coninck karel ende van elegast,60,Ende te minen diensten staen
Onbekend,die historie van coninck karel ende van elegast,62,Mijn lant is so groot
Onbekend,die historie van coninck karel ende van elegast,63,Men vint nyewers sijns ghenoot.
Onbekend,die historie van coninck karel ende van elegast,64,Dlant is algader mijn
Onbekend,die historie van coninck karel ende van elegast,65,Tot colene opten rijn
Onbekend,die historie van coninck karel ende van elegast,65,Ende tot romen voort
Onbekend,die historie van coninck karel ende van elegast,67,Alst den keyser toe behoort
Onbekend,die historie van coninck karel ende van elegast,68,[.]C ben here mijn wijf is vrouwe
Onbekend,die historie van coninck karel ende van elegast,69,Oest totter wilder denouwe
Onbekend,die historie van coninck karel ende van elegast,70,Ende west totter wilder see
Onbekend,die historie van coninck karel ende van elegast,70,Nochtans heb ic goets veel meer
Onbekend,die historie van coninck karel ende van elegast,72,Galissien ende spandien lant
Onbekend,die historie van coninck karel ende van elegast,73,Dat ic selue wan mitter hant
Onbekend,die historie van coninck karel ende van elegast,74,Ende ic die heydene verdreef
Onbekend,die historie van coninck karel ende van elegast,75,Dat mi tlant alleene bleef
Onbekend,die historie van coninck karel ende van elegast,75,Wat node soude mi sijn dan
Onbekend,die historie van coninck karel ende van elegast,77,Te stelen ellendich man
Onbekend,die historie van coninck karel ende van elegast,78,Waer om ontbiedet mi dit god
Onbekend,die historie van coninck karel ende van elegast,79,Node brekic sijn ghebot
Onbekend,die historie van coninck karel ende van elegast,80,Wistic dat hijt mi ontbode
Onbekend,die historie van coninck karel ende van elegast,80,En mochs niet ghelouen node
Onbekend,die historie van coninck karel ende van elegast,82,Dat mi god die lachter onste
Onbekend,die historie van coninck karel ende van elegast,83,Dat ic te stelen begonste:
Onbekend,die historie van coninck karel ende van elegast,84,Daer hi lach in dit ghepeyns.
Onbekend,die historie van coninck karel ende van elegast,85,Hare tale weder ende gheyns
Onbekend,die historie van coninck karel ende van elegast,85,So vaecte hi een luttelkijn
Onbekend,die historie van coninck karel ende van elegast,87,So datti looc die oghen sijn
Onbekend,die historie van coninck karel ende van elegast,88,Doe seide dingel van te voren.
Onbekend,die historie van coninck karel ende van elegast,89,Wildi gods ghebot verhoren:
Onbekend,die historie van coninck karel ende van elegast,90,Heer coninc so sidi ontdaen
Onbekend,die historie van coninck karel ende van elegast,90,Het sel v an v leuen gaen:
Onbekend,die historie van coninck karel ende van elegast,92,Dengel vanden paradise.
Onbekend,die historie van coninck karel ende van elegast,93,Sprac conincdoet als die wise
Onbekend,die historie van coninck karel ende van elegast,94,Vaert stelen ende wert dief
Onbekend,die historie van coninck karel ende van elegast,95,Al hebdijs nv groot ongerief
Onbekend,die historie van coninck karel ende van elegast,95,Het sal v namaels wesen lief
Onbekend,die historie van coninck karel ende van elegast,97,[.]Et deser talen voer dengel dan
Onbekend,die historie van coninck karel ende van elegast,98,Ende karel hem tseynen began
Onbekend,die historie van coninck karel ende van elegast,99,Vanden wonder dat hi hoorde
Onbekend,die historie van coninck karel ende van elegast,100,Gods ghebot sine woerde
Onbekend,die historie van coninck karel ende van elegast,100,En wil ic niet laten achter.
Onbekend,die historie van coninck karel ende van elegast,102,Ic sel dief wesen al ist lachter
Onbekend,die historie van coninck karel ende van elegast,103,Al soudic hanghen bider kelen
Onbekend,die historie van coninck karel ende van elegast,104,Nochtan haddic lieuer vele
Onbekend,die historie van coninck karel ende van elegast,105,Dat mi god name ghemeene
Onbekend,die historie van coninck karel ende van elegast,105,Dat ic van hem houde te leene
Onbekend,die historie van coninck karel ende van elegast,107,Beyde borch ende lant
Onbekend,die historie van coninck karel ende van elegast,108,Sonder mijns ridders ghewant
Onbekend,die historie van coninck karel ende van elegast,109,Ende ic mi moeste gheneeren
Onbekend,die historie van coninck karel ende van elegast,110,Mitten schilde ende metten speere
Onbekend,die historie van coninck karel ende van elegast,110,Als een die niet en heeft
Onbekend,die historie van coninck karel ende van elegast,112,Ende op die auenture leeft:
Onbekend,die historie van coninck karel ende van elegast,113,Dat ware mijn wille bet
Onbekend,die historie van coninck karel ende van elegast,114,Dan ic gheuanghen ben int net
Onbekend,die historie van coninck karel ende van elegast,115,Ende ic nv moet stelen varen:
Onbekend,die historie van coninck karel ende van elegast,115,Sonder eenich sparen
Onbekend,die historie van coninck karel ende van elegast,117,Varen stelen oft god verwercken
Onbekend,die historie van coninck karel ende van elegast,118,Nv so moetti mi gestercken
Onbekend,die historie van coninck karel ende van elegast,119,IC woude ic ware vuter sale
Onbekend,die historie van coninck karel ende van elegast,120,Sonder nieumare ende tale
Onbekend,die historie van coninck karel ende van elegast,120,Ende mi waer ghecost opten rijn
Onbekend,die historie van coninck karel ende van elegast,122,Seuen borghen van steenen fijn
Onbekend,die historie van coninck karel ende van elegast,123,Wat sel ic segghen van oneeren
Onbekend,die historie van coninck karel ende van elegast,124,Den ridderen ende den heeren.
Onbekend,die historie van coninck karel ende van elegast,125,Die hier liggen in die sale
Onbekend,die historie van coninck karel ende van elegast,125,Wat sal wesen mine tale
Onbekend,die historie van coninck karel ende van elegast,127,Dat ic in deser duyster nacht
Onbekend,die historie van coninck karel ende van elegast,128,Alleene sonder yemants cracht
Onbekend,die historie van coninck karel ende van elegast,129,Moet varen in een lant
Onbekend,die historie van coninck karel ende van elegast,130,Dat mi is vremde ende onbecant
Onbekend,die historie van coninck karel ende van elegast,130,Mit deser talen ghinc hem gereyden
Onbekend,die historie van coninck karel ende van elegast,132,Die coninc karel ende cleyden.
Onbekend,die historie van coninck karel ende van elegast,133,Mit sinen dieren gewaden
Onbekend,die historie van coninck karel ende van elegast,134,Als die te stelen was beraden
Onbekend,die historie van coninck karel ende van elegast,135,Het was altoes sine seden
Onbekend,die historie van coninck karel ende van elegast,135,Datmen sine wapene deden
Onbekend,die historie van coninck karel ende van elegast,137,Ten bedde daer hi lach
