author,chapter,line,text
Onbekend,1.,1,"Dit was van Landen Kaerleman,"
Onbekend,1.,2,die deerste heerschappije ghewan
Onbekend,1.,3,"van Brabant, ende oock die eere;"
Onbekend,1.,4,ende wasser aff prince ende heere
Onbekend,1.,5,ende oock mede van Haspengouwe.
Onbekend,1.,6,"Puppijn ende Sinte-Amelberch, die vrouwe,"
Onbekend,1.,7,waeren beijde die kinderen sijne;
Onbekend,1.,8,doen hij sterff bleef Brabant Puppijne.
Onbekend,2.,9,Die eerste hertoge was van Landen Puppijn;
Onbekend,2.,10,raet van Vranckerijcke moeste hij zijn.
Onbekend,2.,11,Sinte Begge ende Sinte-Geertruijt waeren
Onbekend,2.,12,"beijde sijne kinderen, hoordick verclaeren."
Onbekend,2.,13,Puppijn schiet van desen levene
Onbekend,2.,14,alsmen screeff vic XL ende sevene;
Onbekend,2.,15,"te Nijvele leet hij, dat es claer,"
Onbekend,2.,16,ende hij regneerde XXX jaer.
Onbekend,3.,17,Begge die wert hertoginne
Onbekend,3.,18,"van Brabant, als ick versinne;"
Onbekend,3.,19,"hertoge wert haer man Angijs,"
Onbekend,3.,20,"raet van Vranckerijck, dat ben ick wijs,"
Onbekend,3.,21,"Sinte-Aernouts sone, als ick las,"
Onbekend,3.,22,wiens overoudevader was
Onbekend,3.,23,"die groote Lottaris sekerlijcke,"
Onbekend,3.,24,die ixe coninck van Vranckerijcke.
Onbekend,4.,25,"Vuijt Troijen geboren, wij lesen dus,"
Onbekend,4.,26,daer dierste coninck aff hiet Priamus.
Onbekend,4.,27,"Dese Angijs, dese heere groot,"
Onbekend,4.,28,"bleeff in eenen strijde doot,"
Onbekend,4.,29,"alsmen screeff Ons Heeren jaer,"
Onbekend,4.,30,"VIc LXXXV, dat es waer."
Onbekend,4.,31,xxxviii jaer met groote eeren
Onbekend,4.,32,regneerde hij in Brabant als een heere.
Onbekend,5.,33,"Puppijn van Haerstalle, sone Angijs,"
Onbekend,5.,34,"wert hertoge van Brabant, des sijt wijs;"
Onbekend,5.,55,raet ende sweertdragere soo was hij
Onbekend,5.,36,in Vranckerijcke dese heere vrij;
Onbekend,5.,37,hij maecte kersten die Vriesen.
Onbekend,5.,38,Den doot moeste hij kiesen
Onbekend,5.,39,"alsmen screeff VIIc. XIIII, ick lese;"
Onbekend,5.,40,xxix jaer regneerde deze.
Onbekend,6.,41,"Kaerle Marteel, Puppijns sone,"
Onbekend,6.,42,"wert hertoge, dat hem was schoone;"
Onbekend,6.,43,"bescherme van Vranckerijck datmen hem coes,"
Onbekend,6.,44,die noijt seghe en verloes.
Onbekend,6.,45,Int jaer Ons Heeren es hij doot bleven
Onbekend,6.,46,alsmen VIIc ende XL vant bescreven;
Onbekend,6.,47,"te Sinte-Denijs dat hij leghet,"
Onbekend,6.,48,"xxvi jaer regneerde hij, alsmen seget."
Onbekend,7.,49,Hertoge wert de cleijne Puppijn
Onbekend,7.,50,"naer Kaerel Marteel, den vader zijn,"
Onbekend,7.,51,"als coninck in Vranckerijck, dat es waer."
Onbekend,7.,52,"Doen hij hertoge hadde geweest x jaer,"
Onbekend,7.,53,int jaer Ons Heeren hij doot bleeff
Onbekend,7.,54,"alsmen VIIc LXIX screeff,"
Onbekend,7.,55,ende leet begraven te Sinte-Denijs;
Onbekend,7.,56,"xxix jaer regneerde hij, des sijt wijs."
Onbekend,8.,57,"Kaerel die Groote wert hertoge,"
Onbekend,8.,58,coninck ende keijser hooghe;
Onbekend,8.,59,"Swavien reij hem, ende Almaignien"
Onbekend,8.,60,"dwanck hij, ende wan II werff Spaegnien."
Onbekend,8.,61,Hij sterff in dat jaer Ons Heeren
Onbekend,8.,62,VIIIc. XV met grooter eeren.
Onbekend,8.,63,tAken hij begraven was;
Onbekend,8.,64,"hij regneerde xlvii jaer, als ick las."
Onbekend,9.,65,"Lodewijck die Goedertierne wert coninck,"
Onbekend,9.,66,"keijser ende hertoghe, dats waere dinck;"
Onbekend,9.,67,"de kercken was hij onderdaen,"
Onbekend,9.,68,sijn kinderen wouden hem vaen.
Onbekend,9.,69,Int jaer ons Heeren sterff hij
Onbekend,9.,70,VIIIc ende XLII daer bij.
Onbekend,9.,71,Te Ments men tsijnen grave werde;
Onbekend,9.,72,xxvi jaer hij regneerde.
Onbekend,10.,73,Caerel die Calue coninck wert
Onbekend,10.,74,ende hertoghe; hij was wel hert
Onbekend,10.,75,"sinen brueders, dat es waer."
Onbekend,10.,76,Vore sijn doot was hij kersten ii jaer;
Onbekend,10.,77,int jaer Ons Heeren sterff hij te Nantes
Onbekend,10.,78,"VIIIc LXXII, gelooft mij des;"
Onbekend,10.,79,xxx jaer regneerde hij sij u bekant;
Onbekend,10.,80,hij maeckte den iersten grave in Hollant.
