author,chapter,line,text
Heraut Beyeren,Onbekend Hoofdstuk,1,"Hets goet spreken van den vroeden,"
Heraut Beyeren,Onbekend Hoofdstuk,2,"Van den vromen end' van den goeden,"
Heraut Beyeren,Onbekend Hoofdstuk,3,Die hem voirmaels zeetten ter eren;
Heraut Beyeren,Onbekend Hoofdstuk,4,Ooc men macher an leren
Heraut Beyeren,Onbekend Hoofdstuk,5,Veel duechden ende wiisheiden
Heraut Beyeren,Onbekend Hoofdstuk,6,Diere siin leven na wil leiden.
Heraut Beyeren,Onbekend Hoofdstuk,7,Daer bi wil ic v nv seggen
Heraut Beyeren,Onbekend Hoofdstuk,8,In corten woirden vut leggen
Heraut Beyeren,Onbekend Hoofdstuk,9,"Van den besten prinsen waerliic,"
Heraut Beyeren,Onbekend Hoofdstuk,10,"Die ye quamen in aerdriic,"
Heraut Beyeren,Onbekend Hoofdstuk,11,Daer die edelen hertogen fiin
Heraut Beyeren,Onbekend Hoofdstuk,12,Van Braband af comen siin.
Heraut Beyeren,Onbekend Hoofdstuk,13,"Mi wondert wat hem ginc ane,"
Heraut Beyeren,Onbekend Hoofdstuk,14,Die den zage van den zwane
Heraut Beyeren,Onbekend Hoofdstuk,15,Visierde ende brachte voirt;
Heraut Beyeren,Onbekend Hoofdstuk,16,Want het en was nye gehoirt
Heraut Beyeren,Onbekend Hoofdstuk,17,Dat een zwane mocht mensce wesen.
Heraut Beyeren,Onbekend Hoofdstuk,18,Alle die gene die dit lesen
Heraut Beyeren,Onbekend Hoofdstuk,19,"Ende dichten quade truffen,"
Heraut Beyeren,Onbekend Hoofdstuk,20,"Daer si tfolc mede versuffen,"
Heraut Beyeren,Onbekend Hoofdstuk,21,Doen daer an zonde groot.
Heraut Beyeren,Onbekend Hoofdstuk,22,Nu hoirt hier al bloot
Heraut Beyeren,Onbekend Hoofdstuk,23,Die corte croniken te hant
Heraut Beyeren,Onbekend Hoofdstuk,24,"Vanden prinsen van Brabant,"
Heraut Beyeren,Onbekend Hoofdstuk,25,"Hoe si hieten ende wie si waren,"
Heraut Beyeren,Onbekend Hoofdstuk,26,"In viif ende twintich hondert jaren,"
Heraut Beyeren,Onbekend Hoofdstuk,27,"Tot op desen derden Janne,"
Heraut Beyeren,Onbekend Hoofdstuk,28,Die nv eerst es comen te manne.
Heraut Beyeren,Onbekend Hoofdstuk,29,God ons here moet hem gheven
Heraut Beyeren,Onbekend Hoofdstuk,30,"Wiisheit ende lange leven,"
Heraut Beyeren,Onbekend Hoofdstuk,31,"Gheluc, ere ende victorie"
Heraut Beyeren,Onbekend Hoofdstuk,32,Ende daer na die ewige glorie.
Heraut Beyeren,Onbekend Hoofdstuk,33,Amen zegt met zoeten sinne
Heraut Beyeren,Onbekend Hoofdstuk,34,Ende hoirt hier an ic beghinne.
Heraut Beyeren,Onbekend Hoofdstuk,35,Eerst zo hoirt van den Vrancken.
Heraut Beyeren,Onbekend Hoofdstuk,36,Doe dat riic begonde crancken.
Heraut Beyeren,Onbekend Hoofdstuk,37,"Als die spieghel v besciet,"
Heraut Beyeren,Onbekend Hoofdstuk,38,Dat edel fransoissche diet
Heraut Beyeren,Onbekend Hoofdstuk,39,"Dat es Vut Trogen geboren,"
Heraut Beyeren,Onbekend Hoofdstuk,40,"Alsment mach bescreven horen,"
Heraut Beyeren,Onbekend Hoofdstuk,41,Want doe Trogen met gewelt
Heraut Beyeren,Onbekend Hoofdstuk,42,"Gedestrueert wart ende gevelt,"
Heraut Beyeren,Onbekend Hoofdstuk,43,Daer hem die Griecken mede wraken
Heraut Beyeren,Onbekend Hoofdstuk,44,"Doir Helena dat siit ontscaken,"
Heraut Beyeren,Onbekend Hoofdstuk,45,"Ende dat dus ende nam,"
Heraut Beyeren,Onbekend Hoofdstuk,46,"Was na die geboirte van Abram,"
Heraut Beyeren,Onbekend Hoofdstuk,47,"Daer die derde Etaet in ghinc,"
Heraut Beyeren,Onbekend Hoofdstuk,48,Negen hondert iaer in ware dinc
Heraut Beyeren,Onbekend Hoofdstuk,49,"Ende xlvi, als wiid horen."
Heraut Beyeren,Onbekend Hoofdstuk,50,Eer dat xpc. ward geboren
Heraut Beyeren,Onbekend Hoofdstuk,51,So wast elf hondert jair
Heraut Beyeren,Onbekend Hoofdstuk,52,"Ende neghen ende tsestich, dat is waer,"
Heraut Beyeren,Onbekend Hoofdstuk,53,"Als die historien ons geven,"
Heraut Beyeren,Onbekend Hoofdstuk,54,Die de tiden hebben bescreven
Heraut Beyeren,Onbekend Hoofdstuk,55,"Ende Trogen stont, dat is waer,"
Heraut Beyeren,Onbekend Hoofdstuk,56,Hondert ende lxxxv jaer;
Heraut Beyeren,Onbekend Hoofdstuk,57,So vloon dair vut waerliic
Heraut Beyeren,Onbekend Hoofdstuk,58,"Die beste baroene van aerdriic,"
Heraut Beyeren,Onbekend Hoofdstuk,59,"Hectors geslachte des heren groot,"
Heraut Beyeren,Onbekend Hoofdstuk,60,Nye en vand men siins ghenoot.
Heraut Beyeren,Onbekend Hoofdstuk,61,"Dees edel geslachten, dees Trogiene"
Heraut Beyeren,Onbekend Hoofdstuk,62,Begonden hem streyen ente vliene.
Heraut Beyeren,Onbekend Hoofdstuk,63,"Eneas, die van Trogen ontginc,"
Heraut Beyeren,Onbekend Hoofdstuk,64,"Quam ter Tyber, dats waer dinc,"
Heraut Beyeren,Onbekend Hoofdstuk,65,"Selc zeit iij jaer, zelc achte,"
Heraut Beyeren,Onbekend Hoofdstuk,66,"Na dat Trogen vel met machte,"
Heraut Beyeren,Onbekend Hoofdstuk,67,Ende wart daer kueninc van Latine
Heraut Beyeren,Onbekend Hoofdstuk,68,"Met siinre dochter lauine,"
Heraut Beyeren,Onbekend Hoofdstuk,69,Waer tevoren hadde ghewesen
Heraut Beyeren,Onbekend Hoofdstuk,70,"Janus kueninck, als wiit lesen,"
Heraut Beyeren,Onbekend Hoofdstuk,71,Ende lande eerst an Ytale
Heraut Beyeren,Onbekend Hoofdstuk,72,"Daer Rome af quam, weetmen wale."
Heraut Beyeren,Onbekend Hoofdstuk,73,Ende xijm waerre in porre
Heraut Beyeren,Onbekend Hoofdstuk,74,In die vlucht met Anthenorre;
Heraut Beyeren,Onbekend Hoofdstuk,75,Te Vinegen lande hi ende te Padou
Heraut Beyeren,Onbekend Hoofdstuk,76,Daer leecht hi dees heer ontrou.
Heraut Beyeren,Onbekend Hoofdstuk,77,Hectors zoon Fransioen
Heraut Beyeren,Onbekend Hoofdstuk,78,Quam in die Dunou an gevloen
Heraut Beyeren,Onbekend Hoofdstuk,79,"Metten sinen, daer Ongeren end"
Heraut Beyeren,Onbekend Hoofdstuk,80,"Optie maertse, dus ist bekend,"
Heraut Beyeren,Onbekend Hoofdstuk,81,"Die men heit Meothides,"
Heraut Beyeren,Onbekend Hoofdstuk,82,Ende droegen over een daer des
Heraut Beyeren,Onbekend Hoofdstuk,83,"Dat si daer maecten ene stede,"
Heraut Beyeren,Onbekend Hoofdstuk,84,Die men Sycambren heiten deden
Heraut Beyeren,Onbekend Hoofdstuk,85,"Ten eersten hiet mense Trogiene,"
Heraut Beyeren,Onbekend Hoofdstuk,86,"Ende daer na Fransiene,"
Heraut Beyeren,Onbekend Hoofdstuk,87,Ende doe Sycambriene daer naer.
Heraut Beyeren,Onbekend Hoofdstuk,88,Dit was xv hondert jaer
Heraut Beyeren,Onbekend Hoofdstuk,89,Eer si besaten Vranckelant
Heraut Beyeren,Onbekend Hoofdstuk,90,Of eer si Vrancken waren genant.
Heraut Beyeren,Onbekend Hoofdstuk,91,Binnen desen tiden dees Trogiene
Heraut Beyeren,Onbekend Hoofdstuk,92,"Quamen in menigen gesciene,"
Heraut Beyeren,Onbekend Hoofdstuk,93,Ende daden dicke met ouerdaden
Heraut Beyeren,Onbekend Hoofdstuk,94,"Den Romeynen zwaren scaden,"
Heraut Beyeren,Onbekend Hoofdstuk,95,So dat sise dicke aen streden
Heraut Beyeren,Onbekend Hoofdstuk,96,"Toten Rine met mogentheden,"
Heraut Beyeren,Onbekend Hoofdstuk,97,So dat des groots Constantiins zone
Heraut Beyeren,Onbekend Hoofdstuk,98,Op hem street ende was die gone
Heraut Beyeren,Onbekend Hoofdstuk,99,Diese doch an horen dank
Heraut Beyeren,Onbekend Hoofdstuk,100,"Aen die roomsche wet bedwanck,"
Heraut Beyeren,Onbekend Hoofdstuk,101,Dat was die keiser Constant.
Heraut Beyeren,Onbekend Hoofdstuk,102,Daer na quamen in dat lant
Heraut Beyeren,Onbekend Hoofdstuk,103,"Die Alane, hebben wi verstaen,"
Heraut Beyeren,Onbekend Hoofdstuk,104,Doe die eerste Valentiniaen
Heraut Beyeren,Onbekend Hoofdstuk,105,"Keiser was int roomsche rike,"
Heraut Beyeren,Onbekend Hoofdstuk,106,Ende daden hem scade grotelike.
Heraut Beyeren,Onbekend Hoofdstuk,107,Doe geboot hi die Sicambriene vut
Heraut Beyeren,Onbekend Hoofdstuk,108,Ende verliet hem horen tribuut
Heraut Beyeren,Onbekend Hoofdstuk,109,"Tien jaer, bewonden si hem des"
Heraut Beyeren,Onbekend Hoofdstuk,110,Dat si die maertse Meothides
Heraut Beyeren,Onbekend Hoofdstuk,111,Suverden ende verdreven dane
Heraut Beyeren,Onbekend Hoofdstuk,112,"Die roomsche viande, die Alane."
Heraut Beyeren,Onbekend Hoofdstuk,113,Aldus des volcs een pertie
Heraut Beyeren,Onbekend Hoofdstuk,114,"Wonende es bleven in Ongerie,"
Heraut Beyeren,Onbekend Hoofdstuk,115,"Beide met kindren ende met wiven,"
Heraut Beyeren,Onbekend Hoofdstuk,116,"Als die daer wonende wouden bliven,"
Heraut Beyeren,Onbekend Hoofdstuk,117,Ende bleven daer wonende voirt
Heraut Beyeren,Onbekend Hoofdstuk,118,Tot na xpc. gheboirt
Heraut Beyeren,Onbekend Hoofdstuk,119,Omtrent viertien hondert jaer.
Heraut Beyeren,Onbekend Hoofdstuk,120,Ende om dat hem was te swaer
Heraut Beyeren,Onbekend Hoofdstuk,121,"Die keiser voirscr. Valentiniaen,"
Heraut Beyeren,Onbekend Hoofdstuk,122,"Daer si jegen hadden misdaen,"
Heraut Beyeren,Onbekend Hoofdstuk,123,"So rwmden si Ongherien,"
Heraut Beyeren,Onbekend Hoofdstuk,124,Ende quamen met horen pertien
Heraut Beyeren,Onbekend Hoofdstuk,125,Ende besaten alle die termine
Heraut Beyeren,Onbekend Hoofdstuk,126,Tusschen der Dunouwen enten Rine.
Heraut Beyeren,Onbekend Hoofdstuk,127,"Tien tiden hadden si enen hooftman,"
Heraut Beyeren,Onbekend Hoofdstuk,128,"Die geheiten was Prian,"
Heraut Beyeren,Onbekend Hoofdstuk,129,"Met hem traken si over die broecke,"
Heraut Beyeren,Onbekend Hoofdstuk,130,Ende daden zo zwaer zoecke
Heraut Beyeren,Onbekend Hoofdstuk,131,"Optie Alane, dat sise verdreven,"
Heraut Beyeren,Onbekend Hoofdstuk,132,Ende namer menich tleven
Heraut Beyeren,Onbekend Hoofdstuk,133,Des dancte hem Valentiniaen
Heraut Beyeren,Onbekend Hoofdstuk,134,Ende hietse Vrancken hetten zaen
Heraut Beyeren,Onbekend Hoofdstuk,135,Die eerst hieten Sicambriene
Heraut Beyeren,Onbekend Hoofdstuk,136,Athenorriene of Trogiene.
Heraut Beyeren,Onbekend Hoofdstuk,137,Ende daer maecken si aldus
Heraut Beyeren,Onbekend Hoofdstuk,138,"Enen kueninc, hiet Priamus,"
Heraut Beyeren,Onbekend Hoofdstuk,139,"Vroom, rike ende van machte,"
Heraut Beyeren,Onbekend Hoofdstuk,140,Ghecomen van Hectors geslachte.
Heraut Beyeren,Onbekend Hoofdstuk,141,Ende doe wart der Vrancken here
Heraut Beyeren,Onbekend Hoofdstuk,142,"Dees Priamus met groter ere,"
Heraut Beyeren,Onbekend Hoofdstuk,143,Ja van des ouden Priams natioene
Heraut Beyeren,Onbekend Hoofdstuk,144,Die van Hector bi Francioene
Heraut Beyeren,Onbekend Hoofdstuk,145,"Van rechter gheboirte quam,"
Heraut Beyeren,Onbekend Hoofdstuk,146,Alsment in der yeeste vernam.
Heraut Beyeren,Onbekend Hoofdstuk,147,Wie begonnen die Croniken
Heraut Beyeren,Onbekend Hoofdstuk,148,"Van der cronen van Vrancriken,"
Heraut Beyeren,Onbekend Hoofdstuk,149,"Onder den keiser Graciaen,"
Heraut Beyeren,Onbekend Hoofdstuk,150,Dies vader was Valentiniaen.
Heraut Beyeren,Onbekend Hoofdstuk,151,Die keiser wart met sinen broeder
Heraut Beyeren,Onbekend Hoofdstuk,152,"Valentiniaen, na dat die moeder"
Heraut Beyeren,Onbekend Hoofdstuk,153,Maria droech den Here almachtich
Heraut Beyeren,Onbekend Hoofdstuk,154,Drie hondert een jaer ende tachtich.
Heraut Beyeren,Onbekend Hoofdstuk,155,Ende doe was der Vrancken here
Heraut Beyeren,Onbekend Hoofdstuk,156,Priamus met groter ere.
Heraut Beyeren,Onbekend Hoofdstuk,157,"Dees Priam na dien x jare,"
Heraut Beyeren,Onbekend Hoofdstuk,158,"Dat hi was van tribute clare,"
Heraut Beyeren,Onbekend Hoofdstuk,159,"Om dat hi die Alane verdreef,"
Heraut Beyeren,Onbekend Hoofdstuk,160,"Als ic hier tevoren screef,"
Heraut Beyeren,Onbekend Hoofdstuk,161,En wilde hi nemeer tribuut geven;
Heraut Beyeren,Onbekend Hoofdstuk,162,Daer om wart hi tlans verdreven
Heraut Beyeren,Onbekend Hoofdstuk,163,Van den Romeynen met groter were.
Heraut Beyeren,Onbekend Hoofdstuk,164,Doe quam hi met sinen here
Heraut Beyeren,Onbekend Hoofdstuk,165,"Ten Rine waert, ende besat"
Heraut Beyeren,Onbekend Hoofdstuk,166,"Beide lant, burghe ende stat,"
Heraut Beyeren,Onbekend Hoofdstuk,167,Dat nv heit Vranckelant.
Heraut Beyeren,Onbekend Hoofdstuk,168,Dus ist na den Vrancken genant.
Heraut Beyeren,Onbekend Hoofdstuk,169,Ende besat alle die termine
Heraut Beyeren,Onbekend Hoofdstuk,170,Tusschen der Dunouwe enten Rine
Heraut Beyeren,Onbekend Hoofdstuk,171,"Viif jaer was dees Priam here,"
Heraut Beyeren,Onbekend Hoofdstuk,172,Ende starf inder werelt ere.
Heraut Beyeren,Onbekend Hoofdstuk,173,Priam dees kueninc liet
Heraut Beyeren,Onbekend Hoofdstuk,174,"Enen soon, die Mercomeris hiet."
Heraut Beyeren,Onbekend Hoofdstuk,175,Drie ende dertich jaer met gewelt
Heraut Beyeren,Onbekend Hoofdstuk,176,Trike na den vader helt.
Heraut Beyeren,Onbekend Hoofdstuk,177,Merct dat men hier over liit
Heraut Beyeren,Onbekend Hoofdstuk,178,Hoir oirloghe ende horen striit.
Heraut Beyeren,Onbekend Hoofdstuk,179,"Die wil weten die historien lanc,"
Heraut Beyeren,Onbekend Hoofdstuk,180,"Hi doe toten yeesten hoir ganc,"
Heraut Beyeren,Onbekend Hoofdstuk,181,"Ten groten boecken, die hoir leven"
Heraut Beyeren,Onbekend Hoofdstuk,182,Met goeder moeten hebben bescreven.
Heraut Beyeren,Onbekend Hoofdstuk,183,Hier muechdi horen een cort waer.
Heraut Beyeren,Onbekend Hoofdstuk,184,Al wairt mi te lanc ende te zwaer
Heraut Beyeren,Onbekend Hoofdstuk,185,"Te bescriven hoir yeesten,"
Heraut Beyeren,Onbekend Hoofdstuk,186,Hoir oirloghen ende hoir feesten.
Heraut Beyeren,Onbekend Hoofdstuk,187,"Hi lese Vincent den Jacoppiin,"
