author,chapter,line,text
Onbekend,"EEN ABEL SPEL VAN LANSELOET VAN DENEMERKEN, HOE HI WERT MINNENDE ENE JONCFROU, DIE MET SIJNDER MOEDER DIENDE. ENDE ENE SOTTERNIE NA VOLGHENDE.",1,Ic bidde gode vanden trone
Onbekend,"EEN ABEL SPEL VAN LANSELOET VAN DENEMERKEN, HOE HI WERT MINNENDE ENE JONCFROU, DIE MET SIJNDER MOEDER DIENDE. ENDE ENE SOTTERNIE NA VOLGHENDE.",2,"En Maria, die maghet scone,"
Onbekend,"EEN ABEL SPEL VAN LANSELOET VAN DENEMERKEN, HOE HI WERT MINNENDE ENE JONCFROU, DIE MET SIJNDER MOEDER DIENDE. ENDE ENE SOTTERNIE NA VOLGHENDE.",3,Dat si ons allen wille bewaren
Onbekend,"EEN ABEL SPEL VAN LANSELOET VAN DENEMERKEN, HOE HI WERT MINNENDE ENE JONCFROU, DIE MET SIJNDER MOEDER DIENDE. ENDE ENE SOTTERNIE NA VOLGHENDE.",4,"Ende in doghden alsoe ghesparen,"
Onbekend,"EEN ABEL SPEL VAN LANSELOET VAN DENEMERKEN, HOE HI WERT MINNENDE ENE JONCFROU, DIE MET SIJNDER MOEDER DIENDE. ENDE ENE SOTTERNIE NA VOLGHENDE.",5,Dat wi hemelrike ghewinnen;
Onbekend,"EEN ABEL SPEL VAN LANSELOET VAN DENEMERKEN, HOE HI WERT MINNENDE ENE JONCFROU, DIE MET SIJNDER MOEDER DIENDE. ENDE ENE SOTTERNIE NA VOLGHENDE.",6,"Dies biddic Mariën, der coninghinnen,"
Onbekend,"EEN ABEL SPEL VAN LANSELOET VAN DENEMERKEN, HOE HI WERT MINNENDE ENE JONCFROU, DIE MET SIJNDER MOEDER DIENDE. ENDE ENE SOTTERNIE NA VOLGHENDE.",7,Die een vrouwe es boven al.
Onbekend,"EEN ABEL SPEL VAN LANSELOET VAN DENEMERKEN, HOE HI WERT MINNENDE ENE JONCFROU, DIE MET SIJNDER MOEDER DIENDE. ENDE ENE SOTTERNIE NA VOLGHENDE.",8,"Nu hoert, wat men u spelen sal."
Onbekend,"EEN ABEL SPEL VAN LANSELOET VAN DENEMERKEN, HOE HI WERT MINNENDE ENE JONCFROU, DIE MET SIJNDER MOEDER DIENDE. ENDE ENE SOTTERNIE NA VOLGHENDE.",9,"Hets van enen ridder prinsipael,"
Onbekend,"EEN ABEL SPEL VAN LANSELOET VAN DENEMERKEN, HOE HI WERT MINNENDE ENE JONCFROU, DIE MET SIJNDER MOEDER DIENDE. ENDE ENE SOTTERNIE NA VOLGHENDE.",10,"Die minde ene joncfrou noyael,"
