author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,Sijn name was merlijn
Onbekend,Onbekend Hoofdstuk,2,Dar ghi of [h]ebt ghehort algad[er]
Onbekend,Onbekend Hoofdstuk,3,Achter sinen ouder vader
Onbekend,Onbekend Hoofdstuk,4,¶ Alst so v[ort] was gheuaren
Onbekend,Onbekend Hoofdstuk,5,Dat mer[lij]n quam te .xij. iaren
Onbekend,Onbekend Hoofdstuk,6,Begonde [h]i slachten ende tieren
Onbekend,Onbekend Hoofdstuk,7,Na sijns vader manieren
Onbekend,Onbekend Hoofdstuk,8,Ende .i. deel na siere moeder
Onbekend,Onbekend Hoofdstuk,9,Hi was wiser ende vroeder
Onbekend,Onbekend Hoofdstuk,10,Van allen dinghen die souden ghescien
Onbekend,Onbekend Hoofdstuk,11,Dan iemen diemen hadde ghesien
Onbekend,Onbekend Hoofdstuk,12,Ende oec in [al] sijn doen
Onbekend,Onbekend Hoofdstuk,13,Men voerden den coninc vterpandragoen
Onbekend,Onbekend Hoofdstuk,14,[E]nde al[st] quam dar naer
Onbekend,Onbekend Hoofdstuk,15,Jnne weet ouer hoe menech iaer
Onbekend,Onbekend Hoofdstuk,16,Dat die hertoghe starf
Onbekend,Onbekend Hoofdstuk,17,Tintageel ende bedarf
Onbekend,Onbekend Hoofdstuk,18,Bi verranesse van vterpandragoene
Onbekend,Onbekend Hoofdstuk,19,Ende bi merlins doene
Onbekend,Onbekend Hoofdstuk,20,¶ Om dat yguerne die coninghinne
Onbekend,Onbekend Hoofdstuk,21,Droech vterpandragoens minne
Onbekend,Onbekend Hoofdstuk,22,Doe ghinc hem merlin bekeren
Onbekend,Onbekend Hoofdstuk,23,Darmen vele an mochte leren
Onbekend,Onbekend Hoofdstuk,24,Jnt foreest ende in den wouden
Onbekend,Onbekend Hoofdstuk,25,Dar in ghinc hi hem onthouden
Onbekend,Onbekend Hoofdstuk,26,Hi was bedriegher ende loos
Onbekend,Onbekend Hoofdstuk,27,Dat was sine zede altoos
Onbekend,Onbekend Hoofdstuk,28,Want sine nature keerde algader
Onbekend,Onbekend Hoofdstuk,29,Na den duuel sinen vader
Onbekend,Onbekend Hoofdstuk,30,Ende hi conste meer liste
Onbekend,Onbekend Hoofdstuk,31,Dan enech man doe wiste
Onbekend,Onbekend Hoofdstuk,32,Mar hi was loos ende onghetrowe
Onbekend,Onbekend Hoofdstuk,33,¶ Jn clene bartanien was .i. ioncfrowe
Onbekend,Onbekend Hoofdstuk,34,Die ymeine was ghenant
Onbekend,Onbekend Hoofdstuk,35,En was ghene scoenre int lant
Onbekend,Onbekend Hoofdstuk,36,Si minde zere merline
Onbekend,Onbekend Hoofdstuk,37,Ende hi hare dat was anschine
Onbekend,Onbekend Hoofdstuk,38,Dicke wile quam hi te hare
Onbekend,Onbekend Hoofdstuk,39,Ende nam hars goeden ware
Onbekend,Onbekend Hoofdstuk,40,Beide bi daghe ende bi nachte
Onbekend,Onbekend Hoofdstuk,41,Ende si hilt hare wel in die wachte
Onbekend,Onbekend Hoofdstuk,42,¶ Ende si vraghede hem wi hi ware
Onbekend,Onbekend Hoofdstuk,43,Ende merlijn seidet hare
Onbekend,Onbekend Hoofdstuk,44,[Doe] seide die ioncfrou dat si soude
Onbekend,Onbekend Hoofdstuk,45,[Doen al] da[t] hi woude
Onbekend,Onbekend Hoofdstuk,46,[I]n dien dat hi hare vroet make
Onbekend,Onbekend Hoofdstuk,47,Van ere dinc van ere sake
Onbekend,Onbekend Hoofdstuk,48,Ende wise van siere behendichede
Onbekend,Onbekend Hoofdstuk,49,Merlijn diet gherne dede
Onbekend,Onbekend Hoofdstuk,50,Want hi die ioncfrowe minde
Onbekend,Onbekend Hoofdstuk,51,So dat hem dochte dat hi ontsinde
Onbekend,Onbekend Hoofdstuk,52,¶ Wat wildi dat ic v wise dan
Onbekend,Onbekend Hoofdstuk,53,Sprac merlin die uele can
Onbekend,Onbekend Hoofdstuk,54,¶ Jc segt v sprac die ioncfrowe
Onbekend,Onbekend Hoofdstuk,55,Wat ic v bidde op trouwe
Onbekend,Onbekend Hoofdstuk,56,Dat ghi mi wijst die waerhede
Onbekend,Onbekend Hoofdstuk,57,Hoe men mach sluten ene stede
Onbekend,Onbekend Hoofdstuk,58,Met worden die hebben sulke cracht
Onbekend,Onbekend Hoofdstuk,59,Sonder slotel ende ander macht
Onbekend,Onbekend Hoofdstuk,60,Datse niemen ontsluten moghe
Onbekend,Onbekend Hoofdstuk,61,Sonder die gone diere toe doghe
Onbekend,Onbekend Hoofdstuk,62,Ende die de selue wort can
Onbekend,Onbekend Hoofdstuk,63,Js het wijf ofte man
Onbekend,Onbekend Hoofdstuk,64,Ende hoemen mach beduellen
Onbekend,Onbekend Hoofdstuk,65,Enen man ende met slape uellen
Onbekend,Onbekend Hoofdstuk,66,Dat hi ontwaken niene mach
Onbekend,Onbekend Hoofdstuk,67,No ouer nacht no ouer dach
Onbekend,Onbekend Hoofdstuk,68,Toter wilen dat ment ondoet
Onbekend,Onbekend Hoofdstuk,69,Des moeti mi maken vroet
Onbekend,Onbekend Hoofdstuk,70,Ende hoe wildi weten dat
Onbekend,Onbekend Hoofdstuk,71,Sprac merlin dar hi sat
Onbekend,Onbekend Hoofdstuk,72,Minne seit si ic segt v algader
Onbekend,Onbekend Hoofdstuk,73,Jc wilt doen dur minen vader
Onbekend,Onbekend Hoofdstuk,74,Gheuielt dat ic vwen wille dade
Onbekend,Onbekend Hoofdstuk,75,Weder vroe ofte spade
Onbekend,Onbekend Hoofdstuk,76,Ent dan mijn vader wiste
Onbekend,Onbekend Hoofdstuk,77,Bi enegherande liste
Onbekend,Onbekend Hoofdstuk,78,Hi soude mi scire nemen tleuen
Onbekend,Onbekend Hoofdstuk,79,Bidien moet di mi raet gheuen
Onbekend,Onbekend Hoofdstuk,80,Hoe dat ics mi mach verweren
Onbekend,Onbekend Hoofdstuk,81,Ende scuwen het mochte mi deren
Onbekend,Onbekend Hoofdstuk,82,Ende nemet wel ware des
