author,chapter,line,text
Jacob van Maerlant(?),Onbekend Hoofdstuk,1,[Adamas ...]
Jacob van Maerlant(?),Onbekend Hoofdstuk,2,[...]
Jacob van Maerlant(?),Onbekend Hoofdstuk,3,Ic seg v hoe hi ghedaen is:
Jacob van Maerlant(?),Onbekend Hoofdstuk,4,Alse roest dat ant yser leghet.
Jacob van Maerlant(?),Onbekend Hoofdstuk,5,Hoer wat die boec van hem seghet:
Jacob van Maerlant(?),Onbekend Hoofdstuk,6,"Hi trecket yser mit sire cracht,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,5,"Ist in den daghe of in der nacht,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,8,"Emmer toghet hi die leytsterre,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,9,Doer al dat si van hem es so verre.
Jacob van Maerlant(?),Onbekend Hoofdstuk,10,"Dese steen is te touernyen goet,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,11,Hi gheuet den man craft ende moet
Jacob van Maerlant(?),Onbekend Hoofdstuk,10,"Jeghen sine viande; diene draghet,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,13,"Valsche drome hi veriaghet,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,14,"Hi verdriuet oec venijn,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,15,Ende toghet daer hi bi mach siin.
Jacob van Maerlant(?),Onbekend Hoofdstuk,16,"Dien de hersen verroert ter nywer mane,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,15,Dese steen is hem goet ane:
Jacob van Maerlant(?),Onbekend Hoofdstuk,18,Si werden te min verdullet;
Jacob van Maerlant(?),Onbekend Hoofdstuk,19,"Ende die des morghens siin veruullet,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,20,Dien is hi goet in allen tiden.
Jacob van Maerlant(?),Onbekend Hoofdstuk,21,Men sellen dreghen ter lufter siden.
Jacob van Maerlant(?),Onbekend Hoofdstuk,20,"Dese steen bediet die papen,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,23,"Beyde ridders ende knapen,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,24,"Porters, dorpers ende vrouwen"
Jacob van Maerlant(?),Onbekend Hoofdstuk,25,Dien den woerden best ghetrouwen
Jacob van Maerlant(?),Onbekend Hoofdstuk,26,"Ende an hem trecken, als die steen tyser,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,25,Ende maecse beter ende wiser.
Jacob van Maerlant(?),Onbekend Hoofdstuk,28,Bi hem bekent men die leytsterre
Jacob van Maerlant(?),Onbekend Hoofdstuk,29,"Dat is onse vrouwe, die alle w[er]re"
Jacob van Maerlant(?),Onbekend Hoofdstuk,30,Breket twischen gode enten man.
Jacob van Maerlant(?),Onbekend Hoofdstuk,31,"Diere mede toueren can,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,30,Hem es oec dese steen goet.
Jacob van Maerlant(?),Onbekend Hoofdstuk,33,"Die der papen raet wel doet,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,34,"Si leren hem sulke touernye,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,35,Dat hi die ziele den duuel onturie.
Jacob van Maerlant(?),Onbekend Hoofdstuk,36,Si gheuen ieghen den viant cracht.
Jacob van Maerlant(?),Onbekend Hoofdstuk,35,"Valsche drome ende haer macht,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,38,"Dat is die minne van ardschen goede,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,39,"Benemen si mit haeren goede,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,40,"Si toghen der zielen ghewin,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,41,Die in den sonden verwoet siin.
Jacob van Maerlant(?),Onbekend Hoofdstuk,40,Si siin goet in allen rade:
Jacob van Maerlant(?),Onbekend Hoofdstuk,43,Si brenghen daer hi vint ghenade.
Jacob van Maerlant(?),Onbekend Hoofdstuk,44,"Albestoen dat is .i. steen,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,45,Siin ghelike en es gheen;
Jacob van Maerlant(?),Onbekend Hoofdstuk,46,Hi es alse ysermale ghedaen.
Jacob van Maerlant(?),Onbekend Hoofdstuk,45,Teerste dat hi heuet vier ontfaen
Jacob van Maerlant(?),Onbekend Hoofdstuk,48,Sone macher dwesken water no wint
Jacob van Maerlant(?),Onbekend Hoofdstuk,49,No dinc ne gheen die men vint:
Jacob van Maerlant(?),Onbekend Hoofdstuk,50,Sonder eynde emmermeer
Jacob van Maerlant(?),Onbekend Hoofdstuk,51,Barnet hi al euen seer.
Jacob van Maerlant(?),Onbekend Hoofdstuk,50,In archadia is hi vonden
Jacob van Maerlant(?),Onbekend Hoofdstuk,53,Daer mense vint in allen stonden
Jacob van Maerlant(?),Onbekend Hoofdstuk,54,"Die meeste siin wit als die sne,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,55,Ende el nyewer vintmer me.
Jacob van Maerlant(?),Onbekend Hoofdstuk,56,"Dese steen, na minen sinne,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,55,Bediet die ghene die rechte minne
Jacob van Maerlant(?),Onbekend Hoofdstuk,58,"Hebben ghedaen in haren moet,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,59,"Dat si doer gheenrehande goet,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,60,"No doer steruen no doer leuen,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,61,Nemmermeer en willen begheuen.
Jacob van Maerlant(?),Onbekend Hoofdstuk,60,Amantos dat is .j. steen
Jacob van Maerlant(?),Onbekend Hoofdstuk,63,Sine ghedaen es cleen
Jacob van Maerlant(?),Onbekend Hoofdstuk,64,Ende van alune die ghedane.
Jacob van Maerlant(?),Onbekend Hoofdstuk,65,"In endi vintmen, als ic wane,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,66,Men bestrijcter mede .j. siden cleet
Jacob van Maerlant(?),Onbekend Hoofdstuk,65,"En es vier engheen so heet,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,68,"Datter yewer an mach winnen,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,69,Maer van buten ende van binnen
Jacob van Maerlant(?),Onbekend Hoofdstuk,70,"So wart hi recht also claer,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,71,Of hi van vier ontsteken waer.
Jacob van Maerlant(?),Onbekend Hoofdstuk,70,"Jeghen touernye is hi goet,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,73,Want hi den mensche daeraf behoet.
Jacob van Maerlant(?),Onbekend Hoofdstuk,74,Dese steen dinc mi meest
Jacob van Maerlant(?),Onbekend Hoofdstuk,75,Gheliken der ghiften die de heylighe gh[eest]
Jacob van Maerlant(?),Onbekend Hoofdstuk,76,"Sendet in des menschen herte,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,75,Want hi behoeten sonder smerte:
Jacob van Maerlant(?),Onbekend Hoofdstuk,78,"Al es hem thert onsteken binnen,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,79,"Dat vier en mach hem nyet winnen,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,80,Ende hi houten harde vrie
Jacob van Maerlant(?),Onbekend Hoofdstuk,81,Jeghens des duuels touernye.
Jacob van Maerlant(?),Onbekend Hoofdstuk,80,Allectorius dat is .i. steen
Jacob van Maerlant(?),Onbekend Hoofdstuk,83,Die wast in een capoens been
Jacob van Maerlant(?),Onbekend Hoofdstuk,84,"Maer somme boeken saghen,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,85,Dat hi leghet inder maghen
Jacob van Maerlant(?),Onbekend Hoofdstuk,86,A[l]so groet als .i. boen
Jacob van Maerlant(?),Onbekend Hoofdstuk,85,Wel na is hi also scoen
Jacob van Maerlant(?),Onbekend Hoofdstuk,88,"Ende gheverwet als .i. crist[ael],"
Jacob van Maerlant(?),Onbekend Hoofdstuk,89,Maer een deel droeuer ende vael.
Jacob van Maerlant(?),Onbekend Hoofdstuk,90,"Als die capoen is out drie iaer,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,91,Dan selmen mesten daer naer
Jacob van Maerlant(?),Onbekend Hoofdstuk,90,"Vier jaer, dan wart hi al"
Jacob van Maerlant(?),Onbekend Hoofdstuk,93,Volwassen dat hi wassen sal.
Jacob van Maerlant(?),Onbekend Hoofdstuk,94,"Die dien steen draghet in sijn mont,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,95,Hi stempt den dorst in alre stont.
Jacob van Maerlant(?),Onbekend Hoofdstuk,96,"Die steen is oec seghevri,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,95,"Ere ende vrede gheuet hi,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,98,Hi maket die liede vroet ende lief
Jacob van Maerlant(?),Onbekend Hoofdstuk,99,"Ende alremeest, seyt ons die brief,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,100,Versoent hi wijf ende man.
Jacob van Maerlant(?),Onbekend Hoofdstuk,101,"Maer dier hem wil keren an,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,100,"Moeten dreghen in alre stont,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,103,Als hi des gheert in sinen mont.
Jacob van Maerlant(?),Onbekend Hoofdstuk,104,"Allectorius bediet scone tale,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,105,Si voeghen elken mensche wale
Jacob van Maerlant(?),Onbekend Hoofdstuk,106,"Want diese dreghet in sinen mont,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,105,Hi verghet in menigher stont
Jacob van Maerlant(?),Onbekend Hoofdstuk,108,Den dorst van vele dorperhede.
Jacob van Maerlant(?),Onbekend Hoofdstuk,109,"Hi is seghevri in menighe stede,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,110,Want menich verwint wale
Jacob van Maerlant(?),Onbekend Hoofdstuk,111,Sinen viant mit soeter tale.
Jacob van Maerlant(?),Onbekend Hoofdstuk,110,[Daer] coemt of ere ende vrede
Jacob van Maerlant(?),Onbekend Hoofdstuk,113,[Va]n soeter tale in menigher stede.
Jacob van Maerlant(?),Onbekend Hoofdstuk,114,[Hi] ma[ect die] lude lief ende vroet
Jacob van Maerlant(?),Onbekend Hoofdstuk,115,[M]en seit dat allectorius doet.
Jacob van Maerlant(?),Onbekend Hoofdstuk,116,[Si] soenen die vrouwen ieghen den man
Jacob van Maerlant(?),Onbekend Hoofdstuk,115,[D]ie met scoenre tale can
Jacob van Maerlant(?),Onbekend Hoofdstuk,118,[...]e scone haer onsculde
Jacob van Maerlant(?),Onbekend Hoofdstuk,119,[D]icke verdienen si die hulde
Jacob van Maerlant(?),Onbekend Hoofdstuk,120,[D]ie si verdient had te voren
Jacob van Maerlant(?),Onbekend Hoofdstuk,121,[....] dorperheyt ende verloren.
Jacob van Maerlant(?),Onbekend Hoofdstuk,120,[A]bscincus dat es .i. steen
Jacob van Maerlant(?),Onbekend Hoofdstuk,123,"Swarter dan dinc ne gheen,"
Jacob van Maerlant(?),Onbekend Hoofdstuk,124,[M]it witten aderen cleyn als .i. haer.
