author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,[...]
Onbekend,Onbekend Hoofdstuk,2,[...]
Onbekend,Onbekend Hoofdstuk,3,Wrise ende oec wandelhede
Onbekend,Onbekend Hoofdstuk,4,Dar in vre grote heilechede
Onbekend,Onbekend Hoofdstuk,5,Wat ligdi hier in dese delle
Onbekend,Onbekend Hoofdstuk,6,Wildire af maken ene capelle
Onbekend,Onbekend Hoofdstuk,5,Om die liede te bedriegene
Onbekend,Onbekend Hoofdstuk,8,[...] gereet te vliegene
Onbekend,Onbekend Hoofdstuk,9,Alse dat vromen sal
Onbekend,Onbekend Hoofdstuk,10,[................] al
Onbekend,Onbekend Hoofdstuk,11,Wat gi hier legt al dus gescict
Onbekend,Onbekend Hoofdstuk,10,Het ware wat gi te doene mict
Onbekend,Onbekend Hoofdstuk,13,Anders dan dese liede verleiden
Onbekend,Onbekend Hoofdstuk,14,[.......] dar si seiden
Onbekend,Onbekend Hoofdstuk,15,[.......] heilech man wart
Onbekend,Onbekend Hoofdstuk,16,Die [...................]
Onbekend,Onbekend Hoofdstuk,15,Dese [..................]
Onbekend,Onbekend Hoofdstuk,18,Seide dat [.............]
Onbekend,Onbekend Hoofdstuk,19,Ende [..................]
Onbekend,Onbekend Hoofdstuk,20,Om te spreken [.........]
Onbekend,Onbekend Hoofdstuk,21,Die noch in sine [.......]
Onbekend,Onbekend Hoofdstuk,20,[...]
Onbekend,Onbekend Hoofdstuk,23,[...]
Onbekend,Onbekend Hoofdstuk,24,[...]
Onbekend,Onbekend Hoofdstuk,25,[...]
Onbekend,Onbekend Hoofdstuk,26,Maer die duuel [......]
Onbekend,Onbekend Hoofdstuk,25,[...]
Onbekend,Onbekend Hoofdstuk,28,[...]
Onbekend,Onbekend Hoofdstuk,29,[...]
Onbekend,Onbekend Hoofdstuk,30,[...]
Onbekend,Onbekend Hoofdstuk,31,[.......................] hi
Onbekend,Onbekend Hoofdstuk,30,[.....] mochte antworden bi
Onbekend,Onbekend Hoofdstuk,33,[.....] menech scalc wart
Onbekend,Onbekend Hoofdstuk,34,[.....] gods riddre [...]
Onbekend,Onbekend Hoofdstuk,35,[.........] al [......]
Onbekend,Onbekend Hoofdstuk,36,Ende liet hare [.......]
Onbekend,Onbekend Hoofdstuk,35,Ende dat [...] duuels vat
Onbekend,Onbekend Hoofdstuk,38,Hadde die tonge [......]
Onbekend,Onbekend Hoofdstuk,39,Om te [................]
Onbekend,Onbekend Hoofdstuk,40,Dat si gesw[...........]
