author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,Bi daghe bi nachte
Onbekend,Onbekend Hoofdstuk,2,"Weltijt dat vrede [....] was,"
Onbekend,Onbekend Hoofdstuk,3,"Soe hayde (?) hijt, sijt seker das,"
Onbekend,Onbekend Hoofdstuk,4,"Soe ic hebbe verstaen overwaer,"
Onbekend,Onbekend Hoofdstuk,5,In die martrie VII (XII?) jaer.
Onbekend,Onbekend Hoofdstuk,6,Die vrouwe en conste [weten] niet
Onbekend,Onbekend Hoofdstuk,7,"Van hem, des dogede si verdriet,"
Onbekend,Onbekend Hoofdstuk,8,"Weder hi soude behouden tleven,"
Onbekend,Onbekend Hoofdstuk,9,"Oft dat hi doot ware bleven,"
Onbekend,Onbekend Hoofdstuk,10,Dat en was der vrouwen niet cont.
Onbekend,Onbekend Hoofdstuk,11,"Doen geviel up enen stont,"
Onbekend,Onbekend Hoofdstuk,12,Dat die heyden wijch leiden
Onbekend,Onbekend Hoofdstuk,13,Jegen die kersten ander heiden
Onbekend,Onbekend Hoofdstuk,14,Te vechten op enen tijt.
Onbekend,Onbekend Hoofdstuk,15,Ende als die dach quam dattie strijt
Onbekend,Onbekend Hoofdstuk,16,"Wesen soude, na mijn verstaen,"
Onbekend,Onbekend Hoofdstuk,17,Doen geboet die heyden soudaen
Onbekend,Onbekend Hoofdstuk,18,"Op lijf op goet sinen lieden,"
Onbekend,Onbekend Hoofdstuk,19,Dat si alle gader spieden
Onbekend,Onbekend Hoofdstuk,20,Na den leitsman van den here
Onbekend,Onbekend Hoofdstuk,21,"Ende dat si pijnden met gere,"
Onbekend,Onbekend Hoofdstuk,22,Dat sine leverden gevaen;
Onbekend,Onbekend Hoofdstuk,23,Doe waren sijn consten (?) al gedaen.
Onbekend,Onbekend Hoofdstuk,24,[...............]
Onbekend,Onbekend Hoofdstuk,25,Soe dat sijn here moest faelgeren
Onbekend,Onbekend Hoofdstuk,25,Ende si vingen [se met] gewelt;
Onbekend,Onbekend Hoofdstuk,27,[Doen] bleven die kersten ongestelt (ongescelt (?))
Onbekend,Onbekend Hoofdstuk,28,Ende herde droeve utermaten
Onbekend,Onbekend Hoofdstuk,29,Ende elc vloe wech sijnre straten
Onbekend,Onbekend Hoofdstuk,30,"Ende die heyden voerden wech den here,"
Onbekend,Onbekend Hoofdstuk,30,Des droefdi uter maten sere.
Onbekend,Onbekend Hoofdstuk,32,"Doe leidemen wech, dats waer,"
