author,chapter,line,text
Onbekend,HIER BEGHINT DIE SOTTERNIE.,1,"Hem! segt, hem! god hebs al deel!"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,2,Ic wil gaen driven mijn riveel
Onbekend,HIER BEGHINT DIE SOTTERNIE.,3,Met minen suete lieve int gras.
Onbekend,HIER BEGHINT DIE SOTTERNIE.,4,Hets lanc leden dat ic met hem niet en was.
Onbekend,HIER BEGHINT DIE SOTTERNIE.,5,"Hem! segt, hem! waer sidi, Lippijn?"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,6,"Ic ben hier, wat saelt sijn?"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,7,"Lippijn, ghi moet gaen halen borre ende vier,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,8,Ende ic sal wedercomen scier
Onbekend,HIER BEGHINT DIE SOTTERNIE.,9,"Ende bringhen ons iet, dat wi selen eten."
Onbekend,HIER BEGHINT DIE SOTTERNIE.,10,"Bi der doot ons heren, ghi selet vergeten,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,11,Ghi pleeght soe dicwile lange te merren.
Onbekend,HIER BEGHINT DIE SOTTERNIE.,12,"Wat, Lippijn, ghi en moghet u niet erren,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,13,Want ic hebbe dicwile vele te doene:
Onbekend,HIER BEGHINT DIE SOTTERNIE.,14,"Eer ic ghehoere mine sermoene,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,15,"Soe vallet hoghe op den dach,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,16,"Ende eer ic ten vleeschuus comen mach,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,17,(Soe copic oec gherne goeden coep)
Onbekend,HIER BEGHINT DIE SOTTERNIE.,18,Dan so moetic beiden tot den loep
Onbekend,HIER BEGHINT DIE SOTTERNIE.,19,Es ghedaen vanden bedranghe;
Onbekend,HIER BEGHINT DIE SOTTERNIE.,20,"Alsoe comet toe, dat ic merre soe lange,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,21,"Goede Lippijn, ghi moetet al weten."
Onbekend,HIER BEGHINT DIE SOTTERNIE.,22,"Awarijt, ghi souwes mi vele ontmeten,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,23,Ende ic en weter wat toe segghen.
Onbekend,HIER BEGHINT DIE SOTTERNIE.,24,"Gaet henen, ic sal ons vier anleggen"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,25,"Ende halen borre ende scueren den pot,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,26,"Want alsoe moet mi hulpen god,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,27,Ic hebbe mi oeit te slaverniën geset.
Onbekend,HIER BEGHINT DIE SOTTERNIE.,28,"Goede Lippijn, wast die scotelen met"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,29,Ende kerijt ons den vloer scoene.
Onbekend,HIER BEGHINT DIE SOTTERNIE.,30,"Goeder, nu hoert, dat u god loene!"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,31,Ende mer daer bi niet. Al hebbic al mijn dage
Onbekend,HIER BEGHINT DIE SOTTERNIE.,32,"Gheweest uwe aerme slave,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,33,Mi dunct ic moetse noch sijn al mijn leven.
Onbekend,HIER BEGHINT DIE SOTTERNIE.,34,"Swijt, god moet u lachter geven;"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,35,"Dat ghi soe langhe leeft, dats mi leet."
Onbekend,HIER BEGHINT DIE SOTTERNIE.,36,En es dit niet een scoen besceet?
Onbekend,HIER BEGHINT DIE SOTTERNIE.,37,"Waer mach hi merren, mijns herten druut?"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,38,"Het geet hem al te galgen uut,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,39,Dat hi mi al dus te vondelinge set.
Onbekend,HIER BEGHINT DIE SOTTERNIE.,40,"Minnekijn, hets messelijc wat mi let."
Onbekend,HIER BEGHINT DIE SOTTERNIE.,41,Hebdi hier gheweest herde lange?
Onbekend,HIER BEGHINT DIE SOTTERNIE.,42,"Jaic, mijn herte es soe wranghe,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,43,Dat ic u soe langen niet en sach.
Onbekend,HIER BEGHINT DIE SOTTERNIE.,44,"Laet ons gaen drinken een goet gelach,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,45,"Mijn uutvercoren minnekijn,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,46,Wi selen noch tavont met vrouden sijn
Onbekend,HIER BEGHINT DIE SOTTERNIE.,47,Lichteleec. Nu comt hier naer!
Onbekend,HIER BEGHINT DIE SOTTERNIE.,48,"O wi, here, es dat waer?"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,49,"Bi gode, ic hebs genoech gesien,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,50,Want si leet metten bloeten knien
Onbekend,HIER BEGHINT DIE SOTTERNIE.,51,Ende hi esser tusschen gecropen;
Onbekend,HIER BEGHINT DIE SOTTERNIE.,52,"Bider doot ons heren, hi esser in geslopen."
Onbekend,HIER BEGHINT DIE SOTTERNIE.,53,"Siet met deser hoeren, ende geeft mi te verstane,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,54,"Dat si te messen pleght te gane,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,55,En leet en droeylt met enen anderen man
Onbekend,HIER BEGHINT DIE SOTTERNIE.,56,"Ende maect van mi enen pol, her Jan."
Onbekend,HIER BEGHINT DIE SOTTERNIE.,57,"Si seet, si gheet in tvleeschuus;"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,58,"Bi sente Jan, ic sal haer dit abuus"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,59,Noch tavont tongoede maken.
Onbekend,HIER BEGHINT DIE SOTTERNIE.,60,"Canic an enen stoc gheraken,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,61,"Ic sal haer touwen soe haer vel,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,62,"Dat haer rouwen sal dit spel,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,63,Dat si met hem heeft bedreven.
Onbekend,HIER BEGHINT DIE SOTTERNIE.,64,"Wat, Lippijn! god moet u goeden dach geven."
Onbekend,HIER BEGHINT DIE SOTTERNIE.,65,Hoe steet met u? hoe sidi te gemake?
Onbekend,HIER BEGHINT DIE SOTTERNIE.,66,"Ey, Trise! ic woude mi therte brake"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,67,Van groten rouwe die ic drive.
Onbekend,HIER BEGHINT DIE SOTTERNIE.,68,Ic en hadt nemmermeer minen wive
Onbekend,HIER BEGHINT DIE SOTTERNIE.,69,"Betrout, dat si mi heeft gedaen."
Onbekend,HIER BEGHINT DIE SOTTERNIE.,70,"Lippijn, nu doet mi verstaen,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,71,Hoe ende oec in wat manieren?
Onbekend,HIER BEGHINT DIE SOTTERNIE.,72,Dies ic mi eweleec moet scofieren:
Onbekend,HIER BEGHINT DIE SOTTERNIE.,73,Si leget en droeylt met enen anderen man.
Onbekend,HIER BEGHINT DIE SOTTERNIE.,74,"Awarijt, dats een dinc dat ic niet en can"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,75,Gheloeven van uwen wive;
Onbekend,HIER BEGHINT DIE SOTTERNIE.,76,"Ic kinse alsoe reine van live,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,77,Si en daets om al die werelt niet.
Onbekend,HIER BEGHINT DIE SOTTERNIE.,78,"Dat een man met sinen ogen siet,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,79,Dats hem nochtan quaet tongheven.
Onbekend,HIER BEGHINT DIE SOTTERNIE.,80,"Lippijn, alsoe moetic met eren leven,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,81,Bi sien es die meneghe bedroghen.
Onbekend,HIER BEGHINT DIE SOTTERNIE.,82,"Wat? neen, dit en es niet gheloghen,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,83,Want ic hebse selve ghesien
Onbekend,HIER BEGHINT DIE SOTTERNIE.,84,"Ligghen metten bloeten knien,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,85,Ende gingen hem beide te werke stellen.
Onbekend,HIER BEGHINT DIE SOTTERNIE.,86,"Wat, Lippijn, dat en soudi niet vertellen;"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,87,U wijf waer daer bi gheonneert.
Onbekend,HIER BEGHINT DIE SOTTERNIE.,88,U ogen sijn al verkeert
Onbekend,HIER BEGHINT DIE SOTTERNIE.,89,Van drincken ende van ouden dagen.
Onbekend,HIER BEGHINT DIE SOTTERNIE.,90,"Goede Lippijn, en wilt des niet gewagen;"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,91,U wijf waer daer bi ghescent.
Onbekend,HIER BEGHINT DIE SOTTERNIE.,92,"Wat duvel, seldi mi maken blent"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,93,"Van dingen, die ic selve sach?"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,94,"Ic sach dat si averecht lach,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,95,Ende hi raepter op haer slippen.
Onbekend,HIER BEGHINT DIE SOTTERNIE.,96,"Ey swijt, goede Lippen,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,97,En was anders niet dan u dochte.
Onbekend,HIER BEGHINT DIE SOTTERNIE.,98,"En hoerde ghi noit seggen van alfsgedrochte,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,99,Dat die liede pleghet te bedrieghen?
Onbekend,HIER BEGHINT DIE SOTTERNIE.,100,De viant geeft luttel om een liegen
Onbekend,HIER BEGHINT DIE SOTTERNIE.,101,Om toren te maken tusschen man ende wijf.
Onbekend,HIER BEGHINT DIE SOTTERNIE.,102,"Ic wilder over setten mijn lijf,"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,103,En waest niet een elvinne dat ghi saecht.
Onbekend,HIER BEGHINT DIE SOTTERNIE.,104,"Wat duvel, heeft god die werelt geplaecht"
Onbekend,HIER BEGHINT DIE SOTTERNIE.,105,Met alven ende met elvinnen?
Onbekend,HIER BEGHINT DIE SOTTERNIE.,106,En soudic dan mijn wijf niet kinnen?
Onbekend,HIER BEGHINT DIE SOTTERNIE.,107,Dat ware emmer een messeleec dinc.
Onbekend,HIER BEGHINT DIE SOTTERNIE.,108,"Ic sach dat si met hem ginc,"
