author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,Doet coeme minen vrient malaert
Onbekend,Onbekend Hoofdstuk,2,Waer hi bi mi ic waer gesont
Onbekend,Onbekend Hoofdstuk,3,Ne maer en segt hem niet den gront
Onbekend,Onbekend Hoofdstuk,4,[.......]el dat hier es gesciet
Onbekend,Onbekend Hoofdstuk,5,[B]i g[o]de die hem crucen liet
Onbekend,Onbekend Hoofdstuk,6,[H]i sout maken al verbuert
Onbekend,Onbekend Hoofdstuk,7,[.]e s[..]t cnape sijn paert hurt
Onbekend,Onbekend Hoofdstuk,8,[E]nde ginc iaghen metten sporen
Onbekend,Onbekend Hoofdstuk,9,[...]n wech die lach alsoe wi horen
Onbekend,Onbekend Hoofdstuk,10,[...]r stede waert van parijs
Onbekend,Onbekend Hoofdstuk,11,[E]nde malaert die dicke prijs
Onbekend,Onbekend Hoofdstuk,12,[......]ghede die es op ghestaen
Onbekend,Onbekend Hoofdstuk,13,[...]n pa[l]ayse es hi gegaen
Onbekend,Onbekend Hoofdstuk,14,[...]i lodewike vant
Onbekend,Onbekend Hoofdstuk,15,[......]groeten die wigant
Onbekend,Onbekend Hoofdstuk,16,[......]men soude enen coninc
Onbekend,Onbekend Hoofdstuk,17,[.........] wilde die iongelinc
Onbekend,Onbekend Hoofdstuk,18,[.........]e waerheit altemale
Onbekend,Onbekend Hoofdstuk,19,[......]di metten zwaerde van stale
Onbekend,Onbekend Hoofdstuk,20,[........]se[k]er ges[..]n
Onbekend,Onbekend Hoofdstuk,21,[.........]eide die coene degen
Onbekend,Onbekend Hoofdstuk,22,[..........]t saelt gaen
Onbekend,Onbekend Hoofdstuk,23,[...........]daen
Onbekend,Onbekend Hoofdstuk,24,[V]an uwen broeder den keyser fijn
Onbekend,Onbekend Hoofdstuk,25,[De] coninc seide [..] trouwen mijn
Onbekend,Onbekend Hoofdstuk,26,[T]e h[.......] wra[k]e o[ntf]aen
Onbekend,Onbekend Hoofdstuk,27,Al waert de coninc selue sijn broeder
Onbekend,Onbekend Hoofdstuk,28,Bi [..]m d[........] [m]oeder
Onbekend,Onbekend Hoofdstuk,29,V[......] [de]n here van hemelrike
Onbekend,Onbekend Hoofdstuk,30,Ic maecte vanden liue qu[..]e
Onbekend,Onbekend Hoofdstuk,31,Eer ic scede uter stede
Onbekend,Onbekend Hoofdstuk,32,De cnape te malaerde sede
Onbekend,Onbekend Hoofdstuk,33,Here dies en es ghene noet
Onbekend,Onbekend Hoofdstuk,34,Maer spoet v met haesten groet
Onbekend,Onbekend Hoofdstuk,35,Hi sprake v mutermaten gerne
