author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,Dat wett[i] herde wel
Onbekend,Onbekend Hoofdstuk,2,Soe uele te meer es
Onbekend,Onbekend Hoofdstuk,3,Waendic niet de vrouw[....]
Onbekend,Onbekend Hoofdstuk,4,I[n] souder niet uele me[....]
Onbekend,Onbekend Hoofdstuk,5,N[e]maer morgen met[te.....]
Onbekend,Onbekend Hoofdstuk,6,Soudic met vrienden end[.......]
Onbekend,Onbekend Hoofdstuk,7,We[d]er keren in mijn lan[.]
Onbekend,Onbekend Hoofdstuk,8,B[i] onsen god teruogant
Onbekend,Onbekend Hoofdstuk,9,Te hulpen en quame ic
Onbekend,Onbekend Hoofdstuk,10,No om vrouwe no om here
Onbekend,Onbekend Hoofdstuk,11,Al [h]adden si v altemale
Onbekend,Onbekend Hoofdstuk,12,Die nv sijn in kerstenh[...]
Onbekend,Onbekend Hoofdstuk,13,Do[e]n seide pinnaert die[.......]
Onbekend,Onbekend Hoofdstuk,14,He[n] aldien in ware dinc
Onbekend,Onbekend Hoofdstuk,15,Ic was qualike bedoc[h.]
Onbekend,Onbekend Hoofdstuk,16,Dat ict voert hebbe b[.....]
Onbekend,Onbekend Hoofdstuk,17,D[ies] was ic qualike ber[....]
Onbekend,Onbekend Hoofdstuk,18,Nv hoert mi spreken al [l......]
Onbekend,Onbekend Hoofdstuk,19,Bi mamette minen here
Onbekend,Onbekend Hoofdstuk,20,M[o]egdi mi loyere den [.....]
Onbekend,Onbekend Hoofdstuk,21,G[a]en bringen bringen of [....]
Onbekend,Onbekend Hoofdstuk,22,[.......]ue v bi namen [.....]
Onbekend,Onbekend Hoofdstuk,23,[......n] simaglore[........]
Onbekend,Onbekend Hoofdstuk,24,[...........]  verslaen
Onbekend,Onbekend Hoofdstuk,25,[...........]onderwaen
Onbekend,Onbekend Hoofdstuk,26,[...........]ie mi geboe[t]
Onbekend,Onbekend Hoofdstuk,27,[...........h]ei[t] alte g[r]oet
Onbekend,Onbekend Hoofdstuk,28,[...........] alle dede
Onbekend,Onbekend Hoofdstuk,29,[...........]eker te groeten lede
Onbekend,Onbekend Hoofdstuk,30,[...........]soe uele uolcs gslegen
Onbekend,Onbekend Hoofdstuk,31,[...........]chten bi waerheden
Onbekend,Onbekend Hoofdstuk,32,[...........]ghe ende sijn veruaert
Onbekend,Onbekend Hoofdstuk,33,[...........]es malaert
Onbekend,Onbekend Hoofdstuk,34,[...........]n meester lo[..]er
Onbekend,Onbekend Hoofdstuk,35,[...........]i es niet alsoe fier
Onbekend,Onbekend Hoofdstuk,36,[...........] van vranckelant
Onbekend,Onbekend Hoofdstuk,37,[...........] scone ma[get] faliant
Onbekend,Onbekend Hoofdstuk,38,[...........] soe dede
Onbekend,Onbekend Hoofdstuk,39,[...........]u es lede
Onbekend,Onbekend Hoofdstuk,40,[...........]r die groet[e] here
Onbekend,Onbekend Hoofdstuk,41,[...........]stine alsoe sere
Onbekend,Onbekend Hoofdstuk,42,[...........d]el baroen
Onbekend,Onbekend Hoofdstuk,43,[...........en] rade doen
Onbekend,Onbekend Hoofdstuk,44,[...........t]auont wel gecrigen
Onbekend,Onbekend Hoofdstuk,45,[...........] beden o[.]s on[...]
Onbekend,Onbekend Hoofdstuk,46,[.............]st eng[..]aet
