author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,Gheselle eydel vrome vrome
Onbekend,Onbekend Hoofdstuk,2,Gode ende mi zijt wel come
Onbekend,Onbekend Hoofdstuk,3,Malart die woorden wel verstoet
Onbekend,Onbekend Hoofdstuk,4,blide was hi in den moet
Onbekend,Onbekend Hoofdstuk,5,Want hi kende wel loyhiere
Onbekend,Onbekend Hoofdstuk,6,Ende beette neder vele schiere
Onbekend,Onbekend Hoofdstuk,7,Ende namene in zinen arem
Onbekend,Onbekend Hoofdstuk,8,[Ende] custene menich w[....]
Onbekend,Onbekend Hoofdstuk,9,Malard zeide te gheere tide
Onbekend,Onbekend Hoofdstuk,10,Ne was ic noyt also blide
Onbekend,Onbekend Hoofdstuk,11,Als ic nv bem deghen fier
Onbekend,Onbekend Hoofdstuk,12,[Her..s.]t [...]s[..]en [..]r
Onbekend,Onbekend Hoofdstuk,13,Uwen staet ende v. wesen
Onbekend,Onbekend Hoofdstuk,14,Ic bem alre smerten genesen
Onbekend,Onbekend Hoofdstuk,15,Na dat ghi zijt ghesont
Onbekend,Onbekend Hoofdstuk,16,Mi dinct ghi te gheere stont
Onbekend,Onbekend Hoofdstuk,17,So wel en waert vp. v. lijf
Onbekend,Onbekend Hoofdstuk,18,Segt mi here wat doet mijn wijf
Onbekend,Onbekend Hoofdstuk,19,Ende sormarinde die vrouwe
Onbekend,Onbekend Hoofdstuk,20,Wel zij zijn zonder rouwe
Onbekend,Onbekend Hoofdstuk,21,Minen vader ende mi[.........]
Onbekend,Onbekend Hoofdstuk,22,Ende ansayse des h[..........]
Onbekend,Onbekend Hoofdstuk,23,Hem derden van kind[..........]
Onbekend,Onbekend Hoofdstuk,24,Nu so wille wi m[..........]
Onbekend,Onbekend Hoofdstuk,25,Constantinoble [............]
Onbekend,Onbekend Hoofdstuk,26,Den keyser en zul[...........]
Onbekend,Onbekend Hoofdstuk,27,Gheen s[..]t[..]as w[........]
Onbekend,Onbekend Hoofdstuk,28,Mochten wi den vr[...........]
Onbekend,Onbekend Hoofdstuk,29,Ghecrigen : wi[e add.......]
Onbekend,Onbekend Hoofdstuk,30,Doe was daer bliscap groot
Onbekend,Onbekend Hoofdstuk,31,Selue die heren [..........]
Onbekend,Onbekend Hoofdstuk,32,[....dader]ooc naer die[......]
Onbekend,Onbekend Hoofdstuk,33,Ansays ende Ogier
Onbekend,Onbekend Hoofdstuk,34,Welcomden den ridder fier
Onbekend,Onbekend Hoofdstuk,35,Vtermaten herde zere
Onbekend,Onbekend Hoofdstuk,36,Die bastaert was vten kere
Onbekend,Onbekend Hoofdstuk,37,Maer die pays was gemae[..]
Onbekend,Onbekend Hoofdstuk,38,Herde zaen ende ghesta[....]
Onbekend,Onbekend Hoofdstuk,39,Biden toe doene van den h[....]
Onbekend,Onbekend Hoofdstuk,40,[Al] waer si beede buten kee[..]
Onbekend,Onbekend Hoofdstuk,41,[.........]ren den keys[er] fijn
Onbekend,Onbekend Hoofdstuk,42,[..........]lays marberijn
Onbekend,Onbekend Hoofdstuk,43,[...........]menigen baroen
Onbekend,Onbekend Hoofdstuk,44,[..........]die dese ottoen
Onbekend,Onbekend Hoofdstuk,45,[.........]zach groot gh[et]elde
Onbekend,Onbekend Hoofdstuk,46,[.....]ieren vpten veld[e]
Onbekend,Onbekend Hoofdstuk,47,[..........]gherande saet
Onbekend,Onbekend Hoofdstuk,48,[...........]dat verstaet
Onbekend,Onbekend Hoofdstuk,49,[..]r den keyser dat si quamen
Onbekend,Onbekend Hoofdstuk,50,[........]zeide om onse vramen
Onbekend,Onbekend Hoofdstuk,51,[.]eue ons yemen goeden raet
Onbekend,Onbekend Hoofdstuk,52,[..]dien dat ghescepen staet
Onbekend,Onbekend Hoofdstuk,53,[.......] goet dat wi vut voeren
Onbekend,Onbekend Hoofdstuk,54,[....]wile dat [si] zijn in roeren
Onbekend,Onbekend Hoofdstuk,55,[.]n te slane haer ghetelde
Onbekend,Onbekend Hoofdstuk,56,[...........] hebben in onser gewelde
Onbekend,Onbekend Hoofdstuk,57,[.]mtrent .xxxm. man
Onbekend,Onbekend Hoofdstuk,58,[.e]lm vp thooft halsberch an
Onbekend,Onbekend Hoofdstuk,59,[.]nde ghi here Coninc ottoen
Onbekend,Onbekend Hoofdstuk,60,[...............]
Onbekend,Onbekend Hoofdstuk,60,Maer dat v volc mede vaerd
Onbekend,Onbekend Hoofdstuk,62,Dies scaemdem die lombaert
Onbekend,Onbekend Hoofdstuk,63,Ende ghinc hem inden wapijn doen
Onbekend,Onbekend Hoofdstuk,64,Die coninc ontboot zine baroen
Onbekend,Onbekend Hoofdstuk,65,Datter niemen make geluut
Onbekend,Onbekend Hoofdstuk,65,Maer dat men stillekine trake vut
Onbekend,Onbekend Hoofdstuk,67,[H]i waende spaenyarden becrupen
Onbekend,Onbekend Hoofdstuk,68,Ende al heimeliken beslupen
Onbekend,Onbekend Hoofdstuk,69,Sulc waent sinen viant bedrieghen
Onbekend,Onbekend Hoofdstuk,70,Die hem zeluen moet lieghen
Onbekend,Onbekend Hoofdstuk,70,Also was den keyser gesciet
Onbekend,Onbekend Hoofdstuk,72,Min no mee in lieghe v. niet
Onbekend,Onbekend Hoofdstuk,73,Vut onstantinoble der stede
Onbekend,Onbekend Hoofdstuk,74,trac oursare dats waerhede
Onbekend,Onbekend Hoofdstuk,75,Wel met .xxxm. man
Onbekend,Onbekend Hoofdstuk,75,Die alle vruchten zinen ban
Onbekend,Onbekend Hoofdstuk,77,Het waren alle goede lieden
Onbekend,Onbekend Hoofdstuk,78,Ende tanesiene scon mesnieden
Onbekend,Onbekend Hoofdstuk,79,IIJ. batailgen de keyser maect
Onbekend,Onbekend Hoofdstuk,80,[S] cone [en]de w[el] [gher....]
Onbekend,Onbekend Hoofdstuk,80,Dat was hem .i. groot vordeel
Onbekend,Onbekend Hoofdstuk,82,Malart besette dat cembeel
Onbekend,Onbekend Hoofdstuk,83,Sinen here den vromen loyhiere
Onbekend,Onbekend Hoofdstuk,84,Gaf hi deerste batailge sciere
Onbekend,Onbekend Hoofdstuk,85,Ende hi zeide zonder bide
Onbekend,Onbekend Hoofdstuk,85,Ic zal zijn bi uwer zide
Onbekend,Onbekend Hoofdstuk,87,Want het gaet ons beeden an
Onbekend,Onbekend Hoofdstuk,88,Entie vader die mi ghewan
Onbekend,Onbekend Hoofdstuk,89,Die sal dander batailge hebben
Onbekend,Onbekend Hoofdstuk,90,Sone in wilse niet ontseggen
Onbekend,Onbekend Hoofdstuk,90,Seide die vrome galyen
Onbekend,Onbekend Hoofdstuk,92,Die derde zo gaf hi mettien
Onbekend,Onbekend Hoofdstuk,93,Sinen broeder den restoreit
Onbekend,Onbekend Hoofdstuk,94,Herde node haddise ontseit
Onbekend,Onbekend Hoofdstuk,95,De vierde gaf hi des zijt wijs
Onbekend,Onbekend Hoofdstuk,95,Den outsten sone ansays
Onbekend,Onbekend Hoofdstuk,97,Die bi namen hiet gwyoen
Onbekend,Onbekend Hoofdstuk,98,Die vijfte zinen broeder den baroen
Onbekend,Onbekend Hoofdstuk,99,Die bi namenn hiet geraerd
Onbekend,Onbekend Hoofdstuk,100,De zeste voerde die bastaert
Onbekend,Onbekend Hoofdstuk,100,Die goede zwaerden vten scoe
Onbekend,Onbekend Hoofdstuk,102,Elc die ghinc andren toe
Onbekend,Onbekend Hoofdstuk,103,die bastaert verhief zijn zwaert
Onbekend,Onbekend Hoofdstuk,104,Ende slouch den ridder ter vaert
Onbekend,Onbekend Hoofdstuk,105,Vpten helm die goet was
Onbekend,Onbekend Hoofdstuk,105,Dat hi craecte als .i. glas
Onbekend,Onbekend Hoofdstuk,107,Ende tswaert zanc ten tanden dure
Onbekend,Onbekend Hoofdstuk,108,Dat was den ridder zwaer auenture
Onbekend,Onbekend Hoofdstuk,109,Hi sturte neder vp die heide
Onbekend,Onbekend Hoofdstuk,110,Elc dede andr[e]n [....]ne vrede
Onbekend,Onbekend Hoofdstuk,110,Harentare vp dat velt
Onbekend,Onbekend Hoofdstuk,112,Gheen scamel man stille en helt
Onbekend,Onbekend Hoofdstuk,113,Alsoot es te wetene goet
Onbekend,Onbekend Hoofdstuk,114,Menich drouch daer hogen moet
Onbekend,Onbekend Hoofdstuk,115,Weder ende voort vp dat plain
Onbekend,Onbekend Hoofdstuk,115,Daer moeste menich eidel grain
Onbekend,Onbekend Hoofdstuk,117,Neder vallen in den velde
Onbekend,Onbekend Hoofdstuk,118,Die ligghende bleef in ongewelde
Onbekend,Onbekend Hoofdstuk,119,Dat jamer was alte groot
Onbekend,Onbekend Hoofdstuk,120,Ghinder was [...........]t
Onbekend,Onbekend Hoofdstuk,120,Al nv zijn zij ghesconfiert
Onbekend,Onbekend Hoofdstuk,122,Doe wasser zere gepongiert
Onbekend,Onbekend Hoofdstuk,123,Men ghincker vechten zeere
Onbekend,Onbekend Hoofdstuk,124,Malard maecte daer den heere
Onbekend,Onbekend Hoofdstuk,125,Ende dede hem zere ontsien
Onbekend,Onbekend Hoofdstuk,125,Ende velletse bi .ij. bi .iij.
Onbekend,Onbekend Hoofdstuk,127,Des keysers lieden harentare
Onbekend,Onbekend Hoofdstuk,128,Hi maecte menige dode bare
Onbekend,Onbekend Hoofdstuk,129,Niemen dorste zijns ontbiden
Onbekend,Onbekend Hoofdstuk,130,Want hine wilde niemens miden
Onbekend,Onbekend Hoofdstuk,130,In eene batailge quam hi [g]ereden
Onbekend,Onbekend Hoofdstuk,132,Daer vant hi dat sijn waerhede[n]
Onbekend,Onbekend Hoofdstuk,133,Salemoene zinen waerd
Onbekend,Onbekend Hoofdstuk,134,Daer loyhier hadde vertaerd
Onbekend,Onbekend Hoofdstuk,135,So vele goeds daer te voren
Onbekend,Onbekend Hoofdstuk,135,Ogier zijn broeder vte vercoren
Onbekend,Onbekend Hoofdstuk,137,Hadden tonder es mijn verstaen
Onbekend,Onbekend Hoofdstuk,138,Den helm addi hem ofgedaen
Onbekend,Onbekend Hoofdstuk,139,Ende zouden thooft of ebben yslagen
Onbekend,Onbekend Hoofdstuk,140,[...............]
Onbekend,Onbekend Hoofdstuk,141,Galyene dat hi verzach
Onbekend,Onbekend Hoofdstuk,140,daerwaert reet hi wat hi mach
Onbekend,Onbekend Hoofdstuk,143,Cort quam hi in zijn ghemoet
Onbekend,Onbekend Hoofdstuk,144,Die haex hief hi metter spoet
Onbekend,Onbekend Hoofdstuk,145,Ende slouch den coninc galyen
Onbekend,Onbekend Hoofdstuk,146,Daer men toe mochte zien
Onbekend,Onbekend Hoofdstuk,145,Recht vpten helm bouen
Onbekend,Onbekend Hoofdstuk,148,Dat hine te male heift yclouen
Onbekend,Onbekend Hoofdstuk,149,Maer tbeckineel was zo goet
Onbekend,Onbekend Hoofdstuk,150,Datter tswaert daer vp onstoet
Onbekend,Onbekend Hoofdstuk,151,Maer die slach was zo groot
Onbekend,Onbekend Hoofdstuk,150,Dat ryc was in groter noot
Onbekend,Onbekend Hoofdstuk,153,Ende galyen bleef in dole
Onbekend,Onbekend Hoofdstuk,154,So was hi ghesent ter scole
Onbekend,Onbekend Hoofdstuk,155,Van den keyser van grieken
Onbekend,Onbekend Hoofdstuk,156,Hi maecter herde vele zieken
Onbekend,Onbekend Hoofdstuk,155,Van spaenyarden in dien daghe
Onbekend,Onbekend Hoofdstuk,158,Galyen was van dien slaghe
Onbekend,Onbekend Hoofdstuk,159,So an dole in gheere manieren
Onbekend,Onbekend Hoofdstuk,160,[Ne] [c]onsti zijn paert bestieren
