author,chapter,line,text
Onbekend,1.,1,[........]
Onbekend,1.,2,So schiir si toent haer doeght [ende loent]
Onbekend,1.,3,Hen dise ghewinnen
Onbekend,1.,5,NOch hopic al si haer bedinct
Onbekend,1.,5,Si sal mijn noet bedinken
Onbekend,1.,6,Die dat leuen mijn dus crinct
Onbekend,1.,7,Daer siel ende lijf af crinken
Onbekend,1.,8,Haer bluyende gluyende oghen vlinken
Onbekend,1.,10,Dat soe wonnenclike winct
Onbekend,1.,10,Ende wille mi tot haer winken
Onbekend,1.,11,Die mi soe diep ter herten sinct
Onbekend,1.,12,Sien mach niet vorwert sinken
Onbekend,1.,13,Ic muet int suer verdrinken
Onbekend,1.,15,Sijn doet siin leuen / es die hem gheuen
Onbekend,1.,15,Al muet sier vrouwen
Onbekend,1.,16,Tweer oghen winken / die wemuet(?) scinken
Onbekend,1.,17,Sonder verdouwen.
