author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,"Billec mach dlief dienen haten,"
Onbekend,Onbekend Hoofdstuk,2,dien trouwe noch dienst en c... te baten.
Onbekend,Onbekend Hoofdstuk,3,"Eens gheen onmote,"
Onbekend,Onbekend Hoofdstuk,4,dat hem verdrote
Onbekend,Onbekend Hoofdstuk,5,"Slevens sere,"
Onbekend,Onbekend Hoofdstuk,6,die uyt sire vrouwen
Onbekend,Onbekend Hoofdstuk,7,"Herte, dor trouwen"
Onbekend,Onbekend Hoofdstuk,8,Ghesloten were.
Onbekend,Onbekend Hoofdstuk,9,"Sint si mi uyt haer herten sloet,"
Onbekend,Onbekend Hoofdstuk,10,die ic vaste hebbe besloten
Onbekend,Onbekend Hoofdstuk,11,"In mi, dier mi nie verdroet,"
Onbekend,Onbekend Hoofdstuk,12,So heet mi slijfs verdroten
Onbekend,Onbekend Hoofdstuk,13,Ende slevens utermaten.
Onbekend,Onbekend Hoofdstuk,14,ach over den wederstoet!
Onbekend,Onbekend Hoofdstuk,15,Die mi heet wederstoten
Onbekend,Onbekend Hoofdstuk,16,alle vroude dier ic
Onbekend,Onbekend Hoofdstuk,17,"Ende van hadde ghenoten,"
Onbekend,Onbekend Hoofdstuk,18,Die mi ter doet wert coten.
Onbekend,Onbekend Hoofdstuk,19,Die troests gheniet
Onbekend,Onbekend Hoofdstuk,20,"van lie(vere) iet,"
Onbekend,Onbekend Hoofdstuk,21,"alst we(der sto)et,"
Onbekend,Onbekend Hoofdstuk,22,beter weren
Onbekend,Onbekend Hoofdstuk,23,hem die meren
Onbekend,Onbekend Hoofdstuk,24,Dier better doet.
Onbekend,Onbekend Hoofdstuk,25,Minne ...et terijst dan eest dat sake
Onbekend,Onbekend Hoofdstuk,26,dat si es swrugers tonghemake.
