author,chapter,line,text
Onbekend,[Proloog],1,Nuttelic eest in minen wane
Onbekend,[Proloog],2,"Die conste te weten, hoe die mane"
Onbekend,[Proloog],3,Die tekene loept elc maenscijn dore.
Onbekend,[Proloog],4,Ende want die mane hadde den core
Onbekend,[Proloog],5,Ons telopen alrenaest
Onbekend,[Proloog],6,"Haren loep met groter haest,"
Onbekend,[Proloog],7,Gaf hur God van hemelrike
Onbekend,[Proloog],8,Te regeren ewelike
Onbekend,[Proloog],9,Die werelt ende dat daer in was
Onbekend,[Proloog],10,"Ende wesen zat, alsict las"
Onbekend,[Proloog],11,In enen boeke die was fijn.
Onbekend,[Proloog],12,In duutsche maectic dat latijn
Onbekend,[Proloog],13,"Ende vant daer in, dat zijt nochtan"
Onbekend,[Proloog],14,"Niet allene ghedoen en can,"
Onbekend,[Proloog],15,Mer ander planeten helpen haer
Onbekend,[Proloog],16,Ende letten zommels ouerwaer.
Onbekend,[Proloog],17,Mer die werelt in tghemene
Onbekend,[Proloog],18,Ontfincsi daer van Gode allene
Onbekend,[Proloog],19,Vor alle die ander te bestieren.
Onbekend,[Proloog],20,Menschen voghelen ende dieren
Onbekend,[Proloog],21,"Nature te gheuen ende wesen,"
Onbekend,[Proloog],22,"Ende vele mere alswijt lesen,"
Onbekend,[Proloog],23,Heeft si van Gode dus ontfaen.
Onbekend,[Proloog],24,Hier om zo wil ic ane vaen
Onbekend,[Proloog],25,"Hier een dicht van haren zeden,"
Onbekend,[Proloog],26,"Des mi een vrient heeft ghebeden,"
Onbekend,[Proloog],27,Daermen inne bekennen mach
Onbekend,[Proloog],28,Wat goet is doen op elken dach
Onbekend,[Proloog],29,"Of quaet, of laten, of beghinnen,"
Onbekend,[Proloog],30,"Wiesmen verliesen mach of winnen,"
Onbekend,[Proloog],31,Hoet weder is of hoe tsal keren.
Onbekend,[Proloog],32,Beghinne wi inden name ons heren.
Onbekend,Aries.,33,"Als in ariete is die mane,"
Onbekend,Aries.,34,"Zo eest goet in minen wane,"
Onbekend,Aries.,35,"Wech ten oesten wart bestaen,"
Onbekend,Aries.,36,Die met comenscap ommegaen;
Onbekend,Aries.,37,"Want ic weet wel dat hi wint,"
Onbekend,Aries.,38,Die derwart zinen wech beghint.
Onbekend,Aries.,39,Met viere eest dan werken goet
Onbekend,Aries.,40,"Dinc, dat daer mede werden moet."
Onbekend,Aries.,41,"Die laten wil of gaen in bade,"
Onbekend,Aries.,42,"Rade ict wel, heeft hijs stade,"
Onbekend,Aries.,43,"Dat hijs besta, wil hi winnen."
Onbekend,Aries.,44,"Hets harde goet oec dan beghinnen,"
Onbekend,Aries.,45,Wat haestelic wil zijn ghemaect
Onbekend,Aries.,46,Oec wit dat dan dweder spaect .
Onbekend,Aries.,47,Hets quaet dan hoefde dwaen of netten
Onbekend,Aries.,48,"Ende in den hals ventosen zetten,"
Onbekend,Aries.,49,"Bloeden ter nese, hilec leiden,"
Onbekend,Aries.,50,"Huse te maken, castele bereiden,"
Onbekend,Aries.,51,"eens anders mans heerscap ingaen,"
Onbekend,Aries.,52,"Vut carker lopen, wijch bestaen,"
Onbekend,Aries.,53,"Carten maken of brieue scriuen,"
Onbekend,Aries.,54,Die op goet sprekende bliuen;
Onbekend,Aries.,55,Noch ghenen raet en zalmen ruren
Onbekend,Aries.,56,"Op dinghe, die langhe willen duren."
Onbekend,Aries.,57,"Die dan oec name medicine,"
Onbekend,Aries.,58,Hi keredze met groter pine.
Onbekend,Taurus.,59,Taurus is dat ander teken
Onbekend,Taurus.,60,"Der manen, scriuic hier den leken."
Onbekend,Taurus.,61,"Zo wanneer datsi daer ingaet,"
Onbekend,Taurus.,62,"Die dan doen wil minen raet,"
Onbekend,Taurus.,63,Zal zayen houe ende oec zetten
Onbekend,Taurus.,64,Wijngart zonder enich letten;
Onbekend,Taurus.,65,Want hi zal in corten uren
Onbekend,Taurus.,66,Wassen ende langhe duren.
Onbekend,Taurus.,67,Castele ende huse eest dan goet
Onbekend,Taurus.,68,"Funderen, ende dat duren moet."
Onbekend,Taurus.,69,Hilec zalmen dan bestaen.
Onbekend,Taurus.,70,"Oec waenic in minen waen,"
Onbekend,Taurus.,71,Datmen medicine zal helen
