author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,dats mi leet sonder waen
Onbekend,Onbekend Hoofdstuk,2,Seide oriande die suptile
Onbekend,Onbekend Hoofdstuk,3,ware hi doot in corter wile
Onbekend,Onbekend Hoofdstuk,4,Jc stoede altoos tuwen dienste
Onbekend,Onbekend Hoofdstuk,5,"die pape seide bedinke [int] sienste,"
Onbekend,Onbekend Hoofdstuk,6,dat wine dan souken varen
Onbekend,Onbekend Hoofdstuk,7,ende slane doot sonder sparen
Onbekend,Onbekend Hoofdstuk,8,wildi dan ewelike sonder fi
Onbekend,Onbekend Hoofdstuk,9,Getrouwelike minnen mi
Onbekend,Onbekend Hoofdstuk,10,Jaic seids[o] here sonder bliuen
Onbekend,Onbekend Hoofdstuk,11,here seidsoe co[nd]i lesen ende scriuen
Onbekend,Onbekend Hoofdstuk,12,helpe vrouwe wats dat ghi telt
Onbekend,Onbekend Hoofdstuk,13,een litel ghi mi horen selt
Onbekend,Onbekend Hoofdstuk,14,mester ic bem van tolet
Onbekend,Onbekend Hoofdstuk,15,aldie touerie can ic [met]
Onbekend,Onbekend Hoofdstuk,16,die men in de werlt mach doen
Onbekend,Onbekend Hoofdstuk,17,al waric gebonden in I prisoen
Onbekend,Onbekend Hoofdstuk,18,Jc soude mi seluen lo[ssen] wel
Onbekend,Onbekend Hoofdstuk,19,ay here kendi den mester s[nel]
Onbekend,Onbekend Hoofdstuk,20,die men heet madelgijs
Onbekend,Onbekend Hoofdstuk,21,die man es vroet ende wijs
Onbekend,Onbekend Hoofdstuk,22,dat hebic dickent gheoren gewagen
Onbekend,Onbekend Hoofdstuk,23,hie es doot ouer lange dag[en]
Onbekend,Onbekend Hoofdstuk,24,Sprac die pape bi waerheiden
Onbekend,Onbekend Hoofdstuk,25,Groet wo[nder dedi] te minen stede
Onbekend,Onbekend Hoofdstuk,26,dat hebbic dicken seggen horen
Onbekend,Onbekend Hoofdstuk,27,Karle dedi menigen toren
Onbekend,Onbekend Hoofdstuk,28,Met siere groter touerie
Onbekend,Onbekend Hoofdstuk,29,dus reden si geloues mie
Onbekend,Onbekend Hoofdstuk,30,also lange dat si quamen
Onbekend,Onbekend Hoofdstuk,31,dat si madelgijs vernamen
Onbekend,Onbekend Hoofdstuk,32,die quam gelopen in I hemde
Onbekend,Onbekend Hoofdstuk,33,met sinen cnape [harde vremde]
Onbekend,Onbekend Hoofdstuk,34,So dochte o[riande[ .......]
Onbekend,Onbekend Hoofdstuk,35,daer soe biden [pape ......]
Onbekend,Onbekend Hoofdstuk,36,verkennet [soene] alte ant
Onbekend,Onbekend Hoofdstuk,37,Sinen palster hi geprant
Onbekend,Onbekend Hoofdstuk,38,ende cleophus [...] enen stake
Onbekend,Onbekend Hoofdstuk,39,die pape seide met warer sprake
Onbekend,Onbekend Hoofdstuk,40,Siet gonder [comt] gelopen v man
Onbekend,Onbekend Hoofdstuk,41,Ghi hebt geraden bi sente ihan
Onbekend,Onbekend Hoofdstuk,42,Sprac oriande die was blide
Onbekend,Onbekend Hoofdstuk,43,vanden paerde ouer enen side
Onbekend,Onbekend Hoofdstuk,44,Viel[so] met aesten vptie aerde
Onbekend,Onbekend Hoofdstuk,45,die pape vinc te sinen zwaerde
Onbekend,Onbekend Hoofdstuk,46,dat hi trac vten scoe
Onbekend,Onbekend Hoofdstuk,47,Cleophus quam gelopen doe
Onbekend,Onbekend Hoofdstuk,48,ende slouch den pape vp sine crune
Onbekend,Onbekend Hoofdstuk,49,dat hi[..........]
Onbekend,Onbekend Hoofdstuk,50,[...............]
Onbekend,Onbekend Hoofdstuk,51,het[............]
Onbekend,Onbekend Hoofdstuk,52,[...............]
Onbekend,Onbekend Hoofdstuk,53,ende bant [..........]
Onbekend,Onbekend Hoofdstuk,54,[.....]at ic [......]
Onbekend,Onbekend Hoofdstuk,55,die hare[............]
Onbekend,Onbekend Hoofdstuk,56,[...............]
Onbekend,Onbekend Hoofdstuk,57,dede[..............]
Onbekend,Onbekend Hoofdstuk,58,hoe hi alse [.........]
Onbekend,Onbekend Hoofdstuk,59,dat hi hem[............]
Onbekend,Onbekend Hoofdstuk,60,also lieu cle[........]
Onbekend,Onbekend Hoofdstuk,61,Sijn [mi] genomen [.........]
Onbekend,Onbekend Hoofdstuk,62,wiet dede bem ic[..........]
Onbekend,Onbekend Hoofdstuk,63,aldus alse ghi m[i ........]
Onbekend,Onbekend Hoofdstuk,64,vandic [mi h..............]
Onbekend,Onbekend Hoofdstuk,65,metv [minen ...............]
Onbekend,Onbekend Hoofdstuk,66,So ics[....]ic here[.......]
Onbekend,Onbekend Hoofdstuk,67,Jc hebbe ons[..............]
Onbekend,Onbekend Hoofdstuk,68,daer ic ouerghe[...........]
Onbekend,Onbekend Hoofdstuk,69,dan ic doen [daer] mijn [....]
Onbekend,Onbekend Hoofdstuk,70,Nachs in es tverlies [.....]
Onbekend,Onbekend Hoofdstuk,71,hetne was bet[...........]
Onbekend,Onbekend Hoofdstuk,72,cleophus die II paer[......]
Onbekend,Onbekend Hoofdstuk,73,die [mi ontfoert ..........]
Onbekend,Onbekend Hoofdstuk,74,Mine auenturen s[............]
Onbekend,Onbekend Hoofdstuk,75,dies dankic gode[...........]
Onbekend,Onbekend Hoofdstuk,76,Oriande mesliet[............]
Onbekend,Onbekend Hoofdstuk,77,madelgijs troo[st]e[.........]
Onbekend,Onbekend Hoofdstuk,78,mettien oriande[...........]
Onbekend,Onbekend Hoofdstuk,79,hare auenture [groot .......]
Onbekend,Onbekend Hoofdstuk,80,te vertreckene al g[.......]
Onbekend,Onbekend Hoofdstuk,81,Hoe so in zwar[.............]
Onbekend,Onbekend Hoofdstuk,82,was madelgijs ge[.........]
Onbekend,Onbekend Hoofdstuk,83,ende hoe hi[..............]
Onbekend,Onbekend Hoofdstuk,84,ende hoe dat si verl[......]
Onbekend,Onbekend Hoofdstuk,85,met suptijleden al[........]
Onbekend,Onbekend Hoofdstuk,86,ooc seidie vp d[ie.........]
Onbekend,Onbekend Hoofdstuk,87,dat hi mester war[e.........]
Onbekend,Onbekend Hoofdstuk,88,madelgijs seide bi mij[n ....]
Onbekend,Onbekend Hoofdstuk,89,So wetic wel[.............]
Onbekend,Onbekend Hoofdstuk,90,Noosden mi mids s[.........]
Onbekend,Onbekend Hoofdstuk,91,men moetic [sere w........]
Onbekend,Onbekend Hoofdstuk,92,mettien es madelgijs v[.....]
Onbekend,Onbekend Hoofdstuk,93,Ten zwaerden dat spap[.......]
Onbekend,Onbekend Hoofdstuk,94,ende maecte II [grote .....]
Onbekend,Onbekend Hoofdstuk,95,in den enen leide[........]
Onbekend,Onbekend Hoofdstuk,96,[jn den andren [..........]
Onbekend,Onbekend Hoofdstuk,97,als adaen lange adde gescreit
Onbekend,Onbekend Hoofdstuk,98,ende eene [.... wilde ......]
Onbekend,Onbekend Hoofdstuk,99,dat men[..........]ben
Onbekend,Onbekend Hoofdstuk,100,als waerlike[..........]
Onbekend,Onbekend Hoofdstuk,101,d[ie ziechede die in oriande es ge....]
Onbekend,Onbekend Hoofdstuk,102,d[at soe mach de .........]
Onbekend,Onbekend Hoofdstuk,103,ende verdienen die[........]
Onbekend,Onbekend Hoofdstuk,104,dat geuonden es die [........]
Onbekend,Onbekend Hoofdstuk,105,Als madelgijs daer sine[.......]gelesen
Onbekend,Onbekend Hoofdstuk,106,orianden [gaen] genesen
Onbekend,Onbekend Hoofdstuk,107,want I duuel[.....]vor waer
Onbekend,Onbekend Hoofdstuk,108,vlooch ouer tbedde[......]ouer haer
Onbekend,Onbekend Hoofdstuk,109,alsoot ge[boot madelgijs] ter stont
Onbekend,Onbekend Hoofdstuk,110,daer wart oriande ge[sont]
Onbekend,Onbekend Hoofdstuk,111,Ende bleef daer seit die walsce istorien
Onbekend,Onbekend Hoofdstuk,112,tote soe van [tijdene mochte gescie]n
Onbekend,Onbekend Hoofdstuk,113,doe namen si orlof [met suete]n woorden
Onbekend,Onbekend Hoofdstuk,114,an alle die[........]behoorden
Onbekend,Onbekend Hoofdstuk,115,doe beualse te gode die waert
Onbekend,Onbekend Hoofdstuk,116,madelgijs alp vp I paert
Onbekend,Onbekend Hoofdstuk,117,orianden die was vroet
Onbekend,Onbekend Hoofdstuk,118,ende m[o]chte[...] metter spoet
Onbekend,Onbekend Hoofdstuk,119,al gewapent[..... seide]
Onbekend,Onbekend Hoofdstuk,120,Scilt addi ende sijn zwaert [mede]
Onbekend,Onbekend Hoofdstuk,121,ende ooc aldat h[........]
Onbekend,Onbekend Hoofdstuk,122,daer voeren si wech sonder [vo...]
