author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,[..]uien s[e]ide dese es [..]et
Onbekend,Onbekend Hoofdstuk,2,[..]e es mi harde gewant
Onbekend,Onbekend Hoofdstuk,3,[..] daer over twe rechte truwant
Onbekend,Onbekend Hoofdstuk,4,[..]t suldi noch tauont sien
Onbekend,Onbekend Hoofdstuk,5,[..]rac madelgijs broeder viuien
Onbekend,Onbekend Hoofdstuk,6,[.f] ic can truwanten wale
Onbekend,Onbekend Hoofdstuk,7,[.i] gingen in die hoge sale
Onbekend,Onbekend Hoofdstuk,8,[.]ouen in dat palas
Onbekend,Onbekend Hoofdstuk,9,[..]er die coninginne was
Onbekend,Onbekend Hoofdstuk,10,[.o]e seide aldus madelgijs
Onbekend,Onbekend Hoofdstuk,11,[..] vrouwe dor god van paradijs
Onbekend,Onbekend Hoofdstuk,12,[.]oet ons yet geuen
Onbekend,Onbekend Hoofdstuk,13,[..]et ic lede I droeue leuen
Onbekend,Onbekend Hoofdstuk,14,[.l]s me[n ma]ch sien wel
Onbekend,Onbekend Hoofdstuk,15,[.]c hebbe tusscen vleesch ende vel
Onbekend,Onbekend Hoofdstuk,16,[.]water ende tfledersijn
Onbekend,Onbekend Hoofdstuk,17,[..] seide I [wise] meester fijn
Onbekend,Onbekend Hoofdstuk,18,[..]woent te monclier
Onbekend,Onbekend Hoofdstuk,19,[.]ic in hebbe twater scier
Onbekend,Onbekend Hoofdstuk,20,[.]ant hier na vrouwe wert het root
Onbekend,Onbekend Hoofdstuk,21,[...]na so bliuic doot
Onbekend,Onbekend Hoofdstuk,22,[.]enegen dach hebbic geleift
Onbekend,Onbekend Hoofdstuk,23,[.]nde vele der d[ag]en gesveift
Onbekend,Onbekend Hoofdstuk,24,[.]n pelegrima[ge] andre wege
Onbekend,Onbekend Hoofdstuk,25,[.. d]us sone gecreegic sege
Onbekend,Onbekend Hoofdstuk,26,[.]at ic vader of moeder sach
