author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,Dit ic sine ouerdaet sal stelpen
Onbekend,Onbekend Hoofdstuk,2,Daer [a]f so hebbic cleenen vaer
Onbekend,Onbekend Hoofdstuk,3,Entie rudder staerf vor[voets] daer
Onbekend,Onbekend Hoofdstuk,4,Die daer quam van ysanen
Onbekend,Onbekend Hoofdstuk,5,Daer waren ghelaten vele tranen
Onbekend,Onbekend Hoofdstuk,6,Om den rudder dat hi dus staerf
Onbekend,Onbekend Hoofdstuk,7,[D]at [.....] hadden sijn bedaerf
Onbekend,Onbekend Hoofdstuk,8,Die dese [peis ............]
Onbekend,Onbekend Hoofdstuk,9,[.............gheuaen]
Onbekend,Onbekend Hoofdstuk,10,Laet ons [.....]den onse vaert
Onbekend,Onbekend Hoofdstuk,11,[........ diet] langer spaert
Onbekend,Onbekend Hoofdstuk,12,[..e..........] van egg[ermont]
Onbekend,Onbekend Hoofdstuk,13,[.........] ghereet vp stont
Onbekend,Onbekend Hoofdstuk,14,[....] riep [.... de stei]de
Onbekend,Onbekend Hoofdstuk,15,Bi got [........]v[a]ren mede
Onbekend,Onbekend Hoofdstuk,16,Dus hadd[en] si een ghedochte
Onbekend,Onbekend Hoofdstuk,17,Te succursene alsi eerst mo[chte]
Onbekend,Onbekend Hoofdstuk,18,Y[....] dat scoene wijf
Onbekend,Onbekend Hoofdstuk,19,Spyet[....]voren sonder [blijf]
Onbekend,Onbekend Hoofdstuk,20,Hi w[........] ende snel
Onbekend,Onbekend Hoofdstuk,21,Eer [.....] ghe[r]eeden wel
Onbekend,Onbekend Hoofdstuk,22,Was [........] der riuagen
Onbekend,Onbekend Hoofdstuk,23,Ter [....gen] daer die quade passage
Onbekend,Onbekend Hoofdstuk,24,Hadde [...]eghen meneghen dach
Onbekend,Onbekend Hoofdstuk,25,Het was sijn vader diet te ho[uden] plach
Onbekend,Onbekend Hoofdstuk,26,Also[....]storie telt
Onbekend,Onbekend Hoofdstuk,27,Dien hi[.... sal] slaen vpt velt
Onbekend,Onbekend Hoofdstuk,28,Hi lach d[...] ter seluer wile
Onbekend,Onbekend Hoofdstuk,29,Spyet qu[a]m ter porten stile
Onbekend,Onbekend Hoofdstuk,30,Diene van verre zach
Onbekend,Onbekend Hoofdstuk,31,Vp eenen pollel dar hi lach
Onbekend,Onbekend Hoofdstuk,32,[O]nder sijn hooft een cussijn
Onbekend,Onbekend Hoofdstuk,33,[.]nde als spyet die deghen fijn
Onbekend,Onbekend Hoofdstuk,34,[..e]r hem dor die duere leet
Onbekend,Onbekend Hoofdstuk,35,[...]anc hi vp ende riep ghereet
Onbekend,Onbekend Hoofdstuk,36,[...]estuut wicht ombijt ombijt
Onbekend,Onbekend Hoofdstuk,37,[..] waret of dat ghi [r]ijt
Onbekend,Onbekend Hoofdstuk,38,[..]maledijt moetstu sijn
Onbekend,Onbekend Hoofdstuk,39,[...]ef hare ghereet die tolne mijn
Onbekend,Onbekend Hoofdstuk,40,[..]yet seide wat es dat
Onbekend,Onbekend Hoofdstuk,41,[..g]aefse v gherne w[...]ic wat
Onbekend,Onbekend Hoofdstuk,42,[...............]
Onbekend,Onbekend Hoofdstuk,43,[...............]
Onbekend,Onbekend Hoofdstuk,44,[...............]
Onbekend,Onbekend Hoofdstuk,45,[...............]
Onbekend,Onbekend Hoofdstuk,46,[...............]
Onbekend,Onbekend Hoofdstuk,47,[...............]
Onbekend,Onbekend Hoofdstuk,48,[...............]
Onbekend,Onbekend Hoofdstuk,49,[...............]
Onbekend,Onbekend Hoofdstuk,50,[...............]
