author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,Hets mijn moeye het wert sijn wijf
Onbekend,Onbekend Hoofdstuk,2,Jn onse gesla[ch]te moeti heruen
Onbekend,Onbekend Hoofdstuk,3,Sone mach on[se u]rienscap niet verderuen
Onbekend,Onbekend Hoofdstuk,4,Tusscen ons ende hem
Onbekend,Onbekend Hoofdstuk,5,Karle den here ic seker bem
Onbekend,Onbekend Hoofdstuk,6,Was dat te horne leet
Onbekend,Onbekend Hoofdstuk,7,Ende hi antworde wel gereet
Onbekend,Onbekend Hoofdstuk,8,Dat ware scade bi miere wet
Onbekend,Onbekend Hoofdstuk,9,Soude ysane trouwen spyet
Onbekend,Onbekend Hoofdstuk,10,De urouwe es so wel geboren
Onbekend,Onbekend Hoofdstuk,11,Wat hebdi an I wicht vercoren
Onbekend,Onbekend Hoofdstuk,12,Ysane antworde varijnc
Onbekend,Onbekend Hoofdstuk,13,Karel here eydel conijnc
Onbekend,Onbekend Hoofdstuk,14,Ic ne kenne genen man
Onbekend,Onbekend Hoofdstuk,15,Die noit ter werelt lijf gewan
Onbekend,Onbekend Hoofdstuk,16,[...............]
Onbekend,Onbekend Hoofdstuk,17,Hi deide [..] met sire [ech.....]
Onbekend,Onbekend Hoofdstuk,18,Ende aldie heren oomen [daer]
Onbekend,Onbekend Hoofdstuk,19,Twalsce seit ons vor waer
Onbekend,Onbekend Hoofdstuk,20,Dat man no wijf no kijnt
Onbekend,Onbekend Hoofdstuk,21,Van madelgise ne wisten twijnt
Onbekend,Onbekend Hoofdstuk,22,Waer dat hi was beuaren
Onbekend,Onbekend Hoofdstuk,23,Sonder de gone die met hem waren
Onbekend,Onbekend Hoofdstuk,24,Al bedect hilt men daer feeste
Onbekend,Onbekend Hoofdstuk,25,XL dage seit die ieeste
Onbekend,Onbekend Hoofdstuk,26,Ende grote karel sijt zeker das
Onbekend,Onbekend Hoofdstuk,27,Veruaerdem zere dat hi daer was
Onbekend,Onbekend Hoofdstuk,28,Tusscen den bergen hine wiste waer
Onbekend,Onbekend Hoofdstuk,29,Ende madelgijs dreef feeste daer
Onbekend,Onbekend Hoofdstuk,30,Metter bruut al sonder rouwe
Onbekend,Onbekend Hoofdstuk,31,Ende met  siere  moeder der goeder
Onbekend,Onbekend Hoofdstuk,32,urouwe
Onbekend,Onbekend Hoofdstuk,33,[Ein peilgrijm ..........]
Onbekend,Onbekend Hoofdstuk,34,Die gr[ijs wa]s ende zere oud
Onbekend,Onbekend Hoofdstuk,35,Ende h[erd.....] crankelike
Onbekend,Onbekend Hoofdstuk,35,Oriande groetene ouescelike
Onbekend,Onbekend Hoofdstuk,37,Ende vraechdem wane hi quame
Onbekend,Onbekend Hoofdstuk,38,Hi seide vrouwe sonder blame
Onbekend,Onbekend Hoofdstuk,39,Ic come gegaen van ouer zee
Onbekend,Onbekend Hoofdstuk,40,Vten lande van galylee
Onbekend,Onbekend Hoofdstuk,40,Daer god in starf om onse zonden
Onbekend,Onbekend Hoofdstuk,42,Ende daer hi met sinen wonden
Onbekend,Onbekend Hoofdstuk,43,Al bloedich int graf was geleit
Onbekend,Onbekend Hoofdstuk,44,Gewonden in I zuuer cleit
Onbekend,Onbekend Hoofdstuk,45,Dat graf custic lieue vrouwe
Onbekend,Onbekend Hoofdstuk,45,Ghine horet nie van sulker rouwe
Onbekend,Onbekend Hoofdstuk,47,Als in de zee es gesciet
Onbekend,Onbekend Hoofdstuk,48,Nv hort vrouwe in liegv niet
Onbekend,Onbekend Hoofdstuk,49,Solaes trost ende [toeu]erlaet
Onbekend,Onbekend Hoofdstuk,50,Hebic ewelike ve[rlo]ren
Onbekend,Onbekend Hoofdstuk,50,Ter aermer tijt w[...]ic geboren
Onbekend,Onbekend Hoofdstuk,52,Ay god here wat sal m[ijn]s wesen
Onbekend,Onbekend Hoofdstuk,53,Bouen al der werelt ute ilesen
Onbekend,Onbekend Hoofdstuk,54,So was mijn lief tsuptile grein
Onbekend,Onbekend Hoofdstuk,55,Ende van ridderscepe souurein
Onbekend,Onbekend Hoofdstuk,55,Jn elker maniere in elker wijs
Onbekend,Onbekend Hoofdstuk,57,Ay ouesch lief madelgijs
Onbekend,Onbekend Hoofdstuk,58,Bouen allen clerken gepurgiert
Onbekend,Onbekend Hoofdstuk,59,Ende die mi therte bloet puniert
Onbekend,Onbekend Hoofdstuk,60,Van rouwen die ic hebbe om v
Onbekend,Onbekend Hoofdstuk,60,Ay wrede doot dat gh[i] nv
Onbekend,Onbekend Hoofdstuk,62,Vp mijn zoete lief moest comen
Onbekend,Onbekend Hoofdstuk,63,Daer omme moetv god verdomen
Onbekend,Onbekend Hoofdstuk,64,Vrouwe ic salt v bedieden
Onbekend,Onbekend Hoofdstuk,65,Te sijnte patrix wonen lieden
Onbekend,Onbekend Hoofdstuk,65,XII moneke die sijn wit
Onbekend,Onbekend Hoofdstuk,67,Jn den closter uerstaat dit
Onbekend,Onbekend Hoofdstuk,68,Ende I abt dit sijn XIII
Onbekend,Onbekend Hoofdstuk,69,V staat wel uor v te siene
Onbekend,Onbekend Hoofdstuk,70,D at men v niet lede ter luere
Onbekend,Onbekend Hoofdstuk,70,Recht uor den choor leit I dure
