author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,Daer wi mede behouden sijn
Onbekend,Onbekend Hoofdstuk,2,[D]oe ant[worde y]vorij[n]
Onbekend,Onbekend Hoofdstuk,3,Kevtij[f ...... gi k]iest
Onbekend,Onbekend Hoofdstuk,4,Kerstine wet ende v seluen verliest
Onbekend,Onbekend Hoofdstuk,5,Dat es iam[m]er groot
Onbekend,Onbekend Hoofdstuk,6,Aymijn sei[d.] hennes geen noot
Onbekend,Onbekend Hoofdstuk,7,Dat gi mi cl[a]get dat seggic v
Onbekend,Onbekend Hoofdstuk,8,Doet uwen kempe comen nv
Onbekend,Onbekend Hoofdstuk,9,Vpt velt het es tij[t]
Onbekend,Onbekend Hoofdstuk,10,Daer wi sullen [..... s]trijt
Onbekend,Onbekend Hoofdstuk,11,Yuorijn s[eid]e [het wo]rt gedaen
Onbekend,Onbekend Hoofdstuk,12,Here gallas vant up staan
Onbekend,Onbekend Hoofdstuk,13,Biet hem den hantscoe desen
Onbekend,Onbekend Hoofdstuk,14,Gi moet mijn campioen wesen
Onbekend,Onbekend Hoofdstuk,15,Gallas seide het wort gedaen
Onbekend,Onbekend Hoofdstuk,16,Die ruse hi es up gestaen
Onbekend,Onbekend Hoofdstuk,17,Die staerc was ende groot
Onbekend,Onbekend Hoofdstuk,18,Den hantscoe hi aymine boot
Onbekend,Onbekend Hoofdstuk,19,Nemt seit hi onsalich wicht
Onbekend,Onbekend Hoofdstuk,20,Vwe tale wort geswicht
Onbekend,Onbekend Hoofdstuk,21,Eer nemmer lijdt vespertijt
Onbekend,Onbekend Hoofdstuk,22,Nv heuestu al dine tijt
Onbekend,Onbekend Hoofdstuk,23,Gheleuet ic ben so grot
Onbekend,Onbekend Hoofdstuk,24,Met minen wsten sloege ic v doot
Onbekend,Onbekend Hoofdstuk,25,Doe antworde aymijn
Onbekend,Onbekend Hoofdstuk,26,Alsidi groet here sarrasijn
Onbekend,Onbekend Hoofdstuk,27,Vwe geloue die sijn quaet
Onbekend,Onbekend Hoofdstuk,28,Dat es mi een rikelijc toeverlaet
Onbekend,Onbekend Hoofdstuk,29,Die duuel es groot nochtan es hi
Onbekend,Onbekend Hoofdstuk,30,Niet te beter sone sidi
Onbekend,Onbekend Hoofdstuk,31,Gallas seide zwiget wicht
Onbekend,Onbekend Hoofdstuk,32,Dine tale wort geswicht
Onbekend,Onbekend Hoofdstuk,33,Waren wi in dat crijt
Onbekend,Onbekend Hoofdstuk,34,Gawi danne hets groot tijt
Onbekend,Onbekend Hoofdstuk,35,Omme vichten langet mi so sere
Onbekend,Onbekend Hoofdstuk,36,Gallas seide dine were
Onbekend,Onbekend Hoofdstuk,37,Wort cortelik[e ged]aen
Onbekend,Onbekend Hoofdstuk,38,Gaet voren ic volge [v ....]
Onbekend,Onbekend Hoofdstuk,39,[...............]
Onbekend,Onbekend Hoofdstuk,40,[...............]
Onbekend,Onbekend Hoofdstuk,41,[...............]
Onbekend,Onbekend Hoofdstuk,42,[...............]
Onbekend,Onbekend Hoofdstuk,43,God son[e he]lich [........]
Onbekend,Onbekend Hoofdstuk,40,III persone die [.........]
Onbekend,Onbekend Hoofdstuk,45,Wesen een waer[.........]
Onbekend,Onbekend Hoofdstuk,46,Die bouen der wa[........]
Onbekend,Onbekend Hoofdstuk,47,Jnden hemel [.........]
Onbekend,Onbekend Hoofdstuk,48,Daer v louen[.........]
Onbekend,Onbekend Hoofdstuk,45,Bouen in uwe[.........]
Onbekend,Onbekend Hoofdstuk,50,Here ende ghi om[m.......]
Onbekend,Onbekend Hoofdstuk,51,Liet die blisca[........]
Onbekend,Onbekend Hoofdstuk,52,Ende quaemt i[n .......]
