author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,[............]en hertoge scouwen
Onbekend,Onbekend Hoofdstuk,2,[.........]ont here was
Onbekend,Onbekend Hoofdstuk,3,[.........] turnen in dat gras
Onbekend,Onbekend Hoofdstuk,4,[..........]as niet clene
Onbekend,Onbekend Hoofdstuk,5,[.........]ongijst aIlene
Onbekend,Onbekend Hoofdstuk,6,[.........] die daer waren
Onbekend,Onbekend Hoofdstuk,7,[.........g]hen hem gheuaren
Onbekend,Onbekend Hoofdstuk,8,[..........em] opdieheyde
Onbekend,Onbekend Hoofdstuk,9,[.........]rtoghinne ende seide
Onbekend,Onbekend Hoofdstuk,10,[........]wen minen man
Onbekend,Onbekend Hoofdstuk,11,[.........n] ghelaten can
Onbekend,Onbekend Hoofdstuk,12,[.........]dat menne minne
Onbekend,Onbekend Hoofdstuk,13,[.........]e suster vriendinne
Onbekend,Onbekend Hoofdstuk,14,[.........] te zere uwen man
Onbekend,Onbekend Hoofdstuk,15,[..........]iement winnen an
Onbekend,Onbekend Hoofdstuk,16,[........]hier ghemene
Onbekend,Onbekend Hoofdstuk,17,[..........]r allene
Onbekend,Onbekend Hoofdstuk,18,[........]ghine mint v leuen
Onbekend,Onbekend Hoofdstuk,19,[.........] dat spul bezeuen
Onbekend,Onbekend Hoofdstuk,20,[........]ture dats wel anschijn
Onbekend,Onbekend Hoofdstuk,21,[..........s]almen sien om [ts]ijn
Onbekend,Onbekend Hoofdstuk,22,[........] en mach
Onbekend,Onbekend Hoofdstuk,23,[........] nemmer ge[wa]ch
Onbekend,Onbekend Hoofdstuk,24,[........t es] hi coene
Onbekend,Onbekend Hoofdstuk,25,[........]int mit hem te doene
Onbekend,Onbekend Hoofdstuk,26,[..........]hen gheuen wi prijs
Onbekend,Onbekend Hoofdstuk,27,[...........m]aket jolijs
Onbekend,Onbekend Hoofdstuk,28,[.........] mogen ghelden
Onbekend,Onbekend Hoofdstuk,29,[.........]ldic scelden
Onbekend,Onbekend Hoofdstuk,30,[........] so waer ic sot
Onbekend,Onbekend Hoofdstuk,31,[.........]nt dat jonne v god
Onbekend,Onbekend Hoofdstuk,32,[........] gans v wel
Onbekend,Onbekend Hoofdstuk,33,[.........] ende spel
Onbekend,Onbekend Hoofdstuk,34,[.......]y die si saghen
Onbekend,Onbekend Hoofdstuk,35,[........] al ghewaghen
Onbekend,Onbekend Hoofdstuk,36,[........] staat tonberne
Onbekend,Onbekend Hoofdstuk,37,[........v]an palerne
