author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,Dat ic segge dats [in] spele
Onbekend,Onbekend Hoofdstuk,2,Si custen dicke ende vele
Onbekend,Onbekend Hoofdstuk,3,Daert haer brueder toe sach
Onbekend,Onbekend Hoofdstuk,4,Si seide bi gode in mach
Onbekend,Onbekend Hoofdstuk,5,Niet mesdoen baldarijs
Onbekend,Onbekend Hoofdstuk,6,Al cussic den here malegijs
Onbekend,Onbekend Hoofdstuk,7,Nochtan dunct mi an v gelaet
Onbekend,Onbekend Hoofdstuk,8,Dorsti ghi sout spreken quaet
Onbekend,Onbekend Hoofdstuk,9,Soe wie dier quaet af s[e]gt
Onbekend,Onbekend Hoofdstuk,10,Duncti mi wel quaet ontwect
Onbekend,Onbekend Hoofdstuk,11,Ic minnen soe doetti mi
Onbekend,Onbekend Hoofdstuk,12,Baldarijs sprac suster dat si
Onbekend,Onbekend Hoofdstuk,13,Dat ghine mint dats hem quaet
Onbekend,Onbekend Hoofdstuk,14,Ghi sijt te sot in uwen staat
Onbekend,Onbekend Hoofdstuk,15,Ende alte seere op hem ver[cr]ocht
Onbekend,Onbekend Hoofdstuk,16,Die dit voort heeft brocht
Onbekend,Onbekend Hoofdstuk,17,Sprac van rosefloer oriande
Onbekend,Onbekend Hoofdstuk,10,Duncti mi wel quaet ontwect
Onbekend,Onbekend Hoofdstuk,19,Alwaer hi noch eens mijn br[oe]der
Onbekend,Onbekend Hoofdstuk,20,Ic ben der redene uroeder
Onbekend,Onbekend Hoofdstuk,21,Datti noit minne en droech
Onbekend,Onbekend Hoofdstuk,22,Die hem op sijn herte woech
Onbekend,Onbekend Hoofdstuk,23,Hi es turliaen ende ruut
Onbekend,Onbekend Hoofdstuk,24,Heefti snachs I bruut
Onbekend,Onbekend Hoofdstuk,25,Daer hi smorgens af es quite
Onbekend,Onbekend Hoofdstuk,26,Dats altoes sine vite
Onbekend,Onbekend Hoofdstuk,27,Das minne gelijc eenre beeste
Onbekend,Onbekend Hoofdstuk,28,Edele minne metter keeste
Onbekend,Onbekend Hoofdstuk,29,Ees hem herde ombekent
Onbekend,Onbekend Hoofdstuk,30,Hi wanet sien ende es blent
Onbekend,Onbekend Hoofdstuk,31,[W]ant hem dunct dat ic mesdoe
Onbekend,Onbekend Hoofdstuk,32,[D]at ic iegen mijn lief spade ende vroe
Onbekend,Onbekend Hoofdstuk,33,[A]ntiere daer ic mach
Onbekend,Onbekend Hoofdstuk,34,[A]ltoes hebbic lief inden dach
Onbekend,Onbekend Hoofdstuk,35,[M]ijn lief te siene bi sonne schine
Onbekend,Onbekend Hoofdstuk,36,[R]echte minners plegen niet sine
Onbekend,Onbekend Hoofdstuk,37,[A]llene bedect inden nacht
Onbekend,Onbekend Hoofdstuk,38,[A]ldus plege daer minne cracht
Onbekend,Onbekend Hoofdstuk,39,[D]at si haer toent telker stede
Onbekend,Onbekend Hoofdstuk,40,[M]aer bastige minne es I sede
Onbekend,Onbekend Hoofdstuk,41,[D]at mense emmer decken moet
Onbekend,Onbekend Hoofdstuk,42,[W]ant bestige minne sijts vroet
Onbekend,Onbekend Hoofdstuk,43,[P]roeuic bi natueren blent
Onbekend,Onbekend Hoofdstuk,44,[A]n haer so es natuere bekent
Onbekend,Onbekend Hoofdstuk,45,[B]eide troest ende raet
Onbekend,Onbekend Hoofdstuk,46,[S]onder als die vede staat
Onbekend,Onbekend Hoofdstuk,47,[D]an driuen si haer feeste
Onbekend,Onbekend Hoofdstuk,48,[Met] genoechte als I beeste
Onbekend,Onbekend Hoofdstuk,49,[B]eestich heetic dese minne
Onbekend,Onbekend Hoofdstuk,50,[B]aldarijs broeder in uwen sinne
Onbekend,Onbekend Hoofdstuk,51,[...............]
Onbekend,Onbekend Hoofdstuk,52,[...............]
Onbekend,Onbekend Hoofdstuk,53,[...............]
Onbekend,Onbekend Hoofdstuk,54,[...............]
Onbekend,Onbekend Hoofdstuk,55,[.......] hebben lief
Onbekend,Onbekend Hoofdstuk,56,[Maer] ghi ende menich ander d[...]
