author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,[...............]
Onbekend,Onbekend Hoofdstuk,2,[E]nde alle die ridders die waren daer
Onbekend,Onbekend Hoofdstuk,3,[M]et hem int pawelioen te sine
Onbekend,Onbekend Hoofdstuk,4,Heuet madelghijs sonder pine
Onbekend,Onbekend Hoofdstuk,5,Al naect ende sonder scoen
Onbekend,Onbekend Hoofdstuk,6,Also wide alst pawelioen
Onbekend,Onbekend Hoofdstuk,7,Ende staen recht an trans
Onbekend,Onbekend Hoofdstuk,8,Als van doden lieden I dans
Onbekend,Onbekend Hoofdstuk,9,Ware gemaect bi mire wet
Onbekend,Onbekend Hoofdstuk,10,Es dat waer sprac spyet
Onbekend,Onbekend Hoofdstuk,11,Ende gaf enen groten scach
Onbekend,Onbekend Hoofdstuk,12,Dats tnieuste dat ic noit sach
Onbekend,Onbekend Hoofdstuk,13,So wat dat mi dar na gesciet
Onbekend,Onbekend Hoofdstuk,14,Langer ne bliuic hier niet
Onbekend,Onbekend Hoofdstuk,15,Jc moet dat wonder gaen besien
Onbekend,Onbekend Hoofdstuk,16,Nv hort van den goeden viuien
Onbekend,Onbekend Hoofdstuk,17,Madelghijs broeder die es comen
Onbekend,Onbekend Hoofdstuk,18,Daer hi den coninc heift vernomen
Onbekend,Onbekend Hoofdstuk,19,Ende al die ridders antrans
Onbekend,Onbekend Hoofdstuk,20,Als wide alst pawelioen I dans
Onbekend,Onbekend Hoofdstuk,21,Ende athenoer in die middewaert
Onbekend,Onbekend Hoofdstuk,22,Viuien was noit so veruaerd
Onbekend,Onbekend Hoofdstuk,23,Als hi was sonder waen
Onbekend,Onbekend Hoofdstuk,24,Doe hi dat volc also sach staan
Onbekend,Onbekend Hoofdstuk,25,Tenen danse an I rinc
Onbekend,Onbekend Hoofdstuk,26,Ende athenoer die coninc
Onbekend,Onbekend Hoofdstuk,27,Hilt die tortijse alst ware I scu
Onbekend,Onbekend Hoofdstuk,28,Viuien seide wat sie ic nv
Onbekend,Onbekend Hoofdstuk,29,Dit heift gedaen die truwant
Onbekend,Onbekend Hoofdstuk,30,Diere gistren cam hets I viant
Onbekend,Onbekend Hoofdstuk,31,Dat mach men an dit ghewerke sien
Onbekend,Onbekend Hoofdstuk,32,Doe trac in den dans viuien
Onbekend,Onbekend Hoofdstuk,33,Die coninc es doot dat dinke mien
Onbekend,Onbekend Hoofdstuk,34,[...............]
Onbekend,Onbekend Hoofdstuk,35,[...............]
Onbekend,Onbekend Hoofdstuk,36,[...............]
Onbekend,Onbekend Hoofdstuk,37,[...............]
Onbekend,Onbekend Hoofdstuk,38,[...............]
Onbekend,Onbekend Hoofdstuk,39,[...............]
Onbekend,Onbekend Hoofdstuk,40,[...............]
Onbekend,Onbekend Hoofdstuk,41,Gawi ons wapenen clene ende groot
Onbekend,Onbekend Hoofdstuk,35,Dese dinken mi alle doot
Onbekend,Onbekend Hoofdstuk,43,Sine mogen spreken groot no clene
Onbekend,Onbekend Hoofdstuk,44,Ende si ademen alle ge[me]ne
Onbekend,Onbekend Hoofdstuk,45,Daertoe hebben si vaerwe goet
Onbekend,Onbekend Hoofdstuk,46,Dit horde spyet daer hi stoet
Onbekend,Onbekend Hoofdstuk,40,Ende loech vtermaten sere
Onbekend,Onbekend Hoofdstuk,48,Ende seide ne droeuet nemmere
Onbekend,Onbekend Hoofdstuk,49,Het beghint den oesten naken
Onbekend,Onbekend Hoofdstuk,50,Ghi mogeter goede scuwe of maken
Onbekend,Onbekend Hoofdstuk,51,Ende setse int coren metter spoet
Onbekend,Onbekend Hoofdstuk,45,Daer toe sijn si alle goet
Onbekend,Onbekend Hoofdstuk,53,Niewaer toe beter dinke mien
Onbekend,Onbekend Hoofdstuk,54,Nv vanc nv vanc sprac viuien
Onbekend,Onbekend Hoofdstuk,55,Dat wicht ne lates niet
Onbekend,Onbekend Hoofdstuk,56,Het heift ons gedaen verdriet
Onbekend,Onbekend Hoofdstuk,50,Tachterst doet hier dure leet
Onbekend,Onbekend Hoofdstuk,58,Ende men na hem vaste reet
Onbekend,Onbekend Hoofdstuk,59,Het maketse mat vp die heide
Onbekend,Onbekend Hoofdstuk,60,Ende versloech vp die steide
Onbekend,Onbekend Hoofdstuk,61,XX van onsen maisnieden
Onbekend,Onbekend Hoofdstuk,55,Spiet seide wacht die lieden
Onbekend,Onbekend Hoofdstuk,63,Die daer dansen dat si niet vallen
Onbekend,Onbekend Hoofdstuk,64,Jc ne gaue niet om al v callen
Onbekend,Onbekend Hoofdstuk,65,Niet I slee des sijt wijs
Onbekend,Onbekend Hoofdstuk,66,Doe cam mijn here madelghijs
Onbekend,Onbekend Hoofdstuk,60,Ende meester yuerd sonder beiden
Onbekend,Onbekend Hoofdstuk,68,Vp dat ors beyaerd gereiden
Onbekend,Onbekend Hoofdstuk,69,Ende hadden getrect die swaerde baer
Onbekend,Onbekend Hoofdstuk,70,Die sarrasine vloen hier ende daer
Onbekend,Onbekend Hoofdstuk,71,Als die sere waren veruaerd
Onbekend,Onbekend Hoofdstuk,65,Doe ginc biten tors beyaerd
Onbekend,Onbekend Hoofdstuk,73,[...............]
Onbekend,Onbekend Hoofdstuk,74,[...............]
Onbekend,Onbekend Hoofdstuk,75,[...............]
Onbekend,Onbekend Hoofdstuk,76,[...............]
Onbekend,Onbekend Hoofdstuk,77,[...............]
Onbekend,Onbekend Hoofdstuk,78,[...............]
Onbekend,Onbekend Hoofdstuk,79,[...............]
Onbekend,Onbekend Hoofdstuk,80,[...............]
Onbekend,Onbekend Hoofdstuk,66,Om den dans d[ie]n ghi[....]
Onbekend,Onbekend Hoofdstuk,82,Hebt gemae[ct.........]
Onbekend,Onbekend Hoofdstuk,83,Ende clagen [den coninc at]henoer
Onbekend,Onbekend Hoofdstuk,84,Jc wilde oriande van rosefloer
Onbekend,Onbekend Hoofdstuk,70,Moeste sien den scufuut
Onbekend,Onbekend Hoofdstuk,86,Die daer staet naecter huut
Onbekend,Onbekend Hoofdstuk,87,Ghebonden an sinen mast
Onbekend,Onbekend Hoofdstuk,88,Ende emmer hout hi die kaerse vast
Onbekend,Onbekend Hoofdstuk,89,Jc weet wel dat hi waent
Onbekend,Onbekend Hoofdstuk,75,Brudecome sijn in deser maent
Onbekend,Onbekend Hoofdstuk,91,Ende leert niewe dancerie
Onbekend,Onbekend Hoofdstuk,92,Jc wane verheeschet sine amie
Onbekend,Onbekend Hoofdstuk,93,Hare herte wert gelaeft
Onbekend,Onbekend Hoofdstuk,94,Sine huut es swart alst ware I rauen
Onbekend,Onbekend Hoofdstuk,80,Madelghiis seide dat es goet
Onbekend,Onbekend Hoofdstuk,96,Gawi spyet metter spoet
Onbekend,Onbekend Hoofdstuk,97,Des wi comen te rosefloer
Onbekend,Onbekend Hoofdstuk,98,Laet staan den coninc athenoer
Onbekend,Onbekend Hoofdstuk,99,Jc wane hem droemt om orianden
Onbekend,Onbekend Hoofdstuk,85,Jc wane noit so vele scanden
Onbekend,Onbekend Hoofdstuk,101,Was gedaen manne die leift
Onbekend,Onbekend Hoofdstuk,102,Als madelghijs beraden heeft.
Onbekend,Onbekend Hoofdstuk,103,Athenoere ende de sine
Onbekend,Onbekend Hoofdstuk,104,Viuien hadde an wapine
Onbekend,Onbekend Hoofdstuk,90,Ende volgede den here madelghijs
Onbekend,Onbekend Hoofdstuk,106,Maer hine mochte in gere wijs
Onbekend,Onbekend Hoofdstuk,107,Tors beyaerd achter halen
Onbekend,Onbekend Hoofdstuk,108,Si ontreden binder salen
Onbekend,Onbekend Hoofdstuk,109,Te rosefloer vp dien dach
Onbekend,Onbekend Hoofdstuk,95,Als baldarijs madelghijs sach
Onbekend,Onbekend Hoofdstuk,111,Ontfinc hine met soeter tale
Onbekend,Onbekend Hoofdstuk,112,[...............]
Onbekend,Onbekend Hoofdstuk,113,[...............]
Onbekend,Onbekend Hoofdstuk,114,[...............]
Onbekend,Onbekend Hoofdstuk,115,[...............]
Onbekend,Onbekend Hoofdstuk,116,[...............]
Onbekend,Onbekend Hoofdstuk,117,[...............]
Onbekend,Onbekend Hoofdstuk,118,[...............]
Onbekend,Onbekend Hoofdstuk,119,[Jn onmacht] I lange stont
Onbekend,Onbekend Hoofdstuk,120,Alsoe [becam] dat si iou cont
Onbekend,Onbekend Hoofdstuk,121,Riep soe drie weruen lief
Onbekend,Onbekend Hoofdstuk,100,Die mi solaes ende grief
Onbekend,Onbekend Hoofdstuk,123,Bede mach nemen ende geuen
Onbekend,Onbekend Hoofdstuk,124,Ende an wien dat al mijn leuen
Onbekend,Onbekend Hoofdstuk,125,Staat gewortelt dat hi
Onbekend,Onbekend Hoofdstuk,126,Met I worde mochte mi
Onbekend,Onbekend Hoofdstuk,105,Doden ofte geuen lijf
Onbekend,Onbekend Hoofdstuk,128,Nochtan weitic wel dat geen [...]
Onbekend,Onbekend Hoofdstuk,129,Es sculdech te makene mare
Onbekend,Onbekend Hoofdstuk,130,Enegen man hoe dat in hare
Onbekend,Onbekend Hoofdstuk,131,Sine minne es geplant
Onbekend,Onbekend Hoofdstuk,110,Maer lief ghine sijt geen calant
Onbekend,Onbekend Hoofdstuk,133,Loos fel no ongewe[t]ich
Onbekend,Onbekend Hoofdstuk,134,Ne ware ter doget so gepetich
Onbekend,Onbekend Hoofdstuk,135,Dat in iou nes geen lac
Onbekend,Onbekend Hoofdstuk,136,Naturlijc lief dat niet ne brac
Onbekend,Onbekend Hoofdstuk,115,Mine herte alsoe sach iu
Onbekend,Onbekend Hoofdstuk,138,Dats meer dan wonder ic toocht v
Onbekend,Onbekend Hoofdstuk,139,Ghi sijt mijn ruste ende mijn delij[.]
Onbekend,Onbekend Hoofdstuk,140,Slapende wakende in alre tijt
Onbekend,Onbekend Hoofdstuk,141,Bemic iv so waer ghi weest
Onbekend,Onbekend Hoofdstuk,120,Vercoren lief al dus eist
Onbekend,Onbekend Hoofdstuk,143,Wonder dat soe niet ne brac
Onbekend,Onbekend Hoofdstuk,144,Mine herte eric sprac
Onbekend,Onbekend Hoofdstuk,145,Die dus vul es van iouwen parcel[..]
Onbekend,Onbekend Hoofdstuk,146,Sagic liggen al die fardelen
Onbekend,Onbekend Hoofdstuk,125,Van al den mannen die nv leuen
Onbekend,Onbekend Hoofdstuk,148,Lief sone wistic mi hoe gev[..]
Onbekend,Onbekend Hoofdstuk,149,Te geens mans dienste dan ten u[...]
Onbekend,Onbekend Hoofdstuk,150,Athenoer wilde mi doen huw[e]n
Onbekend,Onbekend Hoofdstuk,151,[...............]
Onbekend,Onbekend Hoofdstuk,152,[...............]
Onbekend,Onbekend Hoofdstuk,153,[...............]
Onbekend,Onbekend Hoofdstuk,154,[...............]
Onbekend,Onbekend Hoofdstuk,155,[...............]
Onbekend,Onbekend Hoofdstuk,156,[...............]
Onbekend,Onbekend Hoofdstuk,157,[...............]
Onbekend,Onbekend Hoofdstuk,158,[...............]
Onbekend,Onbekend Hoofdstuk,159,[...............]
Onbekend,Onbekend Hoofdstuk,160,Staat buter stat van rosefloer
Onbekend,Onbekend Hoofdstuk,130,Nae[c]t geb[on]den an sinen mast
Onbekend,Onbekend Hoofdstuk,162,Ende hout e[m]mer die kaerse vast
Onbekend,Onbekend Hoofdstuk,163,Als I man die staat in trans
Onbekend,Onbekend Hoofdstuk,164,Al omtrent hem I dans
Onbekend,Onbekend Hoofdstuk,165,Van naecten ridders dare C es an
Onbekend,Onbekend Hoofdstuk,135,Ende hi es selue die speleman
Onbekend,Onbekend Hoofdstuk,167,Want hi in den middel staat
Onbekend,Onbekend Hoofdstuk,168,Dat heuet al gedaen mijn raet
Onbekend,Onbekend Hoofdstuk,169,Dus heift hi iouwe minne beseurt
Onbekend,Onbekend Hoofdstuk,170,Bi gode vrouwe sprac meester yuerd
Onbekend,Onbekend Hoofdstuk,140,Als hi den ooninc naect bant
Onbekend,Onbekend Hoofdstuk,172,Entie tortijtse gaf in die hant
Onbekend,Onbekend Hoofdstuk,173,Ende vpt houet I veltijn hoet
Onbekend,Onbekend Hoofdstuk,174,Jc loech so sere daer ic stoet
Onbekend,Onbekend Hoofdstuk,175,Dat mi dochte dat ic spleet
