author,chapter,line,text
Hadewijch,1,1,God si met v; van mijnre groeten
Hadewijch,1,2,Mach v clene virtuut ontmoeten;
Hadewijch,1,3,Dan omme dat ghijt hebben wout
Hadewijch,1,4,"Ende ghiere mede spelen sout,"
Hadewijch,1,5,"So antwerdic v in spele,"
Hadewijch,1,6,"Met corten worden ende niet te vele,"
Hadewijch,1,7,Daer ghi mi af spreken hiet.
Hadewijch,1,8,Mi es als enen kinde ghesciet
Hadewijch,1,9,"Dat na sprect dat het spreken hoert,"
Hadewijch,1,10,Eert bekint heeft oft becoert.
Hadewijch,1,11,"Der minneun natuere es mi oncont,"
Hadewijch,1,12,Want hare wesen ende hare gront
Hadewijch,1,13,Es verborghen ieghen mi.
Hadewijch,1,14,"Hoe mi daer af te moede si,"
Hadewijch,1,15,Dats mi also goet versweghen
Hadewijch,1,16,Alse te vremder stat ghedreghen.
Hadewijch,1,17,Die minne moet v doen bekinnen
Hadewijch,1,18,Hoe men met minnen mint in minnen.
Hadewijch,1,19,Hare natuere doe v verstaen in niet
Hadewijch,1,20,Hoe men met niede in niede besiet.
Hadewijch,1,21,God doe v in uwe ghebreken pinen
Hadewijch,1,22,Ende verstaen in uwe vercrighen;
Hadewijch,1,23,God doe v in onthopen leuen
Hadewijch,1,24,"Met alden dienste die ghi moghet gheuen,"
Hadewijch,1,25,Ende daer na in hopen te ghecrighenne
Hadewijch,1,26,Ende in minnen nature niet tontblienne.
Hadewijch,1,27,Dit en seidic dus niet om dat ic woude
Hadewijch,1,28,"Vore v bidden noch dore v houde,"
Hadewijch,1,29,"Maer dat ghijt woudt in groeten hebben,"
Hadewijch,1,30,Daer omme moestict v dus segghen.
Hadewijch,1,31,"Hoe minne hare natuere pleghet,"
Hadewijch,1,32,"Hoe minne nemet ende gheuet,"
Hadewijch,1,33,Dat es in menigherhande manieren
Hadewijch,1,34,Daer si hare wesen met doet scieren.
Hadewijch,1,35,In minnen wesen es al beloken:
Hadewijch,1,36,"Vercrighen, ghebreken, hopen, onthopen."
Hadewijch,1,37,Ende dat es namelike niet
Hadewijch,1,38,Al dat menre af horet ende siet
Hadewijch,1,39,Ende bekinnen mach ende verstaen:
Hadewijch,1,40,Dats onuercreghen ende onghedaen.
Hadewijch,1,41,"Die der minnen wilt sijn na minnen ghetame,"
Hadewijch,1,42,Hi moet in allen sijn minsame.
Hadewijch,1,43,Hem moet dore minne alle leet ghenoeghen;
Hadewijch,1,44,"Hi moet hem tallen dinghen voeghen,"
Hadewijch,1,45,"Beide in lichte ocht in sware,"
Hadewijch,1,46,Ghelijc oft hi haer eyghen ware;
Hadewijch,1,47,"Hine mach ontsien en ghene noet,"
Hadewijch,1,48,"Anxt noch pine, scade noch doet;"
Hadewijch,1,49,Dat hi heeft moet hi toe gheuen;
Hadewijch,1,50,Daer hi mint moet hi op leuen.
Hadewijch,1,51,Ende als hi alre gherenst name
Hadewijch,1,52,Jn minnen wesen minsame
Hadewijch,1,53,Na gheuoelen ende hoghe bekinnen
Hadewijch,1,54,"Jn hoghen verstane der naturen der minnen,"
Hadewijch,1,55,So ualt hi neder so int niet;
Hadewijch,1,56,Dat hi nochtan hoert ende siet
Hadewijch,1,57,"Ende inder minnen nature versteet,"
Hadewijch,1,58,Dat dunct hem verre ende onghereet.
Hadewijch,1,59,Nature eiscet soe met storme naturen
Hadewijch,1,60,"Ende doetse in ongheduerne dueren,"
Hadewijch,1,61,"Die niedt verswelghet so al hare gheuen,"
Hadewijch,1,62,Dat si dies seden altoes moet pleghen.
Hadewijch,1,63,Vercrighen doet den sin faelgieren
Hadewijch,1,64,Ende toecomen van menegher manieren.
Hadewijch,1,65,Want als men raste heeft swijcht men stille;
Hadewijch,1,66,"Dan dademen niet, haddemen onwille."
Hadewijch,1,67,Die raste vercrighet wilt dicke sijn
Hadewijch,1,68,Jnt heerscap vander minnen fijn.
Hadewijch,1,69,So es hi comen quansijs te houe
Hadewijch,1,70,Ende waent wonen in die gheloue
Hadewijch,1,71,"Vanden ghetroesten ende int gheuen,"
Hadewijch,1,72,Daer hi langhe sal sonder leuen.
Hadewijch,1,73,Vercrighen hoghet oec den sin
Hadewijch,1,74,Jn menich herde fier ghewin;
Hadewijch,1,75,"Want hi vercrighet daer hi na pijnt,"
Hadewijch,1,76,Jc pense dat hem vroude ane scijnt;
Hadewijch,1,77,Want hi droeft die daer te dienste steet
Hadewijch,1,78,Daer sijn ghewijn es onghereet.
Hadewijch,1,79,Maer ioesten ende hoghe daet
Hadewijch,1,80,"Doet hi dicke dat wale staet,"
Hadewijch,1,81,De ghene die met fieren sinne
Hadewijch,1,82,Waent vercrighen gherechte minne;
Hadewijch,1,83,Ghelijc dat die ridderen coene
Hadewijch,1,84,Van fierheiden pleghen te doene
Hadewijch,1,85,Scoenheiden an haren scacht:
Hadewijch,1,86,"Daer bi versteet men haerre fierheit cracht,"
Hadewijch,1,87,Ende dat si bi diere daet ghewinnen
Hadewijch,1,88,Hulde der stat daer si minnen;
Hadewijch,1,89,Also doet oec die edele sin
Hadewijch,1,90,Daer nature met niede es in:
Hadewijch,1,91,"Enltdegt es in minnen delite so hoghe,"
Hadewijch,1,92,"Noch pinen van so groten ghedoghe,"
Hadewijch,1,93,"Die hare fierheit laet ontbliuen,"
Hadewijch,1,94,Sine willet ouer recht ghecrighen.
Hadewijch,1,95,"Onuercrighen es hoghere daet,"
Hadewijch,1,96,Die daer met sterken niede in staet.
Hadewijch,1,97,Want die weet wat hem gheberst
Hadewijch,1,98,"Hi es die ghene die niet en verst,"
Hadewijch,1,99,Op dat hi weet waer die stat sy
Hadewijch,1,100,Daer sijn wesen ware vri;
Hadewijch,1,101,Sone sal hi ghene pine sparen:
