author,chapter,line,text
Lodewijk van Velthem,Onbekend Hoofdstuk,1,Om dien maras dier om ginc.
Lodewijk van Velthem,Onbekend Hoofdstuk,2,"Dus lagensi daer lange na die dinc,"
Lodewijk van Velthem,Onbekend Hoofdstuk,3,"entie coningin Eleine, die ter stede"
Lodewijk van Velthem,Onbekend Hoofdstuk,4,"binnen was, ende haer suster mede"
Lodewijk van Velthem,Onbekend Hoofdstuk,5,hadden groten anxt dat si
Lodewijk van Velthem,Onbekend Hoofdstuk,6,"verraden mochten werden yegeren (?) bi,"
Lodewijk van Velthem,Onbekend Hoofdstuk,7,"oft gevaen, ende weende sere"
Lodewijk van Velthem,Onbekend Hoofdstuk,8,"dicwile daer om haren here,"
Lodewijk van Velthem,Onbekend Hoofdstuk,9,dat elc so lange marret mede.
Lodewijk van Velthem,Onbekend Hoofdstuk,10,Graciaen troeste sere ter stede
Lodewijk van Velthem,Onbekend Hoofdstuk,11,"ende seide si souden, sonder waen,"
Lodewijk van Velthem,Onbekend Hoofdstuk,12,goet soccors hebben saen;
Lodewijk van Velthem,Onbekend Hoofdstuk,13,"dus troesti die vrouwe fijn,"
Lodewijk van Velthem,Onbekend Hoofdstuk,14,"ende hi had enen sone, hiet Banijn,"
Lodewijk van Velthem,Onbekend Hoofdstuk,15,"ende sijn peter was die coninc Ban,"
Lodewijk van Velthem,Onbekend Hoofdstuk,16,"ende hi was i scone ioncman,"
Lodewijk van Velthem,Onbekend Hoofdstuk,17,ende hi was Leonses maech mede;
Lodewijk van Velthem,Onbekend Hoofdstuk,18,ende doe Leonse wiste die waerheide
Lodewijk van Velthem,Onbekend Hoofdstuk,19,"dattie casteel belegen was,"
Lodewijk van Velthem,Onbekend Hoofdstuk,20,"ontboet hi Antianne na das,"
Lodewijk van Velthem,Onbekend Hoofdstuk,21,"den drossate, dat hine come pplien (?) nu;"
Lodewijk van Velthem,Onbekend Hoofdstuk,22,ende hi quam tot hem secgic u.
Lodewijk van Velthem,Onbekend Hoofdstuk,23,Doe hiet hine al hemelijc varen
Lodewijk van Velthem,Onbekend Hoofdstuk,24,"tote Biroske int foreest, twaren,"
Lodewijk van Velthem,Onbekend Hoofdstuk,25,met sinen ende onbeit ons daer naer
Lodewijk van Velthem,Onbekend Hoofdstuk,26,optie fonteine ende segt daer
Lodewijk van Velthem,Onbekend Hoofdstuk,27,"nieman van al uwen lieden,"
Lodewijk van Velthem,Onbekend Hoofdstuk,28,werwaert gi sult henen riden.
Lodewijk van Velthem,Onbekend Hoofdstuk,29,Doen seide die drossate saen
Lodewijk van Velthem,Onbekend Hoofdstuk,30,dat dit wel soude sijn gedaen;
Lodewijk van Velthem,Onbekend Hoofdstuk,31,doe vor hi henen hemelijc daer
Lodewijk van Velthem,Onbekend Hoofdstuk,32,"ende Leonse van Banniin daer naer,"
Lodewijk van Velthem,Onbekend Hoofdstuk,33,"sinen neue, ende senden nu"
Lodewijk van Velthem,Onbekend Hoofdstuk,34,"tote Pharine, dat secgic u,"
Lodewijk van Velthem,Onbekend Hoofdstuk,35,om dat hi quame toter stat
Lodewijk van Velthem,Onbekend Hoofdstuk,36,daer si geviseert hadden vor dat
Lodewijk van Velthem,Onbekend Hoofdstuk,37,"int foreest, daer hi wel wiste,"
Lodewijk van Velthem,Onbekend Hoofdstuk,38,"ende dat hi emmer niet en miste,"
