author,chapter,line,text
Lodewijk van Velthem,Onbekend Hoofdstuk,25579,"[Ende daden se achter], in dese wijs"
Lodewijk van Velthem,Onbekend Hoofdstuk,25580,[Tote op Pontes ende Antonijs;]
Lodewijk van Velthem,Onbekend Hoofdstuk,3,"[Ende Keye volgede wel met]ten drake,"
Lodewijk van Velthem,Onbekend Hoofdstuk,4,"[Die hem Merlijn gaf vor] dese sake,"
Lodewijk van Velthem,Onbekend Hoofdstuk,5,[Dien groet vier uter k]elen scoet;
Lodewijk van Velthem,Onbekend Hoofdstuk,6,"Die[s noit ne sagen s]eiden bloet,"
Lodewijk van Velthem,Onbekend Hoofdstuk,25585,"He[t soude domesdach we]sen sciere,"
Lodewijk van Velthem,Onbekend Hoofdstuk,8,E[nde vervaerden hem sere] van den viere;
Lodewijk van Velthem,Onbekend Hoofdstuk,9,En[de sonder twiv]el an den drake
Lodewijk van Velthem,Onbekend Hoofdstuk,10,"Lac[h beteken]esse van groter sake,"
Lodewijk van Velthem,Onbekend Hoofdstuk,11,Wan[t tfier da]t hem uter kelen scoet;
Lodewijk van Velthem,Onbekend Hoofdstuk,25590,[D]at [martelie] bet[eke]nt groet
Lodewijk van Velthem,Onbekend Hoofdstuk,13,Van [lieden doet] te slane met
Lodewijk van Velthem,Onbekend Hoofdstuk,14,"In [sconinx Arturs] tiden, dat wet;"
Lodewijk van Velthem,Onbekend Hoofdstuk,15,"Ende, [dat sijn] stert gewrongen was,"
Lodewijk van Velthem,Onbekend Hoofdstuk,16,"Be[tekent grote verr]aetnesse das,"
Lodewijk van Velthem,Onbekend Hoofdstuk,25595,Die [in sijnselves] lie[de] was mede;
Lodewijk van Velthem,Onbekend Hoofdstuk,18,Do[e si jegen hem keerd]en ter stede
Lodewijk van Velthem,Onbekend Hoofdstuk,19,"Ende [met Mordrette] alg[ader,]"
Lodewijk van Velthem,Onbekend Hoofdstuk,20,"Daer [hi oem af wa]s ende v[ader,]"
Lodewijk van Velthem,Onbekend Hoofdstuk,21,"[Want hine wan] ane [sijnre suster met,]"
Lodewijk van Velthem,Onbekend Hoofdstuk,25600,"Des [coninx Lottes wijf was,] dat wet."
Lodewijk van Velthem,Onbekend Hoofdstuk,23,[Hierna suldi wel ver]staen di[e dinc]
Lodewijk van Velthem,Onbekend Hoofdstuk,24,Ho[e die strijt tuscen hen verginc.]
Lodewijk van Velthem,Onbekend Hoofdstuk,25,Nu [hoert hoe Randoen achter tiede]
Lodewijk van Velthem,Onbekend Hoofdstuk,26,"To[te op Pontes ende] Antonijs liede,"
Lodewijk van Velthem,Onbekend Hoofdstuk,25605,"Daer[ne die coninc Artur] opjagede doe,"
Lodewijk van Velthem,Onbekend Hoofdstuk,28,Die [den coninc Bohort hilden] alsoe
Lodewijk van Velthem,Onbekend Hoofdstuk,29,"Cor[t, dat hi] wel hadde te [done]"
Lodewijk van Velthem,Onbekend Hoofdstuk,30,"Hulp[e, ende doe sach datgone]"
Lodewijk van Velthem,Onbekend Hoofdstuk,31,"Pon[tes, dat si quamen gevloen,]"
Lodewijk van Velthem,Onbekend Hoofdstuk,25610,"Voer [hi daerjegen, ende riep doen]"
Lodewijk van Velthem,Onbekend Hoofdstuk,33,"Sijn [teken, ende sloech in daernaer;]"
Lodewijk van Velthem,Onbekend Hoofdstuk,34,"Daer [wart die strijt groet ende swaer,]"
Lodewijk van Velthem,Onbekend Hoofdstuk,35,"Doe [die vier batalien vergadert waren,]"
Lodewijk van Velthem,Onbekend Hoofdstuk,36,W[ant Walewein dreef oec daernaren]
Lodewijk van Velthem,Onbekend Hoofdstuk,25615,"F[rolles, den hertoge, op Claud]as,"
Lodewijk van Velthem,Onbekend Hoofdstuk,38,"D[ie jegen den coninc Ban in stride] was,"
Lodewijk van Velthem,Onbekend Hoofdstuk,39,[Die nu tonder was; dus wart daer]
Lodewijk van Velthem,Onbekend Hoofdstuk,40,Die strijt sterc ende swaer.
Lodewijk van Velthem,Onbekend Hoofdstuk,41,Daer dede Walewein wonder groet;
Lodewijk van Velthem,Onbekend Hoofdstuk,25620,Enne sa[c]h noit man dies genoet.
Lodewijk van Velthem,Onbekend Hoofdstuk,43,Doe [ge]viel dat Walewein na das
Lodewijk van Velthem,Onbekend Hoofdstuk,44,"Verg[a]derde an den coninc Claudas,"
Lodewijk van Velthem,Onbekend Hoofdstuk,45,D[ie daer st]reet yegen den coninc Ban
Lodewijk van Velthem,Onbekend Hoofdstuk,46,"[Met Cm] man yegen .xv. man,"
Lodewijk van Velthem,Onbekend Hoofdstuk,25625,Daer [die] coninc se[r]e tachter af was.
Lodewijk van Velthem,Onbekend Hoofdstuk,48,"W[alewein verh]ief sijn swert na das,"
Lodewijk van Velthem,Onbekend Hoofdstuk,49,Ende waende op thovet hebben geslegen
Lodewijk van Velthem,Onbekend Hoofdstuk,50,"Claudas, diere den scilt hilt yegen,"
Lodewijk van Velthem,Onbekend Hoofdstuk,51,"Dien Walewein sloech al ontwee,"
Lodewijk van Velthem,Onbekend Hoofdstuk,25630,Ende die slach ginc v[or]waert mee
Lodewijk van Velthem,Onbekend Hoofdstuk,53,"Ende [ca]mpelde nederwaert alsoe,"
Lodewijk van Velthem,Onbekend Hoofdstuk,54,"Ende sl[oe]ch den perde den hals af doe,"
Lodewijk van Velthem,Onbekend Hoofdstuk,55,"Ende si vielen beide daer,"
Lodewijk van Velthem,Onbekend Hoofdstuk,56,"Ende Walewein reet voerwa[e]rt daernaer,"
Lodewijk van Velthem,Onbekend Hoofdstuk,25635,Want hi ne kinde Claudas twint.
Lodewijk van Velthem,Onbekend Hoofdstuk,58,Hi gemoette Miseresse na tgint
Lodewijk van Velthem,Onbekend Hoofdstuk,59,[E]nde sloech hem daer af sijn hovet;
Lodewijk van Velthem,Onbekend Hoofdstuk,60,"[D]ese was vrome, dies gelovet,"
Lodewijk van Velthem,Onbekend Hoofdstuk,61,Ende was van Claudas mesniden.
Lodewijk van Velthem,Onbekend Hoofdstuk,25640,Walewein toech voert tenselven tiden
Lodewijk van Velthem,Onbekend Hoofdstuk,63,Ende clovede Antorilasse alsoe
Lodewijk van Velthem,Onbekend Hoofdstuk,64,Sijn hovet toten tanden toe;
Lodewijk van Velthem,Onbekend Hoofdstuk,65,Dus sloech hire .xx. doet;
Lodewijk van Velthem,Onbekend Hoofdstuk,66,Daer sine slage waren so groet
Lodewijk van Velthem,Onbekend Hoofdstuk,25645,Datter niemen ontbeiden dorste.
Lodewijk van Velthem,Onbekend Hoofdstuk,68,D[oe dit die coninc] Ban sach vorwaer
Lodewijk van Velthem,Onbekend Hoofdstuk,69,"[Dat Walewein, die] so jonc was,"
Lodewijk van Velthem,Onbekend Hoofdstuk,70,"[So groet won]der dede, dancte hi na das"
Lodewijk van Velthem,Onbekend Hoofdstuk,71,"[Gode, ende seide t]e Walewein doe"
Lodewijk van Velthem,Onbekend Hoofdstuk,25650,"[""Bi] Gode, here, ghi strijt hier soe,"
Lodewijk van Velthem,Onbekend Hoofdstuk,73,"""Dat ghi tswert wel verdient hebt nu,"
Lodewijk van Velthem,Onbekend Hoofdstuk,74,"""Dat die coninc Artur hevet gegeven u;"
Lodewijk van Velthem,Onbekend Hoofdstuk,75,"""Ende oec en [mochte] hi [gen]en betere[n] ter stede"
Lodewijk van Velthem,Onbekend Hoofdstuk,76,"""Sine liede hebben bevolen mede"
Lodewijk van Velthem,Onbekend Hoofdstuk,25655,"""Dan ghi s[ij]t, ende ic bidde u heden den dach"
Lodewijk van Velthem,Onbekend Hoofdstuk,78,"""Dat ic u [gesel] sijn mach."""
Lodewijk van Velthem,Onbekend Hoofdstuk,79,"[""Here, ic doe dat gerne,"" seide hi,]"
Lodewijk van Velthem,Onbekend Hoofdstuk,80,"[Ende danc] hebt dat ghijt soeket an[e mi,]"
Lodewijk van Velthem,Onbekend Hoofdstuk,81,"""Maer ic moet varen sueken minen neven"
Lodewijk van Velthem,Onbekend Hoofdstuk,25660,"[""Ende mine brueder, waer si sijn bleven,]"
Lodewijk van Velthem,Onbekend Hoofdstuk,83,"""Ende, alse ic se hebbe vonden, so sal ic [tot u]"
Lodewijk van Velthem,Onbekend Hoofdstuk,84,"""Wederkeren."" Doe seide hem nu"
Lodewijk van Velthem,Onbekend Hoofdstuk,85,"Die coninc, dat hi hem soude"
Lodewijk van Velthem,Onbekend Hoofdstuk,86,Gerne wreken also houde
Lodewijk van Velthem,Onbekend Hoofdstuk,25665,"Over Claudas, ""dien ghi [voe]rwaer"
Lodewijk van Velthem,Onbekend Hoofdstuk,88,"""Te hand ter neder sloecht [aldaer,]"
Lodewijk van Velthem,Onbekend Hoofdstuk,89,"""Ende, waer hi doet, so ware saen"
Lodewijk van Velthem,Onbekend Hoofdstuk,90,"""Mijn orloge hebben gedaen."""
Lodewijk van Velthem,Onbekend Hoofdstuk,91,"Doe seide Walewein: [""Wiseten mi""]"
Lodewijk van Velthem,Onbekend Hoofdstuk,25670,"Die coninc seide: [""Sieten hierbi]"
Lodewijk van Velthem,Onbekend Hoofdstuk,93,"""Met [genen wapenen, die ghi siet hier,]"
Lodewijk van Velthem,Onbekend Hoofdstuk,94,"""Gebl[oemet van silver, ende daernaer]"
Lodewijk van Velthem,Onbekend Hoofdstuk,95,"""Den scilt, [in midden gedeelt terstede]"
Lodewijk van Velthem,Onbekend Hoofdstuk,96,"""Van sel[ver ende van kelen bede,]"
Lodewijk van Velthem,Onbekend Hoofdstuk,25675,"""Den lee[u rampant van sable met.""]"
Lodewijk van Velthem,Onbekend Hoofdstuk,98,"Doe seide [Walewein: ""Vaste ende niet en let,]"
Lodewijk van Velthem,Onbekend Hoofdstuk,99,"""Varen [wi an hem, ende proeven wi]"
Lodewijk van Velthem,Onbekend Hoofdstuk,100,"""Onse cracht."" [Doe seide daernaer]"
Lodewijk van Velthem,Onbekend Hoofdstuk,101,"Die coninc Ban: [""Ic en gere niet meer,]"
Lodewijk van Velthem,Onbekend Hoofdstuk,25680,"""Want hi he[vet mi gescadet seer.""]"
Lodewijk van Velthem,Onbekend Hoofdstuk,103,"Doe sloeg[en si hare orse daerwaert,]"
Lodewijk van Velthem,Onbekend Hoofdstuk,104,Ende die [coninc Claudas reet metter vaert]
Lodewijk van Velthem,Onbekend Hoofdstuk,105,Jegen hem; [doe wart ter tijt]
Lodewijk van Velthem,Onbekend Hoofdstuk,106,Groet ende [vreeselic die strijt.]
