author,chapter,line,text
Lodewijk van Velthem,Onbekend Hoofdstuk,1,So wetic wel dan ouer waer
Lodewijk van Velthem,Onbekend Hoofdstuk,2,Dat gi nembermeer heer daernaer
Lodewijk van Velthem,Onbekend Hoofdstuk,13025,V lant ne hilt vort met geninde
Lodewijk van Velthem,Onbekend Hoofdstuk,4,Gine sout altoes orloge vinden
Lodewijk van Velthem,Onbekend Hoofdstuk,5,Alse lange alsi leefden nv
Lodewijk van Velthem,Onbekend Hoofdstuk,6,Her coninc artur dat segic v
Lodewijk van Velthem,Onbekend Hoofdstuk,7,Ende dadent oec die van der tauelronde
Lodewijk van Velthem,Onbekend Hoofdstuk,13030,Die coninc soude onlange stonden
Lodewijk van Velthem,Onbekend Hoofdstuk,9,Jegen die gygante hem verweren
Lodewijk van Velthem,Onbekend Hoofdstuk,10,Daer ombe so radic v gi heren
Lodewijk van Velthem,Onbekend Hoofdstuk,11,Dat gi daer vaert onder v
Lodewijk van Velthem,Onbekend Hoofdstuk,12,Alse soudire hem dienen nv
Lodewijk van Velthem,Onbekend Hoofdstuk,13035,Een jaer oft twe omtrent
Lodewijk van Velthem,Onbekend Hoofdstuk,14,Tot dat gi met hem sijt bekent
Lodewijk van Velthem,Onbekend Hoofdstuk,15,Ende gine sult oec niet lange na desen
Lodewijk van Velthem,Onbekend Hoofdstuk,16,Daer dinen gine sult daer wesen
Lodewijk van Velthem,Onbekend Hoofdstuk,17,Van hem bat ende weerder met
Lodewijk van Velthem,Onbekend Hoofdstuk,13040,Dan ieman in sijn lant dat wet
Lodewijk van Velthem,Onbekend Hoofdstuk,19,Ende ic weet wel dat hi den coninc arture
Lodewijk van Velthem,Onbekend Hoofdstuk,20,Bidden sal dat hi ter vre
Lodewijk van Velthem,Onbekend Hoofdstuk,21,Sire dochter neme tenen wiue daer
Lodewijk van Velthem,Onbekend Hoofdstuk,22,Ende als hi se gecroent heft vorwaer
Lodewijk van Velthem,Onbekend Hoofdstuk,13045,Selent die gygante weten saen
Lodewijk van Velthem,Onbekend Hoofdstuk,24,Ende dan en selense sonder waen
Lodewijk van Velthem,Onbekend Hoofdstuk,25,Niet langer dorren bliuen dan
Lodewijk van Velthem,Onbekend Hoofdstuk,26,Noch in ere haluer dachvaert an
Lodewijk van Velthem,Onbekend Hoofdstuk,27,¶ Doe antwerde merline de coninc ban
Lodewijk van Velthem,Onbekend Hoofdstuk,13050,Ende seide oft wi dus voren van dan
Lodewijk van Velthem,Onbekend Hoofdstuk,29,Wat soude van onsen lande gescien
Lodewijk van Velthem,Onbekend Hoofdstuk,30,Dat wi noch qualike hebben versien
Lodewijk van Velthem,Onbekend Hoofdstuk,31,Ende wi hebben harde felle geburen
Lodewijk van Velthem,Onbekend Hoofdstuk,32,Die ons op lopen tallen vren
Lodewijk van Velthem,Onbekend Hoofdstuk,13055,Ende onse lant woesten ende branden
Lodewijk van Velthem,Onbekend Hoofdstuk,34,Oec heft de coninc artur nv te handen
Lodewijk van Velthem,Onbekend Hoofdstuk,35,Menigen viant om hem geseten
Lodewijk van Velthem,Onbekend Hoofdstuk,36,Die dit scire souden weten
Lodewijk van Velthem,Onbekend Hoofdstuk,37,Dat wi vten lande waren
Lodewijk van Velthem,Onbekend Hoofdstuk,13060,Oec dochte mi grote doerhede twaren
Lodewijk van Velthem,Onbekend Hoofdstuk,39,Vore wi ander lant bescudden nv
Lodewijk van Velthem,Onbekend Hoofdstuk,40,Ende donse in auenturen lieten segic v
Lodewijk van Velthem,Onbekend Hoofdstuk,41,¶ Here here seide merlijn doe
Lodewijk van Velthem,Onbekend Hoofdstuk,42,Gi segt harde wale nv toe
Lodewijk van Velthem,Onbekend Hoofdstuk,13065,Maer het doet goet achterwart gaen
Lodewijk van Velthem,Onbekend Hoofdstuk,44,Om vorder te springene sonder waen
Lodewijk van Velthem,Onbekend Hoofdstuk,45,Ende wet dat wel jegen .i. penninc
Lodewijk van Velthem,Onbekend Hoofdstuk,46,Dan gi hier verliesen sult her coninc
Lodewijk van Velthem,Onbekend Hoofdstuk,47,Gi sulter .ij. hondert winnen daer
Lodewijk van Velthem,Onbekend Hoofdstuk,13070,Ende ic segt v al openbaer
Lodewijk van Velthem,Onbekend Hoofdstuk,49,Gine sulter hier verliesen borch no stene
Lodewijk van Velthem,Onbekend Hoofdstuk,50,No stat no dorp no veste ne gene
Lodewijk van Velthem,Onbekend Hoofdstuk,51,Ende gi sult winnen .i. conincrike
Lodewijk van Velthem,Onbekend Hoofdstuk,52,Dat bescermen sal ewelike
Lodewijk van Velthem,Onbekend Hoofdstuk,13075,Dit lant ende verweren al
Lodewijk van Velthem,Onbekend Hoofdstuk,54,Alse lange alse artur leuen sal
Lodewijk van Velthem,Onbekend Hoofdstuk,55,Doe seide echt de coninc ban
Lodewijk van Velthem,Onbekend Hoofdstuk,56,Merlijn gi sijt vroeder daeran
Lodewijk van Velthem,Onbekend Hoofdstuk,57,Dan wi alle sijn wetic wel
Lodewijk van Velthem,Onbekend Hoofdstuk,13080,Ende als gijt ons raet sone es niet el
Lodewijk van Velthem,Onbekend Hoofdstuk,59,Hier toe te doen dan wi ons saen
Lodewijk van Velthem,Onbekend Hoofdstuk,60,Gereiden ende die dinc ane vaen
Lodewijk van Velthem,Onbekend Hoofdstuk,61,Nu besiet wanneer dat wi
Lodewijk van Velthem,Onbekend Hoofdstuk,62,Willen porren doe seide hi
Lodewijk van Velthem,Onbekend Hoofdstuk,13085,Te half vasten sonder beiden
Lodewijk van Velthem,Onbekend Hoofdstuk,64,Ende daer binnen seldi v bereiden
Lodewijk van Velthem,Onbekend Hoofdstuk,65,Maer eer gi daerwart vart wet wel
Lodewijk van Velthem,Onbekend Hoofdstuk,66,Suldi hebben .i. batalie fel
Lodewijk van Velthem,Onbekend Hoofdstuk,67,Jegen die baroene segic v
Lodewijk van Velthem,Onbekend Hoofdstuk,13090,Die hem gederen al dat si mogen nv
Lodewijk van Velthem,Onbekend Hoofdstuk,69,Ende met alder macht di si mogen
Lodewijk van Velthem,Onbekend Hoofdstuk,70,Vercrigen sellense v orlogen
Lodewijk van Velthem,Onbekend Hoofdstuk,71,Ende gi sult ontbiden wet vorwaer
Lodewijk van Velthem,Onbekend Hoofdstuk,72,Die gi hebben moget verre ende naer
Lodewijk van Velthem,Onbekend Hoofdstuk,13095,Ende heimelijc suldi logiren dan
Lodewijk van Velthem,Onbekend Hoofdstuk,74,Jn dat foreest van bedigan
Lodewijk van Velthem,Onbekend Hoofdstuk,75,Ende ontsiet v niet want si
Lodewijk van Velthem,Onbekend Hoofdstuk,76,Selen meer scaden hebben dan gi
Lodewijk van Velthem,Onbekend Hoofdstuk,77,¶ Merlijn seide doe de coninc ban
Lodewijk van Velthem,Onbekend Hoofdstuk,13100,Ende oftic ende mijn broeder dan
Lodewijk van Velthem,Onbekend Hoofdstuk,79,Om hulpe senden souden si
Lodewijk van Velthem,Onbekend Hoofdstuk,80,Jet te tide comen doe seidi
Lodewijk van Velthem,Onbekend Hoofdstuk,81,Ja se here ende wie machse dan
Lodewijk van Velthem,Onbekend Hoofdstuk,82,Halen seide doe de coninc ban
