author,chapter,line,text
Jacob van Maerlant,Onbekend Hoofdstuk,3993,"Buten haren bedde genoet,"
Jacob van Maerlant,Onbekend Hoofdstuk,2,Die tweedeel soude bliven doet
Jacob van Maerlant,Onbekend Hoofdstuk,3995,"Vanden genen die hier staen,"
Jacob van Maerlant,Onbekend Hoofdstuk,4,Dat wetic wel al sonder waen
Jacob van Maerlant,Onbekend Hoofdstuk,5,Alse wel alsijs selve weten.
Jacob van Maerlant,Onbekend Hoofdstuk,6,Des dar ic mi wel vermeten
Jacob van Maerlant,Onbekend Hoofdstuk,7,"Dat ics licteken weet openbaer,"
Jacob van Maerlant,Onbekend Hoofdstuk,4000,Ende die vrouwen die gi spraket daer
Jacob van Maerlant,Onbekend Hoofdstuk,9,"Sijn sculdigher dan mijn moeder es,"
Jacob van Maerlant,Onbekend Hoofdstuk,10,"Want si gene scout heeft des,"
Jacob van Maerlant,Onbekend Hoofdstuk,11,Ende dat si hieran heft mesdaen
Jacob van Maerlant,Onbekend Hoofdstuk,12,"Heft hi op hem ontfaen,"
Jacob van Maerlant,Onbekend Hoofdstuk,4005,"Dese goede man, die hier steet,"
Jacob van Maerlant,Onbekend Hoofdstuk,14,Die al haer mesdaet weet;
Jacob van Maerlant,Onbekend Hoofdstuk,15,Dies mogedi hem wel vragen.
Jacob van Maerlant,Onbekend Hoofdstuk,16,"Als die scepene dat gesagen,"
Jacob van Maerlant,Onbekend Hoofdstuk,17,Riepen si den goeden man daer
Jacob van Maerlant,Onbekend Hoofdstuk,4010,Ende vrageden hem oft ware waer.
Jacob van Maerlant,Onbekend Hoofdstuk,19,"Die goede man seide: ""iaet,"
Jacob van Maerlant,Onbekend Hoofdstuk,20,Al dat van der moeder mesdaet
Jacob van Maerlant,Onbekend Hoofdstuk,21,"Hi heft geseit, es waerheit al,"
Jacob van Maerlant,Onbekend Hoofdstuk,22,"Ende est dat men haer recht doen sal,"
Jacob van Maerlant,Onbekend Hoofdstuk,4015,"Gesciet alse mi heft doen verstaen,"
Jacob van Maerlant,Onbekend Hoofdstuk,24,"Sone heft si niet mesdaen,"
Jacob van Maerlant,Onbekend Hoofdstuk,25,Noch iegen gode noch iegen u
Jacob van Maerlant,Onbekend Hoofdstuk,26,Salmen haer recht doen nu;
Jacob van Maerlant,Onbekend Hoofdstuk,27,Si seide mi in ware dinc
Jacob van Maerlant,Onbekend Hoofdstuk,4020,Dat si slapende dit kint ontfinc
Jacob van Maerlant,Onbekend Hoofdstuk,29,Ende sine wiste niet wiet haer dede.
Jacob van Maerlant,Onbekend Hoofdstuk,30,Si ginc te biechten onde dede mede
Jacob van Maerlant,Onbekend Hoofdstuk,31,"Die penitencie die men haar hiet,"
Jacob van Maerlant,Onbekend Hoofdstuk,32,Maer inne horde noit niet
Jacob van Maerlant,Onbekend Hoofdstuk,4025,"Dat dese dinc mochte gevallen,"
Jacob van Maerlant,Onbekend Hoofdstuk,34,"Ende in geloves niet al met allen."""
Jacob van Maerlant,Onbekend Hoofdstuk,35,Merlijn seide vor alle die liede
Jacob van Maerlant,Onbekend Hoofdstuk,36,"""Die wile dat haar dit gesciede"
Jacob van Maerlant,Onbekend Hoofdstuk,37,Hebdi bescreven ende den dach.
Jacob van Maerlant,Onbekend Hoofdstuk,4030,"Gi weet wel weltijt si gelach,"
Jacob van Maerlant,Onbekend Hoofdstuk,39,"Haer leven es u wel openbaer."""
Jacob van Maerlant,Onbekend Hoofdstuk,40,"Die goede man seide: ""du seges waer,"
Jacob van Maerlant,Onbekend Hoofdstuk,41,"In weet wiet di dode verstaen."""
Jacob van Maerlant,Onbekend Hoofdstuk,42,"Doe haelde men die II vrouwen saen,"
Jacob van Maerlant,Onbekend Hoofdstuk,4035,"Die waren daert kint was geboren,"
Jacob van Maerlant,Onbekend Hoofdstuk,44,Omdat si die waerheit wilden horen.
Jacob van Maerlant,Onbekend Hoofdstuk,45,Si seiden weltijt dat si genas
Jacob van Maerlant,Onbekend Hoofdstuk,46,"Ende doen die tijt gerekent was,"
Jacob van Maerlant,Onbekend Hoofdstuk,47,Hoet was geboren ende ontfaen.
Jacob van Maerlant,Onbekend Hoofdstuk,4040,Die scepene antwerden saen:
Jacob van Maerlant,Onbekend Hoofdstuk,49,"""En doncket ons geen recht daer bi"
Jacob van Maerlant,Onbekend Hoofdstuk,50,"Dat dese vrouwe quite si,"
Jacob van Maerlant,Onbekend Hoofdstuk,51,"Want wijs niet geloven connen,"
