author,chapter,line,text
Onbekend,[Proloog en inleidende informatie],1,"Ic sal v segghen in vraeyen rimen,"
Onbekend,[Proloog en inleidende informatie],2,"Elc gheset op sine linien,"
Onbekend,[Proloog en inleidende informatie],3,Om dat ghijt te bet onthouden sult
Onbekend,[Proloog en inleidende informatie],4,Ende niet daer in en sijt verdult.
Onbekend,[Proloog en inleidende informatie],5,Ander dinc sal ic v segghen toe
Onbekend,[Proloog en inleidende informatie],6,"Ende toghen v allen, hoe"
Onbekend,[Proloog en inleidende informatie],7,Aertrijc ende tfirmament
Onbekend,[Proloog en inleidende informatie],8,"Sijn ghescepen al omtrent,"
Onbekend,[Proloog en inleidende informatie],9,Ende die sonne ende oec die mane
Onbekend,[Proloog en inleidende informatie],10,"Hoe dat si pleghen te gane,"
Onbekend,[Proloog en inleidende informatie],11,"Ende die ander planeten mede,"
Onbekend,[Proloog en inleidende informatie],12,"Daer elc mensche of heeft sijn sede,"
Onbekend,[Proloog en inleidende informatie],13,"Sine conplexie, sine nature."
Onbekend,[Proloog en inleidende informatie],14,"Want dat seghet ons die scrifture,"
Onbekend,[Proloog en inleidende informatie],15,Dat elke creatuer die leeft
Onbekend,[Proloog en inleidende informatie],16,Haer nature van bouen heeft
Onbekend,[Proloog en inleidende informatie],17,Al vanden vij. planeten.
Onbekend,[Proloog en inleidende informatie],18,Ghi sult horen hoe si heten.
Onbekend,[Proloog en inleidende informatie],19,Merct hoe ic dit sal beghinnen.
Onbekend,[Proloog en inleidende informatie],20,"Verstatet wel in uwen sinnen,"
Onbekend,[Proloog en inleidende informatie],21,"Want wildi emmer lesen voert,"
Onbekend,[Proloog en inleidende informatie],22,"Eer ghi wel verstaet elc woert,"
Onbekend,[Proloog en inleidende informatie],23,"Van dien dat ghi hier sult horen,"
Onbekend,[Proloog en inleidende informatie],24,Vwe pine is dan verloren.
Onbekend,[Proloog en inleidende informatie],25,"Dit en slacht anderen boeken niet,"
Onbekend,[Proloog en inleidende informatie],26,Want elc woert datmen hier siet
Onbekend,[Proloog en inleidende informatie],27,"Moetmen onthouden ende verstaen,"
Onbekend,[Proloog en inleidende informatie],28,Eer men voert sal lesen gaen.
Onbekend,[Proloog en inleidende informatie],29,Die cracht van astronomien ic sal
Onbekend,[Proloog en inleidende informatie],30,Ende van naturen v segghen al.
Onbekend,[Proloog en inleidende informatie],31,Aldus so is hemelrike
Onbekend,[Proloog en inleidende informatie],32,"Ghescepen ende aertrike,"
Onbekend,[Proloog en inleidende informatie],33,"Ende algader tfirmament,"
Onbekend,[Proloog en inleidende informatie],34,Als ghi hier siet ende bekent.
Onbekend,[Proloog en inleidende informatie],35,Ende vanden .vij. planeten
Onbekend,[Proloog en inleidende informatie],36,Willic v rechte voert doen weten.
Onbekend,[Proloog en inleidende informatie],37,Haer loep is onder tfirmament
Onbekend,[Proloog en inleidende informatie],38,Ende gheen en isser so wel bekent
Onbekend,[Proloog en inleidende informatie],39,Als die sonne ende die mane.
Onbekend,[Proloog en inleidende informatie],40,Dese kent elc wel als ic wane.
Onbekend,[Proloog en inleidende informatie],41,Die ander .viue. altemale
Onbekend,[Proloog en inleidende informatie],42,"Die en kent men niet so wale,"
Onbekend,[Proloog en inleidende informatie],43,Tensi dat astronomie doet:
Onbekend,[Proloog en inleidende informatie],44,Si kennessen diere of sijn vroet.
Onbekend,[Proloog en inleidende informatie],45,"Ende ic salse v noemen alle,"
Onbekend,[Proloog en inleidende informatie],46,Na dien dat elc sijn stede valle.
Onbekend,[Proloog en inleidende informatie],47,Van desen seuenen sijnre twee
Onbekend,[Proloog en inleidende informatie],48,"Bouen der manen, min noch mee,"
Onbekend,[Proloog en inleidende informatie],49,"Die ene bouen die andre gheset,"
Onbekend,[Proloog en inleidende informatie],50,"Ende elc ghift propre cracht, dat wet,"
Onbekend,[Proloog en inleidende informatie],51,In aertrike: dats Marcurius
Onbekend,[Proloog en inleidende informatie],52,"Ende daer bouen loept Venus,"
Onbekend,[Proloog en inleidende informatie],53,Dats auonts sterre in duytsche woert.
Onbekend,[Proloog en inleidende informatie],54,Si comt voer die sonne voert.
Onbekend,[Proloog en inleidende informatie],55,Som wijl is gheheten soe
Onbekend,[Proloog en inleidende informatie],56,"Lucifer, ic seg v hoe:"
Onbekend,[Proloog en inleidende informatie],57,Dats licht dragher. Dese .ij. namen
Onbekend,[Proloog en inleidende informatie],58,"Ne heeft si gheen tijt te samen,"
Onbekend,[Proloog en inleidende informatie],59,"Want, als si tsauonts west op gaet,"
Onbekend,[Proloog en inleidende informatie],60,"Ende si voer die sonne staet,"
Onbekend,[Proloog en inleidende informatie],61,"Dan heet si Vesperus in latijn,"
Onbekend,[Proloog en inleidende informatie],62,Dat wil auont sterre sijn.
Onbekend,[Proloog en inleidende informatie],63,"Bouen dese drien planeten,"
Onbekend,[Proloog en inleidende informatie],64,"Ic heb v gheseyt hoe si heten,"
Onbekend,[Proloog en inleidende informatie],65,"So loept die sonne, die es so claer,"
Onbekend,[Proloog en inleidende informatie],66,Dat sijt al verclaert haerentaer
Onbekend,[Proloog en inleidende informatie],67,Die bouen desen .iij. so hoghe es
Onbekend,[Proloog en inleidende informatie],68,"Dat haer cirkel, gheloeft mi des,"
Onbekend,[Proloog en inleidende informatie],69,Wel twalef weruen also groot si
Onbekend,[Proloog en inleidende informatie],70,"Als der manen, dat segic di,"
Onbekend,[Proloog en inleidende informatie],71,"Die haren loep binnen .xxx. daghen doet,"
Onbekend,[Proloog en inleidende informatie],72,Als ic v allen sal maken vroet.
Onbekend,[Proloog en inleidende informatie],73,"Als die mane an die sonne ontfaet,"
Onbekend,[Proloog en inleidende informatie],74,"Wel .xxx. daghe si daer na gaet,"
Onbekend,[Proloog en inleidende informatie],75,Som wile meer som wile min.
Onbekend,[Proloog en inleidende informatie],76,Dit merc elc wel in sinen sin.
Onbekend,[Proloog en inleidende informatie],77,Eer si ter sonnen weder comen can
Onbekend,[Proloog en inleidende informatie],78,"Ende anderwerf ontfaen daer an,"
Onbekend,[Proloog en inleidende informatie],79,Dus loept si omme tfirmament
Onbekend,[Proloog en inleidende informatie],80,Binnen .xxvij. al omtrent
Onbekend,[Proloog en inleidende informatie],81,Daghen ende .viij. wilen mede.
Onbekend,[Proloog en inleidende informatie],82,"Mer veel hogher is der sonnen stede,"
Onbekend,[Proloog en inleidende informatie],83,Daer si loept bouen al aertrike.
Onbekend,[Proloog en inleidende informatie],84,Si loept omme sekerlike
Onbekend,[Proloog en inleidende informatie],85,In .CCC. daghen tfirmament
Onbekend,[Proloog en inleidende informatie],86,"Ende .lxv. al omtrent,"
Onbekend,[Proloog en inleidende informatie],87,Als ons toghet tkalendier.
Onbekend,[Proloog en inleidende informatie],88,.vj. wilen comen ouer hier
Onbekend,[Proloog en inleidende informatie],89,"Ende, om dattet jaer en heuet niet"
Onbekend,[Proloog en inleidende informatie],90,"Dan een beghinsel, als men siet,"
Onbekend,[Proloog en inleidende informatie],91,"Ende tene jaer bi daghe beghint,"
Onbekend,[Proloog en inleidende informatie],92,"Ende tander bi nachte, als men wel kint,"
Onbekend,[Proloog en inleidende informatie],93,So sijn die .vi. wilen ghenomen
Onbekend,[Proloog en inleidende informatie],94,"Dus, dat .iiij. jaer te gader comen."
Onbekend,[Proloog en inleidende informatie],95,.xxiiij. wilen heeft meer daer:
Onbekend,[Proloog en inleidende informatie],96,"Dats een dach, ic seg v waer."
Onbekend,[Proloog en inleidende informatie],97,"Dus heeft dat jaer enen dach meer,"
Onbekend,[Proloog en inleidende informatie],98,Dan ic v seyde voert eer.
Onbekend,[Proloog en inleidende informatie],99,Dien dach setmen achter dan.
Onbekend,[Proloog en inleidende informatie],100,"Dede mens niet, het soude saen"
Onbekend,[Proloog en inleidende informatie],101,"Kersauont sinte Ians misse ghevallen,"
Onbekend,[Proloog en inleidende informatie],102,"Dat soude wonderen ons allen,"
Onbekend,[Proloog en inleidende informatie],103,Als in seuen hondert jaeren
Onbekend,[Proloog en inleidende informatie],104,Ende .xxvij. daer toe twaren.
Onbekend,[Proloog en inleidende informatie],105,Daer om heet dat vierde jaer
Onbekend,[Proloog en inleidende informatie],106,"Scrickeliaer, ic seg v waer,"
Onbekend,[Proloog en inleidende informatie],107,"Ende het tellet .iiij. der jaren,"
Onbekend,[Proloog en inleidende informatie],108,"Scrickeliaer, want dan gheuaren"
Onbekend,[Proloog en inleidende informatie],109,Die sonne comt ter eerster stede
Onbekend,[Proloog en inleidende informatie],110,Ende het effent dan al mede.
Onbekend,[Proloog en inleidende informatie],111,¶ Venus ende Mercurius
Onbekend,[Proloog en inleidende informatie],112,Lopen omme oec aldus
Onbekend,[Proloog en inleidende informatie],113,"Metter sonnen den seluen ganc,"
Onbekend,[Proloog en inleidende informatie],114,Euen cort ende euen lanc.
Onbekend,[Proloog en inleidende informatie],115,"¶ Bouen der sonnen so loept Maers,"
Onbekend,[Proloog en inleidende informatie],116,Cond wil ic v maken haers.
Onbekend,[Proloog en inleidende informatie],117,Si loept omme tfirmament
Onbekend,[Proloog en inleidende informatie],118,In .ij. jaren al omtrent.
Onbekend,[Proloog en inleidende informatie],119,¶ Bouen Maers Iupiter gaet
Onbekend,[Proloog en inleidende informatie],120,"Tfirmament omme, dat verstaet,"
Onbekend,[Proloog en inleidende informatie],121,"In .xij. jaren, ende daer"
