author,chapter,line,text
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,1,"Gode biddic in mijn beghin,"
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,2,Dat hi verclare minen sin
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,3,"Ende crachte, dat ic volcomen"
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,4,Te dichten dat ic heb an ghenomen
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,5,In dutscher talen uten latine.
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,6,"Al eest een cleyn werc in schine,"
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,7,Ic hope dat icter in sal setten
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,8,Daer ic die sonden mede sal beletten
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,9,Ende die ghene ter doget keren
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,10,"Die volgen sullen mijnre leren,"
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,11,"Om Gode te dienen ende sijnre moeder,"
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,12,Die onse wech es ende onse stierroeder
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,13,Ende van gracien riviere.
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,14,Haer biddic dat si mi stiere
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,15,"Van hare gracien een deel,"
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,16,Dat ic volmaken moet gheheel
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,17,Sulc werc daer si in si gheheert.
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,18,"Dat biddic, van Ypere Jan die Weert."
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,19,"Sint dat ic dichtens eerst began,"
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,20,"Hebbic ghedicht, soe ic best can,"
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,21,Dat der werelt genuechde te lesen.
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,22,Nu ben ic af gekeert van desen
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,23,Ende mi es tbegheren bleven
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,24,"Te scriven des menschen leven,"
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,25,"Waer hi in te mesdone pliet,"
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,26,"Na dat men alle dage siet,"
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,27,Daer hi die sonden menteneert.
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,28,Soe hebbe ic gheordineert
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,29,Te bescriven int generael
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,30,"Desen niwen doctrinael,"
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,31,Daer in dat elc mach wesen vroet
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,32,In wat manieren dat hi mesdoet.
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,33,"Na dat ic vinde int latijn,"
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,34,Salt hier in dutschen bescreven sijn.
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,35,In drien pertyen sal ic dit boec
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,36,Deilen in sijn ondersoec.
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,37,Teerste deel sal beconden
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,38,"Vanden VII dootliken sonden,"
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,39,"Elc geset met haren graden,"
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,40,Daer men in sondicht bi mesdaden.
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,41,Dander pertie sal u leren
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,42,"Vanden X gheboden ons Heren,"
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,43,Hoe datmen daer tegen mesdoet;
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,44,"Daer na sal ic u maken vroet,"
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,45,Welc sijn daegelijcsche sonden
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,46,Ende welke die ziele ter doot wonden.
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,47,Die derde pertye es van drie zaken
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,48,"Die den mensche zalich maken,"
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,49,"Dats biechte, rouwe ende voldoen"
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,50,"Der sonden die men heeft gheploen,"
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,51,Ende hoe hem oec elc sondare
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,52,Sal biechten moeghen wel ende clare
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,53,"Met VI poenten, min no mee;"
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,54,"Daer na sal ic u scriven twee,"
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,55,"Die der biechten volgen na,"
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,56,Na dat ic int latijn versta;
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,57,Ende oec in dat selve deel
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,58,Sal ic bescriven al geheel
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,59,"Van testamenten, van sulken saken"
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,60,"Als die lude in haer leste maken,"
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,61,"Ende vander kerssen die men hen gheeft,"
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,62,"Den luden, daer die penninc in cleeft,"
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,63,"Ende dat men over die doode doet,"
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,64,"Of hiere bate of heeft of goet,"
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,65,Ende daer mede wort des een eynde.
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,66,Gode biddic dat hi my sinde
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,67,"Gracie, dat ic dit boec ter stonden,"
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,68,Dat welke mach heiten Spieghel van Sonden
Jan de Weert,Hier beghint een goet boec vanden VII dootsonden ende vanden X gheboden.,69,"Of Doctrinael in rechte name,"
