author,chapter,line,text
Onbekend,Dit sijn noch die .X. ghebode.,1,Mensche / hoor ende merct aen mi /
Onbekend,Dit sijn noch die .X. ghebode.,2,Dese .X. ghebode lere ic di
Onbekend,Dit sijn noch die .X. ghebode.,3,Met eenre corter lere /
Onbekend,Dit sijn noch die .X. ghebode.,4,Die saltu emmermere
Onbekend,Dit sijn noch die .X. ghebode.,5,Draghen inder herten dijn /
Onbekend,Dit sijn noch die .X. ghebode.,6,Wildi erve des hemels sijn.
Onbekend,Dit sijn noch die .X. ghebode.,7,Nu hoort hier dat eerste ghebot:
Onbekend,Dit sijn noch die .X. ghebode.,8,Vrucht ende vlee ende min God
Onbekend,Dit sijn noch die .X. ghebode.,9,Ende gheloeft dat Hi allene si
Onbekend,Dit sijn noch die .X. ghebode.,10,Ghewarich God / ende staet Hem bi.
Onbekend,Dit sijn noch die .X. ghebode.,11,Dat ander: En neemt in dinen mont
Onbekend,Dit sijn noch die .X. ghebode.,12,Onnuttelijc Hem in gheenre stont;
Onbekend,Dit sijn noch die .X. ghebode.,13,Dattu meyneeden niet en zweers /
Onbekend,Dit sijn noch die .X. ghebode.,14,Daer du dijn ziele mede verseers.
Onbekend,Dit sijn noch die .X. ghebode.,15,Dat derde: Hout dijn vierte weert
Onbekend,Dit sijn noch die .X. ghebode.,16,Des sondaghes / dats dat God begeert;
Onbekend,Dit sijn noch die .X. ghebode.,17,Daer aen suldi uwen arbeyt sparen /
Onbekend,Dit sijn noch die .X. ghebode.,18,Ende u met goeder daet bewaren.
Onbekend,Dit sijn noch die .X. ghebode.,19,Dat vierde du wel merken sout:
Onbekend,Dit sijn noch die .X. ghebode.,20,Eert vader ende moeder / ende sijt hen hout /
Onbekend,Dit sijn noch die .X. ghebode.,21,Soe datmen trouwe aen di spore;
Onbekend,Dit sijn noch die .X. ghebode.,22,Arbeyt hen in haer oudere vore.
Onbekend,Dit sijn noch die .X. ghebode.,23,Dat vijfte onthout / het es noot:
Onbekend,Dit sijn noch die .X. ghebode.,24,Dune salt nyemene slaen ter doot /
Onbekend,Dit sijn noch die .X. ghebode.,25,Weest oec ter volleest niet bewant /
Onbekend,Dit sijn noch die .X. ghebode.,26,Dijn raede en moerde noch dijn hant.
Onbekend,Dit sijn noch die .X. ghebode.,27,Dat seste: Du salt cuusch wesen /
Onbekend,Dit sijn noch die .X. ghebode.,28,Oftu voor Gode wils ghenesen;
Onbekend,Dit sijn noch die .X. ghebode.,29,Sijt cuusch met al dijnre daet /
Onbekend,Dit sijn noch die .X. ghebode.,30,Soe wert wel dijnre zielen raedt.
Onbekend,Dit sijn noch die .X. ghebode.,31,Dat sevende: En sijt gheen dief /
Onbekend,Dit sijn noch die .X. ghebode.,32,Ende en laet di nemmer sijn lief
Onbekend,Dit sijn noch die .X. ghebode.,33,Eens anders goet / want di niet en teemt /
Onbekend,Dit sijn noch die .X. ghebode.,34,Daer omme die duvel dijn ziele neemt.
Onbekend,Dit sijn noch die .X. ghebode.,35,Dat achste: En wes gheen valsch ghetuuch /
Onbekend,Dit sijn noch die .X. ghebode.,36,Dune saelt niet lieghen / no en bedriech
Onbekend,Dit sijn noch die .X. ghebode.,37,Niemene / want het wert di goet:
Onbekend,Dit sijn noch die .X. ghebode.,38,Hi es salich die dese lere doet.
Onbekend,Dit sijn noch die .X. ghebode.,39,Dat neghende ghi wel onthouden selt:
Onbekend,Dit sijn noch die .X. ghebode.,40,Ghine sult begheren met ghewelt
Onbekend,Dit sijn noch die .X. ghebode.,41,Noch tonrechte nyements scat /
Onbekend,Dit sijn noch die .X. ghebode.,42,Noch met rove noch met vorsat.
Onbekend,Dit sijn noch die .X. ghebode.,43,Dat tiende in dijn herte schrijf:
Onbekend,Dit sijn noch die .X. ghebode.,44,Dune salt begheren nyemens wijf /
Onbekend,Dit sijn noch die .X. ghebode.,45,Noch dat wijf nyemens man;
Onbekend,Dit sijn noch die .X. ghebode.,46,Want grote sunde leeght daer an /
Onbekend,Dit sijn noch die .X. ghebode.,47,Ende si verdienen den ewighen ban.
Onbekend,Dit sijn noch die .X. ghebode.,48,Mensche / dit sijn die .X. ghebode /
Onbekend,Dit sijn noch die .X. ghebode.,49,Die di van Onsen Here Gode
Onbekend,Dit sijn noch die .X. ghebode.,50,Ghegheven te houdene sijn dijn leven;
Onbekend,Dit sijn noch die .X. ghebode.,51,Dien saltu also sijn beneven /
Onbekend,Dit sijn noch die .X. ghebode.,52,Dattu die ziele alsoe bewaers /
Onbekend,Dit sijn noch die .X. ghebode.,53,Dattu den duvel ontfaers;
Onbekend,Dit sijn noch die .X. ghebode.,54,Dit hout vaste in dinen sinne:
Onbekend,Dit sijn noch die .X. ghebode.,55,Gode vrucht / vleyt ende minne /
Onbekend,Dit sijn noch die .X. ghebode.,56,Ende zweer bi Hem gheen meynede;
Onbekend,Dit sijn noch die .X. ghebode.,57,Eert vader ende moeder beyde /
Onbekend,Dit sijn noch die .X. ghebode.,58,Houdt dijn vierte waer du macht /
Onbekend,Dit sijn noch die .X. ghebode.,59,Ende huedt di voor manslacht.
Onbekend,Dit sijn noch die .X. ghebode.,60,Sijt reyne ende hebt cuuscheyt lief;
Onbekend,Dit sijn noch die .X. ghebode.,61,Daer toe en sijt oec gheen dief;
Onbekend,Dit sijn noch die .X. ghebode.,62,Voor valsch ghetughe wes behoet /
Onbekend,Dit sijn noch die .X. ghebode.,63,Ende begheer tonrechte nyements goet.
Onbekend,Dit sijn noch die .X. ghebode.,64,Ende brec oec niet dijn huwelic orden.
Onbekend,Dit sijn noch die .X. ghebode.,65,Dese .X. dit sijn Gods worden.
Onbekend,Dit sijn noch die .X. ghebode.,66,Nu hebt lief dese .X. gebode /
Onbekend,Dit sijn noch die .X. ghebode.,67,Die ons beval Onse Here Gode /
Onbekend,Dit sijn noch die .X. ghebode.,68,Ende nader leren doet die daet.
Onbekend,Dit sijn noch die .X. ghebode.,69,Wat helpt die lere diemen haet /
Onbekend,Dit sijn noch die .X. ghebode.,70,Daermen die werke niet en doet?
Onbekend,Dit sijn noch die .X. ghebode.,71,Mensche / wildi sijn behoedt
Onbekend,Dit sijn noch die .X. ghebode.,72,Vander hellen gloede /
Onbekend,Dit sijn noch die .X. ghebode.,73,Soe neemt in dinen moede
Onbekend,Dit sijn noch die .X. ghebode.,74,Van mi dese lere /
Onbekend,Dit sijn noch die .X. ghebode.,75,Ende behoutse emmermere
Onbekend,Dit sijn noch die .X. ghebode.,76,Besloten inder herten dijn /
Onbekend,Dit sijn noch die .X. ghebode.,77,Ende doet met uwen werken aenscijn /
Onbekend,Dit sijn noch die .X. ghebode.,78,Soe blijfdi vander hellen vri /
Onbekend,Dit sijn noch die .X. ghebode.,79,Ende die duvel vliet van di /
Onbekend,Dit sijn noch die .X. ghebode.,80,Die / leyder! op dit heeft ghezworen;
Onbekend,Dit sijn noch die .X. ghebode.,81,Want du beste ter hemelscher vrouden vercoren /
Onbekend,Dit sijn noch die .X. ghebode.,82,Die hi door hoverde heeft verloren.
Onbekend,Dit sijn noch die .X. ghebode.,83,Van plompen sinne hebbic nu
Onbekend,Dit sijn noch die .X. ghebode.,84,Wel cume bracht dit boecsken toe.
Onbekend,Dit sijn noch die .X. ghebode.,85,Vorwaer sijn sin es mi te sterc /
Onbekend,Dit sijn noch die .X. ghebode.,86,Maer ic voer bi des waters merc /
Onbekend,Dit sijn noch die .X. ghebode.,87,Aenden oevere mijn scep ran.
Onbekend,Dit sijn noch die .X. ghebode.,88,Aergere diepte ic mi versan /
Onbekend,Dit sijn noch die .X. ghebode.,89,Leyder! mijn scep was te cranc /
Onbekend,Dit sijn noch die .X. ghebode.,90,Haten moestic diepen ganc.
Onbekend,Dit sijn noch die .X. ghebode.,91,Dieper redene mijdic doe /
Onbekend,Dit sijn noch die .X. ghebode.,92,Droeghes oevers was ic vroe /
Onbekend,Dit sijn noch die .X. ghebode.,93,Hulpe nam ic by mi waer
Onbekend,Dit sijn noch die .X. ghebode.,94,Aen Gode / een licht der werelt claer /
Onbekend,Dit sijn noch die .X. ghebode.,95,Die reyne es alles wandels vry.
Onbekend,Dit sijn noch die .X. ghebode.,96,Recht es Di dit wonder bi
Onbekend,Dit sijn noch die .X. ghebode.,97,Vader / Sone ende Heilighe Gheest /
Onbekend,Dit sijn noch die .X. ghebode.,98,Die .iij. personen in een Du dreechst /
Onbekend,Dit sijn noch die .X. ghebode.,99,Sus es dijn wonder alte groot.
Onbekend,Dit sijn noch die .X. ghebode.,100,Siet / God / met minen sinnen bloet
Onbekend,Dit sijn noch die .X. ghebode.,101,Vaer ic minen meester nae:
Onbekend,Dit sijn noch die .X. ghebode.,102,Van verren sueckic / maer doch ic ga.
Onbekend,Dit sijn noch die .X. ghebode.,103,Ach / God! mijn dicht es als een droem.
Onbekend,Dit sijn noch die .X. ghebode.,104,Leght aen die spotters dinen toem!
