author,chapter,line,text
Onbekend,DIT ES NOCH VAN SALLADINE.,1,DOEN men screef Ons Heren jaer
Onbekend,DIT ES NOCH VAN SALLADINE.,2,.M. hondert ende .xciij. / voer waer /
Onbekend,DIT ES NOCH VAN SALLADINE.,3,Doen starf die edele Salladijn /
Onbekend,DIT ES NOCH VAN SALLADINE.,4,Die vreesslijc den Kerstenen hadde gesijn;
Onbekend,DIT ES NOCH VAN SALLADINE.,5,Al tot Damas starf hi daer.
Onbekend,DIT ES NOCH VAN SALLADINE.,6,Ende doen Salladijn waert ghewaer /
Onbekend,DIT ES NOCH VAN SALLADINE.,7,Dat hi emmer moeste sterven
Onbekend,DIT ES NOCH VAN SALLADINE.,8,Ende sijns lijfs derven /
Onbekend,DIT ES NOCH VAN SALLADINE.,9,Ende hijs niet en mochte ontgaen /
Onbekend,DIT ES NOCH VAN SALLADINE.,10,Doen riep hi den ghenen saen
Onbekend,DIT ES NOCH VAN SALLADINE.,11,Die sine baniere te draghen plach.
Onbekend,DIT ES NOCH VAN SALLADINE.,12,Doen als hi den ghenen sach /
Onbekend,DIT ES NOCH VAN SALLADINE.,13,Sprac hi hem aen in deser maniere:
Onbekend,DIT ES NOCH VAN SALLADINE.,14,"""Ghi die plaghet mine baniere"
Onbekend,DIT ES NOCH VAN SALLADINE.,15,Te draghene in meneghen zwaren stride /
Onbekend,DIT ES NOCH VAN SALLADINE.,16,Nu moeti draghen in desen tide
Onbekend,DIT ES NOCH VAN SALLADINE.,17,Die baniere mijnre doet ghereet /
Onbekend,DIT ES NOCH VAN SALLADINE.,18,Ende dat sal sijn een onweert cleet /
Onbekend,DIT ES NOCH VAN SALLADINE.,19,Dat moeti draghen al doer Damas
Onbekend,DIT ES NOCH VAN SALLADINE.,20,Op mine glavie / ende na das
Onbekend,DIT ES NOCH VAN SALLADINE.,21,Soe moeti roepen in elke strate:
Onbekend,DIT ES NOCH VAN SALLADINE.,22,"""""U here / die van so hoghen state"
Onbekend,DIT ES NOCH VAN SALLADINE.,23,Was / ende here van al Orient /
Onbekend,DIT ES NOCH VAN SALLADINE.,24,Hem es nu die doet bekent /
Onbekend,DIT ES NOCH VAN SALLADINE.,25,Ende hine vuert van alle sinen riken
Onbekend,DIT ES NOCH VAN SALLADINE.,26,Niet meer met hem sekerliken
Onbekend,DIT ES NOCH VAN SALLADINE.,27,Dan dit onweert cledekijn /
Onbekend,DIT ES NOCH VAN SALLADINE.,28,"Daer men met sal decken die lede sijn."""""
