author,chapter,line,text
Onbekend,O CRUX LIGNUM TRIUMPHALE.,1,"Omme dat die reden es uergheten,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,2,"Ende luttel liede sijn, diet weten,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,3,"Hoe theylighe cruce quam te Breda,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,4,"Wanic v segghen, hoert daer na,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,5,"Wie si waren, diet daden maken;"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,6,Der waerheit salic niet messaken.
Onbekend,O CRUX LIGNUM TRIUMPHALE.,7,"Want hier uoermaels es ghesciet,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,8,"En wetent alle die liede niet,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,9,Des wil ic v den sin uerclaren
Onbekend,O CRUX LIGNUM TRIUMPHALE.,10,"Ende die reden openbaren,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,11,Op dat mi god daer toe ghesterke.
Onbekend,O CRUX LIGNUM TRIUMPHALE.,12,"Het was een coninc in Deenmerke,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,13,"Hi hadde een dochter alsoe scoene,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,14,Dat si met allen rechte crone
Onbekend,O CRUX LIGNUM TRIUMPHALE.,15,"Mocht hebben ghedraghen int roemsche rike,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,16,Wantmen uant niewer haer ghelike
Onbekend,O CRUX LIGNUM TRIUMPHALE.,17,Van doechden ende van hoosschen seden
Onbekend,O CRUX LIGNUM TRIUMPHALE.,18,Noch soe uolmaect van allen leden.
Onbekend,O CRUX LIGNUM TRIUMPHALE.,19,"Oec hadde hoer nader den meesten scat,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,20,"Die doen enich man besat,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,21,"Die hem van ouden tiden was bleuen,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,22,Van dat die heydene waren uerdreuen
Onbekend,O CRUX LIGNUM TRIUMPHALE.,23,Vyt Deenmerken met ghewelde.
Onbekend,O CRUX LIGNUM TRIUMPHALE.,24,Dus was hi rike van groten ghelde.
Onbekend,O CRUX LIGNUM TRIUMPHALE.,25,"Dat uernam een grote landshere,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,26,En sende boden ouer mere.
Onbekend,O CRUX LIGNUM TRIUMPHALE.,27,"Die boden quamen in corten stonden,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,28,Daer si den deenschen coninc vonden.
Onbekend,O CRUX LIGNUM TRIUMPHALE.,29,"Si seiden: ""Here coninc Magnus!"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,30,"Wi comen van Dauid den Bruys,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,31,"Den edelen coninc van Scotlant,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,32,"Die heeft ons hier tot v ghesant,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,33,"Te proeuen, hoet v waer bequame,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,34,"Dat hi uwer dochter te wiue name,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,35,"Mede te leydene sijn leuen,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,36,Ende ghise hem goeden wilt ende gheuen.
Onbekend,O CRUX LIGNUM TRIUMPHALE.,37,"Hets een die scoenste ionghelinc,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,38,"Die noyt wilt met honden vinc,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,39,"Oec es hi rijc, vroet ende coene."
Onbekend,O CRUX LIGNUM TRIUMPHALE.,40,"Heer coninc, haddi sijns te doene,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,41,"Ghi mocht v tot hem wel uerlaten,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,42,Dat hi v comen soude te baten
Onbekend,O CRUX LIGNUM TRIUMPHALE.,43,"Met menghen Scotte te wapenen goet""."
Onbekend,O CRUX LIGNUM TRIUMPHALE.,44,"Doe die coninc dit uerstoet,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,45,"Hi seyde: ""Ghi heren, blijft hier binnen;"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,46,Ic sal ghespreken die coninginne
Onbekend,O CRUX LIGNUM TRIUMPHALE.,47,Ende mine broeders beide
Onbekend,O CRUX LIGNUM TRIUMPHALE.,48,"Eer ic vyt der zalen scheide""."
Onbekend,O CRUX LIGNUM TRIUMPHALE.,49,"Si ghinghen te rade onder hem vieren,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,50,"Si en consten beters niet visieren,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,51,"Dan si hem rieden, dat hijt dade."
Onbekend,O CRUX LIGNUM TRIUMPHALE.,52,Dus quam die coninc uten rade.
Onbekend,O CRUX LIGNUM TRIUMPHALE.,53,"Hi dede den boden ere ende lieue,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,54,"Hi gaefs hem zeghel ende brieue,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,55,Hi hinc daer sinen zeghel ane.
Onbekend,O CRUX LIGNUM TRIUMPHALE.,56,"Men soudse hem seynden te Aberdane,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,57,"Ende soe uele goeds daer mede,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,58,Op dat die coninc wel bestede;
Onbekend,O CRUX LIGNUM TRIUMPHALE.,59,Hi sal moghen met groter eren
Onbekend,O CRUX LIGNUM TRIUMPHALE.,60,"Tornieren ende breken speren,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,61,Dat seg ic v met ware tale.
Onbekend,O CRUX LIGNUM TRIUMPHALE.,62,Doen ghinc men eten in die zale;
Onbekend,O CRUX LIGNUM TRIUMPHALE.,63,Daer was ghedient met groten loue
Onbekend,O CRUX LIGNUM TRIUMPHALE.,64,Alsmen pleecht te coninx houe.
Onbekend,O CRUX LIGNUM TRIUMPHALE.,65,"Doen die maeltijt was ghedaen,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,66,Sijn die boden op ghestaen.
Onbekend,O CRUX LIGNUM TRIUMPHALE.,67,"Si seyden: ""Heer coninc, wi willen van stede""."
Onbekend,O CRUX LIGNUM TRIUMPHALE.,68,"Die coninc sprac: ""Ghi moet noch beden,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,69,"Ghi en mocht noch niewer trecken,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,70,"Ic sal v anders doen berecken""."
Onbekend,O CRUX LIGNUM TRIUMPHALE.,71,Doen riep die coninc enen clerc
Onbekend,O CRUX LIGNUM TRIUMPHALE.,72,Ende dede hem gheuen XXX merc.
Onbekend,O CRUX LIGNUM TRIUMPHALE.,73,"Hi seyde: ""Nu groet mi sonder spotten"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,74,"Den edelen coninc vanden Scotten,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,75,"Ende segt hem, dat hi si in hoghen:"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,76,"Wi selen comen, soe wi eerst moghen""."
Onbekend,O CRUX LIGNUM TRIUMPHALE.,77,"Si seyden: ""Heer coninc, blijft ghesont""."
Onbekend,O CRUX LIGNUM TRIUMPHALE.,78,"Doe dedement allen den lieden cont,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,79,Dat die ioncurouwe sou werden bruyt.
Onbekend,O CRUX LIGNUM TRIUMPHALE.,80,De coninc sende boden vyt
Onbekend,O CRUX LIGNUM TRIUMPHALE.,81,"Om sine manne, om sine maghen,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,82,Die daer quamen in corten daghen.
Onbekend,O CRUX LIGNUM TRIUMPHALE.,83,"Si ghinghen metten coninc te rade,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,84,Hoe dat hijt best met eeren dade.
Onbekend,O CRUX LIGNUM TRIUMPHALE.,85,"Die heren rieden den coninc dat,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,86,Dat hi en spaerde ghenen scat.
Onbekend,O CRUX LIGNUM TRIUMPHALE.,87,"Men dede daer copen dier ghewant,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,88,"Dat beste, datmen te cope vant,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,89,"Ende uoederinghe graeu ende bont,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,90,Dat coste menich dier pont;
Onbekend,O CRUX LIGNUM TRIUMPHALE.,91,Men gaeft den heren ende den urouwen
Onbekend,O CRUX LIGNUM TRIUMPHALE.,92,Daer mochtemen grote feeste scouwen.
Onbekend,O CRUX LIGNUM TRIUMPHALE.,93,Men ghinc daer bonghen ende piepen.
Onbekend,O CRUX LIGNUM TRIUMPHALE.,94,Die feeste was ghedaen te Ripen;
Onbekend,O CRUX LIGNUM TRIUMPHALE.,95,"Men liet daer weder meester nochte knecht,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,96,Si en waren alle wel berecht.
Onbekend,O CRUX LIGNUM TRIUMPHALE.,97,"Die coninc hadde een scip doen reken,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,98,Daermen wonder af mocht spreken;
Onbekend,O CRUX LIGNUM TRIUMPHALE.,99,In Deenmerke bleef gheen soe vast.
Onbekend,O CRUX LIGNUM TRIUMPHALE.,100,"Daer in stont die scoenste mast,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,101,"Diemen binnen Noorweghen vant,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,102,"Die ree, dat zeyl ende dat ghewant"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,103,Ne mochte gheen man uolprisen.
Onbekend,O CRUX LIGNUM TRIUMPHALE.,104,"Die coninc hadde dat scip doen spisen,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,105,Dat soude hi node hebben ghelaten.
Onbekend,O CRUX LIGNUM TRIUMPHALE.,106,"Men droech daer bier in met uaten,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,107,Dat te Lubeke was ghebrouwen.
Onbekend,O CRUX LIGNUM TRIUMPHALE.,108,Soe dedemen oec te minen trouwen
Onbekend,O CRUX LIGNUM TRIUMPHALE.,109,"Vele broets met groten sacken,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,110,Dat te Ripen was ghebacken;
Onbekend,O CRUX LIGNUM TRIUMPHALE.,111,"Deensche baken, deensche ulecken"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,112,"Die harde dicke waren van specken,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,113,"Rentuleesch ende scapen mede,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,114,"Dat herde wit was in den snede,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,115,"Wilbraet ende venisoene,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,116,"Boter, kese, wit ende groene,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,117,"Erweten ende bonen,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,118,"Die daer comen waren van Sconen,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,119,"Stocuissche ende makereel,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,120,"Paeldringhe ende pinperneel,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,121,"Soete water, borninchout,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,122,"Loec, ayuyn, asijn ende sout,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,123,"Peper, was, comijn ende kersen:"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,124,Van allen desen uoerseiden mersen
Onbekend,O CRUX LIGNUM TRIUMPHALE.,125,"Was herde vele binnen den kiele,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,126,"Op auenture oft gheuiele,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,127,"Dat si yewer waren uersteken,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,128,"Dat hem niet en mochte ghebreken,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,129,"Si en hadden van allen binnen der boort,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,130,Recht oft ware in een poort.
Onbekend,O CRUX LIGNUM TRIUMPHALE.,131,"Doent al gader was gheladen,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,132,"Ende elc gheleecht te sinen staden,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,133,Doen ghincmen brenghen matten scrinen.
Onbekend,O CRUX LIGNUM TRIUMPHALE.,134,"Elc mattennoet koes daer den sinen,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,135,"Men lede elken in sijnre stat,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,136,"Doen ghincmen brenghen den grote scat,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,137,Twee ende viertich tonnen vol.
Onbekend,O CRUX LIGNUM TRIUMPHALE.,138,"Die coninc was oec niet soe dol,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,139,"Hi en sette daer bi enen ruwaert,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,140,"Dat was sijn broeder her Eeraert,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,141,Die totten scatte soude sien;
Onbekend,O CRUX LIGNUM TRIUMPHALE.,142,Hi was die ioncste vanden drien.
Onbekend,O CRUX LIGNUM TRIUMPHALE.,143,Heer Godeuaert bleef bider bruyt.
Onbekend,O CRUX LIGNUM TRIUMPHALE.,144,"Daer mochtmen horen groot gheluyt,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,145,Beyde uan trompen ende van bonghen;
Onbekend,O CRUX LIGNUM TRIUMPHALE.,146,Daer was gheuedelt ende ghesonghen
Onbekend,O CRUX LIGNUM TRIUMPHALE.,147,Voer die scone goedertiere.
Onbekend,O CRUX LIGNUM TRIUMPHALE.,148,Men sach daer menighe cameriere;
Onbekend,O CRUX LIGNUM TRIUMPHALE.,149,"Scone maeghde, scone urouwen"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,150,"Mochtemen daer met hopen scouwen,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,151,"Meneghen ridder, menighen seriant."
Onbekend,O CRUX LIGNUM TRIUMPHALE.,152,Heer Godeuaert nam bi der hant
Onbekend,O CRUX LIGNUM TRIUMPHALE.,153,"Des coninx dochter, die ionghe bruyt."
Onbekend,O CRUX LIGNUM TRIUMPHALE.,154,"Hi leydese ter zeewaert vyt,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,155,Daer dat scip lach al bereet.
Onbekend,O CRUX LIGNUM TRIUMPHALE.,156,Het moeste daer comen aen een ghesceet
Onbekend,O CRUX LIGNUM TRIUMPHALE.,157,Tusschen der dochter ende der moeder.
Onbekend,O CRUX LIGNUM TRIUMPHALE.,158,"Die coninc sprac: ""Heer Godeuaert broeder!"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,159,Ic beuele [v] mijnre dochter.
Onbekend,O CRUX LIGNUM TRIUMPHALE.,160,"Mi waer leet, ghesciede haer lochter."
Onbekend,O CRUX LIGNUM TRIUMPHALE.,161,"Oec wil ic, dat ghijs mi gheloeft;"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,162,Ic beueelse v op v hoeft.
Onbekend,O CRUX LIGNUM TRIUMPHALE.,163,"Missciede hoer yet bi uwen scouden,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,164,"Dat soudic aen v seluen houden""."
Onbekend,O CRUX LIGNUM TRIUMPHALE.,165,"Heer Godeuaert sprac: ""Bi mijnre trouwe,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,166,Ic sal bewaren die ioncfrouwe
Onbekend,O CRUX LIGNUM TRIUMPHALE.,167,Recht of si waer mijn eyghen kynt.
Onbekend,O CRUX LIGNUM TRIUMPHALE.,168,"Om haer en sorghet niet en twint""."
Onbekend,O CRUX LIGNUM TRIUMPHALE.,169,"""Nu vaert met Gode, onsen here,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,170,"Groet mi Dauid den coninc sere""."
Onbekend,O CRUX LIGNUM TRIUMPHALE.,171,Die coninginne bleef staen opt lant;
Onbekend,O CRUX LIGNUM TRIUMPHALE.,172,Si makede een cruce metter hant
Onbekend,O CRUX LIGNUM TRIUMPHALE.,173,En beual te Gode die bruyt.
Onbekend,O CRUX LIGNUM TRIUMPHALE.,174,Si ghinghen te zeyle ende zeylden vyt.
Onbekend,O CRUX LIGNUM TRIUMPHALE.,175,"Daer seylden si den enen dach,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,176,"Den anderen, die daer na ghelach."
Onbekend,O CRUX LIGNUM TRIUMPHALE.,177,"Doen si quamen op die hoghe zee,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,178,"Waert der ioncfrouwen alsoe wee,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,179,Si en conste niet een woort ghespreken:
Onbekend,O CRUX LIGNUM TRIUMPHALE.,180,Van siecten docht haer therte breken.
Onbekend,O CRUX LIGNUM TRIUMPHALE.,181,Des waert heer Godeuaert scier gheware
Onbekend,O CRUX LIGNUM TRIUMPHALE.,182,Ende quam sitten neuen hare.
Onbekend,O CRUX LIGNUM TRIUMPHALE.,183,"Hi seyde: ""Ioncfrouwe, hebdt Gode voer ogen,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,184,Die vele wilde doer ons ghedoghen:
Onbekend,O CRUX LIGNUM TRIUMPHALE.,185,Hi liet hem bynden aen een calumne
Onbekend,O CRUX LIGNUM TRIUMPHALE.,186,"Ende met dien woorde sach hi omme,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,187,"Ende riep: ""Ghenade, here God!"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,188,"Nu doet met mi al uwe ghebod""."
Onbekend,O CRUX LIGNUM TRIUMPHALE.,189,"Wat helpe, dat ict v makede lanc."
Onbekend,O CRUX LIGNUM TRIUMPHALE.,190,"Die ioncfrouwe waert soe cranc,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,191,"Si moeste steruen, alst God gheboot:"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,192,Te sonne op ganghe was si doot.
Onbekend,O CRUX LIGNUM TRIUMPHALE.,193,"Alle, die waren binnen den kiele,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,194,Baden Gode uoer haer ziele.
Onbekend,O CRUX LIGNUM TRIUMPHALE.,195,"Doen [si] laghen in haer ghebede,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,196,"Woude die kiel niet van stede,"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,197,Men hadde den doden gheworpen vyt.
Onbekend,O CRUX LIGNUM TRIUMPHALE.,198,Doen waert d'een groet gheluyt;
Onbekend,O CRUX LIGNUM TRIUMPHALE.,199,"Die stierman riep: ""Nu hoort, nu hoort!"
Onbekend,O CRUX LIGNUM TRIUMPHALE.,200,"Men werpe den doden ouer boort,"
