author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,161,Ewelike vort an
Onbekend,Onbekend Hoofdstuk,2,Doet nu dit edel man
Onbekend,Onbekend Hoofdstuk,3,So dat vader no broeder weet
Onbekend,Onbekend Hoofdstuk,4,Ionfrouw ic ga gereet
Onbekend,Onbekend Hoofdstuk,165,Seide die coninc onueruaert
Onbekend,Onbekend Hoofdstuk,6,Vwe bodscap doen ter vaert
Onbekend,Onbekend Hoofdstuk,7,Dus sciet die coninc dan
Onbekend,Onbekend Hoofdstuk,8,En gebrochtene wijf no man
Onbekend,Onbekend Hoofdstuk,9,Hi wapendem ende sat op sijn paert
Onbekend,Onbekend Hoofdstuk,170,Ende voer wech metter vaert
Onbekend,Onbekend Hoofdstuk,11,Hi voer heimelike vter poort
Onbekend,Onbekend Hoofdstuk,12,Ende noopte tors ende voer voort
Onbekend,Onbekend Hoofdstuk,13,So lange voer die palen
Onbekend,Onbekend Hoofdstuk,14,Dattene fransoise hebben versien
Onbekend,Onbekend Hoofdstuk,175,Hi vraechde omden denois
Onbekend,Onbekend Hoofdstuk,16,Het wijsdene hem menich fransois
Onbekend,Onbekend Hoofdstuk,17,Men leedene vor karels pauwelioen
Onbekend,Onbekend Hoofdstuk,18,Daer in sat die baroen
Onbekend,Onbekend Hoofdstuk,19,Doe beete die payen
Onbekend,Onbekend Hoofdstuk,180,Ende seide god dien die kerstine dien
Onbekend,Onbekend Hoofdstuk,21,Beware karel ende den denois ogier
Onbekend,Onbekend Hoofdstuk,22,Ic ben gesent al hier
Onbekend,Onbekend Hoofdstuk,23,[Denois stout ridder] ende vri
Onbekend,Onbekend Hoofdstuk,24,[Dat ghi vor mi neemt bataelge]
Onbekend,Onbekend Hoofdstuk,185,Sarraseen ic sal sond[e]r faelge
Onbekend,Onbekend Hoofdstuk,26,Selue comen iegen den soudaen
Onbekend,Onbekend Hoofdstuk,27,Sadony seide sonder waen
Onbekend,Onbekend Hoofdstuk,28,Ghi maect groot [...] bandoen
Onbekend,Onbekend Hoofdstuk,29,Die soudaen gaue om v niet I bottoen
Onbekend,Onbekend Hoofdstuk,190,Ende om sulke viue als ghi sijt
Onbekend,Onbekend Hoofdstuk,31,Waerdi vor hem in een crijt
Onbekend,Onbekend Hoofdstuk,32,Mi wondert dat karel sinen ghersoen
Onbekend,Onbekend Hoofdstuk,33,Dus laet verspreken sinen baroen
Onbekend,Onbekend Hoofdstuk,34,Lietict niet dor den denois ogier
Onbekend,Onbekend Hoofdstuk,195,Ic slougene onder sine lier
Onbekend,Onbekend Hoofdstuk,36,Als charloot dat vernam
Onbekend,Onbekend Hoofdstuk,37,Was hi tornech ende gram
Onbekend,Onbekend Hoofdstuk,38,Hi wranc die vust ende soude den paien
Onbekend,Onbekend Hoofdstuk,39,Hebben geslegen ne waer mettien
Onbekend,Onbekend Hoofdstuk,200,Scoter tusschen die here morant
Onbekend,Onbekend Hoofdstuk,41,Ende arnout van beaulant
Onbekend,Onbekend Hoofdstuk,42,Entie edele graue reynier
Onbekend,Onbekend Hoofdstuk,43,Ay fel keitijf sprac karel die coninc fier
Onbekend,Onbekend Hoofdstuk,44,Nemmer moetu goed gescien
Onbekend,Onbekend Hoofdstuk,205,Hoe lettel slachti mien
