author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,[.......] met worden danc
Onbekend,Onbekend Hoofdstuk,2,[......e da]er si in de stat
Onbekend,Onbekend Hoofdstuk,3,[....] uerstaet dat
Onbekend,Onbekend Hoofdstuk,4,[....]en ontsteken vier
Onbekend,Onbekend Hoofdstuk,5,[....]anne daer ende hier
Onbekend,Onbekend Hoofdstuk,6,[....]entie viere
Onbekend,Onbekend Hoofdstuk,7,[....]en ghinghen ter duwiere
Onbekend,Onbekend Hoofdstuk,8,[....]ghe candelaren
Onbekend,Onbekend Hoofdstuk,9,[.....n] den tempel waren
Onbekend,Onbekend Hoofdstuk,10,[....]or tpalas stoet
Onbekend,Onbekend Hoofdstuk,11,[........]a metter spoet
Onbekend,Onbekend Hoofdstuk,12,[....j]s ende ogier
Onbekend,Onbekend Hoofdstuk,13,[....]ghedoghen brohier
Onbekend,Onbekend Hoofdstuk,14,[.....] v de saken
Onbekend,Onbekend Hoofdstuk,15,[.....na]cht sont slapen
Onbekend,Onbekend Hoofdstuk,16,[.... soudae]ns brohiers palas
Onbekend,Onbekend Hoofdstuk,17,[......] gelouedi das
Onbekend,Onbekend Hoofdstuk,18,[..........] ghi niet
Onbekend,Onbekend Hoofdstuk,19,[....] vrome diet
Onbekend,Onbekend Hoofdstuk,20,[.......e wi]gant
Onbekend,Onbekend Hoofdstuk,21,[....st]egeb[an]t
Onbekend,Onbekend Hoofdstuk,22,[...............]
Onbekend,Onbekend Hoofdstuk,23,[...............]
Onbekend,Onbekend Hoofdstuk,24,danois ogier
Onbekend,Onbekend Hoofdstuk,25,[...............]
Onbekend,Onbekend Hoofdstuk,26,[....gep]orret sijt
Onbekend,Onbekend Hoofdstuk,27,[.......] arden strijt
Onbekend,Onbekend Hoofdstuk,28,[.....]eden edel [engien]
Onbekend,Onbekend Hoofdstuk,29,[...] so suldi g[aen] besien
Onbekend,Onbekend Hoofdstuk,30,[Dat sijn ....el]e candelaren
Onbekend,Onbekend Hoofdstuk,31,[... emm]ermee sul[len] gewaren
Onbekend,Onbekend Hoofdstuk,32,D[..... he]bic [in] mijn hoede
Onbekend,Onbekend Hoofdstuk,33,D[en danois] wert wel te moede
Onbekend,Onbekend Hoofdstuk,34,A[ls hi de wor]den adde uerstaen
Onbekend,Onbekend Hoofdstuk,35,Me[ttem g]hinc hi als[o] saen
Onbekend,Onbekend Hoofdstuk,36,So [daden oec] mede de heeren
Onbekend,Onbekend Hoofdstuk,37,God[e .... candi]laren teeren
Onbekend,Onbekend Hoofdstuk,38,S[i......]ten [oud]en [gega]en
Onbekend,Onbekend Hoofdstuk,39,[Ter crochte daer in dat gesta]en
Onbekend,Onbekend Hoofdstuk,40,[Waren] de stall[e]chten claer
Onbekend,Onbekend Hoofdstuk,41,Die oude ghinc voren al daer
Onbekend,Onbekend Hoofdstuk,42,Na hem de danois ogier
Onbekend,Onbekend Hoofdstuk,43,Ende menich rudder fier
Onbekend,Onbekend Hoofdstuk,44,Die ic niet alle can ghenomen
Onbekend,Onbekend Hoofdstuk,45,So uele esser binnen comen
Onbekend,Onbekend Hoofdstuk,46,Dat den ouden wonder dochte
Onbekend,Onbekend Hoofdstuk,47,[H]oe si camen in de crochte
Onbekend,Onbekend Hoofdstuk,48,Die danois dede sijn ghebet
Onbekend,Onbekend Hoofdstuk,49,So daden oec de ander met
Onbekend,Onbekend Hoofdstuk,50,Also si sculdich te doene waren
Onbekend,Onbekend Hoofdstuk,51,Hi diese .CC. iaren
Onbekend,Onbekend Hoofdstuk,52,Gheadt adde in sijn hoede
Onbekend,Onbekend Hoofdstuk,53,Sprac met soeten moede
Onbekend,Onbekend Hoofdstuk,54,Ghi goede lieden vut vercoren
Onbekend,Onbekend Hoofdstuk,55,Mettem moghedi wel behoren
Onbekend,Onbekend Hoofdstuk,56,Wien dese iuweelen dienen
Onbekend,Onbekend Hoofdstuk,57,Noit man dan de heelt van .x.
Onbekend,Onbekend Hoofdstuk,58,Ne mochten hier te samen in
Onbekend,Onbekend Hoofdstuk,59,Dat was de vulde meer no min
Onbekend,Onbekend Hoofdstuk,60,Die met mi oit hier in camen
