author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,[....] bi gheenen kee[r]e
Onbekend,Onbekend Hoofdstuk,2,[T]ibaut heere van castelioen
Onbekend,Onbekend Hoofdstuk,195,[E]nde gheeraert de mascoen
Onbekend,Onbekend Hoofdstuk,4,Entie wilde onder hem drien
Onbekend,Onbekend Hoofdstuk,5,Die dese adde gesien
Onbekend,Onbekend Hoofdstuk,6,Soude hebben genouchte groot
Onbekend,Onbekend Hoofdstuk,7,Si brochten meneghen ter doot
Onbekend,Onbekend Hoofdstuk,200,Van den honden putertiere
Onbekend,Onbekend Hoofdstuk,9,Moisant ende sijn sone de fiere
Onbekend,Onbekend Hoofdstuk,10,Camen met sporen gheiaecht
Onbekend,Onbekend Hoofdstuk,11,Daer wert menich geplaecht
Onbekend,Onbekend Hoofdstuk,12,Dat weetic wel an beeden siden
Onbekend,Onbekend Hoofdstuk,205,Paiene waren in dat striden
Onbekend,Onbekend Hoofdstuk,14,In tontsienste vele
Onbekend,Onbekend Hoofdstuk,15,Maer dat in den nijt spele
Onbekend,Onbekend Hoofdstuk,16,Cam brohier de soudant
Onbekend,Onbekend Hoofdstuk,17,Mettem de coninc voisant
Onbekend,Onbekend Hoofdstuk,210,So de materie wille bedieden
Onbekend,Onbekend Hoofdstuk,19,Wel met .lm. lieden
Onbekend,Onbekend Hoofdstuk,20,Brohier versach babilone
Onbekend,Onbekend Hoofdstuk,21,Bernen dat was hem onscone
Onbekend,Onbekend Hoofdstuk,22,Baudew[ijn] so ic [verst]oet
Onbekend,Onbekend Hoofdstuk,215,Metten sinen voer hem ieghen
Onbekend,Onbekend Hoofdstuk,24,Van werewijc de [coen]e deghen
Onbekend,Onbekend Hoofdstuk,25,Voer brohier in den scoot
Onbekend,Onbekend Hoofdstuk,26,Hi voerde .j. vane root
Onbekend,Onbekend Hoofdstuk,27,Vp brohier hi stac
Onbekend,Onbekend Hoofdstuk,220,Dat sijn spiet ontwee brac
Onbekend,Onbekend Hoofdstuk,29,Ende scadde den soudaen niet
Onbekend,Onbekend Hoofdstuk,30,Sinken lieti sinen spiet
Onbekend,Onbekend Hoofdstuk,31,Ende stac den graue van werrewijc
Onbekend,Onbekend Hoofdstuk,32,Dattire of maecte .j. lijc
Onbekend,Onbekend Hoofdstuk,225,Want hine te male dor stac
Onbekend,Onbekend Hoofdstuk,34,So dattem therte brac
Onbekend,Onbekend Hoofdstuk,35,Dus bleef daer de graue doot
Onbekend,Onbekend Hoofdstuk,36,Die siele voer daer god geboet
Onbekend,Onbekend Hoofdstuk,37,Daer bouen in sijn rike
Onbekend,Onbekend Hoofdstuk,230,Noch maecte brohier .iiij. like
Onbekend,Onbekend Hoofdstuk,39,Eer dat de spiet brac
