author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,Ende an alle die v bestaen.
Onbekend,Onbekend Hoofdstuk,2,Wybert heeft den brief ontfaen
Onbekend,Onbekend Hoofdstuk,3,Ende gaffen haestelike
Onbekend,Onbekend Hoofdstuk,4,In die hant lodewike;
Onbekend,Onbekend Hoofdstuk,5,Die welke seide: god hebs deel.
Onbekend,Onbekend Hoofdstuk,6,Salic oec mijn perceel
Onbekend,Onbekend Hoofdstuk,7,"Hebben van deser maren,"
Onbekend,Onbekend Hoofdstuk,8,"God later mi wel met varen,"
Onbekend,Onbekend Hoofdstuk,9,Ende ons allen geloef mede.
Onbekend,Onbekend Hoofdstuk,10,"Amen, die menige doe sede."
Onbekend,Onbekend Hoofdstuk,11,"[D]aer waren IIII. segel an,"
Onbekend,Onbekend Hoofdstuk,12,Die besach die hoge man
Onbekend,Onbekend Hoofdstuk,13,Ende menich prince met hem.
Onbekend,Onbekend Hoofdstuk,14,"Dierste was van beyrem,"
Onbekend,Onbekend Hoofdstuk,15,"Dander van oestrike,"
Onbekend,Onbekend Hoofdstuk,16,"Van bundenborch der gelike,"
Onbekend,Onbekend Hoofdstuk,17,Entie vierde van andernaken
Onbekend,Onbekend Hoofdstuk,18,Die op schrifen aldus spraken
Onbekend,Onbekend Hoofdstuk,19,Anden coninc lodewic.
Onbekend,Onbekend Hoofdstuk,20,[........... clarly(?)]
Onbekend,Onbekend Hoofdstuk,21,"Sinen bril opter nesen,"
Onbekend,Onbekend Hoofdstuk,22,Over luut began hi lesen:
Onbekend,Onbekend Hoofdstuk,23,"Anden coninc lodewike,"
Onbekend,Onbekend Hoofdstuk,24,Opper voegt van ertrike[n(?)]
Onbekend,Onbekend Hoofdstuk,25,Dat behoert tonser wet
Onbekend,Onbekend Hoofdstuk,26,"Ende an wyberte met,"
Onbekend,Onbekend Hoofdstuk,27,"Coninc van andernaken,"
Onbekend,Onbekend Hoofdstuk,28,"Wi cont ende kinlijc maken,"
Onbekend,Onbekend Hoofdstuk,29,"Met onsen zegel alle IIII,"
Onbekend,Onbekend Hoofdstuk,30,"Dat die felle putertiere,"
Onbekend,Onbekend Hoofdstuk,31,"Van almaengien gwioen,"
Onbekend,Onbekend Hoofdstuk,32,Es arger dan .I. saragoen;
Onbekend,Onbekend Hoofdstuk,33,Want hi geloeft an die afgoden
Onbekend,Onbekend Hoofdstuk,34,Ende houter af zijn geboden.
Onbekend,Onbekend Hoofdstuk,35,Geselle es de felle van loye
Onbekend,Onbekend Hoofdstuk,36,"Anden here van sauoye,"
Onbekend,Onbekend Hoofdstuk,37,Die men heet heet van monresat
Onbekend,Onbekend Hoofdstuk,38,Diemen beide op .I. rat
Onbekend,Onbekend Hoofdstuk,39,Herde varinc vlechten moet
Onbekend,Onbekend Hoofdstuk,40,[...............]
Onbekend,Onbekend Hoofdstuk,41,Die meeste diere waren binnen
Onbekend,Onbekend Hoofdstuk,42,Met haerre vrouwe der coninginnen
Onbekend,Onbekend Hoofdstuk,43,Ende met haren ionchere
Onbekend,Onbekend Hoofdstuk,44,Ontfermt v der groter dere
Onbekend,Onbekend Hoofdstuk,45,Enter iammerliker saken.
Onbekend,Onbekend Hoofdstuk,46,Binnen der stat van andernaken
Onbekend,Onbekend Hoofdstuk,47,Sijn wi iammerlijc belegen
Onbekend,Onbekend Hoofdstuk,48,"Vanden ouer fellen degen,"
Onbekend,Onbekend Hoofdstuk,49,[(?) segele alle ziet].
Onbekend,Onbekend Hoofdstuk,50,Om dat wi willen niet
Onbekend,Onbekend Hoofdstuk,51,Hem tenen keyser kiesen
Onbekend,Onbekend Hoofdstuk,52,Moeten wi ons lijf verliesen
Onbekend,Onbekend Hoofdstuk,53,Om dat wi kureuorsten zijn.
Onbekend,Onbekend Hoofdstuk,54,"De bisscop van cuelne, opten rijn,"
Onbekend,Onbekend Hoofdstuk,55,"Van mens de bisscop, ende van trieren"
Onbekend,Onbekend Hoofdstuk,56,Metten tyrant al lieren
Onbekend,Onbekend Hoofdstuk,57,Ende doenre toe haer concent
Onbekend,Onbekend Hoofdstuk,58,Datti keyser si bekent.
Onbekend,Onbekend Hoofdstuk,59,Maer dan willen wi niet doen
Onbekend,Onbekend Hoofdstuk,60,[...............]
Onbekend,Onbekend Hoofdstuk,61,"Ende zine liede mede,"
Onbekend,Onbekend Hoofdstuk,62,"Ontfermelijc, datti sede:"
Onbekend,Onbekend Hoofdstuk,63,"Ay god, die de cruce sware"
Onbekend,Onbekend Hoofdstuk,64,Droeget dits .I. felle mare.
Onbekend,Onbekend Hoofdstuk,65,"Al doch te mi dierste spoet,"
Onbekend,Onbekend Hoofdstuk,66,Nv benic al sonder goet.
Onbekend,Onbekend Hoofdstuk,67,Dies ic niet soe groten rouwe
Onbekend,Onbekend Hoofdstuk,68,"Hebbe, alse om mijn vrouwe"
Onbekend,Onbekend Hoofdstuk,69,"Ende om mijn scoen kindekijn,"
Onbekend,Onbekend Hoofdstuk,70,Die in auonturen zijn
