author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,Die beter es dan al dat goet
Onbekend,Onbekend Hoofdstuk,2,Dat men yemene besunder doet
Onbekend,Onbekend Hoofdstuk,3,Ende dat eyscht gherechtecheit
Onbekend,Onbekend Hoofdstuk,4,Ende die eeweghe Gods waerheit;
Onbekend,Onbekend Hoofdstuk,5,Want alle goede ghemeynheit
Onbekend,Onbekend Hoofdstuk,6,"Es gheliker der Godheit,"
Onbekend,Onbekend Hoofdstuk,7,Die na der heylegher screfturen
Onbekend,Onbekend Hoofdstuk,8,"Ghemeyne es allen creaturen,"
Onbekend,Onbekend Hoofdstuk,9,"In regimente ende in onthoude,"
Onbekend,Onbekend Hoofdstuk,10,In dien wesene daer sise in woude
Onbekend,Onbekend Hoofdstuk,11,"Sceppen, dan eeneghe sunderlingheheit,"
Onbekend,Onbekend Hoofdstuk,12,Die men verkiest na eyghenheit.
Onbekend,Onbekend Hoofdstuk,13,"Daerbi, die ghemeynen orbore"
Onbekend,Onbekend Hoofdstuk,14,"Mint ende dien altoes set vore,"
Onbekend,Onbekend Hoofdstuk,15,"Es gheliker Gode in dien,"
Onbekend,Onbekend Hoofdstuk,16,Dan si die eyghen profijt aensien;
Onbekend,Onbekend Hoofdstuk,17,"Want willen wijt te rechte merken,"
Onbekend,Onbekend Hoofdstuk,18,Soe heeft in allen sinen werken
Onbekend,Onbekend Hoofdstuk,19,Onse Here van beginne der tijt
Onbekend,Onbekend Hoofdstuk,20,"Ghemeynt altoes ghemeyn profijt,"
Onbekend,Onbekend Hoofdstuk,21,"Ende dat es oec groete edelheit,"
Onbekend,Onbekend Hoofdstuk,22,"Doght, wijsheit ende profiteleecheit;"
Onbekend,Onbekend Hoofdstuk,23,Want men daer vercrighet mede
Onbekend,Onbekend Hoofdstuk,24,"Rijcheit, eere, macht ende vrede,"
Onbekend,Onbekend Hoofdstuk,25,"Al en dade ment om Gode niet,"
Onbekend,Onbekend Hoofdstuk,26,Alsoe alst dicwile es ghesciet.
Onbekend,Onbekend Hoofdstuk,27,"Ic late staen diet om Gode daden,"
Onbekend,Onbekend Hoofdstuk,28,Dat hem oec doen soude eeuwelec stade.
Onbekend,Onbekend Hoofdstuk,29,Het scrivet sente Augustijn
Onbekend,Onbekend Hoofdstuk,30,"In dat bescreven boec sijn,"
Onbekend,Onbekend Hoofdstuk,31,Dat die wile dat die Romeyne
Onbekend,Onbekend Hoofdstuk,32,"Voert setten haer ghemeyne,"
Onbekend,Onbekend Hoofdstuk,33,"Ende en vochten om gheen goet,"
Onbekend,Onbekend Hoofdstuk,34,"Dat der ghemeynheit niet en bestoet,"
Onbekend,Onbekend Hoofdstuk,35,"Noch en wouden gheens dincs pleghen,"
Onbekend,Onbekend Hoofdstuk,36,"Dat der ghemeynheit mocht sijn jeghen,"
Onbekend,Onbekend Hoofdstuk,37,Soe verwonnen si veel stride
Onbekend,Onbekend Hoofdstuk,38,Ende regneerden verre ende wide
Onbekend,Onbekend Hoofdstuk,39,"Ende waren der werelt heren,"
Onbekend,Onbekend Hoofdstuk,40,Groet van machte ende hoeghe van eren.
