author,chapter,line,text
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",1,"O mensch, o edel creatuer,"
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",2,"Die bist ghemaect na gods figuer,"
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",3,"Sich an, hoe heeft di god ghemint,"
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",4,Want hi sijn eengheboren kint
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",5,"Woud liever voer di laten sterven,"
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",6,Dan di van sinen rijc onterven.
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",7,"Dunc di dan niet wel reedelic wesen,"
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",8,Dattu hem dancber sijs van desen?
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",9,"Mer wilstu doen na minen raet,"
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",10,Ic sel di segghen waert op staet.
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",11,"Dit is dat gode best behaecht,"
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",12,Dat men sijn pijn int herten draecht
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",13,End pijnt altoes daer na te wercken
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",14,Dar mach men rechte min an mercken.
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",15,Hier om so wil ic hier beduden
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",16,"Sijn passi om den simpel luden,"
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",17,"Als si int ewangeli staet,"
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",18,Des mi die heer wat leven laet.
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",19,"Som dinghen wil ic overslaen,"
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",20,Want si sijn pijn niet an en gaen:
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",21,"Om cortheit doe ic dat alleen,"
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",22,Dat men nu priset int ghemeen.
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",23,"Al isset eens in rijm ghemaect,"
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",24,Ten is nochtan so niet gheraect;
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",25,Dat ic daer mede bin te vreden.
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",26,Ic sel iu scriven bi wat reden:
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",27,"Het dunct mi wesen veel te lanc,"
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",28,Dat ic bewijs in deerst inganc;
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",29,"""Doe god in Symons huse was"
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",30,"End hi sijn jonghers preect end las"":"
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",31,"Dit leste vers is slechts gheset,"
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",32,Om dattet rimen sel te bet.
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",33,Voer die manier wil ic mi hoeden
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",34,In dit ghedicht na mijn vermoeden.
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",35,"Oec meed so stater vele in,"
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",36,Dat loghen is na minen sin.
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",37,"""Doe quam Maria Magdaleen:"
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",38,"So sondich wijf en was nye gheen."""
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",39,"God wouds, vroe morghens, ditser een!"
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",40,"Want Jezabel, die vule queen,"
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",41,Ghinc haer in boesheit verre boven:
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",42,"Die bibel leest, wildijs niet loven."
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",43,Int ewangelie staet ghescreven:
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",44,Si was een sondich wijf van leven
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",45,"End niet dat si die meeste was,"
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",46,Als ic int ander boeke las.
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",47,"Woud ic van Herodyas spreken,"
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",48,"Veel grover waren haer gebreken,"
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",49,"/dat is sint Jan baptist/ Want meerre man quam nye van wive,"
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",50,Dan dien si brochte van den live.
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",51,"Al wil ic opte rijm wat achten,"
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",52,Ic sel mi voer die loghen wachten.
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",53,Het waer te lang dat wi bezaghen
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",54,Al die mi in dat boec mishaghen.
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",55,"Alleen so set ic hier die zaec,"
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",56,"Waerom dat ic dit boexken maec,"
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",57,Dat is dat het sal hulplic sijn
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",58,Die gheen die niet verstaen latijn
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",59,End oec dystorie niet en wisten
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",60,Na inhout der ewangelisten;
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",61,"Dien wil ic hier materi scencken,"
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",62,Dat si wat hebben op te deyncken.
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",63,"Voert meer begheer ic, mochtet wesen,"
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",64,Dat oec die niet en konnen lesen
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",65,Hem selven hier mit vlijt toe keerden
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",66,"End dat si dit van buten leerden,"
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",67,Op dat si stadelic int hert
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",68,Hier bi ghedachten Jhesus smert.
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",69,"Waert dat men song een ydel liet,"
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",70,Die som en souden rusten niet
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",71,Eer sijt te mael van buten leerden.
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",72,Twaer beter veel dat si studeerden
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",73,Die passi ende daer op ghisten
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",74,"Dat si se doch van buten wisten,"
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",75,"End pijnden die int hert te dreghen,"
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",76,Daer alle vrucht is in gheleghen.
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",77,Som menschen sijn die rimen laken
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",78,End segghen dat si niet en raken
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",79,Te recht den synne cort end fijn
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",80,"Dien bid ic, dat si doch tlatijn"
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",81,"Mit desen rime overlegghen,"
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",82,"End sceel si veel, dat sijt dan segghen."
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",83,"Nu bid ic dy, o zuete heer,"
Onbekend,"Die prologus, dat is die voerredene van dit boexken.",84,"Verleen mi nu dat ic begheer,"
