author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,Dar hi swiges es comen bouen
Onbekend,Onbekend Hoofdstuk,2,Dar es hi coene ende onuervard
Onbekend,Onbekend Hoofdstuk,5970,Ende ander .xx. manne ward
Onbekend,Onbekend Hoofdstuk,4,Neware wordi in groter noed
Onbekend,Onbekend Hoofdstuk,5,"Begrepen ende in anxte groet,"
Onbekend,Onbekend Hoofdstuk,6,Dan es hi van kranker were
Onbekend,Onbekend Hoofdstuk,7,"a Ende wort ondaen, so dat sijn here"
Onbekend,Onbekend Hoofdstuk,8,b An hem ne vint ne genen troest.
Onbekend,Onbekend Hoofdstuk,9,"c Dit es dat mi an desen noest,"
Onbekend,Onbekend Hoofdstuk,10,d Dies maghic wel die wareit togen.
Onbekend,Onbekend Hoofdstuk,11,e Van desen weten ons gedogen.
Onbekend,Onbekend Hoofdstuk,12,"Hjer es mijn here die soutaen,"
Onbekend,Onbekend Hoofdstuk,5975,"Die hogeste prince sonder waen,"
Onbekend,Onbekend Hoofdstuk,14,Die nu in aldie werelt leuet.
Onbekend,Onbekend Hoofdstuk,15,"Dat Anfors van hem geseit heuet,"
Onbekend,Onbekend Hoofdstuk,16,"Van sire rikeit, van sinen geslachte,"
Onbekend,Onbekend Hoofdstuk,17,Dochti mi seegen wel bi rechte.
Onbekend,Onbekend Hoofdstuk,5980,Ende van sire manheit
Onbekend,Onbekend Hoofdstuk,19,Mach hi wel war hebben geseit.
Onbekend,Onbekend Hoofdstuk,20,"In tornoie doet hijt so wale,"
Onbekend,Onbekend Hoofdstuk,21,Dat icker neghene wedertale
Onbekend,Onbekend Hoofdstuk,22,"Ne wille houden; mar als hi siet,"
Onbekend,Onbekend Hoofdstuk,5985,"Dat gaet te storme, dan es hi niet"
Onbekend,Onbekend Hoofdstuk,24,"Also ongemate, als men seget,"
Onbekend,Onbekend Hoofdstuk,25,"Dat hi derre saken pleget,"
Onbekend,Onbekend Hoofdstuk,26,Ende hi niet es so vreselic dan
Onbekend,Onbekend Hoofdstuk,27,"Ende hi hem dan gematen can,"
Onbekend,Onbekend Hoofdstuk,5990,Heb ic versien ende wel verstaen
Onbekend,Onbekend Hoofdstuk,29,Ende wils die wareit doen gestaen.
Onbekend,Onbekend Hoofdstuk,30,"Mar ghene scone, die ghinder staet,"
Onbekend,Onbekend Hoofdstuk,31,"Ghene lange, die dogen neder slaet,"
Onbekend,Onbekend Hoofdstuk,32,"Die ghenen scilt van selueren draget,"
Onbekend,Onbekend Hoofdstuk,5995,Grote ere heuet hi hier beiaghet.
Onbekend,Onbekend Hoofdstuk,34,"Salmen recht vonnesse wisen,"
Onbekend,Onbekend Hoofdstuk,35,Men salne bouen hem allen prisen.
Onbekend,Onbekend Hoofdstuk,36,"Alre doegeden es hi wlcomen,"
Onbekend,Onbekend Hoofdstuk,37,"Dat wetic wel ende hebbe vernomen,"
Onbekend,Onbekend Hoofdstuk,6000,[...............]
