author,chapter,line,text
Onbekend,PARTHONOPEUS.,1,
Onbekend,PARTHONOPEUS.,2,I
Onbekend,PARTHONOPEUS.,3,
Onbekend,PARTHONOPEUS.,4,[............]
Onbekend,PARTHONOPEUS.,5,[............]
Onbekend,PARTHONOPEUS.,6,"Die coninc van Troyen hiet Priamus,"
Onbekend,PARTHONOPEUS.,7,Sinen name vinden wi bescreven dus.
Onbekend,PARTHONOPEUS.,8,Hi hadde ghewonnen sone vive
Onbekend,PARTHONOPEUS.,9,Bi Ecubene sinen wive:
Onbekend,PARTHONOPEUS.,5,"Dien sterken Ectore ende Parise,"
Onbekend,PARTHONOPEUS.,11,"Troylus, Heleine, Marcomirise;"
Onbekend,PARTHONOPEUS.,12,Dus hieten si als ic u noeme.
Onbekend,PARTHONOPEUS.,13,"Van hem allen was Ector bloeme,"
Onbekend,PARTHONOPEUS.,14,"Staerc, hovesch, groot ende vroet,"
Onbekend,PARTHONOPEUS.,10,"Te wapenen behendich ende goet,"
Onbekend,PARTHONOPEUS.,16,Hi was spelen van svader rike;
Onbekend,PARTHONOPEUS.,17,Men vant doen niewer sijn ghelike.
Onbekend,PARTHONOPEUS.,18,"Priamus was harde rike,"
Onbekend,PARTHONOPEUS.,19,Ende hilt harde vroedelike
Onbekend,PARTHONOPEUS.,15,Sonder zorghe ende sonder vaer
Onbekend,PARTHONOPEUS.,21,Tlant van Asyen menich iaer;
Onbekend,PARTHONOPEUS.,22,"Ende noch langher haddi tghehouden,"
Onbekend,PARTHONOPEUS.,23,"Maer als hi quam te siner ouden,"
Onbekend,PARTHONOPEUS.,24,"Ende sine kinder tharen daghen,"
Onbekend,PARTHONOPEUS.,20,"Ende si der wapenen plaghen,"
Onbekend,PARTHONOPEUS.,26,Was hem sijn rike ende sijn goet
Onbekend,PARTHONOPEUS.,27,"Ghewassen, ende hem wies sijn moet,"
Onbekend,PARTHONOPEUS.,28,"Ende die overmoede wies hem an,"
Onbekend,PARTHONOPEUS.,29,Dat hi ontkeerde ieghen sine man
Onbekend,PARTHONOPEUS.,25,So vele warf om haer scade
Onbekend,PARTHONOPEUS.,31,"Met talen ende met valscen rade,"
Onbekend,PARTHONOPEUS.,32,Dat hi die hoochste van sinen lande
Onbekend,PARTHONOPEUS.,33,Alle maecte sine viande.
Onbekend,PARTHONOPEUS.,34,Die hem te voren waren vrient
Onbekend,PARTHONOPEUS.,30,"Ende ghetrouwelike hadden ghedient,"
Onbekend,PARTHONOPEUS.,36,Moesten hem dienen met bedwanghe.
Onbekend,PARTHONOPEUS.,37,Maer het ne gheduerde niet langhe:
Onbekend,PARTHONOPEUS.,38,"Talreerst dat si stade saghen,"
Onbekend,PARTHONOPEUS.,39,"Ende die Grieken, die om Troyen laghen,"
Onbekend,PARTHONOPEUS.,35,"Jeghen hem setten si hem doe,"
Onbekend,PARTHONOPEUS.,41,Want si hadder grote hulpe toe.
Onbekend,PARTHONOPEUS.,42,Die coninc van Troyen heeft verheven
Onbekend,PARTHONOPEUS.,43,Enen vondelinc ende hadde hem ghegheven
Onbekend,PARTHONOPEUS.,44,Tgherechte van al den conincrike;
Onbekend,PARTHONOPEUS.,40,Hi trackene wel gheweldelike
Onbekend,PARTHONOPEUS.,46,"Boven alle sine hoghe baroene,"
Onbekend,PARTHONOPEUS.,47,Des hem niet bestoet te doene;
Onbekend,PARTHONOPEUS.,48,Anchises was hi gheheten.
Onbekend,PARTHONOPEUS.,49,Teerst dat Troyen was beseten[....]
Onbekend,PARTHONOPEUS.,50,[............]
Onbekend,PARTHONOPEUS.,45,Van groten scatte was so[e ghevult].
Onbekend,PARTHONOPEUS.,52,Ghine saecht noyt no sien [en sult]
Onbekend,PARTHONOPEUS.,53,Stat ghevisiert so wale;
Onbekend,PARTHONOPEUS.,54,Daer stoet in meneghe scone [sale]
Onbekend,PARTHONOPEUS.,55,Daer woonde in menech scoo[n seriant]
Onbekend,PARTHONOPEUS.,50,"Ende scone vrouwen ende ach[emant],"
Onbekend,PARTHONOPEUS.,57,"Menech ridder van hoghen [prijs],"
Onbekend,PARTHONOPEUS.,58,Tote dien dat ghelievede [Parijs]
Onbekend,PARTHONOPEUS.,59,Dat hi quam bi Venus [rade]
Onbekend,PARTHONOPEUS.,60,"In sconincs van Grieken keme[nade],"
Onbekend,PARTHONOPEUS.,55,"Ende hi hem sijn wijf ontf[oerde,"
Onbekend,PARTHONOPEUS.,62,"Daer hi al Troyen bi ver[stoerde],"
Onbekend,PARTHONOPEUS.,63,Als men daer ave vint bescre[ven].
Onbekend,PARTHONOPEUS.,64,"Dat emmer waer te wrekene [bleven],"
Onbekend,PARTHONOPEUS.,65,Hadde Priamus te vriende ghe[houden]
Onbekend,PARTHONOPEUS.,60,Die hem met rechte helpen so[uden].
Onbekend,PARTHONOPEUS.,67,[Maer] door [die] overmoedichede
Onbekend,PARTHONOPEUS.,68,"Die hi dede ende die hi sede,"
Onbekend,PARTHONOPEUS.,69,"Ende door siere kinder over[daet],"
Onbekend,PARTHONOPEUS.,70,Ende hi Anchisesse den groten q[uaet]
Onbekend,PARTHONOPEUS.,65,"Verhief bi hem door sinen sc[at],"
Onbekend,PARTHONOPEUS.,72,Daer omme worden hem eerst godsat
Onbekend,PARTHONOPEUS.,73,"Van den rike sijn hoochste man,"
Onbekend,PARTHONOPEUS.,74,Daer hi vernoy groot af ghew[an].
Onbekend,PARTHONOPEUS.,75,Menelaus was een lustich man
Onbekend,PARTHONOPEUS.,70,"Ende ghesinnich, daer wan hi an."
Onbekend,PARTHONOPEUS.,77,Hem diende harde gheweldelike
Onbekend,PARTHONOPEUS.,78,Van Grieken al sijn conincrike.
Onbekend,PARTHONOPEUS.,79,Meneghen dach leedi droev[ich lijf]
Onbekend,PARTHONOPEUS.,80,Dat hem Parijs sijn scone w[ijf]
Onbekend,PARTHONOPEUS.,75,Ontvoerde so overmoedelike.
Onbekend,PARTHONOPEUS.,82,Hi wiste wel dat den conincrike
Onbekend,PARTHONOPEUS.,83,Van Troyen grote cracht to[ehoorde];
Onbekend,PARTHONOPEUS.,84,"Van der stat hi dat wel hoo[rde],"
Onbekend,PARTHONOPEUS.,85,Dat het ware die vastste ve[ste]
Onbekend,PARTHONOPEUS.,80,"Die doe was iewers entie be[ste],"
Onbekend,PARTHONOPEUS.,87,Ende hine dors ghene wrake [aengaen]
Onbekend,PARTHONOPEUS.,88,Van den lachter die hem was [ghedaen].
Onbekend,PARTHONOPEUS.,89,Dies hi groten rouwe nam
Onbekend,PARTHONOPEUS.,90,"Tote dien dat Nestor totem [quam],"
Onbekend,PARTHONOPEUS.,85,Die hem was van herten hout;
Onbekend,PARTHONOPEUS.,92,"Hi was meer dan .C. iaer [out],"
Onbekend,PARTHONOPEUS.,93,"Ende was sconincs ghesekerde vr[ient],"
Onbekend,PARTHONOPEUS.,94,Ende hem haddi dicken wel ghedi[ent].
Onbekend,PARTHONOPEUS.,95,[............]
