author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,dar mochtemen een ors scouwen
Onbekend,Onbekend Hoofdstuk,3395,van sconen gelate ende van fieren
Onbekend,Onbekend Hoofdstuk,a,scone gevarvet in .III. quartieren
Onbekend,Onbekend Hoofdstuk,b,was sine baniere ende sijn scacht
Onbekend,Onbekend Hoofdstuk,c,ende quartierde waren gewracht
Onbekend,Onbekend Hoofdstuk,d,coeuertoren ende arcoene
Onbekend,Onbekend Hoofdstuk,e,terst dat hi vp wairoene
Onbekend,Onbekend Hoofdstuk,f,reet hi neder buten castele
Onbekend,Onbekend Hoofdstuk,3396,dart scone was bin enen praiele
Onbekend,Onbekend Hoofdstuk,3438,ende newisten oft here of knape
Onbekend,Onbekend Hoofdstuk,a,of wiet was alsi ontsprongen
Onbekend,Onbekend Hoofdstuk,b,alse hoekine si vp sprongen
Onbekend,Onbekend Hoofdstuk,c,dene ghinder dander hare
Onbekend,Onbekend Hoofdstuk,d,alse nageden die waren in vare
Onbekend,Onbekend Hoofdstuk,e,mar terst dat si horden vraken
Onbekend,Onbekend Hoofdstuk,3439,kennet sise wel bi hare spraken
Onbekend,Onbekend Hoofdstuk,3447,ende alse harlic andren das
Onbekend,Onbekend Hoofdstuk,3482,dat [ic] v gepens niet mach verstaen
Onbekend,Onbekend Hoofdstuk,a,sust[er] seit soe ic hebbe gedaen
Onbekend,Onbekend Hoofdstuk,b,te ve[....]te vwen rade
Onbekend,Onbekend Hoofdstuk,c,nu ro[u]wet mi al es het spade
Onbekend,Onbekend Hoofdstuk,d,sint ic dor mijn ouermoede
Onbekend,Onbekend Hoofdstuk,e,gerechte minne ende goede
Onbekend,Onbekend Hoofdstuk,f,ewelike hebbe verloren
Onbekend,Onbekend Hoofdstuk,3483,wel met rechte heb ic toren
Onbekend,Onbekend Hoofdstuk,3493,waric wardig niet(!) der doet
Onbekend,Onbekend Hoofdstuk,3492,neware lange quale ende groet
Onbekend,Onbekend Hoofdstuk,3526,ledi v lijf na minen wane
Onbekend,Onbekend Hoofdstuk,a,het es goet an v te verstane
Onbekend,Onbekend Hoofdstuk,b,dat ghi mint starke so diet si
Onbekend,Onbekend Hoofdstuk,c,partonopeus nomendi mi
Onbekend,Onbekend Hoofdstuk,d,ende gelaet v ende toghet
Onbekend,Onbekend Hoofdstuk,3527,of ghi dor hem vernoi doghet
Onbekend,Onbekend Hoofdstuk,3571,neware dat nemochte nemmermere
Onbekend,Onbekend Hoofdstuk,a,gescien dat ickene mochte minnen
Onbekend,Onbekend Hoofdstuk,b,ende wettelike gewinnen
Onbekend,Onbekend Hoofdstuk,c,te manne te nemene sonder desen
Onbekend,Onbekend Hoofdstuk,d,dien tornoi latic wel wesen
Onbekend,Onbekend Hoofdstuk,e,mar minen lechame moete bi viere
Onbekend,Onbekend Hoofdstuk,3572,in couden asschen verbernen schiere
Onbekend,Onbekend Hoofdstuk,3616,vrouwe seidsoe dor god genaden
Onbekend,Onbekend Hoofdstuk,a,wat helpet dat ghi v dus meslaet
Onbekend,Onbekend Hoofdstuk,b,derre dinc die v niet nebestaet
Onbekend,Onbekend Hoofdstuk,c,der vant sciere of comen al
Onbekend,Onbekend Hoofdstuk,d,ende vaet ter dinc die wesen sal
Onbekend,Onbekend Hoofdstuk,e,so mogedi leuen met gemake
Onbekend,Onbekend Hoofdstuk,3617,soete suster seit soe vrake
Onbekend,Onbekend Hoofdstuk,4061,ende bi rechte worden ontwiset
