author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,"Ende decte hem onder sinen scilt,"
Onbekend,Onbekend Hoofdstuk,2,Daer hi met sorgen hem behilt.
Onbekend,Onbekend Hoofdstuk,3,"Parthonopeus gincker op slaen,"
Onbekend,Onbekend Hoofdstuk,4,"Ende hieu daer af manech spaen,"
Onbekend,Onbekend Hoofdstuk,5,"Ende lieten te geere waren comen,"
Onbekend,Onbekend Hoofdstuk,6,Ende gingen driven ende dromen
Onbekend,Onbekend Hoofdstuk,7,"Met swaren slagen ende met sueren,"
Onbekend,Onbekend Hoofdstuk,8,Dat hine niewerinc liet gedueren
Onbekend,Onbekend Hoofdstuk,9,"No bi stane, no bi vliene."
Onbekend,Onbekend Hoofdstuk,10,Do had die coninc harde ontsiene.
Onbekend,Onbekend Hoofdstuk,11,"Hi weec altoes ende dede hem tachter,"
Onbekend,Onbekend Hoofdstuk,12,Ende vernam wel dat hi den lachter
Onbekend,Onbekend Hoofdstuk,13,"Ende [scande] soude hebben, ende het saen"
Onbekend,Onbekend Hoofdstuk,14,Met hem ten argesten soude vergaen.
Onbekend,Onbekend Hoofdstuk,15,"Hem dochte doe wel sekerlike,"
Onbekend,Onbekend Hoofdstuk,16,Dat Parthonopeus erstelike
Onbekend,Onbekend Hoofdstuk,17,"Aldaer ierst togede sinen cracht,"
Onbekend,Onbekend Hoofdstuk,18,Ende hi te voren te scerne vacht.
Onbekend,Onbekend Hoofdstuk,19,Dus leert die minne ende geeft
Onbekend,Onbekend Hoofdstuk,20,"Den genen die der minnen plegt,"
Onbekend,Onbekend Hoofdstuk,21,So geeft si cracht ende raet
Onbekend,Onbekend Hoofdstuk,22,"Elken daertoe, dat hem staet."
Onbekend,Onbekend Hoofdstuk,23,"Den riddere maectse cone ende vroet,"
Onbekend,Onbekend Hoofdstuk,24,Ende geeft heme reyne moet;
Onbekend,Onbekend Hoofdstuk,25,"Si leert hem doget ende hovescheit,"
Onbekend,Onbekend Hoofdstuk,26,Ende doet hem scuwen alle dorperheit.
Onbekend,Onbekend Hoofdstuk,27,"Scone vrouwen, die niet en minnen,"
Onbekend,Onbekend Hoofdstuk,28,En mogen nemmer prijs gewinnen:
Onbekend,Onbekend Hoofdstuk,29,Hets recht wel dat sijs plegen.
Onbekend,Onbekend Hoofdstuk,30,Oec hebbic selve lange gedregen
Onbekend,Onbekend Hoofdstuk,31,Ende drage noch int herte binnen
Onbekend,Onbekend Hoofdstuk,32,"Ene wonde van sulker minnen,"
Onbekend,Onbekend Hoofdstuk,33,"Die mi in dinde sal verslaen,"
Onbekend,Onbekend Hoofdstuk,34,"Ende doch benic hare onderdaen,"
Onbekend,Onbekend Hoofdstuk,35,Als hare gevangene ende knecht.
Onbekend,Onbekend Hoofdstuk,36,"Souse mi lonen na mijn recht,"
Onbekend,Onbekend Hoofdstuk,37,"Si soude mijns hebben genade,"
Onbekend,Onbekend Hoofdstuk,38,Ende staen een deel in minen rade.
Onbekend,Onbekend Hoofdstuk,39,"Gi heren, dor God, vernoyt u niet,"
Onbekend,Onbekend Hoofdstuk,40,Dat ic binnen derre avonturen yet
Onbekend,Onbekend Hoofdstuk,41,Van mire minnen hebbe geleit.
Onbekend,Onbekend Hoofdstuk,42,Gi hebt wel gehort hoemen seit:
Onbekend,Onbekend Hoofdstuk,43,"Daer seer, daer hant; daer lief, daer ogen."
Onbekend,Onbekend Hoofdstuk,44,"Altoes pinsic ende poge,"
Onbekend,Onbekend Hoofdstuk,45,Hoe ic bi enegen treken
Onbekend,Onbekend Hoofdstuk,46,Dicke van der sueter spreke.
Onbekend,Onbekend Hoofdstuk,47,"Parthonopeus sloech menegen slach,"
Onbekend,Onbekend Hoofdstuk,48,Dien Sornagur wel sere onsach:
Onbekend,Onbekend Hoofdstuk,49,"Hine waende vor hem niet lange staen,"
Onbekend,Onbekend Hoofdstuk,50,Alsen Mares sach dus ontdaen
Onbekend,Onbekend Hoofdstuk,51,"Ende van den live dus staen in noet,"
Onbekend,Onbekend Hoofdstuk,52,"Ende sinen anxt wesen groet,"
Onbekend,Onbekend Hoofdstuk,53,"Daerne Parthonopeus sochte,"
Onbekend,Onbekend Hoofdstuk,54,Sorgede hi dat lich[telijc mochte]
Onbekend,Onbekend Hoofdstuk,55,Te lange merren o[........]
Onbekend,Onbekend Hoofdstuk,56,Sorcursen dor sin[....]
Onbekend,Onbekend Hoofdstuk,57,Sijn teken riep h[i ..........]
Onbekend,Onbekend Hoofdstuk,58,Met luder stimmen [...........]
Onbekend,Onbekend Hoofdstuk,59,Dan hine sach [.............]
Onbekend,Onbekend Hoofdstuk,60,Die di [............]
Onbekend,Onbekend Hoofdstuk,61,Daer hijs [dick] met hadde beraden.
Onbekend,Onbekend Hoofdstuk,62,"Hare cappen si te hant afdaden,"
Onbekend,Onbekend Hoofdstuk,63,Ende hadde haerre bare swert ge[reet].
Onbekend,Onbekend Hoofdstuk,64,"Mares op Parthonopeus reet,"
Onbekend,Onbekend Hoofdstuk,65,Als die gene die ergeren wilde.
Onbekend,Onbekend Hoofdstuk,66,Opten rant van den scilde
Onbekend,Onbekend Hoofdstuk,67,Sloech hine enen groten slach.
Onbekend,Onbekend Hoofdstuk,68,"Als dattie coninc Sornagur sach,"
Onbekend,Onbekend Hoofdstuk,69,"Vele lude riep hi: ""Laet, Mares!"
Onbekend,Onbekend Hoofdstuk,70,Du wets wel hoet gesekert es.
Onbekend,Onbekend Hoofdstuk,71,"Dor rechter trouwen manic di,"
Onbekend,Onbekend Hoofdstuk,72,"Also lief als di onse ere si,"
Onbekend,Onbekend Hoofdstuk,73,"So begef deser overdaet,"
Onbekend,Onbekend Hoofdstuk,74,Die sere jegen onse ere gaet:
Onbekend,Onbekend Hoofdstuk,75,"Laet ons houden ons sekeringe."""
Onbekend,Onbekend Hoofdstuk,76,Mares seide die hoge scalckinge:
Onbekend,Onbekend Hoofdstuk,77,"""Here,"" seit hi, ""dat en mach niet [sijn]."
Onbekend,Onbekend Hoofdstuk,78,Ic sal nu doen den wille mij[n].
Onbekend,Onbekend Hoofdstuk,79,"Dan latic niet, wien lief of [leet],"
Onbekend,Onbekend Hoofdstuk,80,"Dor enegen trouwe of dor [eet],"
Onbekend,Onbekend Hoofdstuk,81,Ic sal u looscen nu teser tijt
Onbekend,Onbekend Hoofdstuk,82,"Uter groter noet, daer gi in sijt."""
Onbekend,Onbekend Hoofdstuk,83,"Als die dusent Fransose sagen,"
Onbekend,Onbekend Hoofdstuk,84,"Die ter plaetsen gewapent lagen,"
Onbekend,Onbekend Hoofdstuk,85,Pongerden si in de Sarrasine.
Onbekend,Onbekend Hoofdstuk,86,Daer quam Fursijn met Faburine.
Onbekend,Onbekend Hoofdstuk,87,Twe coninge de plaetse hilden
Onbekend,Onbekend Hoofdstuk,88,"Banderside met dusent scilden,"
Onbekend,Onbekend Hoofdstuk,89,"Ende pongerden te haren here,"
Onbekend,Onbekend Hoofdstuk,90,Die hem mesliet ende clagede sere.
Onbekend,Onbekend Hoofdstuk,91,"""Edel heren,"" seit hi, ""dat ons Mares"
Onbekend,Onbekend Hoofdstuk,92,"Dus heeft gelastert, ic mane u des,"
Onbekend,Onbekend Hoofdstuk,93,"Dat gine slaet of gine bevaert,"
Onbekend,Onbekend Hoofdstuk,94,"[Ende den verra]dere niet en spaert."""
Onbekend,Onbekend Hoofdstuk,95,"[Si seiden: ""ger]ne,"" ende dadens pine"
Onbekend,Onbekend Hoofdstuk,96,[........] die Sarrasine
Onbekend,Onbekend Hoofdstuk,97,[....... m]et haren swerden
Onbekend,Onbekend Hoofdstuk,98,[........] se ende weerden
Onbekend,Onbekend Hoofdstuk,99,[........] jegen die Fransose vach
Onbekend,Onbekend Hoofdstuk,100,[...............]
Onbekend,Onbekend Hoofdstuk,101,[...] had [.........] man
Onbekend,Onbekend Hoofdstuk,102,Die halsberge al hebben an
Onbekend,Onbekend Hoofdstuk,103,"[Dan] die Fransose hadden daer,"
Onbekend,Onbekend Hoofdstuk,104,Dat was kinlijc ende openbaer.
Onbekend,Onbekend Hoofdstuk,105,Dus geviel dat Mares vinc
Onbekend,Onbekend Hoofdstuk,106,Parthonopeus den edelen jongelinc;
Onbekend,Onbekend Hoofdstuk,107,Maer het cochte menech man eer.
Onbekend,Onbekend Hoofdstuk,108,Der onser ware daer bleven meer
Onbekend,Onbekend Hoofdstuk,109,"Verslegen, en had gedaen de nacht:"
Onbekend,Onbekend Hoofdstuk,110,So sere waren si verhacht.
Onbekend,Onbekend Hoofdstuk,111,Sire sekeringen hi niet en vergat.
Onbekend,Onbekend Hoofdstuk,112,"Sornagur op een ors gesat,"
Onbekend,Onbekend Hoofdstuk,113,"Ende vor verbolgen op de sine,"
Onbekend,Onbekend Hoofdstuk,114,Als hem somen wart in scine.
Onbekend,Onbekend Hoofdstuk,115,"Hi deder onder scade groet,"
Onbekend,Onbekend Hoofdstuk,116,Ende hi slogere vele te doet.
Onbekend,Onbekend Hoofdstuk,117,"Parthonopeus, die jegen hem vacht,"
Onbekend,Onbekend Hoofdstuk,118,"[Riep] hi vele binnen der nacht,"
Onbekend,Onbekend Hoofdstuk,119,"[Ende] sorgede dat sine souden slaen,"
Onbekend,Onbekend Hoofdstuk,120,[....]e verradenesse had gedaen.
Onbekend,Onbekend Hoofdstuk,121,"Hi riepen vele ende sochte,"
Onbekend,Onbekend Hoofdstuk,122,"Maer als hine niet vinden en mochte,"
Onbekend,Onbekend Hoofdstuk,123,Hilt hine seker over doet:
Onbekend,Onbekend Hoofdstuk,124,Dies haddi anxt ende sorge groet.
Onbekend,Onbekend Hoofdstuk,125,"Het was so donker, dat si niet"
Onbekend,Onbekend Hoofdstuk,126,"En conden gesien, ende there saen sciet."
Onbekend,Onbekend Hoofdstuk,127,Doen keerden weder die Fransose
Onbekend,Onbekend Hoofdstuk,128,Met groten rouwe te Pontoise.
