author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,4170,AI vrouwe seiti doer gode genade
Onbekend,Onbekend Hoofdstuk,2,Hoe gerne ict sekeringe dade
Onbekend,Onbekend Hoofdstuk,3,Bede met trouwen ende met heede
Onbekend,Onbekend Hoofdstuk,4,Talrerst dat die tornoi daer sceede
Onbekend,Onbekend Hoofdstuk,5,Dat ic hier weder comen sal
Onbekend,Onbekend Hoofdstuk,4175,Mine lette god of ongeual
Onbekend,Onbekend Hoofdstuk,7,In weet v wat gisele geuen
Onbekend,Onbekend Hoofdstuk,8,Maer moet mi god behouden dleuen
Onbekend,Onbekend Hoofdstuk,9,Ic sal v staen al minen tijt
Onbekend,Onbekend Hoofdstuk,4205,Den raet gedoen dat gi saen
Onbekend,Onbekend Hoofdstuk,11,Vter vancnessen soudt ontgaen
Onbekend,Onbekend Hoofdstuk,12,Geuielt oec dat gi doot daer bleuet
Onbekend,Onbekend Hoofdstuk,13,So haddic al minen tijt geleuet
Onbekend,Onbekend Hoofdstuk,14,Herman soude mi verslaen
Onbekend,Onbekend Hoofdstuk,4210,Bedi mogedire aen verstaen
Onbekend,Onbekend Hoofdstuk,16,Dat ic groote dinc doer v doe
Onbekend,Onbekend Hoofdstuk,17,Vten kerkre halp sie hem doe
Onbekend,Onbekend Hoofdstuk,18,So hoe solc daer na vergaet
Onbekend,Onbekend Hoofdstuk,19,Al sine wapene waren geraet
Onbekend,Onbekend Hoofdstuk,20,[..........]h[...] hi dier (?)
Onbekend,Onbekend Hoofdstuk,21,Gaudijn (?) quam te parton. waert
Onbekend,Onbekend Hoofdstuk,22,Gereden op een tellende paert
Onbekend,Onbekend Hoofdstuk,4245,IX cnapen die vore riden
Onbekend,Onbekend Hoofdstuk,24,Saten alle op starke ronsiden
Onbekend,Onbekend Hoofdstuk,25,Elc voert een scacht lanc ende groot
Onbekend,Onbekend Hoofdstuk,26,Van sinopre geuarwet root
Onbekend,Onbekend Hoofdstuk,27,An elken scacht eene baniere
Onbekend,Onbekend Hoofdstuk,4250,Blickende root gelijc den viere
Onbekend,Onbekend Hoofdstuk,29,Daer na quamen .V. scilt cnechte
Onbekend,Onbekend Hoofdstuk,30,Die elken hogen man met rechte
Onbekend,Onbekend Hoofdstuk,4285,Van minen geslachte mogedi horen
Onbekend,Onbekend Hoofdstuk,32,Van heidene spanigen benic geboren
Onbekend,Onbekend Hoofdstuk,33,Een eiden ridder was mi vader
Onbekend,Onbekend Hoofdstuk,34,a Doe ic te riddre niewinge was gedaen
Onbekend,Onbekend Hoofdstuk,35,b Ende gerne prijs hadde ontfaen
Onbekend,Onbekend Hoofdstuk,36,c Doe was ic .xxx. iaer wel out
Onbekend,Onbekend Hoofdstuk,37,d Ende wer te vranqrike om sout
Onbekend,Onbekend Hoofdstuk,38,e Dat gesciede mi auer waer
Onbekend,Onbekend Hoofdstuk,39,Dat lant was doe in werren daer
Onbekend,Onbekend Hoofdstuk,40,[Voor Chiefdore tende d]er bruggen
Onbekend,Onbekend Hoofdstuk,41,[In den tor was] gaen liggen
Onbekend,Onbekend Hoofdstuk,42,[Melior ende twee i]onc urouwen
Onbekend,Onbekend Hoofdstuk,43,[Daer sijt al ga]der moge scouwen
Onbekend,Onbekend Hoofdstuk,4355,[Dat was Ur]ake ende percijs
Onbekend,Onbekend Hoofdstuk,45,[Die nien m]ochte in geere wijs
Onbekend,Onbekend Hoofdstuk,46,[Verhoghen] van den grooten seere
Onbekend,Onbekend Hoofdstuk,47,[Dat si] dreuen om dien ioncheere
Onbekend,Onbekend Hoofdstuk,48,[Dat se] herde van den liue ontdede
Onbekend,Onbekend Hoofdstuk,4360,[Daer si] in die .VII. coningen mede
Onbekend,Onbekend Hoofdstuk,50,[Die doe] mers van den tornoie [sijn]
Onbekend,Onbekend Hoofdstuk,51,[Cursout] bernaert ende clarijn
Onbekend,Onbekend Hoofdstuk,52,[Mijn he]re corsabres ende genors
Onbekend,Onbekend Hoofdstuk,53,[Gondre]des ende die rike amfors
Onbekend,Onbekend Hoofdstuk,4365,[Ende die] houde elmout daer die raet
Onbekend,Onbekend Hoofdstuk,55,[Van hem ?] tornoie meest an staet
Onbekend,Onbekend Hoofdstuk,56,[Dese li]ggen ten veinstren ende sien
Onbekend,Onbekend Hoofdstuk,57,[Bi tween honder]t ende drien
Onbekend,Onbekend Hoofdstuk,58,[Riddren] in beeden aluen versamen
Onbekend,Onbekend Hoofdstuk,4370,[Die] tuee gesellen quamen
Onbekend,Onbekend Hoofdstuk,60,[Die lust]ege ende die goede
Onbekend,Onbekend Hoofdstuk,61,[Peins]de dat in sinen moede
Onbekend,Onbekend Hoofdstuk,62,[Dat men] hars merken soude
Onbekend,Onbekend Hoofdstuk,63,[Sijn] raet gedroech datti woude
Onbekend,Onbekend Hoofdstuk,4375,[Ghesienlec] comen vor die ogen
Onbekend,Onbekend Hoofdstuk,65,[Ende ride]n daer si hem vertogen
Onbekend,Onbekend Hoofdstuk,66,[Op enen] nederen berch daer bi
Onbekend,Onbekend Hoofdstuk,67,[Met ge]rechten speren varen si
Onbekend,Onbekend Hoofdstuk,68,a [........]nden berge ter dale
Onbekend,Onbekend Hoofdstuk,69,b [........]wen sit hem wale
Onbekend,Onbekend Hoofdstuk,70,c [........]heiftse alters vtermaten
Onbekend,Onbekend Hoofdstuk,71,[........] twee riddren seiti [bi staden]
Onbekend,Onbekend Hoofdstuk,4390,En onder vin[den hare namen]
Onbekend,Onbekend Hoofdstuk,73,Van desen en [was der tale nemmee]
Onbekend,Onbekend Hoofdstuk,74,Si quamen gered[en allene si II.]
Onbekend,Onbekend Hoofdstuk,75,Ende quamen vele wel [in der tijt]
Onbekend,Onbekend Hoofdstuk,76,Ende vonden die plaetse r[uum ende wijt]
Onbekend,Onbekend Hoofdstuk,4395,Ende sagen huden an die r[inge]
Onbekend,Onbekend Hoofdstuk,78,Op hare briedel die iongeling[e]
Onbekend,Onbekend Hoofdstuk,79,Die te samen waren geuallen e[er]
Onbekend,Onbekend Hoofdstuk,80,Neware datter vele meer
Onbekend,Onbekend Hoofdstuk,81,Van bi ende dan van binnen war[en]
Onbekend,Onbekend Hoofdstuk,4400,Eer dese twee toe quamen geu[aren]
