author,chapter,line,text
Onbekend,I.,1,"Ene scone aventure hebbic gehord,"
Onbekend,I.,2,Die willic dan soe bringen vord
Onbekend,I.,3,"Uten Walsche, dat nu scine:"
Onbekend,I.,4,Mine staet te sparne cost no pine;
Onbekend,I.,5,"Maer mochtic ene aventure geraken,"
Onbekend,I.,6,"Die mi wel daertoe dochte smaken,"
Onbekend,I.,7,"Ende ics dan niet worde bescouden,"
Onbekend,I.,8,Soe haddic wel mine pine vergouden.
Onbekend,I.,9,"Mi gewoech die aventure turen das,"
Onbekend,I.,10,"In tsinxenen avonde, alst none was,"
Onbekend,I.,11,"Ende die messe was gedaen,"
Onbekend,I.,12,"Ende men eten soude gaen,"
Onbekend,I.,13,Quam ene joncfrouwe met haesten groet
Onbekend,I.,14,"Int hof gereden te Carmeloet,"
Onbekend,I.,15,Ende vrachde oft Lanceloet daer ware.
Onbekend,I.,16,"Men seide: jaet, ende wiesden hare;"
Onbekend,I.,17,"Ende si bat hem doe daer des,"
Onbekend,I.,18,"Van des conincs halven Pelles,"
Onbekend,I.,19,Dat hi met hare varen woude
Onbekend,I.,20,"Inden bosch, daer sine leiden soude."
Onbekend,I.,21,Ende alte hant soe vragede hi:
Onbekend,I.,22,"""Joncfrouwe, met wien soe sidi?"""
Onbekend,I.,23,"""Ic ben metten genen, sekerleke,"
Onbekend,I.,24,"Daer ic u hier nu af spreke."""
Onbekend,I.,25,Ende Lanceloet beval alsoe houde
Onbekend,I.,26,Dat men sijn gereide lecgen soude.
Onbekend,I.,27,Ende alse die coninc verstont dese sake
Onbekend,I.,28,"Hi wasere af sere tongemake,"
Onbekend,I.,29,Entie coninginne ende alt hof doe.
Onbekend,I.,30,Entie joncfrouwe antwerder toe:
Onbekend,I.,31,"""Hi sal morgen hier weder wesen"
Onbekend,I.,32,"Ter maeltijt."" Hi voer wech mettesen."
Onbekend,I.,33,Als si ene halve mile hadden gereden
Onbekend,I.,34,"Worden si geware ere steden,"
Onbekend,I.,35,Daer ene abdie van nonnen stoet.
Onbekend,I.,36,"Si reden daer met groter spoet,"
Onbekend,I.,37,Daer Lanceloet herde wel was ontfaen
Onbekend,I.,38,Als hire quam. Ende alsoe saen
Onbekend,I.,39,"Ward hi sire .ij. neven geware,"
Onbekend,I.,40,"Die op .ij. bedden lagen dare,"
Onbekend,I.,41,Lyoneel ende sijn broder Bohord.
Onbekend,I.,42,Ende si quamen gesprongen vord
Onbekend,I.,43,"Ende helsdene sere tien tide,"
Onbekend,I.,44,Alse die sijns waren blide.
Onbekend,I.,45,"Ende hi seide hen lieden daer naer,"
Onbekend,I.,46,"Dat hi met ere joncfrouwen quam daer,"
Onbekend,I.,47,Hine wiste om wat saken.
Onbekend,I.,48,Binnen dien dat si dus spraken
Onbekend,I.,49,"Quamen .iiij. nonnen, dine versochten,"
Onbekend,I.,50,Ende Galate met hen brochten.
Onbekend,I.,51,Die soe scone was ende so besneden
Onbekend,I.,52,"Van algader sinen leden,"
Onbekend,I.,53,Datmen niweren in eertrike
Onbekend,I.,54,Vonden hadde sinen gelike.
Onbekend,I.,55,"Ene nonne hilt kint in die hant,"
Onbekend,I.,56,"Ende si weende sere te hant,"
Onbekend,I.,57,"Ende seide: ""Here, ic bringe u"
Onbekend,I.,58,"Dat kint, dat ic tote nu"
Onbekend,I.,59,"Gevoet hebbe, dat al mine"
Onbekend,I.,60,Bliscap ende troest plach te sine;
Onbekend,I.,61,Ende ic soude gerne sien dat hi
Onbekend,I.,62,"Van uwer hant ridder werde, wildi;"
Onbekend,I.,63,"Bedie van beteren man, sonder waen,"
Onbekend,I.,64,"En mochti ridderscap niet ontfaen."""
Onbekend,I.,65,"Dat kint docht hem soe scone,"
Onbekend,I.,66,Dat hi noit onder den trone
Onbekend,I.,67,Soe sconen vorme sach van manne.
Onbekend,I.,68,Om die scoenheit dire lach anne
Onbekend,I.,69,"Haddire soe goeden wille toe,"
Onbekend,I.,70,"Dat hijt hare beloefde doe,"
Onbekend,I.,71,Dat hine riddere soude maken.
Onbekend,I.,72,"Hi dedene dien nacht waken,"
