author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,WIllam die madock maecte
Onbekend,Onbekend Hoofdstuk,2,Dair hi dicke om waecte
Onbekend,Onbekend Hoofdstuk,3,Hem iamerde zeer haerde
Onbekend,Onbekend Hoofdstuk,4,Dat die geeste van reynaerde
Onbekend,Onbekend Hoofdstuk,5,Niet te recht en is gescreuen
Onbekend,Onbekend Hoofdstuk,6,Een deel is dair after gebleuen
Onbekend,Onbekend Hoofdstuk,7,Daer om dede hy die vite zoeken
Onbekend,Onbekend Hoofdstuk,8,Ende heeftse wtten walschen boeken
Onbekend,Onbekend Hoofdstuk,9,Jn duutsche aldus begonnen
Onbekend,Onbekend Hoofdstuk,10,God wil ons sijn hulpe gonnen
Onbekend,Onbekend Hoofdstuk,11,Nv keer my dair toe mynen synne
Onbekend,Onbekend Hoofdstuk,12,Dat ic bidde in dit begynne
Onbekend,Onbekend Hoofdstuk,13,Beide den dorpers ende den doren
Onbekend,Onbekend Hoofdstuk,14,Off sy comen dair zijt horen
Onbekend,Onbekend Hoofdstuk,15,Dese rijm ende dese woort
Onbekend,Onbekend Hoofdstuk,16,Off sy hem duncken niet goet gehoort
Onbekend,Onbekend Hoofdstuk,17,Dat sy die ongelastert laten
Onbekend,Onbekend Hoofdstuk,18,Mer so wie die doget haten
Onbekend,Onbekend Hoofdstuk,19,Die maken mitter logen malsch
Onbekend,Onbekend Hoofdstuk,20,Ende oordelen mennige rijm valsch
Onbekend,Onbekend Hoofdstuk,21,Dair sy niet meer of en weten
Onbekend,Onbekend Hoofdstuk,22,Dan sy doen hoe sy alle heten
Onbekend,Onbekend Hoofdstuk,23,Die nv woenen bynnen pauijen
Onbekend,Onbekend Hoofdstuk,24,Deden sy wel si soudens vertijen
Onbekend,Onbekend Hoofdstuk,25,Ende laten begaen elcken man
Onbekend,Onbekend Hoofdstuk,26,Mit sulken kunsten als hi can
Onbekend,Onbekend Hoofdstuk,27,Dit en seg ic niet om mynen wil
Onbekend,Onbekend Hoofdstuk,28,Mijn gedicht wair gebleuen stil
Onbekend,Onbekend Hoofdstuk,29,En hads my niet een gebeden
Onbekend,Onbekend Hoofdstuk,30,Die in groter heuscheden
Onbekend,Onbekend Hoofdstuk,31,Gerne keert al hair zaken
Onbekend,Onbekend Hoofdstuk,32,Si bad my dat ic woude maken
Onbekend,Onbekend Hoofdstuk,33,Die auentuer van reynaerde
Onbekend,Onbekend Hoofdstuk,34,Al berisp ic die musaerde
Onbekend,Onbekend Hoofdstuk,35,Ende die dorpers ende die doren
Onbekend,Onbekend Hoofdstuk,36,Jc wil wel dat die geen diet horen
Onbekend,Onbekend Hoofdstuk,37,Die gerne plegen der eren
Onbekend,Onbekend Hoofdstuk,38,Ende haren syn dair toe keren
Onbekend,Onbekend Hoofdstuk,39,Dat sy leuen in heuscheiden
Onbekend,Onbekend Hoofdstuk,40,Nv hoort ic sel v voort besceiden
Onbekend,Onbekend Hoofdstuk,41,Den syn des woorts na dit prologe
Onbekend,Onbekend Hoofdstuk,42,Mer ic bid v so wat ic toge
Onbekend,Onbekend Hoofdstuk,43,Hoort die woorden ende merct den syn
Onbekend,Onbekend Hoofdstuk,44,Onthout dair leit veel wijsheit in.
Onbekend,Onbekend Hoofdstuk,45,HEt was op enen pijnxster dach
Onbekend,Onbekend Hoofdstuk,46,Dat men woude ende velde sach
Onbekend,Onbekend Hoofdstuk,47,Groen staen myt louer ende grass
Onbekend,Onbekend Hoofdstuk,48,Ende menich vogel blide wass
Onbekend,Onbekend Hoofdstuk,49,Mit sange in hagen ende in bomen
Onbekend,Onbekend Hoofdstuk,50,Die crude sproten wt ende die bloemen
Onbekend,Onbekend Hoofdstuk,51,Die wel roken hier ende daer
Onbekend,Onbekend Hoofdstuk,52,Ende die dach was schoon ende claer
Onbekend,Onbekend Hoofdstuk,53,Nobel die coninc van allen dieren
Onbekend,Onbekend Hoofdstuk,54,Had sijn hoff doen kreygiren
Onbekend,Onbekend Hoofdstuk,55,Sijn lant al door ende ouer al
Onbekend,Onbekend Hoofdstuk,56,Om dat hi waende had hijs geual
Onbekend,Onbekend Hoofdstuk,57,Vol hoff te houden myt groten loue
Onbekend,Onbekend Hoofdstuk,58,Doe quamen tot des conincs houe
Onbekend,Onbekend Hoofdstuk,59,Alle dieren groot ende cleyn
Onbekend,Onbekend Hoofdstuk,60,Sonder voss reynaert alleyn
Onbekend,Onbekend Hoofdstuk,61,Hi had in thoff so veel misdaen
Onbekend,Onbekend Hoofdstuk,62,Dat hi dair niet en dorst comen gaen
Onbekend,Onbekend Hoofdstuk,63,Wie quaet doet die scuwet dat licht
Onbekend,Onbekend Hoofdstuk,64,Dat seit die scrift al ouer richt
Onbekend,Onbekend Hoofdstuk,65,Also dede reynaert dat hoff
Onbekend,Onbekend Hoofdstuk,66,Dair hi in hadde krancke loff
Onbekend,Onbekend Hoofdstuk,67,Doe al dit hoff versament was
Onbekend,Onbekend Hoofdstuk,68,En was dair nyement dan die das
Onbekend,Onbekend Hoofdstuk,69,Hy en had te clagen oeuer reynaert
Onbekend,Onbekend Hoofdstuk,70,Den fellen mitten roden baert
Onbekend,Onbekend Hoofdstuk,71,Nv gatet hier op een clagen
Onbekend,Onbekend Hoofdstuk,72,Jsegrym ende sijn magen
Onbekend,Onbekend Hoofdstuk,73,Ghingen voor den coninck staen
Onbekend,Onbekend Hoofdstuk,74,Jsegrim begonde zaen
Onbekend,Onbekend Hoofdstuk,75,Ende sprac her coninck lieue heer
Onbekend,Onbekend Hoofdstuk,76,Door v edelheit ende door v eer
Onbekend,Onbekend Hoofdstuk,77,Seide door recht ende door genaden
Onbekend,Onbekend Hoofdstuk,78,Ontfermt v der groter scaden
Onbekend,Onbekend Hoofdstuk,79,Die my reynaert heeft gedaen
Onbekend,Onbekend Hoofdstuk,80,Dair ic dick off heb ontfaen
Onbekend,Onbekend Hoofdstuk,81,Grote scande swaer verlies
Onbekend,Onbekend Hoofdstuk,82,Voor alle saken ontfermt v dies
Onbekend,Onbekend Hoofdstuk,83,Dat hi mijn goede wijff verdoort
Onbekend,Onbekend Hoofdstuk,84,Ende mijn kijnder so vermoort
Onbekend,Onbekend Hoofdstuk,85,Dat hi die beseycte dair sy lagen
Onbekend,Onbekend Hoofdstuk,86,Datter geen synt nye en sagen
Onbekend,Onbekend Hoofdstuk,87,Ende sijn al gader staet blynt
Onbekend,Onbekend Hoofdstuk,88,Nochtant hoende hi my noch synt
Onbekend,Onbekend Hoofdstuk,89,Want het was so ver gecomen
Onbekend,Onbekend Hoofdstuk,90,Datter een was van op genomen
Onbekend,Onbekend Hoofdstuk,91,Ende reynaert soude hebben gedaen
Onbekend,Onbekend Hoofdstuk,92,Sijn onscout. ende also zaen
Onbekend,Onbekend Hoofdstuk,93,Als die heiligen waren voort gebrocht
Onbekend,Onbekend Hoofdstuk,94,Was reynaert anders syns bedocht
Onbekend,Onbekend Hoofdstuk,95,Ende ontvoer ons in sijn veste
Onbekend,Onbekend Hoofdstuk,96,Heer dat weten noch die beste
Onbekend,Onbekend Hoofdstuk,97,Die tot uwen houe sijn al hier
Onbekend,Onbekend Hoofdstuk,98,My heeft reynaert dat felle dier
Onbekend,Onbekend Hoofdstuk,99,So veel gedaen te leide
Onbekend,Onbekend Hoofdstuk,100,Hy en leeft niet diet v seide
Onbekend,Onbekend Hoofdstuk,101,Ja al waert al perkement
Onbekend,Onbekend Hoofdstuk,102,Dat laken dat men maect te ghent
Onbekend,Onbekend Hoofdstuk,103,Men zouts dair in niet connen scyuen
Onbekend,Onbekend Hoofdstuk,104,Dit laet ic noch al after bliuen
Onbekend,Onbekend Hoofdstuk,105,Mer mijns wijfs laster
Onbekend,Onbekend Hoofdstuk,106,En mach niet bliuen after
Onbekend,Onbekend Hoofdstuk,107,Noch ongebetert off ongewroken
Onbekend,Onbekend Hoofdstuk,108,Als ysegrym dese woord had gesproken
Onbekend,Onbekend Hoofdstuk,109,Stont op een hondekijn ende hiet corttoys
Onbekend,Onbekend Hoofdstuk,110,Ende claechde den coninc in fransoys
Onbekend,Onbekend Hoofdstuk,111,Hoe dat so arm was wilen eer
Onbekend,Onbekend Hoofdstuk,112,Dattet alles goets en had niet meer
Onbekend,Onbekend Hoofdstuk,113,in enen winter in enen vorst
Onbekend,Onbekend Hoofdstuk,114,Dan alleen een cleyne worst
Onbekend,Onbekend Hoofdstuk,115,Ende hem reynaert die selue nam
