author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,"Was vor .i. veinstre gestaen,"
Onbekend,Onbekend Hoofdstuk,2,"Ende hadde die collumme bevaen,"
Onbekend,Onbekend Hoofdstuk,3,Ende sach in dat dal beneden
Onbekend,Onbekend Hoofdstuk,4,Waer die heren quamen gereden.
Onbekend,Onbekend Hoofdstuk,5,"""Den vorsten"", seitsi, ""hebbic becant,"
Onbekend,Onbekend Hoofdstuk,6,"Dats mijn neve, die grave Roelant;"
Onbekend,Onbekend Hoofdstuk,7,Dander es met waren dingen
Onbekend,Onbekend Hoofdstuk,8,Die grave Willem van Oringen;
Onbekend,Onbekend Hoofdstuk,9,"Die derde dinket mi Bertram,"
Onbekend,Onbekend Hoofdstuk,10,.I. stout rudder ende lofsam;
Onbekend,Onbekend Hoofdstuk,11,Die vierde dats mijn here Bernaert:
Onbekend,Onbekend Hoofdstuk,12,"Ic weet wel, si comen harewaert,"
Onbekend,Onbekend Hoofdstuk,13,"Ic vruchte, bi Gode die mi geboot,"
Onbekend,Onbekend Hoofdstuk,14,"Dat si riden in hare doot,"
Onbekend,Onbekend Hoofdstuk,15,"Ic wilde wel, datsi teser wilen"
Onbekend,Onbekend Hoofdstuk,16,Waren over .c. milen;
Onbekend,Onbekend Hoofdstuk,17,Si hebben hoge bodscap te doene
Onbekend,Onbekend Hoofdstuk,18,Die riddren sterc ende coene.
Onbekend,Onbekend Hoofdstuk,19,"Ganc wech"", seitsi, ""portenare,"
Onbekend,Onbekend Hoofdstuk,20,Datti God onse here beware!
Onbekend,Onbekend Hoofdstuk,21,"Ende nem dese .iiij. hobande,"
Onbekend,Onbekend Hoofdstuk,22,Ende ghef mi den besten Roelande:
Onbekend,Onbekend Hoofdstuk,23,"Sech datten hem sijn moeije sande,"
Onbekend,Onbekend Hoofdstuk,24,"Ende ghef mi desen den here Bertrande,"
Onbekend,Onbekend Hoofdstuk,25,"Ghef elken riddere .i. hobant,"
Onbekend,Onbekend Hoofdstuk,26,Ende sech dat icse hem hebbe gesant.
Onbekend,Onbekend Hoofdstuk,27,"Doe die paerde achterwaren wale,"
Onbekend,Onbekend Hoofdstuk,28,"Brinc de riddren in de zale,"
Onbekend,Onbekend Hoofdstuk,29,"Si comen vor den overmoedichsten man,"
Onbekend,Onbekend Hoofdstuk,30,Die nie ter werelt lijf gewan.
Onbekend,Onbekend Hoofdstuk,31,Bi den here die mi geboot!
Onbekend,Onbekend Hoofdstuk,32,"Ic duchte, hi salse slaen te doot."
Onbekend,Onbekend Hoofdstuk,33,"Ic wilde wel, datsi alle waren"
Onbekend,Onbekend Hoofdstuk,34,"Over .m. milen gevaren,"
Onbekend,Onbekend Hoofdstuk,35,"Dat seggic u met gewoude."""
Onbekend,Onbekend Hoofdstuk,36,Tien tiden was Aymijn die oude
