author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,Na die bisscoppen saten hertogen
Onbekend,Onbekend Hoofdstuk,2,die rike waren ende vele mogen
Onbekend,Onbekend Hoofdstuk,3,Na die hertogen saten grauen
Onbekend,Onbekend Hoofdstuk,4,die rike waren van hauen.
Onbekend,Onbekend Hoofdstuk,5,daerna saten ic wilt bedieden
Onbekend,Onbekend Hoofdstuk,6,vorste ridders van maisnieden
Onbekend,Onbekend Hoofdstuk,7,die houesch waren ende milde
Onbekend,Onbekend Hoofdstuk,8,daerna die ridders van .i. scilde
Onbekend,Onbekend Hoofdstuk,9,Ic wane nieman dienen sach.
Onbekend,Onbekend Hoofdstuk,10,bet dat men daer diende vpden dach.
Onbekend,Onbekend Hoofdstuk,11,Si saten alle na haer geuouch
Onbekend,Onbekend Hoofdstuk,12,Entie scinkere gaf hem genouch
Onbekend,Onbekend Hoofdstuk,13,vordie tafle stont renoudijn.
Onbekend,Onbekend Hoofdstuk,14,ende diende den rechten. fijn
Onbekend,Onbekend Hoofdstuk,15,Ende adelaert die ridder snel
Onbekend,Onbekend Hoofdstuk,16,diende vtermaten wel.
Onbekend,Onbekend Hoofdstuk,17,Entie gebroedren altemale
Onbekend,Onbekend Hoofdstuk,18,vordie heren inde zale
Onbekend,Onbekend Hoofdstuk,19,Ic late bliuen vanden gerichten
Onbekend,Onbekend Hoofdstuk,20,Enmochte geen man gedichten.
Onbekend,Onbekend Hoofdstuk,21,Ne geseggen ooc waer of
Onbekend,Onbekend Hoofdstuk,22,Ende elc men daer te pointe gaf
Onbekend,Onbekend Hoofdstuk,23,Nv latic vanden etene bliuen
Onbekend,Onbekend Hoofdstuk,24,Ende sal v vort an bescriuen
Onbekend,Onbekend Hoofdstuk,25,doe damelaken vp waren gedaen
Onbekend,Onbekend Hoofdstuk,26,brochtmen water ende ginc dwaen
Onbekend,Onbekend Hoofdstuk,27,Ende dwougen daer alreest
Onbekend,Onbekend Hoofdstuk,28,die rijcst waren ende meest
Onbekend,Onbekend Hoofdstuk,29,daer was bliscap sonder scouwe
Onbekend,Onbekend Hoofdstuk,30,Elc hadde inde hant ene vrouwe
Onbekend,Onbekend Hoofdstuk,31,die bagel was ende scone
Onbekend,Onbekend Hoofdstuk,32,Ic seggu bi gode vanden trone
Onbekend,Onbekend Hoofdstuk,33,althof mochtmen beset scouwen
Onbekend,Onbekend Hoofdstuk,34,met vrouwen ende joncfrouwen
Onbekend,Onbekend Hoofdstuk,35,doeder water was genomen.
Onbekend,Onbekend Hoofdstuk,36,Es die boutelgier metten wine comen
Onbekend,Onbekend Hoofdstuk,37,hi gaf hem genouch ende renoudijn.
Onbekend,Onbekend Hoofdstuk,38,dede daer ouervloeyen den wijn.
Onbekend,Onbekend Hoofdstuk,39,doetochden haer spel dieder waren.
Onbekend,Onbekend Hoofdstuk,40,alle diegoede vedelaren.
Onbekend,Onbekend Hoofdstuk,41,Elkerlijc van sinen spele
Onbekend,Onbekend Hoofdstuk,42,wel te maten ende niet vele
Onbekend,Onbekend Hoofdstuk,43,Lodewijcs vader ginc slapen.
Onbekend,Onbekend Hoofdstuk,44,met hem rudders ende cnapen
Onbekend,Onbekend Hoofdstuk,45,wel .cccc. bi getalle
Onbekend,Onbekend Hoofdstuk,46,wel geachemeirt alle
Onbekend,Onbekend Hoofdstuk,47,Lodewijc sprac lude ende stille
Onbekend,Onbekend Hoofdstuk,48,Nv volge mi die goet hebben wille
Onbekend,Onbekend Hoofdstuk,49,Ende helpt mi met ter vaert
Onbekend,Onbekend Hoofdstuk,50,In gonen sconen boongaert
Onbekend,Onbekend Hoofdstuk,51,Si holpen hem ter seluer stede
Onbekend,Onbekend Hoofdstuk,52,Ende si volgeden hem alle mede
Onbekend,Onbekend Hoofdstuk,53,doe ginc hi geuen scone gauen.
Onbekend,Onbekend Hoofdstuk,54,Coningen hertogen ende grauen.
Onbekend,Onbekend Hoofdstuk,55,So dedi ooc ic wilt bedieden
Onbekend,Onbekend Hoofdstuk,56,vorsten ridders van maisnieden
Onbekend,Onbekend Hoofdstuk,57,die houesch waren ende milde
Onbekend,Onbekend Hoofdstuk,58,daerna rudders van .i. scilde
Onbekend,Onbekend Hoofdstuk,59,alle vergiftise ginder
Onbekend,Onbekend Hoofdstuk,60,Sonder sgrauen aymijns kinder
Onbekend,Onbekend Hoofdstuk,61,biden here van nazarene
Onbekend,Onbekend Hoofdstuk,62,hem ne gaf hi groot no clene
Onbekend,Onbekend Hoofdstuk,63,doe gingen de broeders allegader.
Onbekend,Onbekend Hoofdstuk,64,Ende seident aymijn haren vader.
Onbekend,Onbekend Hoofdstuk,65,als hi verstont die wort
Onbekend,Onbekend Hoofdstuk,66,Sal hijt den keyser clagen vort
Onbekend,Onbekend Hoofdstuk,67,Ende ginc ter camere daer hi lach
Onbekend,Onbekend Hoofdstuk,68,als hine met ogen sach
Onbekend,Onbekend Hoofdstuk,69,her keyser seiti nv sijn alleginder.
Onbekend,Onbekend Hoofdstuk,70,vergift sonder alle minne kinder.
Onbekend,Onbekend Hoofdstuk,71,Die keyser sprac ic sal minnen neuen
Onbekend,Onbekend Hoofdstuk,72,harde grote giften geuen.
Onbekend,Onbekend Hoofdstuk,73,Ic wilse goeden also eerlike
Onbekend,Onbekend Hoofdstuk,74,alse enige sijn in dit rike
Onbekend,Onbekend Hoofdstuk,75,doe ginc aymijn om sine kinder
Onbekend,Onbekend Hoofdstuk,76,Ende brochtse vorden keyser ginder
Onbekend,Onbekend Hoofdstuk,77,Siquamen ten bedde daer hi lach
Onbekend,Onbekend Hoofdstuk,78,Ende seiden here god geue v goeden dach
Onbekend,Onbekend Hoofdstuk,79,hi andworde sijt willecomen neuen.
Onbekend,Onbekend Hoofdstuk,80,Ic wille v scone giften geuen
Onbekend,Onbekend Hoofdstuk,81,ritsaert ghi sijt bi getalle
Onbekend,Onbekend Hoofdstuk,82,doutste vanden broedren alle
Onbekend,Onbekend Hoofdstuk,83,het was mi wel geseit tevoren
Onbekend,Onbekend Hoofdstuk,84,want ghi wart eerst geboren
Onbekend,Onbekend Hoofdstuk,85,Ic sal v geuen scat ende haue
Onbekend,Onbekend Hoofdstuk,86,Ende maken v in spaingen graue
Onbekend,Onbekend Hoofdstuk,87,adelaert wel coene wigant
Onbekend,Onbekend Hoofdstuk,88,Ic geue v poelien dat rike lant
Onbekend,Onbekend Hoofdstuk,89,Te wesene graue ende here
Onbekend,Onbekend Hoofdstuk,90,Tuwen liue emmermere
Onbekend,Onbekend Hoofdstuk,91,ridsaert ic geue v seuen scilde met trouwen
Onbekend,Onbekend Hoofdstuk,92,Tusscen parijs ende lauwen
Onbekend,Onbekend Hoofdstuk,93,Ende moniu des berges voet
Onbekend,Onbekend Hoofdstuk,94,bigode dits .i. scone goet
Onbekend,Onbekend Hoofdstuk,95,Enten .vi. penninc hebt mede
Onbekend,Onbekend Hoofdstuk,96,Renout riepi ter seluer stede
Onbekend,Onbekend Hoofdstuk,97,Ende seide lieue neue mijn
Onbekend,Onbekend Hoofdstuk,98,Ghi moet wel gegift sijn.
Onbekend,Onbekend Hoofdstuk,99,v geuic tlant van artoys.
Onbekend,Onbekend Hoofdstuk,100,Ende van angiers ende van bloys.
Onbekend,Onbekend Hoofdstuk,101,Ende dat goede lant van blatoene
Onbekend,Onbekend Hoofdstuk,102,daertoe geuic v rudder coene
Onbekend,Onbekend Hoofdstuk,103,.I. busant van roden goude
Onbekend,Onbekend Hoofdstuk,104,mettien boot hine renoude
Onbekend,Onbekend Hoofdstuk,105,Nemt hier neue renout
Onbekend,Onbekend Hoofdstuk,106,dits recht ebreuchs gout
Onbekend,Onbekend Hoofdstuk,107,In weet v wat senden mee
Onbekend,Onbekend Hoofdstuk,108,god senden mi vter wilder zee
Onbekend,Onbekend Hoofdstuk,109,Coper met broot ende wijn
Onbekend,Onbekend Hoofdstuk,110,Nauens wert de penninc dijn.
Onbekend,Onbekend Hoofdstuk,111,Ic seggu met waerheden dat
