author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,"""Wie deit?"" sprac hi in corter stont."
Onbekend,Onbekend Hoofdstuk,2,"""Here, Aymijns sone, Reinoud."
Onbekend,Onbekend Hoofdstuk,3,"Doe sprac die coninc, ende loech:"
Onbekend,Onbekend Hoofdstuk,4,"Danc ebbe hi, dat hine sloech;"
Onbekend,Onbekend Hoofdstuk,5,"""Ic sach wel, aldaer hi zat,"
Onbekend,Onbekend Hoofdstuk,6,"""Datti lettel dranc of at;"
Onbekend,Onbekend Hoofdstuk,7,"""Den coc verdome God van Paradise,"
Onbekend,Onbekend Hoofdstuk,8,"""Soudi hem onsegghen spise;"
Onbekend,Onbekend Hoofdstuk,9,"""Waeromme wederseidi se hem dan?"
Onbekend,Onbekend Hoofdstuk,10,"""Het eit se hier so menich man."
Onbekend,Onbekend Hoofdstuk,11,"""Sal ic mine maghe verdriven,"
Onbekend,Onbekend Hoofdstuk,12,"""Ende vremde met mi zullen bliven,"
Onbekend,Onbekend Hoofdstuk,13,"""So waric dul ende sot;"
Onbekend,Onbekend Hoofdstuk,14,"""Nenic niet, also helpe mi God!"
Onbekend,Onbekend Hoofdstuk,15,"""Om .i. coc staet mi niet te siene;"
Onbekend,Onbekend Hoofdstuk,16,"""Willicker .i., ic ebber tiene;"
Onbekend,Onbekend Hoofdstuk,17,"""Dese mesdaet nemic al up mi,"
Onbekend,Onbekend Hoofdstuk,18,"Seide Karel, die coninc vri."
Onbekend,Onbekend Hoofdstuk,19,Dus seide Karel sinen wille;
Onbekend,Onbekend Hoofdstuk,20,Doe zweghen si algader stille.
Onbekend,Onbekend Hoofdstuk,21,"Ende sloechene, als ghi nu ghet horen"
Onbekend,Onbekend Hoofdstuk,22,"Ten eersten slaghe, ende nemmee,"
Onbekend,Onbekend Hoofdstuk,23,Sloechi hem den hals ontwee;
Onbekend,Onbekend Hoofdstuk,24,Bi den voeten hine gheprant
Onbekend,Onbekend Hoofdstuk,25,"Reinoud, dovermoedighe wigant,"
