author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,[dus] seeij karel sijnen wille
Onbekend,Onbekend Hoofdstuk,2,[ende] sii sweghen allen stille.
Onbekend,Onbekend Hoofdstuk,3,[die] gheene die daer broot drooch
Onbekend,Onbekend Hoofdstuk,4,[hij] brocht voer reijnout genoech.
Onbekend,Onbekend Hoofdstuk,5,"[die sc]inke[r sp]rack: ""heere wijldij ijeet?"
Onbekend,Onbekend Hoofdstuk,6,"[u en] mach [g]hebreken nijeet,"
Onbekend,Onbekend Hoofdstuk,7,"[ghij s]ult mostaert hebben ende sijeroope,"
Onbekend,Onbekend Hoofdstuk,8,[ende wijn]s ghenooch sonder coopen.
Onbekend,Onbekend Hoofdstuk,9,[dus diende men] hen eerlijke.
Onbekend,Onbekend Hoofdstuk,10,[des balch hem se]ere loodewijke.
Onbekend,Onbekend Hoofdstuk,11,[hier e]n binnen quam die drossate.
Onbekend,Onbekend Hoofdstuk,12,[die] daer diende vanden ate
Onbekend,Onbekend Hoofdstuk,13,[ende] die gherechte voere droech
Onbekend,Onbekend Hoofdstuk,14,[tote o]p reijnout ende looch.
Onbekend,Onbekend Hoofdstuk,15,"[""bij gode] jonc man, ghij hebt mesdaen,"
Onbekend,Onbekend Hoofdstuk,16,"[waer]t mij leet, ic soude u slaen."
Onbekend,Onbekend Hoofdstuk,17,"[onse c]ock leet doot ter woude,"
Onbekend,Onbekend Hoofdstuk,18,"[wat] duvel brocht u [h]eere so boude?"""
Onbekend,Onbekend Hoofdstuk,19,"[reij]nout sprack: ""ghij sijt onvroet,"
Onbekend,Onbekend Hoofdstuk,20,"[dat] ghij dreijghet ende nijet en doet,"
Onbekend,Onbekend Hoofdstuk,21,"[gaef]dij mij eenen slach,"
Onbekend,Onbekend Hoofdstuk,22,"[daer] laghe aee[n j]ouwen [do]emsdach."""
Onbekend,Onbekend Hoofdstuk,23,"[""dat] sal ic proev[en,"" sprack di]e d[ross]ate"
Onbekend,Onbekend Hoofdstuk,24,"[""al] waert u een o[nghemate.""]"
Onbekend,Onbekend Hoofdstuk,25,"[sijn] spet ghaerde h[ij verdroech,]"
Onbekend,Onbekend Hoofdstuk,26,[na reijn]out hij daer[mede sloech]
Onbekend,Onbekend Hoofdstuk,27,[als] hij sl[oec]h gh[erechtem reijnout]
Onbekend,Onbekend Hoofdstuk,28,[ende scutte den slach met ghewout.]
Onbekend,Onbekend Hoofdstuk,29,[Reijnout haddes groeten toren]
Onbekend,Onbekend Hoofdstuk,30,[ende sloechen als ghij nu sult horen]
Onbekend,Onbekend Hoofdstuk,31,[...........]at al[............]
Onbekend,Onbekend Hoofdstuk,32,[.......]tuych[............]aeen been
Onbekend,Onbekend Hoofdstuk,33,"[met]ten voe[te]n heeft hijen gh[ep]rant,"
Onbekend,Onbekend Hoofdstuk,34,"[reijn]out di[e] wijgant,"
Onbekend,Onbekend Hoofdstuk,35,[hij was toornic]h ende erre
Onbekend,Onbekend Hoofdstuk,36,[ende worpen we]l seven voeten verre.
Onbekend,Onbekend Hoofdstuk,37,dat sach die roemsche keijser wel
Onbekend,Onbekend Hoofdstuk,38,"ende sprack ""bij gode, die gheene es snel,"
Onbekend,Onbekend Hoofdstuk,39,"die dese overdaet doot."""
Onbekend,Onbekend Hoofdstuk,40,"loodewijck sprac: ""vader es dit goet?"
Onbekend,Onbekend Hoofdstuk,41,"ghij sijt heere vanden lande,"
Onbekend,Onbekend Hoofdstuk,42,"[ghij hebt]s lachter ende scande."""
