author,chapter,line,text
Melis Stoke,BOEK I,1,"Omdat ik niet en wille,"
Melis Stoke,BOEK I,2,Dat mijn sijn ligghe stil
Melis Stoke,BOEK I,3,"Ende verderve mit ledicheden,"
Melis Stoke,BOEK I,4,Willic u alhier ter steden
Melis Stoke,BOEK I,5,"Segghen, wie de graven waren,"
Melis Stoke,BOEK I,6,De Hollant in haren jaren
Melis Stoke,BOEK I,7,"Hadden onder haer bedwanc,"
Melis Stoke,BOEK I,8,Ende hoe verre dat haer ganc
Melis Stoke,BOEK I,9,"Met rechte gaet in Vrieslant,"
Melis Stoke,BOEK I,10,Alsoo als icket bescreven vant
Melis Stoke,BOEK I,11,"In den cloester tEcghemonde,"
Melis Stoke,BOEK I,12,"In Latine in vraier orconde,"
Melis Stoke,BOEK I,13,Sonder favele sonder lieghen
Melis Stoke,BOEK I,14,Ende sonder iement te bedrieghen:
Melis Stoke,BOEK I,15,Wantet dinket mi wesen scande
Melis Stoke,BOEK I,16,Dat de lieden vanden lande
Melis Stoke,BOEK I,17,Ander giesten vele weten
Melis Stoke,BOEK I,18,"Ende si des hebben vergheten,"
Melis Stoke,BOEK I,19,Wanen si selve sijn gheboren
Melis Stoke,BOEK I,20,Ende wie sie waren hier tevoren
Melis Stoke,BOEK I,21,"Die tlant wonnen entie erve,"
Melis Stoke,BOEK I,22,Daer si of nutten de bederve.
Melis Stoke,BOEK I,23,"Dat willic hier doen weten,"
Melis Stoke,BOEK I,24,Wie die lande hadden beseten
Melis Stoke,BOEK I,25,"Hier te voren in ouden tiden,"
Melis Stoke,BOEK I,26,Ende dit kortelike overlieden.
Melis Stoke,BOEK I,27,Dese pine ende dit ghepens
Melis Stoke,BOEK I,28,"Sendic u, heer grave Florens,"
Melis Stoke,BOEK I,29,"Dat ghi sien moghet ende horen,"
Melis Stoke,BOEK I,30,"Waen dat ghi sijt gheboren,"
Melis Stoke,BOEK I,31,Ende bij wat redenen dat ghi in hant
Melis Stoke,BOEK I,32,"Hebbet Zeelant ende Hollant,"
Melis Stoke,BOEK I,33,Ende bi wat reden dat ghi soect
Melis Stoke,BOEK I,34,"Vrieslant, dat u so sere vloect."
Melis Stoke,BOEK I,35,"Hem bid ic, die noeit en began"
Melis Stoke,BOEK I,36,Ende over ghemene man
Melis Stoke,BOEK I,37,"Om te berechtene sette lansheren,"
Melis Stoke,BOEK I,38,"Dat hi mi dat moete leren,"
Melis Stoke,BOEK I,39,Dat ic de waerheit so verclare
Melis Stoke,BOEK I,40,Dat men weten moet dat ware.
Melis Stoke,BOEK I,41,"Ouden boeken horic ghewaghen,"
Melis Stoke,BOEK I,42,Dat al tlant beneden Nimaghen
Melis Stoke,BOEK I,43,"Wilen Nederzassen hiet,"
Melis Stoke,BOEK I,44,Also alst de stroem versciet
Melis Stoke,BOEK I,45,Van der Maze ende van den Rine;
Melis Stoke,BOEK I,46,"Die Scelt was dat westende sine,"
Melis Stoke,BOEK I,47,Also al si valt inde zee;
Melis Stoke,BOEK I,48,Oest streckende mijn no mee
Melis Stoke,BOEK I,49,Dan toter Lavecen ofter Elven.
Melis Stoke,BOEK I,50,Die keysere van Rome selve
Melis Stoke,BOEK I,51,"Ontsaghen menichwarf dit lant,"
Melis Stoke,BOEK I,52,Want menre wreet volc ende sterc in vant
Melis Stoke,BOEK I,53,Entie quaet te zoekene waren.
Melis Stoke,BOEK I,54,Dicken quamen si met scaren
Melis Stoke,BOEK I,55,Om dat Roomsche rike te cranken
Melis Stoke,BOEK I,56,Ende verheerden de Rijnvranken.
Melis Stoke,BOEK I,57,"Wiltenborch hiet haer hoeftstat,"
Melis Stoke,BOEK I,58,Daer tvolc menich jaer in sat.
Melis Stoke,BOEK I,59,Na ons heren gheboernesse
Melis Stoke,BOEK I,60,CCC jaer zestich ende zesse
Melis Stoke,BOEK I,61,Wort keyser Valentiniaen;
Melis Stoke,BOEK I,62,Goet kersten was hi sonder waen.
Melis Stoke,BOEK I,63,"In sinen tiden waren si ghetoghen,"
Melis Stoke,BOEK I,64,"De Nederzassen, ende wilden poghen"
Melis Stoke,BOEK I,65,Te nederne de Roomsche ghewelt.
Melis Stoke,BOEK I,66,Daer beghincse op een velt
Melis Stoke,BOEK I,67,De keyser ende wan hem an
Melis Stoke,BOEK I,68,Haer scepe ende menighen man
Melis Stoke,BOEK I,69,Int Nederlant neven den Rijn.
Melis Stoke,BOEK I,70,Doe wan hi voert met siere pine
Melis Stoke,BOEK I,71,"Haer lant, dat noch sere is vast,"
Melis Stoke,BOEK I,72,"Ende setter in so menighen gast,"
Melis Stoke,BOEK I,73,Diese ghiselden ende dwonghen
Melis Stoke,BOEK I,74,Te dienen der Roomscher thonghen.
Melis Stoke,BOEK I,75,Dus mosten si den zeghe verliesen.
Melis Stoke,BOEK I,76,Die Nederzassen heten nu Vriesen.
Melis Stoke,BOEK I,77,De name wanic dat ierst vant
Melis Stoke,BOEK I,78,"Rome, wantets een cout lant."
Melis Stoke,BOEK I,79,"Heidijn bleven si noch hiernaer,"
Melis Stoke,BOEK I,80,"Meer dan driehondert jaer,"
Melis Stoke,BOEK I,81,"Ende dienden heidinen lantsheren,"
Melis Stoke,BOEK I,82,Eer dat si hem wilden bekeren.
Melis Stoke,BOEK I,83,Nu worden sider moghendelike
Melis Stoke,BOEK I,84,Die koninghe van Vrancrike
Melis Stoke,BOEK I,85,"Heren, over al Duutsche lant,"
Melis Stoke,BOEK I,86,Also dat in haer hant
Melis Stoke,BOEK I,87,Vrieslant quam als ghi moghet horen.
Melis Stoke,BOEK I,88,"Want Pippijn, van Harstelle gheboren,"
Melis Stoke,BOEK I,89,"Die tsweert van Vrancrike droech,"
Melis Stoke,BOEK I,90,Hadde oerloghen ghenoech
Melis Stoke,BOEK I,91,"Jeghen Rabboude, de Goeds viant,"
Melis Stoke,BOEK I,92,"De hertoghe was van Vrieslant,"
Melis Stoke,BOEK I,93,So dat hine verwan met eren
Melis Stoke,BOEK I,94,Int carnacion ons Heren
Melis Stoke,BOEK I,95,VI hondert twintich ende viere.
Melis Stoke,BOEK I,96,Doe sende hi inden lande sciere
Melis Stoke,BOEK I,97,"Willebroerde, de eerste bekeerde"
Melis Stoke,BOEK I,98,Die Vriesen ende gheloven leerde.
Melis Stoke,BOEK I,99,"Tote Westcappel dat hi quam,"
Melis Stoke,BOEK I,100,Daer hi aenbeden vernam
Melis Stoke,BOEK I,101,Mercuriuse over enen god.
Melis Stoke,BOEK I,102,Dat beelde doer ons Heren gebod
Melis Stoke,BOEK I,103,"Brac hi, ende hevet tfolc ghescouden;"
Melis Stoke,BOEK I,104,"Maer dat hevet hi swaer ontgouden,"
Melis Stoke,BOEK I,105,"Want een, de Mercuriuse wachte,"
Melis Stoke,BOEK I,106,"Sloeghen in sijn hoeft onsachte,"
Melis Stoke,BOEK I,107,Dat hi storte daer sijn bloet.
Melis Stoke,BOEK I,108,Nochtan predicte hi metter spoet
Melis Stoke,BOEK I,109,"Twoert ons Heren, als Gods seriant,"
Melis Stoke,BOEK I,110,Vanden westende van Vrieslant
Melis Stoke,BOEK I,111,Oestwaert duer de lande recht
Melis Stoke,BOEK I,112,"Onthierende hi quam tUtrecht,"
Melis Stoke,BOEK I,113,Dat Wiltenborch hiet te voren.
Melis Stoke,BOEK I,114,"De afgode dede hi testoren,"
Melis Stoke,BOEK I,115,"Ende maecter ene kerke mede,"
Melis Stoke,BOEK I,116,Misse te horen den kerstinede
Melis Stoke,BOEK I,117,Ende daer toe ons Heren woert;
Melis Stoke,BOEK I,118,Ende wanten te Romen inde poerte
Melis Stoke,BOEK I,119,Sergius de pauwes benediede
Melis Stoke,BOEK I,120,Ende hine aertsche bisscop wiede
Melis Stoke,BOEK I,121,"Te prediken ons Heren woert,"
Melis Stoke,BOEK I,122,Sette hi tUtrecht inde poert
Melis Stoke,BOEK I,123,"Den bisscopstoel, ende besat"
Melis Stoke,BOEK I,124,Als aertsche bisscop eerst de stat.
Melis Stoke,BOEK I,125,Ende noyt seder overeen
Melis Stoke,BOEK I,126,Ende was daer aertsche bisscop geen.
Melis Stoke,BOEK I,127,"Inghels was Willebroert becant,"
Melis Stoke,BOEK I,128,Gheboren van Noorthumberlant;
Melis Stoke,BOEK I,129,"Ende want de Ingels zijn gewassen,"
Melis Stoke,BOEK I,130,"Als men leest, van Nederzassen,"
Melis Stoke,BOEK I,131,Conste hi de bet de Vriessche tale:
Melis Stoke,BOEK I,132,Dat mach elc man proeven wale.
Melis Stoke,BOEK I,133,"Int carnacioen ons Heren,"
Melis Stoke,BOEK I,134,"Als ons vraie historien leren,"
Melis Stoke,BOEK I,135,Seven hondert tiene ende viere
Melis Stoke,BOEK I,136,"Starf Pippijn, de stoute fiere,"
Melis Stoke,BOEK I,137,"Die gheboren was van Haerstelle,"
Melis Stoke,BOEK I,138,Ende liet enen zone; gheselle
Melis Stoke,BOEK I,139,Was hi des vader van hoghen doene:
Melis Stoke,BOEK I,140,"Karel Marteel hiet hi, de koene,"
Melis Stoke,BOEK I,141,De menighe stoute vromichede
Melis Stoke,BOEK I,142,Op de felle heidine dede.
Melis Stoke,BOEK I,143,Tien tiden lesen wi ende in dien daghen
Melis Stoke,BOEK I,144,"Waren vele bisscoppen, de plaghen"
Melis Stoke,BOEK I,145,Te vaerne after lande castien
Melis Stoke,BOEK I,146,Omme van den mammerien
Melis Stoke,BOEK I,147,"Te bekeren dat heidine diet,"
Melis Stoke,BOEK I,148,So dat in dien tiden sciet
Melis Stoke,BOEK I,149,"Van Sans de bisscop Wolfram,"
Melis Stoke,BOEK I,150,Ende in Vrieslant dat hi quam
Melis Stoke,BOEK I,151,"Prediken, niet als de blode,"
Melis Stoke,BOEK I,152,Sodat hi den hertoghe Rabbode
Melis Stoke,BOEK I,153,"Van Vrieslant se hevet belopen,"
Melis Stoke,BOEK I,154,Dat hi hem kerstijn wil doen dopen.
Melis Stoke,BOEK I,155,"Ende was ter vonten komen,"
Melis Stoke,BOEK I,156,Ende hevet den enen voet ghenomen
Melis Stoke,BOEK I,157,Ende dien inde vonte gheset.
Melis Stoke,BOEK I,158,"Doe vraghedi, eer hi voert ginc bet,"
Melis Stoke,BOEK I,159,Weder dat sine vorders waren
Melis Stoke,BOEK I,160,"Meer onder der saligher scaren,"
Melis Stoke,BOEK I,161,So inder hellen ghevallen neder.
Melis Stoke,BOEK I,162,"Sente Wolfram antwoerde weder,"
Melis Stoke,BOEK I,163,"Dat sine maghe waren verloren,"
Melis Stoke,BOEK I,164,De heidijn storven daer te voren.
Melis Stoke,BOEK I,165,Rabbout sprac: So en mach ic niet
Melis Stoke,BOEK I,166,"Mier gheselscap, wats ghesciet,"
Melis Stoke,BOEK I,167,"In der hellen niet begheven,"
Melis Stoke,BOEK I,168,Ende metten lettel aermer leven
Melis Stoke,BOEK I,169,"In hemelrike sonder waen,"
Melis Stoke,BOEK I,170,Die mi een twinc niet en bestaen.
Melis Stoke,BOEK I,171,Uter vonten hi den voet uuttoech
Melis Stoke,BOEK I,172,"Ente duvel, diene bedroech,"
Melis Stoke,BOEK I,173,"Die hem viele goets behiet,"
Melis Stoke,BOEK I,174,Ne hilt hem vorwaerden niet;
Melis Stoke,BOEK I,175,Want hi starf op den derden dach
Melis Stoke,BOEK I,176,Ende voer daer hi sine maghe sach.
Melis Stoke,BOEK I,177,"Dit ghesciede, als wi leren,"
Melis Stoke,BOEK I,178,Int carnacioen ons Heren
Melis Stoke,BOEK I,179,Sevenhondert twintich ende achte.
Melis Stoke,BOEK I,180,Menich vanden Vrieschen geslachte
Melis Stoke,BOEK I,181,"Wert kerstijn, omdat dus verginc"
Melis Stoke,BOEK I,182,Rabbouts des hertoghen dinc.
Melis Stoke,BOEK I,183,Want Willibrort ende Wolfram
Melis Stoke,BOEK I,184,"Ende ander volc, dat met hem quam,"
Melis Stoke,BOEK I,185,Bekeerden dat Vriessche diet.
Melis Stoke,BOEK I,186,Sente Willeboert de versciet
Melis Stoke,BOEK I,187,Na ons heren gheboernesse
Melis Stoke,BOEK I,188,Seven hondert jaer dertich ende zesse.
Melis Stoke,BOEK I,189,Sente Bonifaes de ontfinc
Melis Stoke,BOEK I,190,"Den stoel, sodat hi prediken ghinc"
Melis Stoke,BOEK I,191,"In Vrieslant tote Lavecen oest,"
Melis Stoke,BOEK I,192,Ende hevet vermaent ende ghetroest
Melis Stoke,BOEK I,193,Al tfolc kerstindoem tontfane.
Melis Stoke,BOEK I,194,Te Dockinghen daer quamen hem aen
Melis Stoke,BOEK I,195,"Die onbekende wilde Vriesen,"
Melis Stoke,BOEK I,196,Die ghelike verwoeden riesen
Melis Stoke,BOEK I,197,Hem versloeghen ende sine ghesellen.
Melis Stoke,BOEK I,198,"Dus, als ghi hier hoert vertellen,"
Melis Stoke,BOEK I,199,Wies in Vrieslant die kerstijn wet
Melis Stoke,BOEK I,200,Ende worden ghetemmet ende gheset
Melis Stoke,BOEK I,201,Bi der Fransoisen moghenthede
Melis Stoke,BOEK I,202,"Ende bi der predicacien mede,"
Melis Stoke,BOEK I,203,"Dat si kerstindoem ontfinghen,"
Melis Stoke,BOEK I,204,Eer de Hollantsche graven opghingen.
Melis Stoke,BOEK I,205,"Na Pippine, als ic hier voren seide,"
Melis Stoke,BOEK I,206,"De hertoghen Rabboden tonderdede,"
Melis Stoke,BOEK I,207,"Wort here sijn soen Karel Marteel,"
Melis Stoke,BOEK I,208,Ende dwanc alle de lande geheel
Melis Stoke,BOEK I,209,Van Vrieslant tot over Gheronde;
Melis Stoke,BOEK I,210,In Vrancrike ne mochte tier stonde
Melis Stoke,BOEK I,211,"Altoes niemant coninc wesen,"
Melis Stoke,BOEK I,212,Het en was altemael bi desen.
Melis Stoke,BOEK I,213,"Ende als men hem boot de crone,"
Melis Stoke,BOEK I,214,Seide hi: Het waer noch also scone
Melis Stoke,BOEK I,215,"Coninghe dwinghen ende jaghen,"
Melis Stoke,BOEK I,216,Dan selve de crone draghen.
Melis Stoke,BOEK I,217,Dese starf in ons Heren jaer
Melis Stoke,BOEK I,218,"VII hondert ende XLI, dats waer,"
Melis Stoke,BOEK I,219,"Ende liet sinen sone tlant,"
Melis Stoke,BOEK I,220,Die Kleine Pippin was ghenant.
Melis Stoke,BOEK I,221,Dese hevet die Vrancse crone ghenomen
Melis Stoke,BOEK I,222,"Hem, de van Troyen waren comen,"
Melis Stoke,BOEK I,223,Bi den pauwes Zakarien
Melis Stoke,BOEK I,224,"Ende hi was deerste van der partien,"
Melis Stoke,BOEK I,225,"Daer hi uut was gheboren,"
Melis Stoke,BOEK I,226,De ter crone was vercoren.
Melis Stoke,BOEK I,227,Al Duutsche ende tWalsche mede
Melis Stoke,BOEK I,228,"Was onder sine moghenthede,"
Melis Stoke,BOEK I,229,Ende Vrieslant was hem onderdaen.
Melis Stoke,BOEK I,230,"Hi starf, als wi voer waer verstaen,"
Melis Stoke,BOEK I,231,VII hondert ende achtentsestich jaer
