author,chapter,line,text
Jan van Heelu,[Voorrede van den afschryver],1,"ANE die hystorie mach men kinnen,"
Jan van Heelu,[Voorrede van den afschryver],2,Die buten biblen ende binnen
Jan van Heelu,[Voorrede van den afschryver],3,"Gescreven sijn, ende ghedicht,"
Jan van Heelu,[Voorrede van den afschryver],4,Hoe God ghemeine goet bericht
Jan van Heelu,[Voorrede van den afschryver],5,"[V] Van der werelt, metten heeren."
Jan van Heelu,[Voorrede van den afschryver],6,"Daer bi roepse God ter eeren,"
Jan van Heelu,[Voorrede van den afschryver],7,"Dat hise boven dat volc set,"
Jan van Heelu,[Voorrede van den afschryver],8,Om datsi recht na die wet
Jan van Heelu,[Voorrede van den afschryver],9,"Elken selen doen ghescien,"
Jan van Heelu,[Voorrede van den afschryver],10,[X] Ende selve alle hoecheit plien
Jan van Heelu,[Voorrede van den afschryver],11,"Vast gheleide, in goeden vrede,"
Jan van Heelu,[Voorrede van den afschryver],12,"Ende gaven munte, na tslants sede,"
Jan van Heelu,[Voorrede van den afschryver],13,Selen sie houden doen altoes:
Jan van Heelu,[Voorrede van den afschryver],14,"Dit es die sake, daers omme coes"
Jan van Heelu,[Voorrede van den afschryver],15,"[XV] God, ende datsi heeren sijn souden."
Jan van Heelu,[Voorrede van den afschryver],16,"Die ghene sijn sijn vrient, diet wale houden;"
Jan van Heelu,[Voorrede van den afschryver],17,"Want welke heere daer af keert,"
Jan van Heelu,[Voorrede van den afschryver],18,"Als ons der coninc boec leert,"
Jan van Heelu,[Voorrede van den afschryver],19,"Hine mach niet langhe staen,"
Jan van Heelu,[Voorrede van den afschryver],20,"[XX] Hine moet vallen, sonder waen:"
Jan van Heelu,[Voorrede van den afschryver],21,Dit toent wale die ghelike
Jan van Heelu,[Voorrede van den afschryver],22,"Van Saule, ende van sinen rike,"
Jan van Heelu,[Voorrede van den afschryver],23,"Dien God coninc maecte ende heere,"
Jan van Heelu,[Voorrede van den afschryver],24,"Ende verhoghedene alsoe seere,"
Jan van Heelu,[Voorrede van den afschryver],25,"[XXV] Dat hi sinen viant onder brachte,"
Jan van Heelu,[Voorrede van den afschryver],26,Die wile dat hi bedachte
Jan van Heelu,[Voorrede van den afschryver],27,Dat hem dat quam van Gode;
Jan van Heelu,[Voorrede van den afschryver],28,"Maer doen hi brac Gods gebode,"
Jan van Heelu,[Voorrede van den afschryver],29,"Ende hem van hem selven dochte,"
Jan van Heelu,[Voorrede van den afschryver],30,"[XXX] Dat hijt sonder Gode vermochte,"
Jan van Heelu,[Voorrede van den afschryver],31,"Soe wert God op hem gram,"
Jan van Heelu,[Voorrede van den afschryver],32,"Soe dat hi hem sijn rike nam,"
