author,chapter,line,text
Gielijs van Molhem,"pb n=""1""/>1.",1,"Deus, edel God vanden paradyse"
Gielijs van Molhem,"pb n=""1""/>1.",2,Gheeft gracie van Molhem Gielise
Gielijs van Molhem,"pb n=""1""/>1.",3,Dat hi wten walsche vertiere
Gielijs van Molhem,"pb n=""1""/>1.",4,"In dietsche woerde, die staen in prise"
Gielijs van Molhem,"pb n=""1""/>1.",5,Ende salech sijn oec; want hise
Gielijs van Molhem,"pb n=""1""/>1.",6,"Vant in dboec, dat de clusenere"
Gielijs van Molhem,"pb n=""1""/>1.",7,"Van Molinens maecte, hets sijn gere."
Gielijs van Molhem,"pb n=""1""/>1.",8,"Ute hem dichtic te bat, want here"
Gielijs van Molhem,"pb n=""1""/>1.",9,Bi namen wi voegen in ene wise:
Gielijs van Molhem,"pb n=""1""/>1.",10,"Molhem Molinens, hiers geene were."
Gielijs van Molhem,"pb n=""1""/>1.",11,"Niet dat den goeden man gedere,"
Gielijs van Molhem,"pb n=""1""/>1.",12,Dat selc dwaes steet in sine assise.
Gielijs van Molhem,2.,13,"Want Gielijs wert des wel geware,"
Gielijs van Molhem,2.,14,"Dat hijs herde onwerdech ware,"
Gielijs van Molhem,2.,15,Noemdehi hem inden getale
Gielijs van Molhem,2.,16,"Des goets mans, die sijn lange iare"
Gielijs van Molhem,2.,17,Heilechlec in pinen sware
Gielijs van Molhem,2.,18,Heeft geleidt; dats sonder hale.
Gielijs van Molhem,2.,19,"Mer gerne soude hi, conste hi wale"
Gielijs van Molhem,2.,20,Translateren in dietsche tale
Gielijs van Molhem,2.,21,"Sijn boec, want hets ene ware"
Gielijs van Molhem,2.,22,"Hem, diere na werct, vor tfiants strale."
Gielijs van Molhem,2.,23,Dbeghin des wercs settic te male
Gielijs van Molhem,2.,24,"In Gods gewout, dat hijt beware."
Gielijs van Molhem,3.,25,"Ghenadech God, hebt mijns genade,"
Gielijs van Molhem,3.,26,Want langen tijt hebdi mi stade
Gielijs van Molhem,3.,27,"Verleent te doene, dat u bequame,"
Gielijs van Molhem,3.,28,Dats dat ic soude blameren tquade.
Gielijs van Molhem,3.,29,Want die prophete wt uwen rade
Gielijs van Molhem,3.,30,"Verdoemt den vrecken om de blame,"
Gielijs van Molhem,3.,31,Dat hi tgraen slut na ontame
Gielijs van Molhem,3.,32,"Vore hem, die bidt in uwen name;"
Gielijs van Molhem,3.,33,"Want dit stoet inden heiligen blade,"
Gielijs van Molhem,3.,34,"Tgreyn, te reiken wt minen lichame,"
Gielijs van Molhem,3.,35,"Op dat menre nutscap af name,"
Gielijs van Molhem,3.,36,"Ontpluct voert, al eest te spade."
Gielijs van Molhem,4.,37,"In eenre ander stat machmen lesen,"
Gielijs van Molhem,4.,38,God sprect uten prophete van desen
Gielijs van Molhem,4.,39,Onreine vrecke pannetieren:
Gielijs van Molhem,4.,40,"""Cleine volc bidt broet, het moet wesen;"
Gielijs van Molhem,4.,41,"""Dune wilt hen shongers niet genesen."""
Gielijs van Molhem,4.,42,"Soe wee hem, diet dus doet verdieren,"
Gielijs van Molhem,4.,43,Hine wilt tontginnene niet meer finieren
Gielijs van Molhem,4.,44,"Sijn broedekijn in tween, in vieren"
Gielijs van Molhem,4.,45,"Ter armer behoef, dat sijt mochten kesen."
Gielijs van Molhem,4.,46,"Oec sie ic volc van vele manieren,"
Gielijs van Molhem,4.,47,"Woudt op mijn brodekijn vele mengieren,"
Gielijs van Molhem,4.,48,Het worde meer van mi gepresen.
Gielijs van Molhem,5.,49,"Lostelec es broet ingesonde,"
Gielijs van Molhem,5.,50,Mer die sieke weret van monde
Gielijs van Molhem,5.,51,Ende nemt liever den appel suren.
Gielijs van Molhem,5.,52,"Ghelijc eest, dies benic orconde,"
Gielijs van Molhem,5.,53,Dat de sot en haet dinc meer te gronde
Gielijs van Molhem,5.,54,"Dan castien. Men maechs niet rueren,"
Gielijs van Molhem,5.,55,"Want hi es so arch van naturen,"
Gielijs van Molhem,5.,56,Dat goet raet wert in hem seerre te sueren
Gielijs van Molhem,5.,57,Dan broet in den sieken monde.
Gielijs van Molhem,5.,58,"Wie sonden volcht van uren turen,"
Gielijs van Molhem,5.,59,Es ongecust van waerden puren;
Gielijs van Molhem,5.,60,Soe overoncuusch es de sonde.
Gielijs van Molhem,6.,61,"Ia selc es so verkeert in schine,"
Gielijs van Molhem,6.,62,Dat hem gheeft alte groten pine
Gielijs van Molhem,6.,63,"Doecht te hoerne, want hine caens verbeiden"
Gielijs van Molhem,6.,64,Ende soect noetsaken elre tsine.
Gielijs van Molhem,6.,65,"Hi peist: dune sels hier niet bliven,"
Gielijs van Molhem,6.,66,Dermen sprect van salecheiden.
Gielijs van Molhem,6.,67,"Men caent so soetelec niet geleiden,"
Gielijs van Molhem,6.,68,Hine vliet alst scaep den wolf inder weiden;
Gielijs van Molhem,6.,69,Soe ruertenne de sonde met venine.
Gielijs van Molhem,6.,70,"Mer die hen voegen ter sotheiden,"
Gielijs van Molhem,6.,71,"Derwert sietmenne gereiden,"
Gielijs van Molhem,6.,72,Want dan alre ierst es hi an tsine.
Gielijs van Molhem,7.,73,Een anxt eest sieken wederkeren
Gielijs van Molhem,7.,74,Sine spise: daer moet bi verseeren
Gielijs van Molhem,7.,75,Siecheit ende daers de doot tontsiene.
Gielijs van Molhem,7.,76,"Doot es hi, die niet en wille leeren"
Gielijs van Molhem,7.,77,"Gods woert, mer doecht in arch verkeren"
Gielijs van Molhem,7.,78,"Ende wisen raet niene acht tantsiene,"
Gielijs van Molhem,7.,79,Ne wat hem na es te gesciene.
Gielijs van Molhem,7.,80,Hi maect sine dinc voer Gode onsiene
Gielijs van Molhem,7.,81,Ende roeft hem selven van alre eren.
Gielijs van Molhem,7.,82,"Wie hem niet en voecht na doecht te pliene,"
Gielijs van Molhem,7.,83,"Mer in lanc so meer te vliene,"
Gielijs van Molhem,7.,84,Werdt met gewout viant ons Heren.
Gielijs van Molhem,8.,85,Lichter ware mi de hant te slane
Gielijs van Molhem,8.,86,Toten hemele dan te wederstane
Gielijs van Molhem,8.,87,Elc gebrec; in caent verbieden.
Gielijs van Molhem,8.,88,Niene latic daer bi voert te gane.
Gielijs van Molhem,8.,89,Al ne waers bate meer tontfane
Gielijs van Molhem,8.,90,Dan van .m. verkeerden lieden
Gielijs van Molhem,8.,91,"Hen .ij., die van sonden scieden,"
Gielijs van Molhem,8.,92,"Ochte een, ic naemt ter groter mieden."
Gielijs van Molhem,8.,93,"Daer bi pleechtmen ten brande te gane,"
Gielijs van Molhem,8.,94,Mochtemen tferlies iet weder nieden.
Gielijs van Molhem,8.,95,"Scudden en mach geen cleet gewieden,"
Gielijs van Molhem,8.,96,Mer te min onreyns hancter ane.
Gielijs van Molhem,9.,97,"Magic dit werc ten inde bringen,"
Gielijs van Molhem,9.,98,"Het mach vromen te menegen dingen,"
Gielijs van Molhem,9.,99,Ende quaet gedaen waert dat ic swege;
Gielijs van Molhem,9.,100,"Want wils de lieve god gehingen,"
Gielijs van Molhem,9.,101,Iemans weldat salre bi lingen:
Gielijs van Molhem,9.,102,Te beter saels sijn allewege
Gielijs van Molhem,9.,103,"Die goede; die quade, slaetmen sege,"
Gielijs van Molhem,9.,104,doet tsine ocht gaen beter wege;
Gielijs van Molhem,9.,105,Die goede poente in hen dringen.
Gielijs van Molhem,9.,106,"Ende swegic dan ende der quaetheit nege,"
Gielijs van Molhem,9.,107,"Recht waert, dat mi God betege"
Gielijs van Molhem,9.,108,"Der liede gebrec, die quaet begingen."
Gielijs van Molhem,10.,109,"[O]m drie dinge, mensche, ic die vrage:"
Gielijs van Molhem,10.,110,Wanen quaemstu van iersten dage?
Gielijs van Molhem,10.,111,Waer bestu? Ende waer selstu henen?
Gielijs van Molhem,10.,112,"Sech voert, want ics di niet en verdrage,"
Gielijs van Molhem,10.,113,"Drie ander dinc, die ic gewage:"
Gielijs van Molhem,10.,114,Wie du wars sal sijn. Gerenen
Gielijs van Molhem,10.,115,"Die mine woerde, dijn sinne suenen"
Gielijs van Molhem,10.,116,"Die wijsheit volcht, quelt dese plage;"
Gielijs van Molhem,10.,117,"Hine can hem suchtens niet ontwenen,"
Gielijs van Molhem,10.,118,Als hi sijn broesche lijf siet lenen
Gielijs van Molhem,10.,119,Op so iammerliken lage.
Gielijs van Molhem,11.,120,"[H]oe mochten si gesijn in rasten,"
Gielijs van Molhem,11.,121,Die wel verstonden ende compasten
Gielijs van Molhem,11.,122,Dbedieden mijnre corter waerde.
Gielijs van Molhem,11.,123,Selc hoert wel goet dinc; van .ii. basten
Gielijs van Molhem,11.,124,Dies niet en acht noch en wilter hem met lasten
Gielijs van Molhem,11.,125,"Meer dan hijt prijst. Fi behagelarde,"
Gielijs van Molhem,11.,126,Hoert mi! Wat holpt dat ic u sparde?
Gielijs van Molhem,11.,127,"Die sin mijns dichtens es selc van arde,"
Gielijs van Molhem,11.,128,Hi sal u toten merge tasten.
Gielijs van Molhem,11.,129,"Scuwet den prekel van dies viants garde,"
Gielijs van Molhem,11.,130,"Dats overmoet; sijts op u warde,"
Gielijs van Molhem,11.,131,Ocht u ne holpt vullegaen no vasten.
Gielijs van Molhem,12.,132,"[M]ensche, hore, wanen du comen sijs."
Gielijs van Molhem,12.,133,Tgebod dat Adaem brac; hadde hijs
Gielijs van Molhem,12.,134,"Ontbaert ende, dat hem God geboet,"
Gielijs van Molhem,12.,135,Ende den appel opt doede rijs
Gielijs van Molhem,12.,136,"Niene hadde aneveerdt int paradijs,"
Gielijs van Molhem,12.,137,God haddene na de weelde groet
Gielijs van Molhem,12.,138,Met hem gemaect ingels genoet.
Gielijs van Molhem,12.,139,"Neen hi, dat brachte ons ter doot."
Gielijs van Molhem,12.,140,O wach! hi die was sins so wijs
Gielijs van Molhem,12.,141,"Waer bi el diende hi sonder noet,"
Gielijs van Molhem,12.,142,Dat hem God dat goet voresloet
