author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,[...............]
Onbekend,Onbekend Hoofdstuk,2,Wat hen daer [...s]oude ges[..]
Onbekend,Onbekend Hoofdstuk,3,[.]oen sprac te roel[......]
Onbekend,Onbekend Hoofdstuk,4,Wi hebben luttel hulpen h[....]
Onbekend,Onbekend Hoofdstuk,5,Twine blaest ghi den horen
Onbekend,Onbekend Hoofdstuk,6,Ons here die conic sout hooren
Onbekend,Onbekend Hoofdstuk,7,Ende sal ons te hulpen comen
Onbekend,Onbekend Hoofdstuk,8,Als hij den horen heeft vernoemen
Onbekend,Onbekend Hoofdstuk,9,Doen sprac roelant [...] graue
Onbekend,Onbekend Hoofdstuk,10,In wilre niement lachter aue
Onbekend,Onbekend Hoofdstuk,11,Want het waer een vule dinc
Onbekend,Onbekend Hoofdstuk,12,Datdic dus comen den conic
Onbekend,Onbekend Hoofdstuk,13,Dats onse vianden niet en wisten
Onbekend,Onbekend Hoofdstuk,14,Si soudent tien in quader liesten
Onbekend,Onbekend Hoofdstuk,15,Wanneer sijt hadden vernoemen
Onbekend,Onbekend Hoofdstuk,16,Dat my van bloothei[d]en waer comen
Onbekend,Onbekend Hoofdstuk,17,Eer willic vechten harde
Onbekend,Onbekend Hoofdstuk,18,Met dueren daelde met mynen sweerde
Onbekend,Onbekend Hoofdstuk,19,Ende saelt hen doen rouwen
Onbekend,Onbekend Hoofdstuk,20,Des moch di my betruwen
Onbekend,Onbekend Hoofdstuk,21,Dat si hier comen sijn
Onbekend,Onbekend Hoofdstuk,22,Behout mi god dat leuen myn
Onbekend,Onbekend Hoofdstuk,23,Eer willic steruen eerlike
Onbekend,Onbekend Hoofdstuk,24,Eer lachter hebben vranckerijcke
Onbekend,Onbekend Hoofdstuk,25,Doen sprac te roelande oliuier
Onbekend,Onbekend Hoofdstuk,26,Ic neme der lachter op my hier
Onbekend,Onbekend Hoofdstuk,27,Van ons allen hier te voren
Onbekend,Onbekend Hoofdstuk,28,Wildij blasen den horen
Onbekend,Onbekend Hoofdstuk,29,Trouwen seet hij ne nic niet
Onbekend,Onbekend Hoofdstuk,30,[........] hets sonde dij
Onbekend,Onbekend Hoofdstuk,31,[..] wij h[..] om die ere
Onbekend,Onbekend Hoofdstuk,32,[..] conic onsen here
Onbekend,Onbekend Hoofdstuk,33,[..] omme groette sclaghe sal minnen
Onbekend,Onbekend Hoofdstuk,34,Ende [..]melrijc daermede ghe winnen
Onbekend,Onbekend Hoofdstuk,35,[.]l[.] was des lieuens goet
Onbekend,Onbekend Hoofdstuk,36,O[...]er gheradich ende vroet
Onbekend,Onbekend Hoofdstuk,37,Niement en mochche verwaren
Onbekend,Onbekend Hoofdstuk,38,Wanner sij ghewapent waren
Onbekend,Onbekend Hoofdstuk,39,Doen sprack die coene oliuier
Onbekend,Onbekend Hoofdstuk,40,Lieue gesellen nv mochdij hier
Onbekend,Onbekend Hoofdstuk,41,Ghescaert .j. groot volc sien
Onbekend,Onbekend Hoofdstuk,42,Sij comen ic en wilse niet vlien
