author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,Daer sal menech toe sien
Onbekend,Onbekend Hoofdstuk,2,Daer dese wiich sal ge scien
Onbekend,Onbekend Hoofdstuk,3,Ende wi haddent also [ver]staen
Onbekend,Onbekend Hoofdstuk,4,Dat wise alle sele[n] verslaen
Onbekend,Onbekend Hoofdstuk,5,Doen sprac borsabels die coninc
Onbekend,Onbekend Hoofdstuk,6,Dat was warlike dinc
Onbekend,Onbekend Hoofdstuk,7,Ic willer emmer een siin
Onbekend,Onbekend Hoofdstuk,8,Doen sprac die bose barbariin
Onbekend,Onbekend Hoofdstuk,9,Hi was groet ende starc
Onbekend,Onbekend Hoofdstuk,10,Hine wonde niet om C marc
Onbekend,Onbekend Hoofdstuk,11,Ende tgoet dat [.......] an
Onbekend,Onbekend Hoofdstuk,12,Hadde ochte ye gewan
Onbekend,Onbekend Hoofdstuk,13,Esloer van burga[.] sprac sine rede
Onbekend,Onbekend Hoofdstuk,14,Ic willer emmer een sijn mede
Onbekend,Onbekend Hoofdstuk,15,Hi liep seerdere te voet
Onbekend,Onbekend Hoofdstuk,16,Dan enech spaench ors doet
Onbekend,Onbekend Hoofdstuk,17,Vorden coninc quam hi saen
Onbekend,Onbekend Hoofdstuk,18,Ende sprac datment mochte verstae[n]
Onbekend,Onbekend Hoofdstuk,19,Vindic roelande jn ronceuale
Onbekend,Onbekend Hoofdstuk,20,Soe waert mi te moede wale
Onbekend,Onbekend Hoofdstuk,21,Ic salne slaen [...] minen sw[a..]
Onbekend,Onbekend Hoofdstuk,22,Oft het blijft [...] minen d[a..]
Onbekend,Onbekend Hoofdstuk,23,EEn amirael q[uam] daer na vo[..]
Onbekend,Onbekend Hoofdstuk,24,Scone ende rike ende wel gebor[..]
Onbekend,Onbekend Hoofdstuk,25,Dats hem noit en gebrac
Onbekend,Onbekend Hoofdstuk,26,Vorden coninc quam [h]i ende sprac
Onbekend,Onbekend Hoofdstuk,27,Met herde ouermoediger tale
Onbekend,Onbekend Hoofdstuk,28,Vindic roelande jn ronceuale
Onbekend,Onbekend Hoofdstuk,29,Ic sal sijns liu[es] maken fijn
Onbekend,Onbekend Hoofdstuk,30,Ende alle die met hem [comen] sijn
Onbekend,Onbekend Hoofdstuk,31,Sider meer hebben wi vrede
Onbekend,Onbekend Hoofdstuk,32,Van kaerlen ende vanden andren me[..]
Onbekend,Onbekend Hoofdstuk,33,Noch selen wi hebben waerlike
Onbekend,Onbekend Hoofdstuk,34,Dat suete lant van vrancri[..]
Onbekend,Onbekend Hoofdstuk,35,Alse hi die tale hadde geseit
Onbekend,Onbekend Hoofdstuk,36,Dankes hem die coninc gerei[.]
Onbekend,Onbekend Hoofdstuk,37,EEn amirael sprac van bura[..]
Onbekend,Onbekend Hoofdstuk,38,En was geen feldere jn spa[..]
Onbekend,Onbekend Hoofdstuk,39,Hi begonste heme [v]ermeten
Onbekend,Onbekend Hoofdstuk,40,Hi soude roelande doen weten
Onbekend,Onbekend Hoofdstuk,41,Die here begonste hem vermeten
Onbekend,Onbekend Hoofdstuk,42,Dies en woude hi niet vergeten
Onbekend,Onbekend Hoofdstuk,43,Hine soude [m]et sinen swerde
Onbekend,Onbekend Hoofdstuk,44,Roelande [..]loepen heerde
Onbekend,Onbekend Hoofdstuk,45,Ende vermat hem dathi durendale
Onbekend,Onbekend Hoofdstuk,46,Soude wederstaen met sinen stale
Onbekend,Onbekend Hoofdstuk,47,Na deser talen waren gereit
Onbekend,Onbekend Hoofdstuk,48,Die .xij. genoten god weit
Onbekend,Onbekend Hoofdstuk,49,Ende traken vort met crachte
Onbekend,Onbekend Hoofdstuk,50,Ende met coenen gedachte
Onbekend,Onbekend Hoofdstuk,51,Haere was wale
Onbekend,Onbekend Hoofdstuk,52,Vier dusent met getale
Onbekend,Onbekend Hoofdstuk,53,Alsi doen vernamen
Onbekend,Onbekend Hoofdstuk,54,Dat si biden fransoysen quamen
