author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,Dan lachter had vrancrike
Onbekend,Onbekend Hoofdstuk,2,Oliuier sprac roelant
Onbekend,Onbekend Hoofdstuk,3,Woudi blazen den olifan[t]
Onbekend,Onbekend Hoofdstuk,4,[D]at soudic gherne sien
Onbekend,Onbekend Hoofdstuk,5,Mochtic v bringen indien
Onbekend,Onbekend Hoofdstuk,6,Trouwen seitti neen ghi niet
Onbekend,Onbekend Hoofdstuk,7,Dan wille god [n..] gescie[.]
Onbekend,Onbekend Hoofdstuk,8,[D]at zoete vrancrike bi mi
Onbekend,Onbekend Hoofdstuk,9,Sijn eere verliese hets so vri
Onbekend,Onbekend Hoofdstuk,10,Pensen wi om die ere
Onbekend,Onbekend Hoofdstuk,11,Onsen loen duert emm[ermere]
Onbekend,Onbekend Hoofdstuk,12,ROlant was des liues goet
Onbekend,Onbekend Hoofdstuk,13,Oliuier geradich ende vroet
Onbekend,Onbekend Hoofdstuk,14,Niemen en mochse vervaren
Onbekend,Onbekend Hoofdstuk,15,[A]lsi beide gewapent waren
Onbekend,Onbekend Hoofdstuk,16,Doen sprac de coen oliuier
Onbekend,Onbekend Hoofdstuk,17,Gheselle roelant nv mogdi hier
Onbekend,Onbekend Hoofdstuk,18,Merken enen wijch gescien
Onbekend,Onbekend Hoofdstuk,19,Si comen ende ende en willen niet [..]ien
Onbekend,Onbekend Hoofdstuk,20,Ende ghi en wer[...] rolant
Onbekend,Onbekend Hoofdstuk,21,Te blasen den [.......]
Onbekend,Onbekend Hoofdstuk,22,Quame ons te [........]
Onbekend,Onbekend Hoofdstuk,23,Dat ware ons [..] scone [....]
Onbekend,Onbekend Hoofdstuk,24,Siet alom ende nemt waere
Onbekend,Onbekend Hoofdstuk,25,Ende merct onse [.......]
Onbekend,Onbekend Hoofdstuk,26,Ons menichte es clene
Onbekend,Onbekend Hoofdstuk,27,Maer ic weet wel dat god allene
Onbekend,Onbekend Hoofdstuk,28,Bat mach dan al haer heere
Onbekend,Onbekend Hoofdstuk,29,Dat es ons een scoen weere
Onbekend,Onbekend Hoofdstuk,30,Wi selen ons vercopen die[..]
Onbekend,Onbekend Hoofdstuk,31,Sprac oliuiere de fiere
Onbekend,Onbekend Hoofdstuk,32,Dat men ons ghewage
Onbekend,Onbekend Hoofdstuk,33,Van nv toten doemsdage
Onbekend,Onbekend Hoofdstuk,34,Doen sprac de coene rolant
Onbekend,Onbekend Hoofdstuk,35,Oliuier hets so bewant
Onbekend,Onbekend Hoofdstuk,36,God sal onser [........]
Onbekend,Onbekend Hoofdstuk,37,Wi selen den strij[....]
Onbekend,Onbekend Hoofdstuk,38,Plaetse ende wijch [stat]
Onbekend,Onbekend Hoofdstuk,39,Die vlie heb gods had
Onbekend,Onbekend Hoofdstuk,40,Die fransoyse doe seiden
Onbekend,Onbekend Hoofdstuk,41,Dat si opden heiden
Onbekend,Onbekend Hoofdstuk,42,Lieuer [..ot souden] bliuen
Onbekend,Onbekend Hoofdstuk,43,Dan si hem lieten verdriuen
Onbekend,Onbekend Hoofdstuk,44,ROelant ende oliuier
Onbekend,Onbekend Hoofdstuk,45,Waren coene ende f[....]
Onbekend,Onbekend Hoofdstuk,46,Ende begonden hem te scaren
Onbekend,Onbekend Hoofdstuk,47,Ende die met hem waren
Onbekend,Onbekend Hoofdstuk,48,Die bisscop tulpijn w[..] raet
Onbekend,Onbekend Hoofdstuk,49,Het was recht sijn daet
Onbekend,Onbekend Hoofdstuk,50,Was goet ende godlijc
Onbekend,Onbekend Hoofdstuk,51,Ende den vianden vruchtelijc
Onbekend,Onbekend Hoofdstuk,52,Hi voer van scaren te scaren
Onbekend,Onbekend Hoofdstuk,53,Ende woudese met gode bewaren
Onbekend,Onbekend Hoofdstuk,54,Hi seide dus lieue gesellen
Onbekend,Onbekend Hoofdstuk,55,Hort waticv sal tellen
Onbekend,Onbekend Hoofdstuk,56,Pensen wi om de eere
Onbekend,Onbekend Hoofdstuk,57,Onsen loen duert emmermeere
Onbekend,Onbekend Hoofdstuk,58,Ende vecht dore onsen here
Onbekend,Onbekend Hoofdstuk,59,Hi dogede dore ons anxst groot
Onbekend,Onbekend Hoofdstuk,60,Ende vanden ioden slage groot
Onbekend,Onbekend Hoofdstuk,61,Wij mogen blidelike steruen
Onbekend,Onbekend Hoofdstuk,62,Ende hemelrike verweruen
Onbekend,Onbekend Hoofdstuk,63,Biddet gode genade
