author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,Doen si te gadere quamen
Onbekend,Onbekend Hoofdstuk,2,"ende elc anderen vernamen,"
Onbekend,Onbekend Hoofdstuk,3,elc daer anderen bat
Onbekend,Onbekend Hoofdstuk,4,"niet te sceden optie stat,"
Onbekend,Onbekend Hoofdstuk,5,bilovede herde snel;
Onbekend,Onbekend Hoofdstuk,6,elc ghetruwde anderen wel.
Onbekend,Onbekend Hoofdstuk,7,Daer mach men man doer heren [sien]
Onbekend,Onbekend Hoofdstuk,8,"han hen tween daer ghescien,"
Onbekend,Onbekend Hoofdstuk,9,die hirschop soe sere hacht
Onbekend,Onbekend Hoofdstuk,10,dat man selke cracht
Onbekend,Onbekend Hoofdstuk,11,"en mochte volleesten,"
Onbekend,Onbekend Hoofdstuk,12,"(dus tellen ons die gheesten),"
Onbekend,Onbekend Hoofdstuk,13,vander payen lant.
Onbekend,Onbekend Hoofdstuk,14,"Roelant vernam sciere,"
Onbekend,Onbekend Hoofdstuk,15,ende riep op Oliviere.
Onbekend,Onbekend Hoofdstuk,16,"""Gheselle, seyt hi, ghetrouwe,"
Onbekend,Onbekend Hoofdstuk,17,"hier es ghesciet groet rouwe,"
Onbekend,Onbekend Hoofdstuk,18,dat Vranckerike claghen mach
Onbekend,Onbekend Hoofdstuk,19,van nu toten doemsdach;
Onbekend,Onbekend Hoofdstuk,20,want hets jammer groet
Onbekend,Onbekend Hoofdstuk,21,"van desen die hier ligghen doet."""
Onbekend,Onbekend Hoofdstuk,22,"Echt sprac Olivier oppenbare,"
Onbekend,Onbekend Hoofdstuk,23,alse die te vechtene hadde gare:
Onbekend,Onbekend Hoofdstuk,24,"""Hi soude ons soe wreken,"
Onbekend,Onbekend Hoofdstuk,25,"men souder ewelike af spreken."""
Onbekend,Onbekend Hoofdstuk,26,"""Olivier, seyti, minne,"
Onbekend,Onbekend Hoofdstuk,27,"hoe selen wi beghinne,"
Onbekend,Onbekend Hoofdstuk,28,hoe moghen wi hen doen verstaen
Onbekend,Onbekend Hoofdstuk,29,dat haer wille sal vergaen?
Onbekend,Onbekend Hoofdstuk,30,O! grote oetmoede
Onbekend,Onbekend Hoofdstuk,31,es ons comen tonguede;
Onbekend,Onbekend Hoofdstuk,32,die Fransoyse selen hier sterven
Onbekend,Onbekend Hoofdstuk,33,"bi u, ende bederven."
Onbekend,Onbekend Hoofdstuk,34,"Die coninc Kaerle, ons here,"
Onbekend,Onbekend Hoofdstuk,35,heeft verloren emmermere
Onbekend,Onbekend Hoofdstuk,36,beide hulpe ende raet;
Onbekend,Onbekend Hoofdstuk,37,dat heeft ghedaen [dat bar]aet.
Onbekend,Onbekend Hoofdstuk,38,U coenheyt selen wi [....]
Onbekend,Onbekend Hoofdstuk,39,[..]me moghen o[...] der [...] pe[n]
Onbekend,Onbekend Hoofdstuk,40,[....] en alle die doet [.]diese.
Onbekend,Onbekend Hoofdstuk,41,"Vranckerike sal sijn ere verliesen!"""
Onbekend,Onbekend Hoofdstuk,42,Tulpijn hevet ghehort
Onbekend,Onbekend Hoofdstuk,43,van hen beiden dese woert
Onbekend,Onbekend Hoofdstuk,44,te hare [hi] sere toe reet;
Onbekend,Onbekend Hoofdstuk,45,want die alle was hen leet
Onbekend,Onbekend Hoofdstuk,46,hi lie [...............]
Onbekend,Onbekend Hoofdstuk,47,Olivier [..............]
Onbekend,Onbekend Hoofdstuk,48,[...............]
Onbekend,Onbekend Hoofdstuk,49,dat men daer ave spreken mochte;
Onbekend,Onbekend Hoofdstuk,50,"wi selen onlanghe leven,"
Onbekend,Onbekend Hoofdstuk,51,dese werelt moeten wi begheven;
Onbekend,Onbekend Hoofdstuk,52,wi mochten blidelike sterven
Onbekend,Onbekend Hoofdstuk,53,want wi hemelrike verwerven.
Onbekend,Onbekend Hoofdstuk,54,Dblasen en hebt vernomen [niet].
Onbekend,Onbekend Hoofdstuk,55,datter ons goet af ghesciet.
Onbekend,Onbekend Hoofdstuk,56,"Hets te spade begonnen,"
Onbekend,Onbekend Hoofdstuk,57,eer wi Kaerlen ghewonnen
Onbekend,Onbekend Hoofdstuk,58,"ende der Fransoysen cracht,"
Onbekend,Onbekend Hoofdstuk,59,het soude wesen donker nacht.
Onbekend,Onbekend Hoofdstuk,60,Nochtan waert goet [ghedaen]
Onbekend,Onbekend Hoofdstuk,61,Kaerle sal comen saen
Onbekend,Onbekend Hoofdstuk,62,ende hem soe diere wreken
Onbekend,Onbekend Hoofdstuk,63,dat men daer ave mochte spreken.
Onbekend,Onbekend Hoofdstuk,64,Ende sal ons vele werde
Onbekend,Onbekend Hoofdstuk,65,"doen graven in die erde,"
Onbekend,Onbekend Hoofdstuk,66,"dat ons wolf, no hont,"
Onbekend,Onbekend Hoofdstuk,67,"en slics in sinen mont."""
Onbekend,Onbekend Hoofdstuk,68,Roelant antwerden ghereit:
Onbekend,Onbekend Hoofdstuk,69,"""Here, ghi hebt waer gheseit."""
Onbekend,Onbekend Hoofdstuk,70,Doen sette Roelant
Onbekend,Onbekend Hoofdstuk,71,te monde den olifant
Onbekend,Onbekend Hoofdstuk,72,ende blies met groter cracht
Onbekend,Onbekend Hoofdstuk,73,ende met al siere macht.
Onbekend,Onbekend Hoofdstuk,74,"Nochtan waert goet ghedaen,"
Onbekend,Onbekend Hoofdstuk,75,"Kaerle sal comen saen,"
Onbekend,Onbekend Hoofdstuk,76,dat enich man dade
Onbekend,Onbekend Hoofdstuk,77,[h]em ware God bi siere ghenade.
Onbekend,Onbekend Hoofdstuk,78,"Kaerle horet ende sine gheselle,"
Onbekend,Onbekend Hoofdstuk,79,dat willic over waer tellen.
Onbekend,Onbekend Hoofdstuk,80,"Doen sprac Kaerle, die here:"
Onbekend,Onbekend Hoofdstuk,81,"""Hier en es gheen [twifel mere]."
Onbekend,Onbekend Hoofdstuk,82,Ic hore wel dat Roelant
Onbekend,Onbekend Hoofdstuk,83,"doer noet blaest den olifant."""
Onbekend,Onbekend Hoofdstuk,84,"""Hi heeft strijt vernomen"
Onbekend,Onbekend Hoofdstuk,85,"ende wilt dat si ons te hulpe comen."""
Onbekend,Onbekend Hoofdstuk,86,"""M[i ..] ont ene vremde [.....]"
Onbekend,Onbekend Hoofdstuk,87,"ghi kint Roelant soe wale."""
Onbekend,Onbekend Hoofdstuk,88,"Anderwerf blies Roelant,"
Onbekend,Onbekend Hoofdstuk,89,"met bloedeghen monde, den olifant,"
Onbekend,Onbekend Hoofdstuk,90,dat hem ter selver stonde
Onbekend,Onbekend Hoofdstuk,91,tbloet ran uten monde.
Onbekend,Onbekend Hoofdstuk,92,"Dat was waerlike dinc,"
Onbekend,Onbekend Hoofdstuk,93,dat hi daer die doet ontfinc
Onbekend,Onbekend Hoofdstuk,94,ende alle die baroene
Onbekend,Onbekend Hoofdstuk,95,ende menich ridder coene.
Onbekend,Onbekend Hoofdstuk,96,[...............]
Onbekend,Onbekend Hoofdstuk,97,oft en ware in wighe groet.
Onbekend,Onbekend Hoofdstuk,98,"Roelant antwerde gaf,"
Onbekend,Onbekend Hoofdstuk,99,"als diene bringen wilde daer af,"
Onbekend,Onbekend Hoofdstuk,100,"dat hijs gheloven niet en soude,"
Onbekend,Onbekend Hoofdstuk,101,ende vermaende siere oude:
Onbekend,Onbekend Hoofdstuk,102,"""Here, ghi sijt out van dagen;"
Onbekend,Onbekend Hoofdstuk,103,"hoe moghedi des gewagen,"
Onbekend,Onbekend Hoofdstuk,104,dat Roelant noet hebben soude?
Onbekend,Onbekend Hoofdstuk,105,ende vermaende siere oude:
Onbekend,Onbekend Hoofdstuk,106,"""Here, ghi sijt out van dagen"
Onbekend,Onbekend Hoofdstuk,107,hoe moghedi des ghewaghen?
Onbekend,Onbekend Hoofdstuk,108,Hi wils over al hebben bedwanc;
