author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,Die edele graue roelant
Onbekend,Onbekend Hoofdstuk,2,Volgede hem te hant
Onbekend,Onbekend Hoofdstuk,3,Ende nam te roelande ware
Onbekend,Onbekend Hoofdstuk,4,Inder sarasinen scare
Onbekend,Onbekend Hoofdstuk,5,Als oliuier vernam
Onbekend,Onbekend Hoofdstuk,6,Dat roelant bi hem quam
Onbekend,Onbekend Hoofdstuk,7,Gaf hi roelant eenen slach
Onbekend,Onbekend Hoofdstuk,8,Want hijs niet en sach
Onbekend,Onbekend Hoofdstuk,9,Doen sprac [......]elant
Onbekend,Onbekend Hoofdstuk,10,Hi weende met herte se[er]e
Onbekend,Onbekend Hoofdstuk,11,Ende bat onsen heere
Onbekend,Onbekend Hoofdstuk,12,Dat hi der sielen plege
Onbekend,Onbekend Hoofdstuk,13,Ende te hemelrijc gewege
Onbekend,Onbekend Hoofdstuk,14,Rroelant viel neder in ommacht
Onbekend,Onbekend Hoofdstuk,15,Ende lach hem selnen ombedacht
Onbekend,Onbekend Hoofdstuk,16,Ende trac op sine stegebande
Onbekend,Onbekend Hoofdstuk,17,Dat hi niet en viel te hant
Onbekend,Onbekend Hoofdstuk,18,Alse hi bequam hadde hijs toren
Onbekend,Onbekend Hoofdstuk,19,Dat hi sinen geselle hadt verloren
Onbekend,Onbekend Hoofdstuk,20,Sonder gautier ende tulpijn van riemen
Onbekend,Onbekend Hoofdstuk,21,Doen sprac gautier tsniemen
Onbekend,Onbekend Hoofdstuk,22,Al d[aer] hi geuloen quam
Onbekend,Onbekend Hoofdstuk,23,Ende hi roelant vernam
Onbekend,Onbekend Hoofdstuk,24,H[i] sprac ten graue roelant
Onbekend,Onbekend Hoofdstuk,25,D[ie] doot es mi becant
Onbekend,Onbekend Hoofdstuk,26,[...............uen nv]
Onbekend,Onbekend Hoofdstuk,27,[Die dese ..............]
Onbekend,Onbekend Hoofdstuk,28,Hi souder node sonder w[aen]
Onbekend,Onbekend Hoofdstuk,29,Logen toe hebben gedae[n]
Onbekend,Onbekend Hoofdstuk,30,Waer iemen diere wederseide
Onbekend,Onbekend Hoofdstuk,31,Hi dader mi aen leide
Onbekend,Onbekend Hoofdstuk,32,Noch doe vacht roelant
Onbekend,Onbekend Hoofdstuk,33,Met wel willeger hant
Onbekend,Onbekend Hoofdstuk,34,Nochtan was hi vermoyt seere
Onbekend,Onbekend Hoofdstuk,35,Dat hi qualijc mochte meere
Onbekend,Onbekend Hoofdstuk,36,DOen setti den horen te monde
Onbekend,Onbekend Hoofdstuk,37,Ende blies een lange stonde
Onbekend,Onbekend Hoofdstuk,38,Dat hem dede onsochte
Onbekend,Onbekend Hoofdstuk,39,Want hem den hemel scoren dochte
Onbekend,Onbekend Hoofdstuk,40,Karel hoert daer hi was
Onbekend,Onbekend Hoofdstuk,41,Ende wert geware das
Onbekend,Onbekend Hoofdstuk,42,Dat roelant nemmeer en mochte
Onbekend,Onbekend Hoofdstuk,43,[...n alsoe hem dochte]
Onbekend,Onbekend Hoofdstuk,44,[...............fant]
Onbekend,Onbekend Hoofdstuk,45,[Die busscop tulpijn hi riep]
Onbekend,Onbekend Hoofdstuk,46,Daer hi te voete vechten liep
Onbekend,Onbekend Hoofdstuk,47,Keert herwaert edel genoot
Onbekend,Onbekend Hoofdstuk,48,Ic wille bi v bliuen doot
Onbekend,Onbekend Hoofdstuk,49,Ic wille v deilen euel ende goet
Onbekend,Onbekend Hoofdstuk,50,Dat hebbic nv in minen moet
Onbekend,Onbekend Hoofdstuk,51,Laet ons diere vercopen ouer al
Onbekend,Onbekend Hoofdstuk,52,Karel comt die ons wreken sal
Onbekend,Onbekend Hoofdstuk,53,DOen socht roelant ouer al
Onbekend,Onbekend Hoofdstuk,54,Beide op berch ende in dal
Onbekend,Onbekend Hoofdstuk,55,Hi vant uorne ende noyone
Onbekend,Onbekend Hoofdstuk,56,Auctor ende samsoene
Onbekend,Onbekend Hoofdstuk,57,Ende ingeleer van gasscoen
Onbekend,Onbekend Hoofdstuk,58,Berengier met siere commoendien
Onbekend,Onbekend Hoofdstuk,59,Roelant droechse met pinen
Onbekend,Onbekend Hoofdstuk,60,Alle voer tulpine
Onbekend,Onbekend Hoofdstuk,61,[...............] groot
Onbekend,Onbekend Hoofdstuk,62,[Ende van vele land gemaect here]
Onbekend,Onbekend Hoofdstuk,63,Gi wart van coenen daden
Onbekend,Onbekend Hoofdstuk,64,Ende const wel v vriende beraden
Onbekend,Onbekend Hoofdstuk,65,Roelant dreef groot mesbaer
Onbekend,Onbekend Hoofdstuk,66,Om sinen gesselle aldaer
Onbekend,Onbekend Hoofdstuk,67,Mi waer leet soudic leuen
Onbekend,Onbekend Hoofdstuk,68,Na dat ghi doot sijt bleuen
