author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,God hebs danc sprac hi doe
Onbekend,Onbekend Hoofdstuk,2,Ghi hebbet becocht al brochtijt toe
Onbekend,Onbekend Hoofdstuk,3,Ghi ne sullets niet ontgaen
Onbekend,Onbekend Hoofdstuk,4,Om desen vant verstaen
Onbekend,Onbekend Hoofdstuk,5,Sloughen toe al die payen
Onbekend,Onbekend Hoofdstuk,6,Een camer vut al dien
Onbekend,Onbekend Hoofdstuk,7,Dwers slaende vp die heide
Onbekend,Onbekend Hoofdstuk,8,Vp den koenen tangreide
Onbekend,Onbekend Hoofdstuk,9,Di[eh............]
Onbekend,Onbekend Hoofdstuk,10,Ghe[r]ijn de[d]e vut ghe[l]e[is]en
Onbekend,Onbekend Hoofdstuk,11,Sine warens niet gheneisen
Onbekend,Onbekend Hoofdstuk,12,Ende ons heren ghenaden goed
Onbekend,Onbekend Hoofdstuk,13,Bede water ende bloet
Onbekend,Onbekend Hoofdstuk,14,Zweetten die andere van pine
Onbekend,Onbekend Hoofdstuk,15,Ende die andere kerstinen
Onbekend,Onbekend Hoofdstuk,16,Waren vp .ij. waghenen bi namen
Onbekend,Onbekend Hoofdstuk,17,Vp elken .xi. tesamen
Onbekend,Onbekend Hoofdstuk,18,Dies hadd[en sijt de s....]
Onbekend,Onbekend Hoofdstuk,19,En[de] ran voort tier vre
Onbekend,Onbekend Hoofdstuk,20,Den goeden alsberch dure
Onbekend,Onbekend Hoofdstuk,21,Maer god wildene voorsien
Onbekend,Onbekend Hoofdstuk,22,Tspere van den payen
Onbekend,Onbekend Hoofdstuk,23,Dede onse here tier tyde
Onbekend,Onbekend Hoofdstuk,24,Bryemonde gaen ande side
Onbekend,Onbekend Hoofdstuk,25,Datter die helt name cont
Onbekend,Onbekend Hoofdstuk,26,Bi bleef goddanc onghewont
Onbekend,Onbekend Hoofdstuk,27,[MA.......] als die [...]en
Onbekend,Onbekend Hoofdstuk,28,En[de] daer naer verhief hijt weder
Onbekend,Onbekend Hoofdstuk,29,Den gonen diere lach ter neder
Onbekend,Onbekend Hoofdstuk,30,Slouch hi so dies ghelooft
Onbekend,Onbekend Hoofdstuk,31,Dat hem spranc van den buke thooft
Onbekend,Onbekend Hoofdstuk,32,Payenen saghen vp hem als doren
Onbekend,Onbekend Hoofdstuk,33,Hi cloueder toten oren
Onbekend,Onbekend Hoofdstuk,34,Te voet staende .iiij. of viue
Onbekend,Onbekend Hoofdstuk,35,Daer na spranc hi met coenen liue
Onbekend,Onbekend Hoofdstuk,36,[V..............]
Onbekend,Onbekend Hoofdstuk,37,Daer maecte in die bataelie
Onbekend,Onbekend Hoofdstuk,38,So datter menech speelde ter faelie
Onbekend,Onbekend Hoofdstuk,39,Die wel waende hebben verwonnen
Onbekend,Onbekend Hoofdstuk,40,Tghetal soudic v niet connen
Onbekend,Onbekend Hoofdstuk,41,Wel ghenomen daer men zien
Onbekend,Onbekend Hoofdstuk,42,Daer steruen mochte der payen
Onbekend,Onbekend Hoofdstuk,43,Men slouchse bi hopen doot
Onbekend,Onbekend Hoofdstuk,44,[D]aer mochtemen sien ghecarem gr[oot]
Onbekend,Onbekend Hoofdstuk,45,Ende slouch slaghen vut ghele[s]en
Onbekend,Onbekend Hoofdstuk,46,Negheen payen moc[h]te gh[enes]en
Onbekend,Onbekend Hoofdstuk,47,Van der ontseggheliker mo[o]rt
Onbekend,Onbekend Hoofdstuk,48,Men dreefse voort ende voort
Onbekend,Onbekend Hoofdstuk,49,So dat sire bleuen al hadder [ni]e[t meer]
Onbekend,Onbekend Hoofdstuk,50,Ghewesen. si quamen an po[r]t de fee[r]
Onbekend,Onbekend Hoofdstuk,51,Al driuende met groten sla[gh]en
Onbekend,Onbekend Hoofdstuk,52,[Als die van an.........]
Onbekend,Onbekend Hoofdstuk,53,V[u]t lant versleghen ende in de grachte[n]
Onbekend,Onbekend Hoofdstuk,54,Ver[dro]nken. datter hare crachten
Onbekend,Onbekend Hoofdstuk,55,Van jamere vele verloren
Onbekend,Onbekend Hoofdstuk,56,Ende vielen neder. so ghi moghet horen
Onbekend,Onbekend Hoofdstuk,57,LAnghe [m]ochtemen hier of tellen
Onbekend,Onbekend Hoofdstuk,58,Die stoute kerstine ghesellen
Onbekend,Onbekend Hoofdstuk,59,[J]agheden s[l]aende die sarragoene
Onbekend,Onbekend Hoofdstuk,60,E[n]de eu[st]aes ende baudewijn
Onbekend,Onbekend Hoofdstuk,61,Ende alle dandere die met hem sij[n]
Onbekend,Onbekend Hoofdstuk,62,Alreande volc als ic verstont
Onbekend,Onbekend Hoofdstuk,63,Waren mede comen doe ic v cont
Onbekend,Onbekend Hoofdstuk,64,Dies dede mense nv te werke
Onbekend,Onbekend Hoofdstuk,65,In den berech dalf men sterke
Onbekend,Onbekend Hoofdstuk,66,Fondement te soukene in liege v niet
Onbekend,Onbekend Hoofdstuk,67,[M]aer [eer] si camen spade diep
